,Concept_ID,hy,vep
0,Auge::N,աչք,sil'm
1,Ohr::N,ականջ,korv
2,Nase::N,քիթ,nena
3,Mund::N,բերան,su
4,Zahn::N,ատամ,pi
5,Zahn::N,ատամ,hambaz
6,Zunge::N,լեզու,kel'
7,Lippe::N,շրթունք,hul'
8,Wange::N,այտ,modpolišk
9,Wange::N,թուշ,modpolišk
10,Gesicht::N,դեմք,mod
11,Stirn::N,ճակատ,oc
12,Haar::N,մազ,tuk
13,Haar::N,մազ,hibuz
14,Schnurrbart::N,բեղ,habinod
15,Bart::N,մորուք,bard
16,Kinn::N,կզակ,löug
17,Kiefer[Anatomie]::N,ծնոտ,hambazlu
18,Kehle::N,կոկորդ,kurk
19,Hals::N,վիզ,kagl
20,Hals::N,պարանոց,kagl
21,Genick::N,ծոծրակ,tagarai
22,Kopf::N,գլուխ,pä
23,Rücken::N,մեջք,sel'g
24,Bauch::N,փոր,vac
25,Bauch::N,փոր,koht
26,Bauch::N,որովայն,vac
27,Bauch::N,որովայն,koht
28,Nabel::N,պորտ,naba
29,Busen::N,ծոց,niža
30,Brust::N,կուրծք,rind
31,Schulter::N,ուս,oug
32,Arm::N,թեւ,käzi
33,Arm::N,բազուկ,käzi
34,Ellenbogen::N,արմունկ,künambruz
35,Hand::N,ձեռք,käzi
36,Hand::N,ձեռք,käzitera
37,Handfläche::N,ափ,kämen
38,Finger::N,մատ,sor'm
39,Fingernagel::N,եղունգ,künz'
40,Nagel[Anatomie]::N,եղունգ,künz'
41,Zeh::N,ոտքի մատ,barbaz
42,Fuß::N,ոտք,jaug
43,Ferse::N,գարշապար,kand
44,Knie::N,ծունկ,komb
45,Knie::N,ծունկ,pol'v
46,Oberschenkel::N,ազդր,riiže
47,Bein::N,ոտք,jaug
48,Körper::N,մարմին,hibj
49,Haut::N,մաշկ,nahk
50,Blut::N,արյուն,čak
51,Blut::N,արյուն,veri
52,Ader::N,երակ,son'
53,Sehne::N,ջիղ,jände
54,Sehne::N,ձգտան,jände
55,Knochen::N,ոսկոր,lu
56,Gehirn::N,խելք,aivod
57,Herz::N,սիրտ,südäin
58,Magen::N,ստամոքս,südäikoht
59,Leber::N,լյարդ,maks
60,Atem::N,շունչ,hengaiduz
61,Hunger::N,քաղց,näl'g
62,Träne::N,արտասուք,kündal'
63,Geschmack::N,համ,magu
64,Geschmack::N,բուրմունք,magu
65,Geruch::N,հոտ,haju
66,Geruch::N,բուրում,haju
67,Schlaf::N,քուն,uni
68,Traum::N,երազ,unikuva
69,Himmel::N,երկինք,taivaz
70,Sonne::N,արեւ,päiväine
71,Mond::N,լուսին,kudmaine
72,Stern::N,աստղ,tähtaz
73,Luft::N,օդ,il'm
74,Wind::N,քամի,döl
75,Wind::N,քամի,tullei
76,Welle::N,ալիք,ald
77,Welle::N,ալիք,laineh
78,Wasser::N,ջուր,vezi
79,Stein::N,քար,kivi
80,Boden::N,գետին,ma
81,Boden::N,գետին,pohj
82,Erde::N,հող,ma
83,Staub::N,փոշի,pölü
84,Rauch::N,ծուխ,savu
85,Funke::N,կայծ,kibin
86,Feuer::N,կրակ,lämoi
87,Feuer::N,հրդեհ,lämoi
88,Licht::N,լույս,vauktuz
89,Schatten::N,ստվեր,pil'vez
90,Schatten::N,ստվեր,kuvahaine
91,Wetter::N,եղանակ,sä
92,Nebel::N,մեգ,sumeg
93,Nebel::N,մառախուղ,sumeg
94,Wolke::N,ամպ,pil'v
95,Regen::N,անձրև,vihm
96,Schnee::N,ձյուն,lumi
97,Eis::N,սառույց,jä
98,Frost::N,սառնամանիք,hala
99,Frost::N,սառնամանիք,pakaine
100,Kälte::N,դող,vilu
101,Hitze::N,շոգ,räk
102,Raureif::N,ցօղեղեամ,hüde
103,Regenbogen::N,ծիածան,jumalanbembel'
104,Donner::N,որոտ,juru
105,Donner::N,որոտ,jumalanjuru
106,Strömung::N,հոսանք,joksmuz
107,Tropfen::N,կաթիլ,tilkuine
108,Schaum::N,փրփուր,vaht
109,Schmutz::N,կեղտ,redu
110,Schmutz::N,կեղտ,pačak
111,See::N,լիճ,järv
112,Sumpf::N,ճահիճ,so
113,Moor::N,ճահիճ,so
114,Wiese::N,մարգագետին,nit
115,Wald::N,անտառ,mec
116,Hügel::N,բլուր,kukaz
117,Anhöhe::N,բարձունք,kukaz
118,Berg::N,լեռ,mägi
119,Gipfel::N,գագաթ,ladv
120,Gipfel::N,կատար,ladv
121,Höhle::N,քարայր,mägionduz
122,Abhang::N,լանջ,paute
123,Abhang::N,զառիվայր,paute
124,Quelle::N,աղբյուր,lähte
125,Bach::N,վտակ,oja
126,Fluss::N,գետ,jogi
127,Ufer::N,ծովափ,rand
128,Küste::N,ափ,randišt
129,Küste::N,ծովափ,randišt
130,Festland::N,ցամաք,kuivma
131,Meer::N,ծով,meri
132,Bucht::N,հաչիւն,laht
133,Insel::N,վղզի,sar'
134,Blume::N,ծաղիկ,änik
135,Gras::N,խոտ,hein
136,Wurzel::N,արմատ,jur'
137,Baum::N,ծառ,pu
