,Concept_ID,lbe,kl
0,Auge::N,я,isi
1,Ohr::N,вичӏи,siut
2,Nase::N,май,
3,Mund::N,кьацӏ,paaq
4,Mund::N,кьацӏ,qaneq
5,Zahn::N,ккарччи,kigut
6,Zunge::N,маз,oqaq
7,Lippe::N,мурччи,qarloq
8,Wange::N,чӏав,ersaq
9,Gesicht::N,лажин,kiinaq
10,Stirn::N,ненттабакӏ,qaaq
11,Haar::N,чӏара,meqqoq
12,Schnurrbart::N,ссирссилтту,
13,Bart::N,чӏири,umik
14,Kinn::N,лунттубакӏ,talloq
15,Kiefer[Anatomie]::N,ххинчулул,alleroq
16,Kehle::N,кьакьари,malaq
17,Hals::N,ссурссу,qungaseq
18,Genick::N,махъабакӏ,pukusuk
19,Kopf::N,бакӏ,niaqoq
20,Rücken::N,ттиликӏ,qimerlut
21,Bauch::N,лякьа,naaq
22,Nabel::N,цӏумуккутӏ,qalaseq
23,Busen::N,ккукку,iviangeq
24,Brust::N,хъазам,iviangeq
25,Schulter::N,хъачӏ,ersik
26,Schulter::N,хъачӏ,assaqqoq
27,Arm::N,ка,taleq
28,Ellenbogen::N,ссюрхъ,ikusik
29,Hand::N,бартка,assak
30,Handfläche::N,хъат,itumak
31,Handfläche::N,битӏянхъ,itumak
32,Finger::N,кӏисса,inuak
33,Fingernagel::N,михь,kikiak
34,Nagel[Anatomie]::N,михь,kukik
35,Zeh::N,кӏисса,isigak
36,Fuß::N,чӏанччан,
37,Ferse::N,никъа,kimmik
38,Knie::N,ник,seeqqoq
39,Oberschenkel::N,жира,uppat
40,Oberschenkel::N,жира,quttoraq
41,Bein::N,ччан,isigak
42,Körper::N,чурх,timi
43,Haut::N,бурчу,mattak
44,Blut::N,оь,aak
45,Ader::N,тунну,taqaq
46,Sehne::N,хьхьа,ujalu
47,Sehne::N,хьхьа,ujaloq
48,Knochen::N,ттаркӏ,saanikut
49,Gehirn::N,ня,qarasaq
50,Herz::N,дакӏ,uummat
51,Herz::N,къюкӏ,uummat
52,Magen::N,лякьа,aqajaroq
53,Atem::N,ссихӏ ласаву,anerneq
54,Atem::N,ссихӏ бигьаву,anerneq
55,Hunger::N,ккаши,kaanneq
56,Träne::N,макь,qia
57,Träne::N,макь,qiak
58,Geschmack::N,тӏин,qilanaartuut
59,Geschmack::N,тӏааьн,qilanaartuut
60,Geruch::N,кьанкь,tipi
61,Geruch::N,кьанкь,tipik
62,Schlaf::N,шану,
63,Traum::N,макӏру,sinnattoq
64,Traum::N,макӏру,sinnattugaq
65,Himmel::N,ссав,qilak
66,Sonne::N,баргъ,seqineq
67,Mond::N,барз,qaammat
68,Stern::N,цӏуку,ulloriaq
69,Luft::N,гьава,silaannaq
70,Wind::N,марч,anori
71,Wind::N,марч,anorsarik
72,Welle::N,щатӏи,aalappaa
73,Wasser::N,щин,imeq
74,Stein::N,чару,ujarak
75,Boden::N,аьрщи,nateq
76,Erde::N,аьрщи,issoq
77,Staub::N,ххит,pujualanerit
78,Staub::N,ххит,pujoralanerit
79,Rauch::N,пуркӏу,iseq
80,Rauch::N,пуркӏу,pujoq
81,Funke::N,пиягь,illoorneq
82,Feuer::N,цӏу,inneq
83,Licht::N,чани,qaamaneq
84,Schatten::N,ххют,tarraq
85,Wetter::N,гьава,sila
86,Nebel::N,шархь ттурлу,pujoq
87,Wolke::N,ттурлу,nuia
88,Regen::N,гъарал,sialuk
89,Schnee::N,марххала,aput
90,Eis::N,микӏ,siku
91,Frost::N,дяркъу,issi
92,Frost::N,дяркъу,issik
93,Frost::N,замгьар,issi
94,Frost::N,замгьар,issik
