,Concept_ID,kk,da
0,Auge::N,көз,øje
1,Ohr::N,құлақ,øre
2,Nase::N,мұрын,næse
3,Mund::N,ауыз,mund
4,Zahn::N,тіс,tand
5,Zunge::N,тіл,tunge
6,Lippe::N,ерін,læbe
7,Wange::N,ұрт,kind
8,Gesicht::N,бет-аузы,ansigt
9,Stirn::N,маңдай,pande
10,Haar::N,қыл,hår
11,Schnurrbart::N,мұрт,overskæg
12,Bart::N,сақал,skæg
13,Kinn::N,иек,hage
14,Kiefer[Anatomie]::N,жақ,kæbe
15,Kehle::N,алқым,strube
16,Hals::N,мойын,hals
17,Genick::N,желке,nakke
18,Kopf::N,кәллә,hoved
19,Rücken::N,арқа,ryg
20,Bauch::N,қарын,mave
21,Nabel::N,кіндік,navle
22,Busen::N,омырау,barm
23,Brust::N,кеуде,bryst
24,Schulter::N,иық,skulder
25,Arm::N,қол,arm
26,Ellenbogen::N,шынтақ,albue
27,Hand::N,қол,hånd
28,Handfläche::N,алақан,håndflade
29,Finger::N,саусақ,finger
30,Fingernagel::N,тырнақ,fingernegl
31,Nagel[Anatomie]::N,тырнақ,negl
32,Zeh::N,тырнақ,tå
33,Zeh::N,тұяқ,tå
34,Fuß::N,аяқ-басы,fod
35,Ferse::N,өкше,hæl
36,Ferse::N,өкшелік,hæl
37,Knie::N,тізе,knæ
38,Oberschenkel::N,жамбас,lår
39,Bein::N,аяқ,ben
40,Körper::N,дене,krop
41,Körper::N,дене,legeme
42,Haut::N,тері,hud
43,Blut::N,қан,blod
44,Ader::N,көктамыр,åre
45,Ader::N,күретамыр,åre
46,Sehne::N,сіңір,sene
47,Knochen::N,жілік,ben
48,Gehirn::N,ми,hjerne
49,Herz::N,жүрек,hjerte
50,Magen::N,асқазан,mave
51,Leber::N,бауыр,lever
52,Atem::N,леп,ånde
53,Hunger::N,ашаршылық,sult
54,Träne::N,жас,tåre
55,Geschmack::N,дәм,smag
56,Geschmack::N,татым,smag
57,Geschmack::N,талғам,smag
58,Geruch::N,иіс,lugt
59,Schlaf::N,ұйқы,søvn
60,Schlaf::N,ұйықтау,søvn
61,Traum::N,түс,drøm
62,Himmel::N,аспан,himmel
63,Himmel::N,көқ,himmel
64,Himmel::N,таңдай,himmel
65,Sonne::N,күн,sol
66,Mond::N,ай,måne
67,Stern::N,жұлдыз,stjerne
68,Luft::N,әуе,luft
69,Wind::N,жел,vind
70,Welle::N,толқын,bølge
71,Wasser::N,су,vand
72,Stein::N,тас,sten
73,Boden::N,қыртыс,jord
74,Erde::N,топырақ,jord
75,Staub::N,шаң,støv
76,Rauch::N,түтін,røg
77,Funke::N,ұшқын,gnist
78,Feuer::N,алау,ild
79,Licht::N,шұғыла,lys
80,Schatten::N,көлеңке,skygge
81,Wetter::N,ауа райы,vejr
82,Nebel::N,тұман,tåge
83,Wolke::N,бұлт,sky
84,Regen::N,жаңбыр,regn
85,Schnee::N,қар,sne
86,Eis::N,мұз,is
87,Frost::N,суық,frost
88,Kälte::N,ызғар,kulde
89,Kälte::N,суықтық,kulde
90,Hitze::N,аптап,hede
91,Raureif::N,қырау,rimfrost
92,Regenbogen::N,кемпірқосақ,regnbue
93,Donner::N,күн күркіреу,torden
94,Strömung::N,ағын,strømning
95,Tropfen::N,тамшы,dråbe
96,Schaum::N,көбік,skum
97,Schmutz::N,кір,snavs
98,See::N,көл,sø
99,Sumpf::N,саз,sump
100,Moor::N,саз,mose
101,Wiese::N,шалғын,eng
102,Wald::N,орман,skov
103,Hügel::N,төбе,høj
104,Hügel::N,төбе,bakke
105,Hügel::N,белес,høj
106,Hügel::N,белес,bakke
107,Hügel::N,белес-белес,høj
108,Hügel::N,белес-белес,bakke
109,Anhöhe::N,дөң,høj
110,Anhöhe::N,дөң,bakke
111,Anhöhe::N,адыр,høj
112,Anhöhe::N,адыр,bakke
113,Anhöhe::N,қырат,høj
114,Anhöhe::N,қырат,bakke
115,Berg::N,тау,bjerg
116,Gipfel::N,төбе,top
117,Höhle::N,үңгір,hule
118,Abhang::N,бауыр,skrænt
119,Abhang::N,бауыр,skråning
120,Quelle::N,қайнар,kilde
121,Bach::N,жылға,bæk
122,Fluss::N,өзен,flod
123,Ufer::N,жиек,bred
124,Küste::N,жиегі,kyst
125,Küste::N,жағалау,kyst
126,Festland::N,құрылық,fastland
127,Meer::N,теңіз,hav
128,Bucht::N,шығанақ,bugt
129,Insel::N,арал,ø
130,Blume::N,гүл,blomst
131,Gras::N,от,græs
132,Wurzel::N,түбір,rod
133,Baum::N,ағаш,træ
134,Baum::N,дарақ,træ
135,Stamm::N,сояу,stamme
136,Stamm::N,оқпан,stamme
137,Rinde::N,қабық,bark
138,Ast::N,бұтақ,gren
139,Zweig::N,шыбық,kvist
140,Blatt::N,жапырақ,blad
141,Birke::N,қайың,birk
142,Kiefer[Baum]::N,қарағай,fyrretræ
143,Weide[Baum]::N,тал,piletræ
144,Tanne::N,шырша,gran
145,Horn::N,мүйіз,horn
146,Feder::N,қаламұш,fjer
147,Fell::N,тері,skind
148,Flügel::N,қанат,vinge
149,Klaue::N,тырнақ,klov
150,Kralle::N,аяқ,klo
151,Schwanz::N,құйрық,hale
152,Ei::N,жұмыртқа,æg
153,Nest::N,ұя,rede
154,Bau::N,жатақ,bo
155,Tier::N,айуан,dyr
156,Tier::N,жануар,dyr
157,Herde::N,пада,flok
158,Kuh::N,сиыр,ko
159,Bulle::N,өгіз,tyr
160,Pferd::N,жылқы,hest
161,Schaf::N,қой,får
162,Schwein::N,шошқа,gris
163,Hund::N,ит,hund
164,Katze::N,мысық,kat
165,Bär::N,аю,bjørn
166,Eichhörnchen::N,тиін,egern
167,Elch::N,бұғы,elg
168,Fuchs::N,түлкі,ræv
169,Hase::N,қоян,hare
170,Maus::N,қаптесер,mus
171,Wolf::N,бөрі,ulv
172,Wolf::N,қасқыр,ulv
173,Vogel::N,құс,fugl
174,Schwarm::N,топ,sværm
175,Schwarm::N,үйір,sværm
176,Huhn::N,тауық,høne
177,Huhn::N,мекиен,høne
178,Hahn::N,әтеш,hane
179,Hahn::N,қораз,hane
180,Gans::N,қаз,gås
181,Adler::N,бүркіт,ørn
182,Ente::N,үйрек,and
183,Eule::N,жапалақ,ugle
184,Kranich::N,тырна,trane
185,Krähe::N,қарға,krage
186,Kuckuck::N,көкек,gøg
187,Schwan::N,аққу,svane
188,Fisch::N,балық,fisk
189,Barsch::N,алабұға,aborre
190,Hecht::N,шортан,gedde
191,Schlange[Tier]::N,жылан,slange
192,Wurm::N,шұбалшаң,orm
193,Spinne::N,өрмекші,edderkop
194,Ameise::N,қүмырска,myre
195,Laus::N,бит,lus
196,Mücke::N,маса,myg
197,Fliege::N,шыбын,flue
198,Schmetterling::N,көбелек,sommerfugl
199,Beere::N,жидек,bær
200,Apfel::N,алма,æble
201,Pilz::N,қозықұйрық,svamp
202,Pilz::N,саңыраукулақ,svamp
203,Zwiebel::N,жуа,løg
204,Saat::N,тұқым,sæd
205,Korn::N,дән,korn
206,Heu::N,шөп,hø
207,Schale::N,қабық,skræl
208,Schale::N,қабығы,skræl
209,Grube::N,ор,grav
210,Falle::N,дұзақ,fælde
211,Falle::N,қақпан,fælde
212,Schlinge::N,ілмек,snare
213,Spur::N,із,spor
214,Asche::N,күл,aske
215,Dreck::N,былғаныш,snavs
216,Eisen::N,темір,jern
217,Gold::N,алтын,guld
218,Silber::N,күміс,sølv
219,Kohle::N,көмір,kul
220,Glas::N,шыны,glas
221,Lehm::N,балшық,ler
222,Sand::N,құм,sand
223,Mensch::N,адам,mennesge
224,Mann::N,еркек,mand
225,Mann::N,ер адам,mand
226,Frau::N,бике,kvinde
227,Frau::N,қатын,kvinde
228,Kind::N,бала,barn
229,Kind::N,перзент,barn
230,Junge::N,бала,dreng
231,Junge::N,ер бала,dreng
232,Mädchen::N,қыз,pige
233,Familie::N,жанұя,familie
234,Großvater::N,ата,bedstefar
235,Großmutter::N,әже,bedstemor
236,Großmutter::N,әжей,bedstemor
237,Eltern::N,ата-аналар,forældre
238,Vater::N,әке,far
239,Mutter::N,ана,mor
240,Sohn::N,ұл,søn
241,Tochter::N,қызым,datter
242,Bruder::N,бауырым,bror
243,Schwester::N,әпке,søster
244,Onkel::N,көке,onkel
245,Tante::N,тәте,tante
246,Ehemann::N,ер,ægtemand
247,Ehefrau::N,зайып,hustru
248,Freude::N,қуаныш,glæde
249,Freude::N,сүйініш,glæde
250,Freude::N,шат-думан,glæde
251,Freude::N,қуаныштылық,glæde
252,Gelächter::N,күлу,latter
253,Glück::N,бақыт,lykke
254,Glück::N,бақыттылық,lykke
255,Kummer::N,аза,sorg
256,Kummer::N,қайғы,sorg
257,Kummer::N,қасырет,sorg
258,Wunsch::N,мүдде,ønske
259,Lust::N,тәбет,lyst
260,Lust::N,ынтызар,lyst
261,Lust::N,құштарлық,lyst
262,Geist::N,рух,ånd
263,Gedanke::N,ой,tanke
264,Gedächtnis::N,ес,hukommelse
265,Gedächtnis::N,жады,hukommelse
266,Gedächtnis::N,ақыл-ес,hukommelse
267,Verstand::N,ақыл,forstand
268,Verstand::N,парасат,forstand
269,Sinn::N,мән,mening
270,Sinn::N,мән,betydning
271,Sinn::N,маныз,mening
272,Sinn::N,маныз,betydning
273,Sinn::N,мағына,mening
274,Sinn::N,мағына,betydning
275,Sinn::N,мән-мағына,mening
276,Sinn::N,мән-мағына,betydning
277,Grund::N,себеп,grund
278,Wahrheit::N,рас,sandhed
