,Concept_ID,de,ka
0,Auge::N,Auge,თვალი
1,Ohr::N,Ohr,ყური
2,Nase::N,Nase,ცხვირი
3,Mund::N,Mund,პირი
4,Zahn::N,Zahn,კბილი
5,Zunge::N,Zunge,ენა
6,Lippe::N,Lippe,ბაგე
7,Wange::N,Wange,ლოყა
8,Gesicht::N,Gesicht,სახე
9,Stirn::N,Stirn,შუბლი
10,Haar::N,Haar,თმა
11,Schnurrbart::N,Schnurrbart,ულვაში
12,Bart::N,Bart,წვერი
13,Kinn::N,Kinn,ნიკაპი
14,Kiefer[Anatomie]::N,Kiefer,ყბა
15,Kehle::N,Kehle,ყელი
16,Hals::N,Hals,ყელი
17,Hals::N,Hals,კისერი
18,Genick::N,Genick,კეფა
19,Kopf::N,Kopf,თავი
20,Rücken::N,Rücken,ზურგი
21,Bauch::N,Bauch,მუცელი
22,Nabel::N,Nabel,ჭიპი
23,Busen::N,Busen,ძუძუ
24,Brust::N,Brust,მკერდი
25,Schulter::N,Schulter,მხარი
26,Schulter::N,Schulter,მკლავი
27,Arm::N,Arm,ხელი
28,Ellenbogen::N,Ellenbogen,იდაყვი
29,Hand::N,Hand,ხელი
30,Handfläche::N,Handfläche,ნები
31,Handfläche::N,Handfläche,ხელისგული
32,Finger::N,Finger,თითი
33,Fingernagel::N,Fingernagel,ფრჩხილი
34,Nagel[Anatomie]::N,Nagel,ფრჩხილი
35,Zeh::N,Zeh,ფეხის თითი
36,Fuß::N,Fuß,ტერფი
37,Fuß::N,Fuß,ფეხისგული
38,Ferse::N,Ferse,ქუსლი
39,Knie::N,Knie,მუხლი
40,Oberschenkel::N,Oberschenkel,ბარძაყი
41,Bein::N,Bein,ფეხი
42,Körper::N,Körper,ტანი
43,Körper::N,Körper,სხეული
44,Haut::N,Haut,კანი
45,Blut::N,Blut,სისხლი
46,Ader::N,Ader,ძარღვი
47,Sehne::N,Sehne,მყესი
48,Knochen::N,Knochen,ძვალი
49,Gehirn::N,Gehirn,ტვინი
50,Herz::N,Herz,გული
51,Magen::N,Magen,კუჭი
52,Leber::N,Leber,ღვიძლი
53,Atem::N,Atem,სუნთქვა
54,Hunger::N,Hunger,შიმშილი
55,Träne::N,Träne,ცრემლი
56,Geschmack::N,Geschmack,გემო
57,Geruch::N,Geruch,სუნი
58,Schlaf::N,Schlaf,ძილი
59,Traum::N,Traum,სიზმარი
60,Himmel::N,Himmel,ცა
61,Sonne::N,Sonne,მზე
62,Mond::N,Mond,მთვარე
63,Stern::N,Stern,ვარსკვლავი
64,Luft::N,Luft,ჰაერი
65,Wind::N,Wind,ქარი
66,Welle::N,Welle,ტალღა
67,Wasser::N,Wasser,წყალი
68,Stein::N,Stein,ქვა
69,Boden::N,Boden,მიწა
70,Erde::N,Erde,ნიადაგი
71,Staub::N,Staub,მტვერი
72,Rauch::N,Rauch,ბოლი
73,Rauch::N,Rauch,კვამლი
74,Funke::N,Funke,ნაკვესი
75,Feuer::N,Feuer,ცეცხლი
76,Licht::N,Licht,შუქი
77,Licht::N,Licht,სინათლე
78,Schatten::N,Schatten,ლანდი
79,Schatten::N,Schatten,ჩრდილი
80,Wetter::N,Wetter,ამინდი
81,Nebel::N,Nebel,ნისლი
82,Wolke::N,Wolke,ღრუბელი
83,Regen::N,Regen,წვიმა
84,Schnee::N,Schnee,თოვლი
85,Eis::N,Eis,თოში
86,Eis::N,Eis,ყინული
87,Frost::N,Frost,ყინვა
88,Kälte::N,Kälte,სიცივე
89,Hitze::N,Hitze,სიცხე
90,Raureif::N,Raureif,ჭირხლი
91,Raureif::N,Raureif,თრთვილი
92,Regenbogen::N,Regenbogen,ცისარტყელა
93,Donner::N,Donner,ქუხილი
94,Strömung::N,Strömung,დინება
95,Tropfen::N,Tropfen,წვეთი
96,Schaum::N,Schaum,ქაფი
97,Schaum::N,Schaum,დორბლი
98,Schmutz::N,Schmutz,ჭუჭყი
99,Schmutz::N,Schmutz,ტალახი
100,See::N,See,ტბა
101,Sumpf::N,Sumpf,ჭაობი
102,Moor::N,Moor,ტორფნარი
103,Wiese::N,Wiese,ველი
104,Wiese::N,Wiese,მდელო
105,Wald::N,Wald,ტყე
106,Hügel::N,Hügel,ბორცვი
107,Anhöhe::N,Anhöhe,მაღლობი
108,Berg::N,Berg,მთა
109,Gipfel::N,Gipfel,მწვერვალი
110,Höhle::N,Höhle,მღვიმე
111,Höhle::N,Höhle,გამოქვებული
112,Abhang::N,Abhang,ფერდობი
113,Quelle::N,Quelle,წყარო
114,Quelle::N,Quelle,სათავე
115,Bach::N,Bach,რუ
116,Bach::N,Bach,ნაკადული
117,Fluss::N,Fluss,მდინარე
118,Ufer::N,Ufer,კიდე
119,Ufer::N,Ufer,ნაპირი
120,Küste::N,Küste,ნაპირი
121,Festland::N,Festland,ხმელეთი
122,Meer::N,Meer,ზღვა
123,Bucht::N,Bucht,ყურე
124,Insel::N,Insel,კუნძული
125,Blume::N,Blume,ყვავილი
126,Gras::N,Gras,ბალახი
127,Wurzel::N,Wurzel,ძირი
128,Wurzel::N,Wurzel,ფესვი
129,Baum::N,Baum,ხე
130,Stamm::N,Stamm,ტანი
131,Rinde::N,Rinde,ქერქი
132,Ast::N,Ast,ტოტი
133,Zweig::N,Zweig,შტო
134,Blatt::N,Blatt,ფოთოლი
135,Birke::N,Birke,არყი
136,Kiefer[Baum]::N,Kiefer,ფიჭვი
137,Weide[Baum]::N,Weide,ტირიფი
138,Tanne::N,Tanne,ნაძვი
139,Horn::N,Horn,რქა
140,Feder::N,Feder,ფრთა
141,Fell::N,Fell,ტყავი
142,Flügel::N,Flügel,ფრთა
143,Klaue::N,Klaue,კლანჭი
144,Kralle::N,Kralle,ტორი
145,Schwanz::N,Schwanz,კუდი
146,Ei::N,Ei,კვერცხი
147,Nest::N,Nest,ბუდე
148,Bau::N,Bau,სორო
149,Tier::N,Tier,ნადირი
150,Tier::N,Tier,ცხოველი
151,Herde::N,Herde,ფარა
152,Kuh::N,Kuh,ფური
153,Kuh::N,Kuh,ძროხა
154,Bulle::N,Bulle,ხარი
155,Pferd::N,Pferd,რაში
156,Pferd::N,Pferd,ცხენი
157,Schaf::N,Schaf,ცხვარი
158,Schwein::N,Schwein,ღორი
159,Hund::N,Hund,ძაღლი
160,Katze::N,Katze,კატა
161,Bär::N,Bär,დათვი
162,Eichhörnchen::N,Eichhörnchen,ციყვი
163,Elch::N,Elch,ცხენ-ირემი
164,Fuchs::N,Fuchs,მელა
165,Hase::N,Hase,კურდღელი
166,Maus::N,Maus,თაგვი
167,Wolf::N,Wolf,მგელი
168,Vogel::N,Vogel,ჩიტი
169,Vogel::N,Vogel,ფრინველი
170,Schwarm::N,Schwarm,გუნდი
171,Huhn::N,Huhn,დედალი
172,Hahn::N,Hahn,მამალი
173,Gans::N,Gans,ბატი
174,Adler::N,Adler,არწივი
175,Ente::N,Ente,იხვი
176,Eule::N,Eule,ბუ
177,Kranich::N,Kranich,წერო
178,Krähe::N,Krähe,ყვავი
179,Kuckuck::N,Kuckuck,გუგული
180,Schwan::N,Schwan,გედი
181,Fisch::N,Fisch,თევზი
182,Barsch::N,Barsch,ქორჭილა
183,Hecht::N,Hecht,ქარიყლაპია
184,Schlange[Tier]::N,Schlange,გველი
185,Wurm::N,Wurm,ჭია
186,Spinne::N,Spinne,ობობა
187,Ameise::N,Ameise,ჭიანჭველა
188,Laus::N,Laus,ტილი
189,Laus::N,Laus,მკბენარი
190,Mücke::N,Mücke,კოღო
191,Fliege::N,Fliege,ბუზი
192,Schmetterling::N,Schmetterling,პეპელა
193,Beere::N,Beere,კენკრა
194,Apfel::N,Apfel,ვაშლი
195,Pilz::N,Pilz,სოკო
196,Zwiebel::N,Zwiebel,ხახვი
197,Saat::N,Saat,თესლი
198,Korn::N,Korn,მარცვალი
199,Heu::N,Heu,თივა
200,Schale::N,Schale,ჩენჩო
201,Grube::N,Grube,ორმო
202,Falle::N,Falle,ხაფანგი
203,Schlinge::N,Schlinge,მახე
204,Spur::N,Spur,კვალი
205,Asche::N,Asche,ფერფლი
206,Dreck::N,Dreck,ტალახი
207,Dreck::N,Dreck,სიბინძურე
208,Eisen::N,Eisen,რკინა
209,Gold::N,Gold,ოქრო
210,Silber::N,Silber,ვერცხლი
211,Kohle::N,Kohle,ნახშირი
212,Glas::N,Glas,მინა
213,Lehm::N,Lehm,თიხა
214,Sand::N,Sand,ქვიშა
215,Mensch::N,Mensch,ადამიანი
216,Mann::N,Mann,კაცი
217,Frau::N,Frau,ქალი
218,Kind::N,Kind,ბავშვი
219,Junge::N,Junge,ვაჟი
220,Mädchen::N,Mädchen,გოგო
221,Familie::N,Familie,ოჯახი
222,Großvater::N,Großvater,პაპა
223,Großvater::N,Großvater,ბაბუა
224,Großmutter::N,Großmutter,ბებია
225,Großmutter::N,Großmutter,დიდედა
226,Eltern::N,Eltern,მშობლები
227,Vater::N,Vater,მამა
228,Mutter::N,Mutter,დედა
229,Sohn::N,Sohn,ვაჟიშვილი
230,Tochter::N,Tochter,ქალიშვილი
231,Bruder::N,Bruder,ძმა
232,Schwester::N,Schwester,და
233,Onkel::N,Onkel,ბიძა
234,Tante::N,Tante,დეიდა
235,Tante::N,Tante,მამიდა
236,Ehemann::N,Ehemann,ქმარი
237,Ehefrau::N,Ehefrau,ცოლი
238,Freude::N,Freude,სიხარული
239,Gelächter::N,Gelächter,სიცილი
240,Glück::N,Glück,ბედნიერება
241,Kummer::N,Kummer,მწუხარება
242,Wunsch::N,Wunsch,წადილი
243,Wunsch::N,Wunsch,სურვილი
244,Lust::N,Lust,წადილი
245,Geist::N,Geist,სული
246,Gedanke::N,Gedanke,ფიქრი
247,Gedächtnis::N,Gedächtnis,მეხსიერება
248,Verstand::N,Verstand,ჭკუა
249,Verstand::N,Verstand,გონება
250,Sinn::N,Sinn,მნიშვნელობა
251,Grund::N,Grund,მიზეზი
252,Wahrheit::N,Wahrheit,სიმართლე
253,Wahrheit::N,Wahrheit,ჭეშმარიტება
