,Concept_ID,cs,el
0,Auge::N,oko,μάτι
1,Auge::N,oko,οφθαλμός
2,Ohr::N,ucho,αυτί
3,Nase::N,nos,μύτη
4,Mund::N,pusa,στόμα
5,Zahn::N,zub,δόντι
6,Zunge::N,jazyk,γλώσσα
7,Lippe::N,ret,χείλος
8,Wange::N,tvář,παρειά
9,Wange::N,tvář,μάγουλο
10,Gesicht::N,obličej,πρόσωπο
11,Stirn::N,čelo,μέτωπο
12,Haar::N,vlas,μαλλιά
13,Haar::N,vlasy,μαλλιά
14,Schnurrbart::N,kníry,μουστάκι
15,Bart::N,vousy,γένια
16,Kinn::N,brada,πιγούνι
17,Kiefer[Anatomie]::N,čelist,σαγόνι
18,Kehle::N,hrdlo,λαρύγγι
19,Hals::N,krk,λαιμός
20,Genick::N,týl,σβέρκος
21,Kopf::N,hlava,κεφάλι
22,Rücken::N,záda,ράχη
23,Rücken::N,hřbet,ράχη
24,Bauch::N,břicho,κοιλιά
25,Nabel::N,pupek,αφαλός
26,Busen::N,ňadra,στήθος
27,Brust::N,prsa,στήθος
28,Schulter::N,plece,ώμος
29,Schulter::N,rameno,ώμος
30,Arm::N,ruka,χέρι
31,Arm::N,ruka,μπράτςο
32,Ellenbogen::N,loket,αγκώνας
33,Hand::N,ruka,χέρι
34,Handfläche::N,dlaň,παλάμη
35,Finger::N,prst,δάχτυλο
36,Fingernagel::N,nehet,νύχι
37,Nagel[Anatomie]::N,nehet,νύχι
38,Zeh::N,prst u nohy,δάχτυλο του ποδιού
39,Fuß::N,noha,πόδι
40,Ferse::N,pata,φτέρνα
41,Knie::N,koleno,γόνατο
42,Oberschenkel::N,stehno,μηρός
43,Bein::N,noha,πόδι
44,Körper::N,tělo,σώμα
45,Körper::N,tělo,κορμί
46,Haut::N,kůže,πετσί
47,Blut::N,krev,αίμα
48,Ader::N,céva,φλέβα
49,Sehne::N,šlacha,νεύρο
50,Sehne::N,šlacha,τένοντας
51,Knochen::N,kost,οστό
52,Knochen::N,kost,κόκκαλο
53,Gehirn::N,mozek,μυαλό
54,Gehirn::N,mozek,εγκέφαλος
55,Herz::N,srdce,καρδιά
56,Magen::N,žaludek,στομάχι
57,Leber::N,játra,ήπαρ
58,Leber::N,játra,συκωτί
59,Atem::N,dech,αναπνοή
60,Hunger::N,hlad,πείνα
61,Träne::N,slza,δάκρυ
62,Geschmack::N,vkus,γεύση
63,Geruch::N,vůně,οσμή
64,Geruch::N,vůně,μυρωδία
65,Geruch::N,zápach,οσμή
66,Geruch::N,zápach,μυρωδία
67,Schlaf::N,spánek,ύπνος
68,Traum::N,sen,όνειρο
69,Himmel::N,nebe,ουρανός
70,Sonne::N,slunce,ήλιος
71,Mond::N,měsíc,σελήνη
72,Mond::N,měsíc,φεγγάρι
73,Stern::N,hvězda,άστρο
74,Stern::N,hvězda,αστέρι
75,Luft::N,vzduch,αέρας
76,Wind::N,vítr,αέρας
77,Wind::N,vítr,άνεμος
78,Welle::N,vlna,κύμα
79,Wasser::N,voda,νερό
80,Stein::N,kámen,πέτρα
81,Boden::N,půda,χώμα
82,Erde::N,země,γη
83,Staub::N,prach,σκόνη
84,Rauch::N,dým,καπνός
85,Rauch::N,kouř,καπνός
86,Funke::N,jiskra,σπίθα
87,Funke::N,jiskra,σπινθήρας
88,Feuer::N,oheň,φωτιά
89,Licht::N,světlo,φως
90,Schatten::N,stín,σκιά
91,Schatten::N,stín,ίσκιος
92,Wetter::N,počasí,καιρός
93,Nebel::N,mlha,ομίχλη
94,Wolke::N,mrak,σύννεφο
95,Wolke::N,oblak,σύννεφο
96,Regen::N,déšť,βροχή
97,Schnee::N,sníh,χιόνι
98,Eis::N,led,πάγος
99,Frost::N,mráz,παγωνία
100,Kälte::N,chlad,κρύο
101,Kälte::N,chlad,ψύχος
102,Hitze::N,horko,ζέστη
103,Raureif::N,jinovatka,πάχνη
104,Regenbogen::N,duha,ουράνιο τόξο
105,Donner::N,hrom,βροντή
106,Strömung::N,proudění,ρεύμα
107,Tropfen::N,kapka,στάλα
108,Schaum::N,pěna,αφρός
109,Schmutz::N,špína,βρωμιά
110,See::N,jezero,λίμνη
111,Sumpf::N,močál,βάλτος
112,Sumpf::N,bažina,βάλτος
113,Moor::N,bažina,έλος
114,Moor::N,slatina,έλος
115,Wiese::N,louka,λιβάδι
116,Wald::N,les,δάσος
117,Hügel::N,kopec,λόφος
118,Anhöhe::N,pahorek,ύψωμα
119,Berg::N,hora,όρος
120,Berg::N,hora,βουνό
121,Gipfel::N,vrchol,κορυφή
122,Höhle::N,jeskyně,σπηλιά
123,Abhang::N,svah,πλαγιά
124,Abhang::N,stráň,πλαγιά
125,Quelle::N,pramen,πηγή
126,Quelle::N,pramen,βρύση
127,Bach::N,potok,ρυάκι
128,Fluss::N,řeka,ποτάμι
129,Fluss::N,řeka,ποταμός
130,Ufer::N,břeh,όχθη
131,Küste::N,pobřeží,ακτή
132,Küste::N,pobřeží,ακρογιαλιά
133,Festland::N,souš,στεριά
134,Festland::N,pevnina,στεριά
135,Meer::N,moře,θάλασσα
136,Bucht::N,záliv,κόλπος
137,Bucht::N,zátoka,κόλπος
138,Insel::N,ostrov,νησί
139,Insel::N,ostrov,νήσος
140,Blume::N,květina,άνθος
141,Blume::N,květina,λουλούδι
142,Gras::N,tráva,χόρτο
143,Gras::N,tráva,χορτάρι
144,Wurzel::N,kořen,ρίζα
145,Baum::N,strom,δέντρο
146,Stamm::N,kmen,κορμός
147,Rinde::N,kůra,φλούδα
148,Ast::N,větev,κλαδί
149,Zweig::N,větev,κλαδί
150,Zweig::N,větev,κλάδος
151,Blatt::N,lupen,φύλλο
152,Birke::N,bříza,σημύδα
153,Kiefer[Baum]::N,sosna,πεύκο
154,Kiefer[Baum]::N,borovice,πεύκο
155,Weide[Baum]::N,vrba,ιτιά
156,Tanne::N,jedle,έλατο
157,Horn::N,roh,κέρας
158,Horn::N,roh,κέρατο
159,Feder::N,pero,φτερό
160,Fell::N,srst,δέρμα
161,Fell::N,srst,τομάρι
162,Flügel::N,křídlo,πτερύγιο
163,Klaue::N,dráp,κουλό
