,Concept_ID,mn,kl
0,Auge::N,нүд,isi
1,Ohr::N,чих,siut
2,Nase::N,хамар,
3,Mund::N,ам,paaq
4,Mund::N,ам,qaneq
5,Zahn::N,шүд,kigut
6,Zunge::N,хэл,oqaq
7,Lippe::N,уруул,qarloq
8,Wange::N,хацар,ersaq
9,Gesicht::N,царай,kiinaq
10,Gesicht::N,нүүр,kiinaq
11,Stirn::N,дух,qaaq
12,Haar::N,үс,meqqoq
13,Schnurrbart::N,дээд сахал,
14,Schnurrbart::N,живэр сахал,
15,Bart::N,сахал,umik
16,Kinn::N,эрүү,talloq
17,Kiefer[Anatomie]::N,эрүү,alleroq
18,Kehle::N,хоолой,malaq
19,Hals::N,хүзүү,qungaseq
20,Genick::N,шил,pukusuk
21,Genick::N,хүзүү,pukusuk
22,Kopf::N,толгой,niaqoq
23,Rücken::N,ар,qimerlut
24,Rücken::N,нуруу,qimerlut
25,Bauch::N,хэвлий,naaq
26,Bauch::N,гэдэс,naaq
27,Nabel::N,хүйс,qalaseq
28,Busen::N,хөх,iviangeq
29,Brust::N,цээж,iviangeq
30,Schulter::N,мөр,ersik
31,Schulter::N,мөр,assaqqoq
32,Schulter::N,бугалга,ersik
33,Schulter::N,бугалга,assaqqoq
34,Arm::N,гар,taleq
35,Ellenbogen::N,тохой,ikusik
36,Hand::N,гар,assak
37,Hand::N,алга,assak
38,Handfläche::N,алга,itumak
39,Finger::N,хуруу,inuak
40,Fingernagel::N,хурууны хумс,kikiak
41,Nagel[Anatomie]::N,хумс,kukik
42,Zeh::N,хуруу,isigak
43,Fuß::N,хөл,
44,Ferse::N,өсгий,kimmik
45,Knie::N,өвдөг,seeqqoq
46,Oberschenkel::N,гуя,uppat
47,Oberschenkel::N,гуя,quttoraq
48,Bein::N,хөл,isigak
49,Körper::N,бие,timi
50,Haut::N,арьс,mattak
51,Blut::N,цус,aak
52,Ader::N,судас,taqaq
53,Sehne::N,бүлх,ujalu
54,Sehne::N,бүлх,ujaloq
55,Sehne::N,шандас,ujalu
56,Sehne::N,шандас,ujaloq
57,Knochen::N,яс,saanikut
58,Gehirn::N,тархи,qarasaq
59,Herz::N,зүрх,uummat
60,Magen::N,ходоод,aqajaroq
61,Leber::N,элэг,tinguk
62,Atem::N,амьсгаа,anerneq
63,Hunger::N,өлсгөлөн,kaanneq
64,Träne::N,нулимс,qia
65,Träne::N,нулимс,qiak
66,Geschmack::N,амт,qilanaartuut
67,Geruch::N,үнэр,tipi
68,Geruch::N,үнэр,tipik
69,Schlaf::N,нойр,
70,Traum::N,зүүд,sinnattoq
71,Traum::N,зүүд,sinnattugaq
72,Himmel::N,тэнгэр,qilak
73,Himmel::N,огторгуй,qilak
74,Sonne::N,нар,seqineq
75,Mond::N,сар,qaammat
76,Stern::N,од,ulloriaq
77,Luft::N,агаар,silaannaq
78,Wind::N,салхи,anori
79,Wind::N,салхи,anorsarik
80,Welle::N,долгио,aalappaa
81,Welle::N,давалгаа,aalappaa
82,Wasser::N,ус,imeq
83,Stein::N,чулуу,ujarak
84,Boden::N,хөрс,nateq
85,Erde::N,газар,issoq
86,Erde::N,шороо,issoq
87,Staub::N,тоос,pujualanerit
88,Staub::N,тоос,pujoralanerit
89,Rauch::N,утаа,iseq
90,Rauch::N,утаа,pujoq
91,Funke::N,оч,illoorneq
92,Feuer::N,гал,inneq
93,Licht::N,гэрэл,qaamaneq
94,Licht::N,гэгээ,qaamaneq
95,Schatten::N,сүүдэр,tarraq
96,Wetter::N,тэнгэр,sila
97,Wetter::N,цаг уур,sila
98,Nebel::N,будан,pujoq
99,Wolke::N,үүл,nuia
100,Regen::N,бороо,sialuk
101,Schnee::N,цас,aput
102,Eis::N,мөс,siku
103,Frost::N,хүйт,issi
104,Frost::N,хүйт,issik
105,Kälte::N,хүйт,issi
106,Hitze::N,халуун,kianneq
107,Hitze::N,халуун,kiassuseq
108,Raureif::N,цан,kaneq
109,Raureif::N,хяруу,kaneq
110,Regenbogen::N,солонго,neriusaaq
111,Donner::N,тэнгэрийн дуу,kalleq
112,Strömung::N,урсгал,
113,Tropfen::N,дусал,kuseriarneq
114,Schaum::N,хөөс,qapuk
115,Schmutz::N,хир,minguk
116,Schmutz::N,шавхай,minguk
117,See::N,нуур,taseq
118,Sumpf::N,намаг,maqulluk
119,Sumpf::N,балчиг,maqulluk
120,Moor::N,хүлрийн намаг,
121,Wiese::N,нуга,masarsuk
122,Wald::N,ой,
123,Hügel::N,болдог,qattuneq
124,Hügel::N,болдог,majuariaq
125,Hügel::N,болдог,majorajaaq
126,Hügel::N,болдог,qaqqannguaq
127,Anhöhe::N,гүвээ,
128,Berg::N,уул,qaqqaq
129,Gipfel::N,орой,
130,Gipfel::N,оргил,
131,Höhle::N,агуй,qaarusuk
132,Abhang::N,хүр,ippik
