,Concept_ID,no,ady
0,Auge::N,øye,нэ
1,Ohr::N,øre,тхьакӏу́м
2,Nase::N,nese,пэ
3,Mund::N,munn,жэ
4,Zahn::N,tann,цэ
5,Zunge::N,tunge,бзэгу
6,Lippe::N,leppe,ӏупшӏэ́
7,Wange::N,kinn,нэкӏу́шъу
8,Gesicht::N,fjes,нэ́гу
9,Gesicht::N,ansikt,нэ́гу
10,Stirn::N,panne,натӏэ́
11,Haar::N,hår,шъхьацы́
12,Schnurrbart::N,bart,
13,Bart::N,skjegg,жакӏэ́
14,Kinn::N,hake,жэкӏэпэпкъ
15,Kiefer[Anatomie]::N,kjeve,жэпкъы́
16,Kehle::N,strupe,чый
17,Hals::N,hals,пшъэ
18,Genick::N,nakke,шъхьэпхэтыку
19,Kopf::N,hode,шъхьэ́
20,Rücken::N,rygg,кӏыбы́
21,Bauch::N,buk,ныбэ́
22,Bauch::N,mage,ныбэ́
23,Nabel::N,navle,
24,Busen::N,barm,бгъэ́
25,Brust::N,bryst,бгъэ́
26,Schulter::N,skulder,блыпкъ
27,Arm::N,arm,ӏэ
28,Ellenbogen::N,albue,ӏэнтэ́гъу
29,Hand::N,hånd,ӏэтхьэцу
30,Handfläche::N,håndflate,ӏэ́гу
31,Finger::N,finger,ӏэхъуа́мб
32,Fingernagel::N,fingernegl,ӏэбжъа́н
33,Nagel[Anatomie]::N,negl,ӏэбжъа́н
34,Zeh::N,tå,ӏэхъуа́мб
35,Fuß::N,fot,лъэгу
36,Ferse::N,hæl,лъэдакъэ
37,Knie::N,kne,лъагуа́ндж
38,Oberschenkel::N,lår,ко
39,Bein::N,bein,лъакъо́
40,Körper::N,kropp,пкъышъол
41,Körper::N,legeme,пкъышъол
42,Haut::N,hud,кӏы́шъу
43,Haut::N,skinn,кӏы́шъу
44,Blut::N,blod,лъы
45,Ader::N,åre,льытф
46,Sehne::N,sene,фэ
47,Knochen::N,bein,къупшъхьэ́
48,Knochen::N,knokkel,къупшъхьэ́
49,Gehirn::N,hjerne,куцӏы
50,Herz::N,hjerte,гу
51,Magen::N,mage,мышкӏу
52,Leber::N,lever,шӏу
53,Atem::N,pust,къэщэныр
54,Hunger::N,sult,гъаблэ́
55,Träne::N,tåre,нэпсы
56,Geschmack::N,smak,ӏэшӏугъа́кӏ
57,Geruch::N,lukt,мэ
58,Schlaf::N,søvn,пчыхьы́пӏ
59,Traum::N,drøm,пчыхьы́пӏ
60,Himmel::N,himmel,уашъо́
61,Sonne::N,sol,тыгъэ
62,Mond::N,måne,мазэ
63,Stern::N,stjerne,жъуагъо́
64,Luft::N,luft,жьы
65,Wind::N,vind,жьыбгъэ́
66,Welle::N,bølge,ор
67,Welle::N,bølge,оры
68,Wasser::N,vann,псы
69,Stein::N,stein,мыжъо́
70,Boden::N,bakke,чӏ́ыгу
71,Erde::N,jord,чӏ́ыгу
72,Staub::N,støv,сап
73,Rauch::N,røyk,ӏугъо́
74,Funke::N,gnist,мэшӏуа́ч
75,Feuer::N,ild,машӏо́
76,Licht::N,lys,нэфы
77,Licht::N,lys,нэфын
78,Schatten::N,skygge,жьау́
79,Schatten::N,skygge,ныбжьыкъу
80,Wetter::N,vær,
81,Nebel::N,tåke,пща́гъу
82,Wolke::N,sky,ошъуапщэ
83,Regen::N,regn,ощхы
84,Schnee::N,snø,осы́
85,Eis::N,is,мылы
86,Frost::N,frost,
87,Kälte::N,kulde,чъыӏэ́
88,Hitze::N,hete,фэба́е
89,Raureif::N,rimfrost,
90,Regenbogen::N,regnbue, лэгъупэкъо́пс
91,Donner::N,torden,шыблэ́
92,Strömung::N,strømning,ток
93,Tropfen::N,dråpe,ткӏопс
94,Tropfen::N,dråpe,гъуаткӏу
95,Schaum::N,skum,тхъурбэ
96,Schmutz::N,søl,псынжъы
97,Schmutz::N,skitt,псынжъы
98,See::N,sjø,хыку́м
99,See::N,sjø,псыхъура́й
100,Sumpf::N,sump,орыжъ
101,Sumpf::N,myrlende,орыжъ
