,Concept_ID,he,pt
0,Auge::N,עין,olho
1,Ohr::N,אזן,orelha
2,Nase::N,אף,nariz
3,Nase::N,חטם,nariz
4,Mund::N,פה,boca
5,Zahn::N,שן,dente
6,Zunge::N,לשון,língua
7,Lippe::N,שפה,lábio
8,Wange::N,לחי,face
9,Gesicht::N,פנים,cara
10,Gesicht::N,פנים,rosto
11,Stirn::N,מצח,testa
12,Haar::N,שערה,cabelo
13,Schnurrbart::N,שפם,bigode
14,Bart::N,זקן,barba
15,Kinn::N,סנטר,queixo
16,Kiefer[Anatomie]::N,לסת,maxila
17,Kiefer[Anatomie]::N,לסת,mandíbula
18,Kehle::N,גרון,garganta
19,Hals::N,צואר,colo
20,Hals::N,צואר,pescoço
21,Genick::N,ערף,nuca
22,Kopf::N,ראש,cabeça
23,Rücken::N,גב,dorso
24,Rücken::N,גב,costas
25,Bauch::N,בטן,ventre
26,Bauch::N,בטן,barriga
27,Nabel::N,טבור,umbigo
28,Busen::N,שד,seio
29,Brust::N,חזה,peito
30,Schulter::N,כתף,ombro
31,Arm::N,זרוע,braço
32,Ellenbogen::N,מרפק,cotovelo
33,Hand::N,יד,mão
34,Handfläche::N,כף יד,palma
35,Handfläche::N,כף יד,palma da mão
36,Finger::N,אצבע,dedo
37,Fingernagel::N,צפרן,unha
38,Nagel[Anatomie]::N,צפרן,unha
39,Zeh::N,אצבע,dedo do pé
40,Fuß::N,רגל,pé
41,Ferse::N,עקב,calcanhar
42,Knie::N,ברך,joelho
43,Oberschenkel::N,ירך,coxa
44,Bein::N,רגל,perna
45,Körper::N,גוף,corpo
46,Haut::N,עור,pele
47,Blut::N,דם,sangue
48,Ader::N,וריד,veia
49,Sehne::N,גיד,tendão
50,Knochen::N,עצם,osso
51,Gehirn::N,מוח,cérebro
52,Herz::N,לב,coração
53,Magen::N,קבה,estômago
54,Leber::N,כבד,fígado
55,Atem::N,נשימה,fôlego
56,Hunger::N,רעב,fome
57,Träne::N,דמעה,lágrima
58,Geschmack::N,טעם,gosto
59,Geruch::N,ריח,odor
60,Geruch::N,ריח,cheiro
61,Schlaf::N,שנה,sono
62,Traum::N,חלום,sonho
63,Himmel::N,שמים,céu
64,Sonne::N,שמש,sol
65,Mond::N,ירח,lua
66,Stern::N,כוכב,estrela
67,Luft::N,אויר,ar
68,Wind::N,רוח,vento
69,Welle::N,גל,onda
70,Wasser::N,מים,água
71,Stein::N,אבן,pedra
72,Boden::N,קרקע,solo
73,Erde::N,אדמה,terra
74,Staub::N,אבק,pó
75,Rauch::N,עשן,fumo
76,Funke::N,ניצוץ,faísca
77,Funke::N,ניצוץ,centelha
78,Feuer::N,אש,fogo
79,Licht::N,אור,luz
80,Schatten::N,צל,sombra
81,Wetter::N,מזג אויר,tempo
82,Nebel::N,ערפל,nevoeiro
83,Wolke::N,ענן,nuvem
84,Regen::N,גשם,chuva
85,Schnee::N,שלג,neve
86,Eis::N,קרח,gelo
87,Frost::N,צנה,gelo
88,Frost::N,צנה,geada
89,Kälte::N,קר,frio
90,Hitze::N,חם,ardor
91,Raureif::N,כפור,geada
92,Regenbogen::N,קשת,arco-iris
93,Donner::N,רעם,trovão
94,Strömung::N,זרימה,corrente
95,Tropfen::N,טפה,gota
96,Schaum::N,קצף,espuma
97,Schmutz::N,לכלוך,sujidade
98,Schmutz::N,לכלוך,imundície
99,See::N,אגם,lago
100,Sumpf::N,בצה,charco
101,Sumpf::N,בצה,pântano
102,Moor::N,בצה,pântano
103,Wiese::N,מרעה,prado
104,Wald::N,יער,bosque
105,Wald::N,יער,floresta
106,Hügel::N,תל,colina
107,Anhöhe::N,מעלה,alto
108,Anhöhe::N,מעלה,outeiro
109,Berg::N,הר,monte
110,Berg::N,הר,montanha
111,Gipfel::N,פסגה,pico
112,Höhle::N,מערה,caverna
113,Abhang::N,מדרון,encosta
114,Abhang::N,שפוע,encosta
115,Quelle::N,מעין,fonte
116,Bach::N,נחל,regato
117,Bach::N,נחל,ribeiro
118,Fluss::N,נהר,rio
119,Ufer::N,גדה,beira
120,Küste::N,חוף,costa
121,Festland::N,יבשה,terra firme
122,Meer::N,ים,mar
123,Bucht::N,מפרץ,baía
124,Insel::N,אי,ilha
125,Blume::N,פרח,flor
126,Gras::N,דשא,erva
127,Wurzel::N,שרש,raiz
128,Baum::N,עץ,árvore
129,Stamm::N,גזע,tronco
130,Rinde::N,קלפת עץ,casca
131,Ast::N,ענף,ramo
132,Zweig::N,ענף,galho
133,Blatt::N,עלה,folha
134,Birke::N,שדר,bétula
135,Kiefer[Baum]::N,ארן,pinheiro
136,Weide[Baum]::N,ערבה,salgueiro
137,Tanne::N,אשוח,abeto
138,Horn::N,קרן,corno
139,Horn::N,קרן,chifre
140,Feder::N,נוצה,pena
141,Fell::N,פרוה,pele
142,Flügel::N,כנף,asa
143,Klaue::N,טלף,pata
144,Kralle::N,טפר,unha
145,Kralle::N,טפר,garra
146,Schwanz::N,זנב,rabo
147,Schwanz::N,זנב,cauda
148,Ei::N,ביצה,ovo
149,Nest::N,קן,ninho
150,Bau::N,מחלה,toca
151,Bau::N,מחלה,covil
152,Tier::N,חיה,animal
153,Herde::N,עדר,rebanho
154,Kuh::N,פרה,vaca
155,Bulle::N,פר,touro
156,Pferd::N,סוס,cavalo
157,Schaf::N,כבשה,ovelha
158,Schwein::N,חזיר,porco
159,Hund::N,כלב,cão
160,Katze::N,חתול,gata
161,Bär::N,דב,urso
162,Eichhörnchen::N,סנאי,esquilo
163,Elch::N,דישון,alce
164,Fuchs::N,שועל,raposa
165,Hase::N,ארנב,lebre
166,Maus::N,עכבר,rato
167,Wolf::N,זאב,lobo
168,Vogel::N,צפור,ave
169,Vogel::N,צפור,pássaro
170,Schwarm::N,נחיל,bando
171,Schwarm::N,נחיל,enxame
172,Schwarm::N,להקה,bando
173,Schwarm::N,להקה,enxame
174,Huhn::N,תרנגלת,galinha
175,Hahn::N,תרנגול,galo
176,Gans::N,אוז,ganso
177,Adler::N,עיט,águia
178,Ente::N,ברוז,pata
179,Eule::N,ינשוף,mocho
180,Eule::N,ינשוף,coruja
181,Kranich::N,עגור,grou
182,Kranich::N,כרוכיה,grou
183,Krähe::N,עורב,gralha
184,Kuckuck::N,קוקיה,cuco
185,Schwan::N,ברבור,cisne
186,Fisch::N,דג,peixe
187,Barsch::N,אוקונוס,perca
188,Hecht::N,זאב הים,lúcio
189,Schlange[Tier]::N,נחש,serpente
190,Wurm::N,תולעת,verme
191,Spinne::N,עכביש,aranha
192,Ameise::N,נמלה,formiga
193,Laus::N,כנה,piolho
194,Mücke::N,יתוש,mosquito
195,Fliege::N,זבוב,mosca
196,Schmetterling::N,פרפר,borboleta
197,Beere::N,ענבה,bago
198,Apfel::N,תפוח,maçã
199,Pilz::N,פטריה,fungo
200,Pilz::N,פטריה,cogumelo
201,Zwiebel::N,בצל,cebola
202,Saat::N,זרעים,sementeira
203,Korn::N,גרעין,grão
204,Heu::N,חציר,feno
205,Schale::N,קלפה,casca
206,Grube::N,בור,cova
207,Grube::N,בור,fossa
208,Grube::N,שוחה,cova
209,Grube::N,שוחה,fossa
210,Falle::N,מלכדת,armadilha
211,Schlinge::N,לולאה,laço
212,Spur::N,עקבה,pista
213,Spur::N,עקבה,vestígio
214,Asche::N,אפר,cinza
215,Dreck::N,זהמה,sujidade
216,Eisen::N,ברזל,ferro
217,Gold::N,זהב,ouro
218,Silber::N,כסף,prata
219,Kohle::N,פחם,carvão
220,Glas::N,זכוכית,vidro
221,Lehm::N,חרסית,barro
222,Lehm::N,חרסית,argila
223,Sand::N,חול,areia
224,Mensch::N,אדם,homem
225,Mensch::N,אדם,pessoa
226,Mann::N,איש,homem
227,Mann::N,גבר,homem
228,Frau::N,אשה,mulher
229,Frau::N,גברת,mulher
230,Kind::N,ילד,filho
231,Kind::N,ילד,criança
232,Junge::N,ילד,rapaz
233,Junge::N,ילד,menino
234,Mädchen::N,נערה,menina
235,Mädchen::N,נערה,rapariga
236,Familie::N,משפחה,família
237,Großvater::N,סבא,avô
238,Großmutter::N,סבתא,avó
239,Eltern::N,הורים,pais
240,Vater::N,אב,pai
241,Mutter::N,אם,mãe
242,Sohn::N,בן,filho
243,Tochter::N,בת,filha
244,Bruder::N,אח,irmão
245,Schwester::N,אחות,irmã
246,Onkel::N,דוד,tio
247,Tante::N,דודה,tia
248,Ehemann::N,איש,esposo
249,Ehemann::N,בעל,esposo
250,Ehefrau::N,אשה,esposa
251,Freude::N,שמחה,prazer
252,Freude::N,שמחה,alegria
253,Gelächter::N,צחוק,risada
254,Gelächter::N,צחוק,gargalhada
255,Glück::N,אשר,felicidade
256,Kummer::N,יגון,aflição
257,Kummer::N,יגון,desgosto
258,Kummer::N,עגמה,aflição
259,Kummer::N,עגמה,desgosto
260,Wunsch::N,אחול,desejo
261,Wunsch::N,משאלה,desejo
262,Lust::N,חשק,vontade
263,Lust::N,תשוקה,vontade
264,Geist::N,רוח,mente
265,Geist::N,רוח,espírito
266,Gedanke::N,מחשבה,ideia
267,Gedanke::N,מחשבה,pensamento
268,Gedächtnis::N,זכרון,memória
269,Verstand::N,שכל,razão
270,Verstand::N,שכל,inteligência
271,Sinn::N,מובן,sentido
272,Sinn::N,מובן,significado
273,Sinn::N,משמעות,sentido
274,Sinn::N,משמעות,significado
275,Grund::N,סבה,causa
276,Grund::N,סבה,motivo
277,Wahrheit::N,אמת,verdade
278,Gespräch::N,דיון,conversa
279,Gespräch::N,דיון,conversação
280,Märchen::N,אגדה,conto
281,Erzählung::N,ספור,conto
282,Erzählung::N,ספור,narrativa
283,Nachricht::N,ידיעה,mensagem
284,Neuigkeit::N,חדשה,notícia
285,Neuigkeit::N,חדשה,novidade
286,Name::N,שם,nome
287,Rätsel::N,תעלומה,adivinha
288,Rede::N,נאום,oração
289,Rede::N,נאום,discurso
290,Sprache::N,לשון,língua
291,Stimme::N,קול,voz
292,Wort::N,מלה,palavra
293,Zeichen::N,סימן,marca
294,Ruf::N,קריאה,grito
295,Ruf::N,קריאה,chamada
296,Lärm::N,רעש,ruído
297,Lärm::N,רעש,barulho
298,Laut::N,הגה,som
299,Ton::N,צליל,tom
300,Lied::N,שיר,canção
301,Ruhe::N,שלוה,calma
302,Ruhe::N,שלוה,silêncio
303,Leute::N,אנשים,gente
304,Leute::N,אנשים,pessoas
305,Volk::N,עם,povo
306,Volk::N,עם,nação
307,Arbeit::N,עבודה,trabalho
308,Gast::N,אורח,hóspede
309,Gast::N,אורח,convidado
310,Geschenk::N,מתנה,prenda
311,Geschenk::N,מתנה,presente
312,Spiel::N,משחק,jogo
313,Gesellschaft::N,חברה,companhia
314,Hilfe::N,עזרה,ajuda
315,Hilfe::N,עזרה,socorro
316,Freund::N,חבר,amigo
317,Freund::N,ידיד,amigo
318,Kamerad::N,רע,camarada
319,Angelegenheit::N,ענין,assunto
320,Anzahl::N,מספר,número
321,Anzahl::N,מספר,quantidade
322,Art::N,סוג,tipo
323,Art::N,סוג,espécie
324,Stück::N,חתיכה,pedaço
325,Teil::N,פרק,peça
326,Teil::N,פרק,parte
327,Hälfte::N,חצי,metade
328,Kreis::N,מעגל,círculo
329,Kreuz::N,צלב,cruz
330,Linie::N,קו,linha
331,Strich::N,קו קצר,traço
332,Abstand::N,מרחק,distância
333,Entfernung::N,מרחק,distância
334,Gegend::N,נוף,área
335,Gegend::N,נוף,região
336,Platz::N,שטח,lugar
337,Ort::N,אתר,sítio
338,Ort::N,מקום,sítio
339,Seite::N,צד,lado
340,Mitte::N,אמצע,meio
341,Gegenstand::N,אוביקט,objecto
342,Sache::N,דבר,coisa
343,Rand::N,פרור,bordo
344,Rand::N,פרור,margem
345,Kante::N,קצה,borda
346,Kante::N,קצה,aresta
347,Ecke::N,פנה,esquina
348,Spitze::N,קצה,ponta
349,Ende::N,סוף,cabo
350,Ende::N,סוף,extremo
351,Loch::N,חר,furo
352,Loch::N,חר,buraco
353,Winkel::N,פנה,canto
354,Winkel::N,פנה,ângulo
355,Muster::N,תבנית,padrão
356,Muster::N,תבנית,desenho
357,Größe::N,גדל,tamanho
358,Länge::N,ארך,comprimento
359,Höhe::N,קומה,altura
360,Höhe::N,קומה,altitude
361,Höhe::N,גבה,altura
362,Höhe::N,גבה,altitude
363,Gewicht::N,משקל,peso
364,Menge::N,כמות,quantidade
365,Haufen::N,ערמה,pilha
366,Reihe::N,רצף,fila
367,Boot::N,סירה,barco
368,Ruder::N,משוט,remo
369,Schlitten::N,מזחלת,trenó
370,Ski::N,מגלשים,esqui
371,Lagerfeuer::N,מדורה,fogueira
372,Last::N,משא,carga
373,Gang::N,הליכה,curso
374,Gang::N,הליכה,caminhada
375,Schritt::N,צעד,passo
376,Norden::N,צפון,norte
377,Süden::N,דרום,sul
378,Westen::N,מערב,oeste
379,Westen::N,מערב,ocidente
380,Osten::N,מזרח,este
381,Osten::N,מזרח,leste
382,Osten::N,מזרח,oriente
383,Holz::N,עץ,madeira
384,Brett::N,קרש,tábua
385,Brett::N,קרש,prancha
386,Platte::N,לוח,laje
387,Platte::N,לוח,chapa
