,Concept_ID,ady,es
0,Auge::N,нэ,ojo
1,Ohr::N,тхьакӏу́м,oreja
2,Nase::N,пэ,nariz
3,Mund::N,жэ,boca
4,Zahn::N,цэ,diente
5,Zunge::N,бзэгу,lengua
6,Lippe::N,ӏупшӏэ́,labio
7,Wange::N,нэкӏу́шъу,mejilla
8,Gesicht::N,нэ́гу,cara
9,Stirn::N,натӏэ́,frente
10,Haar::N,шъхьацы́,cabello
11,Bart::N,жакӏэ́,barba
12,Kinn::N,жэкӏэпэпкъ,barbilla
13,Kiefer[Anatomie]::N,жэпкъы́,mandíbula
14,Kehle::N,чый,garganta
15,Hals::N,пшъэ,cuello
16,Genick::N,шъхьэпхэтыку,nuca
17,Genick::N,шъхьэпхэтыку,cerviz
18,Kopf::N,шъхьэ́,cabeza
19,Rücken::N,кӏыбы́,espalda
20,Bauch::N,ныбэ́,vientre
21,Busen::N,бгъэ́,pecho
22,Brust::N,бгъэ́,pecho
23,Schulter::N,блыпкъ,hombro
24,Arm::N,ӏэ,brazo
25,Ellenbogen::N,ӏэнтэ́гъу,codo
26,Hand::N,ӏэтхьэцу,mano
27,Handfläche::N,ӏэ́гу,palma
28,Finger::N,ӏэхъуа́мб,dedo
29,Fingernagel::N,ӏэбжъа́н,uña
30,Nagel[Anatomie]::N,ӏэбжъа́н,uña
31,Zeh::N,ӏэхъуа́мб,dedo del pie
32,Fuß::N,лъэгу,pie
33,Ferse::N,лъэдакъэ,talón
34,Knie::N,лъагуа́ндж,rodilla
35,Oberschenkel::N,ко,muslo
36,Bein::N,лъакъо́,pierna
37,Körper::N,пкъышъол,cuerpo
38,Haut::N,кӏы́шъу,piel
39,Blut::N,лъы,sangre
40,Ader::N,льытф,vena
41,Sehne::N,фэ,tendón
42,Knochen::N,къупшъхьэ́,hueso
43,Gehirn::N,куцӏы,cerebro
44,Gehirn::N,куцӏы,encéfalo
45,Herz::N,гу,corazón
46,Magen::N,мышкӏу,estómago
47,Leber::N,шӏу,hígado
48,Atem::N,къэщэныр,aliento
49,Hunger::N,гъаблэ́,hambre
50,Träne::N,нэпсы,lágrima
51,Geschmack::N,ӏэшӏугъа́кӏ,gusto
52,Geruch::N,мэ,olor
53,Schlaf::N,пчыхьы́пӏ,sueño
54,Traum::N,пчыхьы́пӏ,sueño
55,Traum::N,пчыхьы́пӏ,ensueño
56,Himmel::N,уашъо́,cielo
57,Sonne::N,тыгъэ,sol
58,Mond::N,мазэ,luna
59,Stern::N,жъуагъо́,estrella
60,Luft::N,жьы,aire
61,Wind::N,жьыбгъэ́,viento
62,Welle::N,ор,ola
63,Welle::N,ор,onda
64,Welle::N,оры,ola
65,Welle::N,оры,onda
66,Wasser::N,псы,agua
67,Stein::N,мыжъо́,piedra
68,Boden::N,чӏ́ыгу,suelo
69,Erde::N,чӏ́ыгу,tierra
70,Staub::N,сап,polvo
71,Rauch::N,ӏугъо́,humo
72,Funke::N,мэшӏуа́ч,chispa
73,Feuer::N,машӏо́,fuego
74,Licht::N,нэфы,luz
75,Licht::N,нэфын,luz
