,Concept_ID,av,hr
0,Ohr::N,гӏин,uho
1,Nase::N,мегӏер,nos
2,Mund::N,кӏал,usta
3,Zahn::N,гӏус,zub
4,Zunge::N,мацӏ,jezik
5,Lippe::N,кӏветӏ,usna
6,Wange::N,гӏоно,obraz
7,Gesicht::N,гьумер,lice
8,Stirn::N,нодо,čelo
9,Haar::N,рас,kosa
10,Schnurrbart::N,михъ,brkovi
11,Bart::N,мегеж,brada
12,Kinn::N,нилъу,brada
13,Kinn::N,нилъу,podbradak
14,Kiefer[Anatomie]::N,чанагъ,čeljust
15,Kehle::N,щекъер,grlo
16,Hals::N,габур,vrat
17,Genick::N,гъванща,zatiljak
18,Kopf::N,бетӏер,glava
19,Rücken::N,мугъ,leđa
20,Rücken::N,мугъ,hrbat
21,Bauch::N,чехь,trbuh
22,Nabel::N,цӏину,pupak
23,Busen::N,керен,sisa
24,Busen::N,керен,njedra
25,Brust::N,керен,prsa
26,Schulter::N,гъажазубетӏер,rame
27,Schulter::N,гъажазубетӏер,pleći
28,Arm::N,гъеж,ruka
29,Ellenbogen::N,гӏункӏрукь,lakat
30,Hand::N,квер,ruka
31,Handfläche::N,огъохъат,dlan
32,Handfläche::N,жанисахъат,dlan
33,Finger::N,килищ,prst
34,Fingernagel::N,малъ,nokat
35,Nagel[Anatomie]::N,малъ,nokat
36,Zeh::N,килищ,nozni prst
37,Fuß::N,хӏетӏ,noga
38,Fuß::N,хӏетӏ,stopalo
39,Fuß::N,хӏетӏе,noga
40,Fuß::N,хӏетӏе,stopalo
41,Ferse::N,эгъе,peta
42,Knie::N,наку,koljeno
43,Oberschenkel::N,мачӏ,bedro
44,Bein::N,бох,noga
45,Körper::N,къаркъала,tijelo
46,Haut::N,тӏом,put
47,Haut::N,тӏом,koža
48,Blut::N,би,krv
49,Ader::N,бидурихь,žila
50,Knochen::N,ракьа,kost
51,Gehirn::N,гӏадалнах,
52,Herz::N,ракӏ,srce
53,Magen::N,кванирукъ,stomak
54,Magen::N,кванирукъ,želudac
55,Leber::N,тӏул,jetra
56,Atem::N,хӏухь,dah
57,Hunger::N,ракъи,glad
58,Träne::N,магӏу,suza
59,Geschmack::N,тату,ukus
60,Geruch::N,махӏ,njuh
61,Geruch::N,махӏ,miris
62,Schlaf::N,макьу,san
63,Traum::N,макьу,san
64,Himmel::N,зоб,nebo
65,Sonne::N,бакъ,sunce
66,Mond::N,моцӏ,mjesec
67,Stern::N,цӏва,zvijezda
68,Luft::N,гьава,zrak
69,Wind::N,гьури,vjetar
70,Welle::N,карачел,val
71,Welle::N,карачел,talas
72,Wasser::N,лъим,voda
73,Stein::N,гьецӏо,kamen
74,Boden::N,ракь,tlo
75,Boden::N,ракь,zemlja
76,Erde::N,ракь,zemlja
77,Erde::N,дуниял,zemlja
78,Staub::N,хӏур,prah
79,Staub::N,хӏур,prašina
80,Rauch::N,кӏкӏуй,dim
81,Feuer::N,цӏа,vatra
82,Licht::N,канлъи,svjetlo
83,Schatten::N,рагӏад,hlad
84,Schatten::N,рагӏад,sjena
85,Wetter::N,гьава-бакъ,vrijeme
86,Nebel::N,гӏодобнакӏкӏ,magla
87,Wolke::N,накӏкӏ,oblak
88,Regen::N,цӏад,kiša
89,Schnee::N,гӏазу,snijeg
