,Concept_ID,ba,el
0,Auge::N,күҙ,μάτι
1,Auge::N,күҙ,οφθαλμός
2,Ohr::N,ҡолаҡ,αυτί
3,Nase::N,танау,μύτη
4,Mund::N,ауыҙ,στόμα
5,Zahn::N,теш,δόντι
6,Zunge::N,тел,γλώσσα
7,Lippe::N,ирен,χείλος
8,Wange::N,яцаҡтар,παρειά
9,Wange::N,яцаҡтар,μάγουλο
10,Gesicht::N,бит,πρόσωπο
11,Stirn::N,маңлай,μέτωπο
12,Haar::N,сәс,μαλλιά
13,Schnurrbart::N,мылтыҡ,μουστάκι
14,Bart::N,һаҡал,γένια
15,Kinn::N,эйэк,πιγούνι
16,Kiefer[Anatomie]::N,яңаҡ һөйәге,σαγόνι
17,Kehle::N,тамаҡ,λαρύγγι
18,Hals::N,муйын,λαιμός
19,Genick::N,соңҡа,σβέρκος
20,Kopf::N,баш,κεφάλι
21,Rücken::N,арҡа,ράχη
22,Bauch::N,ҡорһаҡ,κοιλιά
23,Nabel::N,кендек,αφαλός
24,Busen::N,күкрәк,στήθος
25,Brust::N,түш,στήθος
26,Schulter::N,яурын,ώμος
27,Arm::N,ҡул,χέρι
28,Arm::N,ҡул,μπράτςο
29,Ellenbogen::N,терһәк,αγκώνας
30,Hand::N,ҡул,χέρι
31,Hand::N,ҡул суғы,χέρι
32,Handfläche::N,ус төбө,παλάμη
33,Finger::N,бармаҡ,δάχτυλο
34,Fingernagel::N,тырнаҡ,νύχι
35,Nagel[Anatomie]::N,тырнаҡ,νύχι
36,Zeh::N,бармаҡ,δάχτυλο του ποδιού
37,Fuß::N,табан,πόδι
38,Ferse::N,үксә,φτέρνα
39,Knie::N,тубыҡ,γόνατο
40,Oberschenkel::N,сандыр,μηρός
41,Bein::N,аяҡ,πόδι
42,Körper::N,тән,σώμα
43,Körper::N,тән,κορμί
44,Haut::N,тире,πετσί
45,Blut::N,ҡан,αίμα
46,Ader::N,тамыр,φλέβα
47,Sehne::N,һеңер,νεύρο
48,Sehne::N,һеңер,τένοντας
49,Sehne::N,тарамыш,νεύρο
50,Sehne::N,тарамыш,τένοντας
51,Knochen::N,һойәк,οστό
52,Knochen::N,һойәк,κόκκαλο
53,Gehirn::N,мейе,μυαλό
54,Gehirn::N,мейе,εγκέφαλος
55,Herz::N,йорәк,καρδιά
56,Magen::N,ашҡаҙан,στομάχι
57,Leber::N,бауыр,ήπαρ
58,Leber::N,бауыр,συκωτί
59,Atem::N,һулыш,αναπνοή
60,Hunger::N,аслыҡ,πείνα
61,Träne::N,күҙ иәше,δάκρυ
62,Geschmack::N,тәм,γεύση
63,Geruch::N,еҫ,οσμή
64,Geruch::N,еҫ,μυρωδία
65,Schlaf::N,йоҡлау,ύπνος
66,Traum::N,төш,όνειρο
67,Himmel::N,күк,ουρανός
68,Sonne::N,ҡояш,ήλιος
69,Mond::N,ай,σελήνη
70,Mond::N,ай,φεγγάρι
71,Stern::N,йондоҙ,άστρο
72,Stern::N,йондоҙ,αστέρι
73,Luft::N,һауа,αέρας
74,Wind::N,ел,αέρας
75,Wind::N,ел,άνεμος
76,Welle::N,тулҡын,κύμα
77,Wasser::N,һыу,νερό
78,Stein::N,таш,πέτρα
79,Boden::N,тупраҡ,χώμα
80,Erde::N,балсҡ,γη
81,Staub::N,туҙан,σκόνη
82,Rauch::N,төтөн,καπνός
83,Funke::N,осҡон,σπίθα
84,Funke::N,осҡон,σπινθήρας
85,Feuer::N,ут,φωτιά
86,Licht::N,яҡтылыҡ,φως
87,Schatten::N,күләгә,σκιά
88,Schatten::N,күләгә,ίσκιος
89,Wetter::N,һауа торошо,καιρός
90,Nebel::N,төман,ομίχλη
91,Wolke::N,болот,σύννεφο
92,Regen::N,ямғыр,βροχή
93,Schnee::N,ҡар,χιόνι
94,Eis::N,боҙ,πάγος
95,Frost::N,һалҡын,παγωνία
96,Kälte::N,һыуыҡ,κρύο
97,Kälte::N,һыуыҡ,ψύχος
98,Hitze::N,томра,ζέστη
99,Hitze::N,эҫелек,ζέστη
100,Raureif::N,ҡырау,πάχνη
101,Regenbogen::N,йәйғор,ουράνιο τόξο
102,Donner::N,күк күкрәү,βροντή
103,Strömung::N,ағым,ρεύμα
104,Tropfen::N,тамсы,στάλα
105,Schaum::N,күбек,αφρός
106,Schmutz::N,батҡаҡ,βρωμιά
107,See::N,күл,λίμνη
108,Sumpf::N,һаҙлык,βάλτος
109,Moor::N,һаҙ,έλος
110,Wiese::N,болон,λιβάδι
111,Wald::N,урман,δάσος
112,Hügel::N,түбә,λόφος
113,Anhöhe::N,түбә,ύψωμα
114,Anhöhe::N,ҡалҡыулыҡ,ύψωμα
115,Berg::N,тау,όρος
116,Berg::N,тау,βουνό
117,Gipfel::N,түбә,κορυφή
118,Höhle::N,мәмерйә,σπηλιά
119,Abhang::N,ипкен,πλαγιά
120,Quelle::N,шишмә,πηγή
121,Quelle::N,шишмә,βρύση
122,Bach::N,шишмә,ρυάκι
123,Fluss::N,йылға,ποτάμι
124,Fluss::N,йылға,ποταμός
125,Ufer::N,яр,όχθη
126,Küste::N,яр буйы,ακτή
127,Küste::N,яр буйы,ακρογιαλιά
128,Festland::N,ҡоро ер,στεριά
129,Meer::N,диңгез,θάλασσα
130,Bucht::N,бухта,κόλπος
131,Insel::N,үтрау,νησί
132,Insel::N,үтрау,νήσος
133,Blume::N,сәскә,άνθος
134,Blume::N,сәскә,λουλούδι
135,Gras::N,үлән,χόρτο
136,Gras::N,үлән,χορτάρι
137,Wurzel::N,тамыр,ρίζα
138,Baum::N,ағас,δέντρο
139,Stamm::N,олон,κορμός
140,Stamm::N,көбәк,κορμός
141,Rinde::N,ҡабыҡ,φλούδα
142,Ast::N,ботаҡ,κλαδί
143,Zweig::N,ботаҡ,κλαδί
144,Zweig::N,ботаҡ,κλάδος
145,Zweig::N,тармаҡ,κλαδί
146,Zweig::N,тармаҡ,κλάδος
147,Blatt::N,япраҡ,φύλλο
148,Birke::N,ҡайын,σημύδα
149,Kiefer[Baum]::N,ҡарғай,πεύκο
150,Weide[Baum]::N,тал,ιτιά
151,Tanne::N,шыршы,έλατο
152,Horn::N,мөғөҙ,κέρας
153,Horn::N,мөғөҙ,κέρατο
154,Feder::N,ҡауырһын,φτερό
155,Fell::N,тире,δέρμα
156,Fell::N,тире,τομάρι
157,Flügel::N,ҡанат,πτερύγιο
158,Klaue::N,тырнаҡ,κουλό
159,Kralle::N,аяҡ,νύχι
160,Schwanz::N,ҡойроҡ,ουρά
161,Ei::N,йомортҡа,αβγό
162,Nest::N,оя,φωλιά
163,Bau::N,оң,φωλιά
164,Tier::N,жайуан,ζώο
165,Tier::N,йыртҡыс,ζώο
166,Herde::N,көтөү,κοπάδι
167,Kuh::N,һыйыр,αγελάδα
168,Bulle::N,үгеҙ,ταύρος
169,Pferd::N,ат,άλογο
170,Schaf::N,һарыҡ,πρόβατο
171,Schwein::N,сусҡа,γουρούνι
172,Hund::N,эт,σκυλί
173,Hund::N,эт,σκύλος
174,Katze::N,бесәй,γάτα
175,Bär::N,айыу,άρκτος
176,Bär::N,айыу,αρκούδα
177,Eichhörnchen::N,тейен,βερβερίτσα
178,Elch::N,мышы,άλκη
179,Fuchs::N,төлкө,αλεπού
180,Hase::N,ҡуян,λαγός
181,Maus::N,сысҡан,ποντικός
182,Wolf::N,бүре,λύκος
183,Vogel::N,ҡош,πουλί
184,Schwarm::N,көтөү,σμήνος
185,Huhn::N,тауыҡ,κότα
186,Huhn::N,тауыҡ,όρνιθα
187,Hahn::N,әтәс,πετεινός
188,Gans::N,ҡаҙ,χήνα
189,Adler::N,бөркөт,αετός
190,Ente::N,өйрәк,πάπια
191,Eule::N,өкө,κουκουβάγια
192,Eule::N,ябалаҡ,κουκουβάγια
193,Kranich::N,торна,γερανός
194,Krähe::N,ҡарға,καρακάξα
195,Kuckuck::N,кәкүк,κούκος
196,Schwan::N,аҡҡош,κύκνος
197,Fisch::N,балыҡ,ψάρι
198,Barsch::N,алабуға,πέρκα
199,Hecht::N,суртан,λούτσος
200,Schlange[Tier]::N,йылан,φίδι
201,Wurm::N,селяүсен,σκουλήκι
202,Spinne::N,үрмәксе,αράχνη
203,Ameise::N,ҡырмыҫҡа,μυρμήγκι
204,Laus::N,бет,ψείρα
205,Mücke::N,серәкәй,κουνούπι
