,Concept_ID,he,de
0,Auge::N,עין,Auge
1,Ohr::N,אזן,Ohr
2,Nase::N,אף,Nase
3,Nase::N,חטם,Nase
4,Mund::N,פה,Mund
5,Zahn::N,שן,Zahn
6,Zunge::N,לשון,Zunge
7,Lippe::N,שפה,Lippe
8,Wange::N,לחי,Wange
9,Gesicht::N,פנים,Gesicht
10,Stirn::N,מצח,Stirn
11,Haar::N,שערה,Haar
12,Schnurrbart::N,שפם,Schnurrbart
13,Bart::N,זקן,Bart
14,Kinn::N,סנטר,Kinn
15,Kiefer[Anatomie]::N,לסת,Kiefer
16,Kehle::N,גרון,Kehle
17,Hals::N,צואר,Hals
18,Genick::N,ערף,Genick
19,Kopf::N,ראש,Kopf
20,Rücken::N,גב,Rücken
21,Bauch::N,בטן,Bauch
22,Nabel::N,טבור,Nabel
23,Busen::N,שד,Busen
24,Brust::N,חזה,Brust
25,Schulter::N,כתף,Schulter
26,Arm::N,זרוע,Arm
27,Ellenbogen::N,מרפק,Ellenbogen
28,Hand::N,יד,Hand
29,Handfläche::N,כף יד,Handfläche
30,Finger::N,אצבע,Finger
31,Fingernagel::N,צפרן,Fingernagel
32,Nagel[Anatomie]::N,צפרן,Nagel
33,Zeh::N,אצבע,Zeh
34,Fuß::N,רגל,Fuß
35,Ferse::N,עקב,Ferse
36,Knie::N,ברך,Knie
37,Oberschenkel::N,ירך,Oberschenkel
38,Bein::N,רגל,Bein
39,Körper::N,גוף,Körper
40,Haut::N,עור,Haut
41,Blut::N,דם,Blut
42,Ader::N,וריד,Ader
43,Sehne::N,גיד,Sehne
44,Knochen::N,עצם,Knochen
45,Gehirn::N,מוח,Gehirn
46,Herz::N,לב,Herz
47,Magen::N,קבה,Magen
48,Leber::N,כבד,Leber
49,Atem::N,נשימה,Atem
50,Hunger::N,רעב,Hunger
51,Träne::N,דמעה,Träne
52,Geschmack::N,טעם,Geschmack
53,Geruch::N,ריח,Geruch
54,Schlaf::N,שנה,Schlaf
55,Traum::N,חלום,Traum
56,Himmel::N,שמים,Himmel
57,Sonne::N,שמש,Sonne
58,Mond::N,ירח,Mond
59,Stern::N,כוכב,Stern
60,Luft::N,אויר,Luft
61,Wind::N,רוח,Wind
62,Welle::N,גל,Welle
63,Wasser::N,מים,Wasser
64,Stein::N,אבן,Stein
65,Boden::N,קרקע,Boden
66,Erde::N,אדמה,Erde
67,Staub::N,אבק,Staub
68,Rauch::N,עשן,Rauch
69,Funke::N,ניצוץ,Funke
70,Feuer::N,אש,Feuer
71,Licht::N,אור,Licht
72,Schatten::N,צל,Schatten
73,Wetter::N,מזג אויר,Wetter
74,Nebel::N,ערפל,Nebel
75,Wolke::N,ענן,Wolke
76,Regen::N,גשם,Regen
77,Schnee::N,שלג,Schnee
78,Eis::N,קרח,Eis
79,Frost::N,צנה,Frost
80,Kälte::N,קר,Kälte
81,Hitze::N,חם,Hitze
82,Raureif::N,כפור,Raureif
83,Regenbogen::N,קשת,Regenbogen
84,Donner::N,רעם,Donner
85,Strömung::N,זרימה,Strömung
86,Tropfen::N,טפה,Tropfen
87,Schaum::N,קצף,Schaum
88,Schmutz::N,לכלוך,Schmutz
89,See::N,אגם,See
90,Sumpf::N,בצה,Sumpf
91,Moor::N,בצה,Moor
92,Wiese::N,מרעה,Wiese
93,Wald::N,יער,Wald
94,Hügel::N,תל,Hügel
95,Anhöhe::N,מעלה,Anhöhe
96,Berg::N,הר,Berg
97,Gipfel::N,פסגה,Gipfel
98,Höhle::N,מערה,Höhle
99,Abhang::N,מדרון,Abhang
100,Abhang::N,שפוע,Abhang
101,Quelle::N,מעין,Quelle
102,Bach::N,נחל,Bach
103,Fluss::N,נהר,Fluss
104,Ufer::N,גדה,Ufer
105,Küste::N,חוף,Küste
106,Festland::N,יבשה,Festland
107,Meer::N,ים,Meer
108,Bucht::N,מפרץ,Bucht
109,Insel::N,אי,Insel
110,Blume::N,פרח,Blume
111,Gras::N,דשא,Gras
112,Wurzel::N,שרש,Wurzel
113,Baum::N,עץ,Baum
114,Stamm::N,גזע,Stamm
115,Rinde::N,קלפת עץ,Rinde
116,Ast::N,ענף,Ast
117,Zweig::N,ענף,Zweig
118,Blatt::N,עלה,Blatt
119,Birke::N,שדר,Birke
120,Kiefer[Baum]::N,ארן,Kiefer
121,Weide[Baum]::N,ערבה,Weide
122,Tanne::N,אשוח,Tanne
123,Horn::N,קרן,Horn
124,Feder::N,נוצה,Feder
125,Fell::N,פרוה,Fell
126,Flügel::N,כנף,Flügel
127,Klaue::N,טלף,Klaue
128,Kralle::N,טפר,Kralle
129,Schwanz::N,זנב,Schwanz
130,Ei::N,ביצה,Ei
131,Nest::N,קן,Nest
132,Bau::N,מחלה,Bau
133,Tier::N,חיה,Tier
134,Herde::N,עדר,Herde
135,Kuh::N,פרה,Kuh
136,Bulle::N,פר,Bulle
137,Pferd::N,סוס,Pferd
138,Schaf::N,כבשה,Schaf
139,Schwein::N,חזיר,Schwein
140,Hund::N,כלב,Hund
141,Katze::N,חתול,Katze
142,Bär::N,דב,Bär
143,Eichhörnchen::N,סנאי,Eichhörnchen
144,Elch::N,דישון,Elch
145,Fuchs::N,שועל,Fuchs
146,Hase::N,ארנב,Hase
147,Maus::N,עכבר,Maus
148,Wolf::N,זאב,Wolf
149,Vogel::N,צפור,Vogel
150,Schwarm::N,נחיל,Schwarm
151,Schwarm::N,להקה,Schwarm
152,Huhn::N,תרנגלת,Huhn
153,Hahn::N,תרנגול,Hahn
154,Gans::N,אוז,Gans
155,Adler::N,עיט,Adler
156,Ente::N,ברוז,Ente
157,Eule::N,ינשוף,Eule
158,Kranich::N,עגור,Kranich
159,Kranich::N,כרוכיה,Kranich
160,Krähe::N,עורב,Krähe
161,Kuckuck::N,קוקיה,Kuckuck
162,Schwan::N,ברבור,Schwan
163,Fisch::N,דג,Fisch
164,Barsch::N,אוקונוס,Barsch
165,Hecht::N,זאב הים,Hecht
166,Schlange[Tier]::N,נחש,Schlange
167,Wurm::N,תולעת,Wurm
168,Spinne::N,עכביש,Spinne
169,Ameise::N,נמלה,Ameise
170,Laus::N,כנה,Laus
171,Mücke::N,יתוש,Mücke
172,Fliege::N,זבוב,Fliege
173,Schmetterling::N,פרפר,Schmetterling
174,Beere::N,ענבה,Beere
175,Apfel::N,תפוח,Apfel
176,Pilz::N,פטריה,Pilz
177,Zwiebel::N,בצל,Zwiebel
178,Saat::N,זרעים,Saat
179,Korn::N,גרעין,Korn
180,Heu::N,חציר,Heu
181,Schale::N,קלפה,Schale
182,Grube::N,בור,Grube
183,Grube::N,שוחה,Grube
184,Falle::N,מלכדת,Falle
185,Schlinge::N,לולאה,Schlinge
186,Spur::N,עקבה,Spur
187,Asche::N,אפר,Asche
188,Dreck::N,זהמה,Dreck
189,Eisen::N,ברזל,Eisen
190,Gold::N,זהב,Gold
191,Silber::N,כסף,Silber
192,Kohle::N,פחם,Kohle
193,Glas::N,זכוכית,Glas
194,Lehm::N,חרסית,Lehm
195,Sand::N,חול,Sand
196,Mensch::N,אדם,Mensch
197,Mann::N,איש,Mann
198,Mann::N,גבר,Mann
199,Frau::N,אשה,Frau
200,Frau::N,גברת,Frau
201,Kind::N,ילד,Kind
202,Junge::N,ילד,Junge
203,Mädchen::N,נערה,Mädchen
204,Familie::N,משפחה,Familie
205,Großvater::N,סבא,Großvater
206,Großmutter::N,סבתא,Großmutter
207,Eltern::N,הורים,Eltern
208,Vater::N,אב,Vater
209,Mutter::N,אם,Mutter
210,Sohn::N,בן,Sohn
211,Tochter::N,בת,Tochter
212,Bruder::N,אח,Bruder
213,Schwester::N,אחות,Schwester
214,Onkel::N,דוד,Onkel
215,Tante::N,דודה,Tante
216,Ehemann::N,איש,Ehemann
217,Ehemann::N,בעל,Ehemann
218,Ehefrau::N,אשה,Ehefrau
219,Freude::N,שמחה,Freude
220,Gelächter::N,צחוק,Gelächter
221,Glück::N,אשר,Glück
222,Kummer::N,יגון,Kummer
223,Kummer::N,עגמה,Kummer
224,Wunsch::N,אחול,Wunsch
225,Wunsch::N,משאלה,Wunsch
226,Lust::N,חשק,Lust
227,Lust::N,תשוקה,Lust
228,Geist::N,רוח,Geist
229,Gedanke::N,מחשבה,Gedanke
230,Gedächtnis::N,זכרון,Gedächtnis
231,Verstand::N,שכל,Verstand
232,Sinn::N,מובן,Sinn
233,Sinn::N,משמעות,Sinn
234,Grund::N,סבה,Grund
235,Wahrheit::N,אמת,Wahrheit
236,Gespräch::N,דיון,Gespräch
237,Märchen::N,אגדה,Märchen
238,Erzählung::N,ספור,Erzählung
239,Nachricht::N,ידיעה,Nachricht
240,Neuigkeit::N,חדשה,Neuigkeit
241,Name::N,שם,Name
242,Rätsel::N,תעלומה,Rätsel
243,Rede::N,נאום,Rede
244,Sprache::N,לשון,Sprache
245,Stimme::N,קול,Stimme
246,Wort::N,מלה,Wort
247,Zeichen::N,סימן,Zeichen
248,Ruf::N,קריאה,Ruf
249,Lärm::N,רעש,Lärm
250,Laut::N,הגה,Laut
251,Ton::N,צליל,Ton
252,Lied::N,שיר,Lied
253,Ruhe::N,שלוה,Ruhe
254,Leute::N,אנשים,Leute
255,Volk::N,עם,Volk
256,Arbeit::N,עבודה,Arbeit
257,Gast::N,אורח,Gast
258,Geschenk::N,מתנה,Geschenk
259,Spiel::N,משחק,Spiel
260,Gesellschaft::N,חברה,Gesellschaft
261,Hilfe::N,עזרה,Hilfe
262,Freund::N,חבר,Freund
263,Freund::N,ידיד,Freund
264,Kamerad::N,רע,Kamerad
265,Angelegenheit::N,ענין,Angelegenheit
266,Anzahl::N,מספר,Anzahl
267,Art::N,סוג,Art
268,Stück::N,חתיכה,Stück
269,Teil::N,פרק,Teil
270,Hälfte::N,חצי,Hälfte
271,Kreis::N,מעגל,Kreis
272,Kreuz::N,צלב,Kreuz
273,Linie::N,קו,Linie
274,Strich::N,קו קצר,Strich
275,Abstand::N,מרחק,Abstand
276,Entfernung::N,מרחק,Entfernung
