,Concept_ID,myv,mhr
0,Auge::N,сельме,шинча́
1,Ohr::N,пиле,пы́лыш
2,Nase::N,судо,нер
3,Mund::N,курго,умша́
4,Zahn::N,пей,пӱй
5,Zunge::N,кель,йы́лме
6,Lippe::N,турва,тӱ́рвӧ
7,Wange::N,чамабока,шӱ́ргӧ
8,Wange::N,чамаумарь,шӱ́ргӧ
9,Gesicht::N,чама,чури́й
10,Stirn::N,коня,саҥга́
11,Haar::N,черь,ӱп
12,Schnurrbart::N,ус,ӧ́рыш
13,Schnurrbart::N,муюк,ӧ́рыш
14,Bart::N,сакал,понда́ш
15,Kinn::N,уло,оҥыла́ш
16,Kiefer[Anatomie]::N,пейпакар,пӱйдӱ́ҥ
17,Kiefer[Anatomie]::N,пейпакар,пӱйората́
18,Kiefer[Anatomie]::N,пейловажа,пӱйдӱ́ҥ
19,Kiefer[Anatomie]::N,пейловажа,пӱйората́
20,Kehle::N,кирьгапарь,лога́р
21,Hals::N,кирьга,шӱй
22,Genick::N,човонь,шӱйло́дыш
23,Kopf::N,пря,вуй
24,Rücken::N,копорь,туп
25,Bauch::N,пеке,мӱ́шкыр
26,Nabel::N,почо,кы́лымде
27,Busen::N,поте,чы́зе
28,Brust::N,меште,оҥ
29,Schulter::N,лавтов,ва́че
30,Arm::N,кедь,кид
31,Ellenbogen::N,кенерепакарь,кынерву́й
32,Hand::N,кедь,кид
33,Hand::N,кедь,копа́
34,Handfläche::N,кедькуншка,со́во
35,Handfläche::N,кедьлапушка,со́во
36,Finger::N,сур,парня́
37,Fingernagel::N,кенже,кидкӱ́ч
38,Fingernagel::N,кенже,парнягӱ́ч
39,Nagel[Anatomie]::N,кенже,кӱч
40,Zeh::N,пильге сур,йолварня́
41,Fuß::N,пильге,йол
42,Fuß::N,пильге,йолкопа́
43,Ferse::N,кочкаря,тага́н
44,Knie::N,эле,пулву́й
45,Knie::N,эзне,пулву́й
46,Knie::N,кумажа,пулву́й
47,Oberschenkel::N,качо,э́рде
48,Bein::N,пильге,йол
49,Körper::N,рунго,кап
50,Haut::N,киське,кова́ште
51,Blut::N,верь,вӱр
52,Ader::N,сан,шӧн
53,Sehne::N,коське сан,шӧн
54,Sehne::N,коське сан,кӱсе́н
55,Knochen::N,пакарь,лу
56,Gehirn::N,удем,вем
57,Gehirn::N,удем,вуйве́м
58,Herz::N,седей,шӱм
59,Magen::N,пеке,пага́р
60,Leber::N,максо,мокш
61,Atem::N,лексема,шӱ́лыш
62,Atem::N,оймень таргсема,шӱ́лыш
63,Hunger::N,вачочи,шужыма́ш
64,Träne::N,селведь,шинчавӱ́д
65,Geschmack::N,тансть,там
66,Geruch::N,чине,пуш
67,Schlaf::N,удома,о́мо
68,Traum::N,он,йӱдо́мо
69,Himmel::N,менель,кава́
70,Sonne::N,чи,ке́че
71,Mond::N,ков,ты́лзе
72,Stern::N,теште,шӱ́дыр
73,Luft::N,кошт,юж
74,Wind::N,варма,марде́ж
75,Welle::N,толкун,то́лкын
76,Wasser::N,ведь,вӱд
77,Stein::N,кев,кӱ
78,Boden::N,мода,рок
79,Erde::N,мастор,мла́нде
80,Staub::N,пуль,пура́к
81,Rauch::N,качамо,шикш
82,Funke::N,сятко,сеске́м
83,Funke::N,сятко,тулйы́п
84,Feuer::N,тол,тул
85,Licht::N,валдо,со́то
86,Schatten::N,сулей,ӱ́мыл
87,Schatten::N,сулейкс,ӱ́мыл
88,Wetter::N,ушо,иге́че
89,Nebel::N,сув,тӱтыра́
90,Wolke::N,пель,пыл
91,Regen::N,пиземс,йӱр
92,Schnee::N,лов,лум
93,Eis::N,эй,ий
94,Frost::N,кельме,чатлама́
