,Concept_ID,ar,it
0,Auge::N,عين,occhio
1,Ohr::N,أذن,orecchio
2,Nase::N,أنف,naso
3,Mund::N,فم,bocca
4,Zahn::N,سن,dente
5,Zunge::N,لسان,lingua
6,Lippe::N,شفة,labbro
7,Wange::N,خد,guancia
8,Wange::N,وجنة,guancia
9,Gesicht::N,وجه,viso
10,Gesicht::N,وجه,faccia
11,Stirn::N,جبين,fronte
12,Haar::N,شعر,capello
13,Schnurrbart::N,شارب,baffi
14,Schnurrbart::N,شارب,mustacchi
15,Bart::N,لحية,barba
16,Kinn::N,ذقن,mento
17,Kiefer[Anatomie]::N,فك,mascella
18,Kehle::N,حلق,gola
19,Hals::N,عنق,collo
20,Hals::N,رقبة,collo
21,Genick::N,قفا,nuca
22,Kopf::N,رأس,capo
23,Kopf::N,رأس,testa
24,Rücken::N,ظهر,dorso
25,Rücken::N,ظهر,schiena
26,Bauch::N,بطن,ventre
27,Nabel::N,سرة,ombelico
28,Busen::N,ثدي,seno
29,Brust::N,صدر,petto
30,Schulter::N,كتف,spalla
31,Arm::N,ذراع,braccio
32,Ellenbogen::N,كوع,gomito
33,Hand::N,يد,mano
34,Handfläche::N,كف,palma
35,Finger::N,إصبع,dito
36,Fingernagel::N,ظفر,unghia
37,Nagel[Anatomie]::N,ظفر,unghia
38,Zeh::N,إصبع القدم,dito del piede
39,Fuß::N,قدم,piede
40,Ferse::N,كعب,tallone
41,Ferse::N,كعب,calcagno
42,Knie::N,ركبة,ginocchio
43,Oberschenkel::N,فخذ,fèmore
44,Bein::N,ساق,gamba
45,Körper::N,جسم,corpo
46,Haut::N,بشرة,pelle
47,Blut::N,دم,sangue
48,Ader::N,عرق,vena
49,Sehne::N,طنب,tèndine
50,Knochen::N,عظم,osso
51,Gehirn::N,دماغ,cervello
52,Herz::N,قلب,cuore
53,Magen::N,معدة,stòmaco
54,Leber::N,كبد,fegato
55,Atem::N,نفس,fiato
56,Atem::N,نفس,respiro
57,Hunger::N,جوع,fame
58,Träne::N,دمعة,làcrima
59,Geschmack::N,طعم,gusto
60,Geschmack::N,طعم,sapore
61,Geschmack::N,مذاق,gusto
62,Geschmack::N,مذاق,sapore
63,Geruch::N,رائحة,odore
64,Schlaf::N,نوم,sonno
65,Schlaf::N,منام,sonno
66,Traum::N,حلم,sogno
67,Himmel::N,سماء,cielo
68,Sonne::N,شمس,sole
69,Mond::N,قمر,luna
70,Stern::N,نجم,stella
71,Stern::N,كوكب,stella
72,Luft::N,هواء,aria
73,Wind::N,ريح,vento
74,Welle::N,موجة,onda
75,Wasser::N,ماء,acqua
76,Stein::N,حجر,sasso
77,Stein::N,حجر,pietra
78,Boden::N,تراب,suolo
79,Boden::N,تراب,terreno
80,Erde::N,أرض,terra
81,Staub::N,غبار,polvere
82,Rauch::N,دخان,fumo
83,Funke::N,شرارة,scintilla
84,Feuer::N,نار,fuoco
85,Licht::N,نور,luce
86,Licht::N,ضوء,luce
87,Schatten::N,ظل,ombra
88,Schatten::N,فيء,ombra
89,Wetter::N,جو,tempo
90,Wetter::N,طقس,tempo
91,Nebel::N,ضباب,nebbia
92,Wolke::N,غيمة,nube
93,Wolke::N,غيمة,nùvola
94,Wolke::N,سحابة,nube
95,Wolke::N,سحابة,nùvola
96,Regen::N,مطر,pioggia
97,Schnee::N,ثلج,neve
98,Eis::N,جليد,ghiaccio
99,Frost::N,صقيع,gelo
100,Kälte::N,برد,freddo
101,Hitze::N,حر,caldo
102,Hitze::N,حر,calura
103,Hitze::N,حرارة,caldo
104,Hitze::N,حرارة,calura
105,Raureif::N,صقيع,brina
106,Regenbogen::N,قوس قزح,arcobaleno
107,Donner::N,رعد,tuono
108,Strömung::N,تيار,corrente
109,Tropfen::N,قطرة,goccia
110,Schaum::N,زبد,spuma
111,Schaum::N,زبد,schiuma
112,Schaum::N,رغوة,spuma
113,Schaum::N,رغوة,schiuma
114,Schmutz::N,وسخ,sudiciume
115,See::N,بحيرة,lago
116,Sumpf::N,مستنقع,palude
117,Moor::N,مستنقع,torbiera
118,Wiese::N,مرج,prato
119,Wald::N,غابة,bosco
120,Wald::N,غابة,foresta
121,Hügel::N,تل,colle
122,Hügel::N,تل,collina
123,Anhöhe::N,تل,altura
124,Berg::N,جبل,monte
125,Berg::N,جبل,montagna
126,Gipfel::N,قمة,cima
127,Höhle::N,كهف,grotta
128,Höhle::N,كهف,caverna
129,Abhang::N,منحدر,pendìo
130,Quelle::N,منبع,sorgente
131,Bach::N,مجرى,ruscello
132,Fluss::N,نهر,fiume
133,Ufer::N,ضفة,riva
134,Küste::N,ساحل,costa
135,Festland::N,بر,terraferma
136,Meer::N,بحر,mare
137,Bucht::N,خليج,cala
138,Insel::N,جزيرة,ìsola
139,Blume::N,زهرة,fiore
140,Gras::N,حشيش,erba
141,Wurzel::N,أصل,radice
142,Baum::N,شجرة,àlbero
143,Stamm::N,جذع,tronco
144,Rinde::N,قشرة,corteccia
145,Ast::N,فرع,ramo
146,Zweig::N,غصن,ramo
147,Blatt::N,ورقة,foglia
148,Birke::N,قضبان,betulla
149,Kiefer[Baum]::N,صنوبرة,pino
150,Weide[Baum]::N,صفصاف,sàlice
151,Tanne::N,شوح,abete
152,Tanne::N,تبوب,abete
153,Horn::N,قرن,corno
154,Feder::N,ريشة,penna
155,Fell::N,فرو,manto
156,Fell::N,فرو,pelame
157,Flügel::N,جناح,ala
158,Klaue::N,مخلب,grinfia
159,Kralle::N,مخلب,unghia
160,Kralle::N,مخلب,artiglio
161,Schwanz::N,ذيل,coda
162,Ei::N,بيض,uovo
163,Nest::N,عش,nido
164,Bau::N,جحر,covo
165,Tier::N,حيوان,bestia
166,Tier::N,حيوان,animale
167,Herde::N,قطيع,gregge
168,Kuh::N,بقرة,vacca
169,Bulle::N,ثور,toro
170,Pferd::N,خيل,cavallo
171,Schaf::N,شاة,pècora
172,Schwein::N,خنزير,porco
173,Schwein::N,خنزير,maiale
174,Hund::N,كلب,cane
175,Katze::N,قطة,gatta
176,Bär::N,دب,orso
177,Eichhörnchen::N,سنجاب,scoiàttolo
178,Elch::N,موظ,alce
179,Fuchs::N,ثعلب,volpe
180,Hase::N,أرنب,lepre
181,Maus::N,فأرة,topo
182,Maus::N,فأرة,sorcio
183,Wolf::N,ذئب,lupo
184,Vogel::N,طير,uccello
185,Schwarm::N,سرب,stormo
186,Huhn::N,دجاجة,gallina
187,Hahn::N,ديك,gallo
188,Gans::N,وزة,oca
189,Adler::N,نسر,àquila
190,Ente::N,بطة,ànatra
191,Eule::N,بوم,gufo
192,Eule::N,بوم,civetta
193,Kranich::N,كركي,gru
194,Krähe::N,غراب,cornacchia
195,Kuckuck::N,وقواق,cuccù
196,Kuckuck::N,وقواق,cùculo
197,Schwan::N,إوز عراقي,cigno
198,Fisch::N,سمك,pesce
199,Barsch::N,فرخ أوربي,pèrsico
200,Hecht::N,سمك الكراكي,luccio
201,Schlange[Tier]::N,حية,serpente
202,Schlange[Tier]::N,ثعبان,serpente
203,Wurm::N,دودة,baco
204,Wurm::N,دودة,verme
205,Spinne::N,عنكبوت,ragno
206,Ameise::N,نملة,formica
207,Laus::N,قملة,pidocchio
208,Mücke::N,ناموسة,zanzara
209,Fliege::N,ذبابة,mosca
210,Schmetterling::N,فراشة,farfalla
211,Beere::N,حبة,bacca
212,Apfel::N,تفاح,mela
213,Pilz::N,فطر,fungo
214,Zwiebel::N,بصل,cipolla
215,Saat::N,زرع,semente
216,Korn::N,حبة,grano
217,Heu::N,دريس,fieno
218,Schale::N,قشرة,buccia
219,Grube::N,نقرة,cava
220,Grube::N,نقرة,fossa
221,Falle::N,فخ,tràppola
222,Falle::N,مصيدة,tràppola
223,Schlinge::N,عروة,laccio
224,Spur::N,أثر,traccia
225,Asche::N,رماد,cenere
226,Dreck::N,قذر,fango
227,Eisen::N,حديد,ferro
228,Gold::N,ذهب,oro
229,Silber::N,فضة,argento
230,Kohle::N,فحم,carbone
231,Glas::N,زجاج,vetro
232,Lehm::N,طين,argilla
233,Sand::N,رمل,arena
234,Sand::N,رمل,sabbia
235,Mensch::N,إنسان,uomo
236,Mensch::N,إنسان,èssere umano
237,Mann::N,رجل,uomo
238,Frau::N,امرأة,donna
239,Kind::N,طفل,bambino
240,Junge::N,ولد,ragazzo
241,Mädchen::N,بنت,ragazza
242,Familie::N,عائلة,famiglia
243,Großvater::N,جد,nonno
244,Großmutter::N,جدة,nonna
245,Eltern::N,أبوان,genitori
246,Eltern::N,والدان,genitori
247,Vater::N,أب,padre
248,Mutter::N,أم,madre
249,Sohn::N,إبن,figlio
250,Tochter::N,بنت,figlia
251,Tochter::N,إبنة,figlia
252,Bruder::N,أخ,fratello
253,Bruder::N,شقيق,fratello
254,Schwester::N,أخت,sorella
255,Onkel::N,عم,zio
256,Tante::N,عمة,zia
257,Ehemann::N,زوج,marito
258,Ehefrau::N,زوجة,moglie
259,Freude::N,فرح,gioia
260,Freude::N,فرح,piacere
261,Freude::N,سرور,gioia
262,Freude::N,سرور,piacere
