,Concept_ID,hu,cv
0,Auge::N,szem,куҫ
1,Ohr::N,fül,хӑлха
2,Nase::N,orr,сӑмса
3,Mund::N,száj,ҫӑвар
4,Zahn::N,fog,шӑл
5,Zunge::N,nyelv,чӗлхе
6,Lippe::N,ajak,тута
7,Wange::N,orca,пит ҫӑмарти
8,Gesicht::N,arc,пит
9,Gesicht::N,arc,пит-куҫ
10,Stirn::N,homlok,ҫамка
11,Haar::N,haj,ҫӳҫ
12,Schnurrbart::N,bajusz,усси
13,Bart::N,szakáll,сухал
14,Kinn::N,áll,янах
15,Kiefer[Anatomie]::N,állkapocs,янах
16,Kehle::N,gége,пыр
17,Kehle::N,gége,карланкӑ
18,Kehle::N,torok,пыр
19,Kehle::N,torok,карланкӑ
20,Hals::N,nyak,пыр
21,Genick::N,tarkó,ӗнсе
22,Kopf::N,fő,пуҫ
23,Kopf::N,fej,пуҫ
24,Rücken::N,hát,ҫурӑм
25,Bauch::N,has,
26,Nabel::N,köldök,кӑвапа
27,Busen::N,mell,кӑкӑр
28,Busen::N,kebel,кӑкӑр
29,Brust::N,mell,умӗ
30,Schulter::N,váll,хул пуҫҫи
31,Arm::N,kar,алӑ
32,Ellenbogen::N,könyök,чавса
33,Hand::N,kéz,алӑ сыппи
34,Handfläche::N,tenyér,ал лаппи
35,Finger::N,ujj,пӳрне
36,Fingernagel::N,köröm,чӗрне
37,Nagel[Anatomie]::N,köröm,чӗрне
38,Zeh::N,lábujj,пӳрне
39,Fuß::N,láb,ура лаппи
40,Ferse::N,sarok,кӗле
41,Knie::N,térd,чӗркуҫҫи
42,Oberschenkel::N,comb,пӗҫӗ
43,Bein::N,láb,ура
44,Bein::N,lábszár,ура
45,Körper::N,test,ӳт
46,Körper::N,test,ӳт-пӳ
47,Haut::N,bőr,тир
48,Blut::N,vér,юн
49,Ader::N,ér,вена
50,Sehne::N,ín,шӑнӑр
51,Knochen::N,csont,шӑмӑ
52,Gehirn::N,agy,миме
53,Gehirn::N,agyvelő,миме
54,Herz::N,szív,чӗре
55,Magen::N,gyomor,хырӑмлӑх
56,Leber::N,máj,пӗвер
57,Atem::N,lehelet,сывлав
58,Atem::N,lélegzet,сывлав
59,Hunger::N,éhség,выҫлӑх
60,Träne::N,könny,куҫҫуль
61,Geschmack::N,íz,техӗм
62,Geruch::N,szag,шӑршӑ
63,Schlaf::N,álom,ыйхӑ
64,Schlaf::N,alvás,ыйхӑ
65,Traum::N,álom,тӗлӗк
66,Himmel::N,ég,пӗлӗт
67,Himmel::N,menny,пӗлӗт
68,Sonne::N,nap,хӗвел
69,Mond::N,hold,уйӑх
70,Stern::N,csillag,ҫӑлтӑр
71,Luft::N,levegő,сывлӑш
72,Wind::N,szél,ҫил
73,Welle::N,hullám,хум
74,Wasser::N,víz,шыв
75,Wasser::N,víz,шыв-шур
76,Stein::N,kő,чул
77,Boden::N,föld,тӑпра
78,Boden::N,talaj,тӑпра
79,Erde::N,föld,ҫӗр
80,Staub::N,por,тусан
81,Rauch::N,füst,тӗтӗм
82,Funke::N,szikra,хӗм
83,Feuer::N,tűz,вут
84,Feuer::N,tűz,ҫулӑм
85,Licht::N,fény,ҫутӑ
86,Schatten::N,árnyék,сулхӑн
87,Wetter::N,idő,ҫанталӑк
88,Wetter::N,időjárás,ҫанталӑк
89,Nebel::N,köd,тӗтре
90,Wolke::N,felhő,пӗлӗт
91,Regen::N,eső,ҫумӑр
92,Schnee::N,hó,юр
93,Eis::N,jég,пӑр
94,Frost::N,fagy,сивӗ
95,Kälte::N,hideg,сивӗ
96,Hitze::N,hő,вӗри
97,Hitze::N,hő,шӑрӑх
98,Hitze::N,hőség,вӗри
99,Hitze::N,hőség,шӑрӑх
100,Raureif::N,zúzmara,пас
101,Regenbogen::N,szivárvány,асамат кӗперӗ
102,Donner::N,dörgés,аслати
103,Donner::N,mennydörgés,аслати
104,Strömung::N,áramlat,юхӑ
105,Tropfen::N,csepp,тумлам
106,Schaum::N,hab,кӑпӑк
107,Schaum::N,tajték,кӑпӑк
108,Schmutz::N,piszok,пылчӑк
109,See::N,tó,кӳлӗ
110,Sumpf::N,mocsár,шур
111,Sumpf::N,mocsár,шурлӑх
112,Moor::N,láp,торфлӑ шурлӑх
113,Wiese::N,rét,улӑх
114,Wiese::N,rét,ҫаран
115,Wiese::N,mező,улӑх
116,Wiese::N,mező,ҫаран
117,Wald::N,erdő,вӑрман
118,Hügel::N,domb,сӑрт
119,Hügel::N,domb,тӗмеске
120,Anhöhe::N,magaslat,сӑрт
121,Berg::N,hegy,ту
122,Gipfel::N,csúcs,тӳпе
123,Höhle::N,barlang,ҫӗр хӑвӑлӗ
124,Abhang::N,lejtő,тӑвайкки
125,Quelle::N,forrás,ҫӑл куҫ
126,Bach::N,patak,пӗчӗк шыв
127,Fluss::N,folyó,юхан шыв
128,Ufer::N,part,ҫыран
129,Küste::N,tengerpart,тинӗс ҫыранӗ
130,Festland::N,szárazföld,тип ҫӗр
131,Meer::N,tenger,тинӗс
132,Bucht::N,öböl,тинӗс кукӑрӗ
133,Insel::N,sziget,утрав
134,Blume::N,virág,чечек
135,Gras::N,fű,курӑк
136,Wurzel::N,gyökér,тымар
137,Baum::N,fa,йывӑҫ
138,Stamm::N,tő,вулӑ
139,Stamm::N,törzs,вулӑ
140,Rinde::N,kéreg,хуйӑр
141,Ast::N,ág,турат
142,Zweig::N,gally,турат
143,Blatt::N,levél,ҫулҫӑ
144,Birke::N,nyír,хурӑн
145,Kiefer[Baum]::N,fenyő,хыр
146,Weide[Baum]::N,fűz,хӑва
147,Tanne::N,fenyő,чӑрӑш
148,Horn::N,szarv,мӑйрака
149,Feder::N,toll,тӗк
150,Fell::N,szőr,ҫӑм
151,Fell::N,bunda,ҫӑм
152,Flügel::N,szárny,ҫунат
153,Klaue::N,köröm,чӗрне
154,Kralle::N,karom,ура
155,Schwanz::N,farok,хӳре
156,Ei::N,tojás,ҫӑмарта
157,Nest::N,fészek,йӑва
158,Bau::N,odú,йӗнӗ
159,Tier::N,állat,выльӑх
160,Herde::N,nyáj,кӗтӳ
161,Herde::N,csorda,кӗтӳ
162,Kuh::N,tehén,ӗне
163,Bulle::N,bika,вӑкӑр
164,Pferd::N,ló,лаша
165,Schaf::N,juh,сурӑх
166,Schaf::N,birka,сурӑх
167,Schwein::N,sertés,сысна
168,Hund::N,eb,йытӑ
169,Hund::N,kutya,йытӑ
170,Katze::N,macska,кушак
171,Bär::N,medve,упа
172,Eichhörnchen::N,mókus,пакша
173,Elch::N,jávorszarvas,пӑши
174,Fuchs::N,róka,тилӗ
175,Hase::N,nyúl,куян
176,Hase::N,nyúl,мулкач
177,Maus::N,egér,шӑши
178,Wolf::N,farkas,кашкӑр
179,Vogel::N,madár,кайӑк
180,Vogel::N,madár,вӗҫен кайӑк
181,Schwarm::N,raj,ушкӑн
182,Huhn::N,tyúk,чӑх
183,Huhn::N,tyúk,чӑхӑ
184,Hahn::N,kakas,автан
185,Gans::N,lúd,хур
186,Gans::N,liba,хур
187,Adler::N,sas,ӑмӑрт кайӑк
188,Ente::N,kacsa,кӑвакал
189,Eule::N,bagoly,тӑмана
190,Kranich::N,daru,тӑрна
191,Krähe::N,varjú,ула курак
192,Kuckuck::N,kakukk,куккук
193,Schwan::N,hattyú,акӑш
194,Fisch::N,hal,пулӑ
195,Barsch::N,sügér,уланкӑ
196,Hecht::N,csuka,ҫӑрттан
197,Schlange[Tier]::N,kígyó,ҫӗлен
198,Wurm::N,kukac,ӑман
199,Spinne::N,pók,эрешмен
200,Ameise::N,hangya,кӑткӑ
201,Laus::N,tetű,пыйтӑ
202,Mücke::N,szúnyog,вӑрӑм туна
203,Fliege::N,légy,шӑна
204,Schmetterling::N,lepke,лӗпӗш
205,Schmetterling::N,pillangó,лӗпӗш
206,Beere::N,bogyó,ҫырла
207,Apfel::N,alma,улма
208,Apfel::N,alma,пан улми
209,Pilz::N,gomba,кӑмпа
210,Zwiebel::N,hagyma,сухан
211,Saat::N,vetőmag,вӑрӑ
212,Korn::N,mag,тӗшӗ
213,Korn::N,mag,пӗрчӗ
214,Korn::N,szem,тӗшӗ
215,Korn::N,szem,пӗрчӗ
216,Heu::N,széna,утӑ
217,Schale::N,héj,хупӑ
218,Grube::N,verem,шӑтӑк
219,Falle::N,csapda,тапӑ
220,Falle::N,csapda,капкӑн
221,Schlinge::N,tőr,йӑлӑ
222,Spur::N,nyom,йӗр
223,Asche::N,hamu,кӗл
224,Dreck::N,sár,пылчӑк
225,Dreck::N,piszok,пылчӑк
226,Eisen::N,vas,тимӗр
227,Gold::N,arany,ылтӑн
228,Silber::N,ezüst,кӗмӗл
229,Kohle::N,szén,кӑмрӑк
230,Glas::N,üveg,кӗленче
231,Lehm::N,agyag,тӑм
232,Lehm::N,vályog,тӑм
233,Sand::N,homok,хӑйӑр
234,Mensch::N,ember,ҫын
235,Mensch::N,ember,этем
236,Mann::N,úr,ар
