,Concept_ID,ady,kk
0,Auge::N,нэ,көз
1,Ohr::N,тхьакӏу́м,құлақ
2,Nase::N,пэ,мұрын
3,Mund::N,жэ,ауыз
4,Zahn::N,цэ,тіс
5,Zunge::N,бзэгу,тіл
6,Lippe::N,ӏупшӏэ́,ерін
7,Wange::N,нэкӏу́шъу,ұрт
8,Gesicht::N,нэ́гу,бет-аузы
9,Stirn::N,натӏэ́,маңдай
10,Haar::N,шъхьацы́,қыл
11,Bart::N,жакӏэ́,сақал
12,Kinn::N,жэкӏэпэпкъ,иек
13,Kiefer[Anatomie]::N,жэпкъы́,жақ
14,Kehle::N,чый,алқым
15,Hals::N,пшъэ,мойын
16,Genick::N,шъхьэпхэтыку,желке
17,Kopf::N,шъхьэ́,кәллә
18,Rücken::N,кӏыбы́,арқа
19,Bauch::N,ныбэ́,қарын
20,Busen::N,бгъэ́,омырау
21,Brust::N,бгъэ́,кеуде
22,Schulter::N,блыпкъ,иық
23,Arm::N,ӏэ,қол
24,Ellenbogen::N,ӏэнтэ́гъу,шынтақ
25,Hand::N,ӏэтхьэцу,қол
26,Handfläche::N,ӏэ́гу,алақан
27,Finger::N,ӏэхъуа́мб,саусақ
28,Fingernagel::N,ӏэбжъа́н,тырнақ
29,Nagel[Anatomie]::N,ӏэбжъа́н,тырнақ
30,Zeh::N,ӏэхъуа́мб,тырнақ
31,Zeh::N,ӏэхъуа́мб,тұяқ
32,Fuß::N,лъэгу,аяқ-басы
33,Ferse::N,лъэдакъэ,өкше
34,Ferse::N,лъэдакъэ,өкшелік
35,Knie::N,лъагуа́ндж,тізе
36,Oberschenkel::N,ко,жамбас
37,Bein::N,лъакъо́,аяқ
38,Körper::N,пкъышъол,дене
39,Haut::N,кӏы́шъу,тері
40,Blut::N,лъы,қан
41,Ader::N,льытф,көктамыр
42,Ader::N,льытф,күретамыр
43,Sehne::N,фэ,сіңір
44,Knochen::N,къупшъхьэ́,жілік
45,Gehirn::N,куцӏы,ми
46,Herz::N,гу,жүрек
47,Magen::N,мышкӏу,асқазан
48,Leber::N,шӏу,бауыр
49,Atem::N,къэщэныр,леп
50,Hunger::N,гъаблэ́,ашаршылық
51,Träne::N,нэпсы,жас
52,Geschmack::N,ӏэшӏугъа́кӏ,дәм
53,Geschmack::N,ӏэшӏугъа́кӏ,татым
54,Geschmack::N,ӏэшӏугъа́кӏ,талғам
55,Geruch::N,мэ,иіс
56,Schlaf::N,пчыхьы́пӏ,ұйқы
57,Schlaf::N,пчыхьы́пӏ,ұйықтау
58,Traum::N,пчыхьы́пӏ,түс
59,Himmel::N,уашъо́,аспан
60,Himmel::N,уашъо́,көқ
61,Himmel::N,уашъо́,таңдай
62,Sonne::N,тыгъэ,күн
63,Mond::N,мазэ,ай
64,Stern::N,жъуагъо́,жұлдыз
65,Luft::N,жьы,әуе
66,Wind::N,жьыбгъэ́,жел
67,Welle::N,ор,толқын
68,Welle::N,оры,толқын
69,Wasser::N,псы,су
70,Stein::N,мыжъо́,тас
71,Boden::N,чӏ́ыгу,қыртыс
72,Erde::N,чӏ́ыгу,топырақ
73,Staub::N,сап,шаң
74,Rauch::N,ӏугъо́,түтін
