,Concept_ID,kk,de
0,Auge::N,көз,Auge
1,Ohr::N,құлақ,Ohr
2,Nase::N,мұрын,Nase
3,Mund::N,ауыз,Mund
4,Zahn::N,тіс,Zahn
5,Zunge::N,тіл,Zunge
6,Lippe::N,ерін,Lippe
7,Wange::N,ұрт,Wange
8,Gesicht::N,бет-аузы,Gesicht
9,Stirn::N,маңдай,Stirn
10,Haar::N,қыл,Haar
11,Schnurrbart::N,мұрт,Schnurrbart
12,Bart::N,сақал,Bart
13,Kinn::N,иек,Kinn
14,Kiefer[Anatomie]::N,жақ,Kiefer
15,Kehle::N,алқым,Kehle
16,Hals::N,мойын,Hals
17,Genick::N,желке,Genick
18,Kopf::N,кәллә,Kopf
19,Rücken::N,арқа,Rücken
20,Bauch::N,қарын,Bauch
21,Nabel::N,кіндік,Nabel
22,Busen::N,омырау,Busen
23,Brust::N,кеуде,Brust
24,Schulter::N,иық,Schulter
25,Arm::N,қол,Arm
26,Ellenbogen::N,шынтақ,Ellenbogen
27,Hand::N,қол,Hand
28,Handfläche::N,алақан,Handfläche
29,Finger::N,саусақ,Finger
30,Fingernagel::N,тырнақ,Fingernagel
31,Nagel[Anatomie]::N,тырнақ,Nagel
32,Zeh::N,тырнақ,Zeh
33,Zeh::N,тұяқ,Zeh
34,Fuß::N,аяқ-басы,Fuß
35,Ferse::N,өкше,Ferse
36,Ferse::N,өкшелік,Ferse
37,Knie::N,тізе,Knie
38,Oberschenkel::N,жамбас,Oberschenkel
39,Bein::N,аяқ,Bein
40,Körper::N,дене,Körper
41,Haut::N,тері,Haut
42,Blut::N,қан,Blut
43,Ader::N,көктамыр,Ader
44,Ader::N,күретамыр,Ader
45,Sehne::N,сіңір,Sehne
46,Knochen::N,жілік,Knochen
47,Gehirn::N,ми,Gehirn
48,Herz::N,жүрек,Herz
49,Magen::N,асқазан,Magen
50,Leber::N,бауыр,Leber
51,Atem::N,леп,Atem
52,Hunger::N,ашаршылық,Hunger
53,Träne::N,жас,Träne
54,Geschmack::N,дәм,Geschmack
55,Geschmack::N,татым,Geschmack
56,Geschmack::N,талғам,Geschmack
57,Geruch::N,иіс,Geruch
58,Schlaf::N,ұйқы,Schlaf
59,Schlaf::N,ұйықтау,Schlaf
60,Traum::N,түс,Traum
61,Himmel::N,аспан,Himmel
62,Himmel::N,көқ,Himmel
63,Himmel::N,таңдай,Himmel
64,Sonne::N,күн,Sonne
65,Mond::N,ай,Mond
66,Stern::N,жұлдыз,Stern
67,Luft::N,әуе,Luft
68,Wind::N,жел,Wind
69,Welle::N,толқын,Welle
70,Wasser::N,су,Wasser
71,Stein::N,тас,Stein
72,Boden::N,қыртыс,Boden
73,Erde::N,топырақ,Erde
74,Staub::N,шаң,Staub
75,Rauch::N,түтін,Rauch
76,Funke::N,ұшқын,Funke
77,Feuer::N,алау,Feuer
78,Licht::N,шұғыла,Licht
79,Schatten::N,көлеңке,Schatten
80,Wetter::N,ауа райы,Wetter
81,Nebel::N,тұман,Nebel
82,Wolke::N,бұлт,Wolke
83,Regen::N,жаңбыр,Regen
84,Schnee::N,қар,Schnee
85,Eis::N,мұз,Eis
86,Frost::N,суық,Frost
87,Kälte::N,ызғар,Kälte
88,Kälte::N,суықтық,Kälte
89,Hitze::N,аптап,Hitze
90,Raureif::N,қырау,Raureif
91,Regenbogen::N,кемпірқосақ,Regenbogen
92,Donner::N,күн күркіреу,Donner
93,Strömung::N,ағын,Strömung
94,Tropfen::N,тамшы,Tropfen
95,Schaum::N,көбік,Schaum
96,Schmutz::N,кір,Schmutz
97,See::N,көл,See
98,Sumpf::N,саз,Sumpf
99,Moor::N,саз,Moor
100,Wiese::N,шалғын,Wiese
101,Wald::N,орман,Wald
102,Hügel::N,төбе,Hügel
103,Hügel::N,белес,Hügel
104,Hügel::N,белес-белес,Hügel
105,Anhöhe::N,дөң,Anhöhe
106,Anhöhe::N,адыр,Anhöhe
107,Anhöhe::N,қырат,Anhöhe
108,Berg::N,тау,Berg
109,Gipfel::N,төбе,Gipfel
110,Höhle::N,үңгір,Höhle
111,Abhang::N,бауыр,Abhang
112,Quelle::N,қайнар,Quelle
113,Bach::N,жылға,Bach
114,Fluss::N,өзен,Fluss
115,Ufer::N,жиек,Ufer
116,Küste::N,жиегі,Küste
117,Küste::N,жағалау,Küste
118,Festland::N,құрылық,Festland
119,Meer::N,теңіз,Meer
120,Bucht::N,шығанақ,Bucht
121,Insel::N,арал,Insel
122,Blume::N,гүл,Blume
123,Gras::N,от,Gras
124,Wurzel::N,түбір,Wurzel
125,Baum::N,ағаш,Baum
126,Baum::N,дарақ,Baum
127,Stamm::N,сояу,Stamm
128,Stamm::N,оқпан,Stamm
129,Rinde::N,қабық,Rinde
130,Ast::N,бұтақ,Ast
131,Zweig::N,шыбық,Zweig
132,Blatt::N,жапырақ,Blatt
133,Birke::N,қайың,Birke
134,Kiefer[Baum]::N,қарағай,Kiefer
135,Weide[Baum]::N,тал,Weide
136,Tanne::N,шырша,Tanne
137,Horn::N,мүйіз,Horn
138,Feder::N,қаламұш,Feder
139,Fell::N,тері,Fell
140,Flügel::N,қанат,Flügel
141,Klaue::N,тырнақ,Klaue
142,Kralle::N,аяқ,Kralle
143,Schwanz::N,құйрық,Schwanz
144,Ei::N,жұмыртқа,Ei
145,Nest::N,ұя,Nest
146,Bau::N,жатақ,Bau
147,Tier::N,айуан,Tier
148,Tier::N,жануар,Tier
149,Herde::N,пада,Herde
150,Kuh::N,сиыр,Kuh
151,Bulle::N,өгіз,Bulle
152,Pferd::N,жылқы,Pferd
153,Schaf::N,қой,Schaf
154,Schwein::N,шошқа,Schwein
155,Hund::N,ит,Hund
156,Katze::N,мысық,Katze
157,Bär::N,аю,Bär
