,Concept_ID,la,kn
0,Auge::N,oculus,ಕಣ್ಣು
1,Ohr::N,auris,ಕಿವಿ
2,Nase::N,nasus,ಮೂಗು
3,Mund::N,os,ಬಾಯಿ
4,Zahn::N,dens,ಹಲ್ಲು
5,Zunge::N,lingua,ನಾಲಿಗೆ
6,Lippe::N,labrum,ತುಟಿ
7,Wange::N,gena,ಗಲ್ಲ
8,Gesicht::N,vultus,ಮುಖ
9,Stirn::N,frons,ಹಣೆ
10,Haar::N,capillus,ಕೂದಲು
11,Schnurrbart::N,barba labri superioris,ಮೀಸೆ
12,Bart::N,barba,ಗಡ್ಡ
13,Kinn::N,mentum,ಗದ್ದ
14,Kiefer[Anatomie]::N,mala,ದವಡೆ
15,Kehle::N,iugulums,ಗಂಟಲು
16,Hals::N,collum,ಕೊರಳು
17,Genick::N,cervices,ಹಿಂಗತ್ತು
18,Kopf::N,caput,ತಲೆ
19,Rücken::N,tergum,ಬೆನ್ನು
20,Bauch::N,venter,ಹೊಟ್ಟೆ
21,Nabel::N,umbilicus,ಹೊಕ್ಕುಳು
22,Busen::N,sinus,ಸ್ತನ
23,Brust::N,pectus,ಎದೆ
24,Schulter::N,umerus,ಭುಜ
25,Arm::N,bracchium,ತೋಳು
26,Ellenbogen::N,cubitum,ಮೊಣಕೈ
27,Hand::N,manus,ಕೈ
28,Handfläche::N,palma,ಅಂಗೈ
29,Finger::N,digitus,ಕೈಬೆರಳು
30,Fingernagel::N,unguiculus,ಉಗುರು
31,Nagel[Anatomie]::N,unguis,ಉಗುರು
32,Zeh::N,digitus,ಕಾಲ್ಬೆರಳು
33,Fuß::N,pes,ಪಾದ
34,Ferse::N,calx,ಹಿಮ್ಮಡಿ
35,Knie::N,genu,ಮಂಡಿ
36,Oberschenkel::N,femur,ತೊಡೆ
37,Bein::N,crus,ಕಾಲು
38,Körper::N,corpus,ದೇಹ
39,Haut::N,cutis,ಚರ್ಮ
40,Haut::N,pellis,ಚರ್ಮ
41,Blut::N,sanguis,ರಕ್ತ
42,Ader::N,vena,ನರ
43,Sehne::N,nervus,ನರ
44,Knochen::N,os,ಮೂಳೆ
45,Gehirn::N,cerebrum,ಮಿದುಳು
46,Herz::N,cor,ಹೃದಯ
47,Herz::N,animus,ಹೃದಯ
48,Magen::N,stomachus,ಉದರ
49,Leber::N,iecur,ಯಕೃತ್ತು
50,Atem::N,spiritus,ಉಸಿರು
51,Hunger::N,fames,ಹಸಿವು
52,Träne::N,lacrima,ಕಣ್ಣೀರು
53,Geschmack::N,sapor,ರುಚಿ
54,Geschmack::N,gustus,ರುಚಿ
55,Geruch::N,odor,ವಾಸನೆ
56,Schlaf::N,somnus,ನಿದ್ರೆ
57,Traum::N,somnium,ಕನಸು
58,Himmel::N,caelum,ಬಾನು
59,Sonne::N,sol,ಸೂರ್ಯ
60,Mond::N,luna,ಚಂದ್ರ
61,Stern::N,sidus,ಚುಕ್ಕಿ
62,Stern::N,stella,ಚುಕ್ಕಿ
63,Luft::N,aer,ವಾಯು
64,Wind::N,ventus,ಗಾಳಿ
65,Welle::N,unda,ಅಲೆ
66,Wasser::N,aqua,ನೀರು
67,Stein::N,lapis,ಕಲ್ಲು
68,Boden::N,solum,ನೆಲ
69,Erde::N,terra,ಭೂಮಿ
70,Staub::N,pulvis,ದೂಳು
71,Rauch::N,fumus,ಹೊಗೆ
72,Funke::N,scintilla,ಕಿಡಿ
73,Feuer::N,ignis,ಬೆಂಕಿ
74,Licht::N,lux,ಬೆಳಕು
75,Licht::N,lumen,ಬೆಳಕು
76,Schatten::N,umbra,ನೆರಳು
77,Wetter::N,caelum,ಹವ
78,Wetter::N,tempestas,ಹವ
79,Nebel::N,nebula,ಮಂಜು
80,Wolke::N,nubes,ಮೋಡ
81,Regen::N,imber,ಮಳೆ
82,Regen::N,pluvia,ಮಳೆ
83,Schnee::N,nix,ಹಿಮ
84,Eis::N,glacies,ಮಂಜುಗಡ್ಡೆ
85,Frost::N,gelu,ಮಂಜು
86,Kälte::N,frigus,ಹಿಮ
87,Hitze::N,calor,ಉಷ್ಣ
88,Hitze::N,aestus,ಉಷ್ಣ
89,Raureif::N,pruina,ಇಬ್ಬನಿ
90,Regenbogen::N,arcus,ಇಂದ್ರಚಾಪ
91,Donner::N,tonitrus,ಗುಡುಗು
92,Strömung::N,fluctus,ಪ್ರವಾಹ
93,Tropfen::N,gutta,ತೊಟ್ಟು
94,Schaum::N,spuma,ನೊರೆ
95,Schmutz::N,sordes,ಕಸ
96,Schmutz::N,squalor,ಕಸ
97,See::N,lacus,ಸರೋವರ
98,Sumpf::N,palus,ಜೌಗುಸ್ಥಳ
99,Moor::N,palus,ಬಂಜರು ಭೂಮಿ
100,Wiese::N,pratum,ಹುಲ್ಲುಗಾವಲು
101,Wald::N,silva,ಕಾಡು
102,Hügel::N,collis,ಗುಡ್ಡೆ
