,Concept_ID,myv,el
0,Auge::N,сельме,μάτι
1,Auge::N,сельме,οφθαλμός
2,Ohr::N,пиле,αυτί
3,Nase::N,судо,μύτη
4,Mund::N,курго,στόμα
5,Zahn::N,пей,δόντι
6,Zunge::N,кель,γλώσσα
7,Lippe::N,турва,χείλος
8,Wange::N,чамабока,παρειά
9,Wange::N,чамабока,μάγουλο
10,Wange::N,чамаумарь,παρειά
11,Wange::N,чамаумарь,μάγουλο
12,Gesicht::N,чама,πρόσωπο
13,Stirn::N,коня,μέτωπο
14,Haar::N,черь,μαλλιά
15,Schnurrbart::N,ус,μουστάκι
16,Schnurrbart::N,муюк,μουστάκι
17,Bart::N,сакал,γένια
18,Kinn::N,уло,πιγούνι
19,Kiefer[Anatomie]::N,пейпакар,σαγόνι
20,Kiefer[Anatomie]::N,пейловажа,σαγόνι
21,Kehle::N,кирьгапарь,λαρύγγι
22,Hals::N,кирьга,λαιμός
23,Genick::N,човонь,σβέρκος
24,Kopf::N,пря,κεφάλι
25,Rücken::N,копорь,ράχη
26,Bauch::N,пеке,κοιλιά
27,Nabel::N,почо,αφαλός
28,Busen::N,поте,στήθος
29,Brust::N,меште,στήθος
30,Schulter::N,лавтов,ώμος
31,Arm::N,кедь,χέρι
32,Arm::N,кедь,μπράτςο
33,Ellenbogen::N,кенерепакарь,αγκώνας
34,Hand::N,кедь,χέρι
35,Handfläche::N,кедькуншка,παλάμη
36,Handfläche::N,кедьлапушка,παλάμη
37,Finger::N,сур,δάχτυλο
38,Fingernagel::N,кенже,νύχι
39,Nagel[Anatomie]::N,кенже,νύχι
40,Zeh::N,пильге сур,δάχτυλο του ποδιού
41,Fuß::N,пильге,πόδι
42,Ferse::N,кочкаря,φτέρνα
43,Knie::N,эле,γόνατο
44,Knie::N,эзне,γόνατο
45,Knie::N,кумажа,γόνατο
46,Oberschenkel::N,качо,μηρός
47,Bein::N,пильге,πόδι
48,Körper::N,рунго,σώμα
49,Körper::N,рунго,κορμί
50,Haut::N,киське,πετσί
51,Blut::N,верь,αίμα
52,Ader::N,сан,φλέβα
53,Sehne::N,коське сан,νεύρο
54,Sehne::N,коське сан,τένοντας
55,Knochen::N,пакарь,οστό
56,Knochen::N,пакарь,κόκκαλο
57,Gehirn::N,удем,μυαλό
58,Gehirn::N,удем,εγκέφαλος
59,Herz::N,седей,καρδιά
60,Magen::N,пеке,στομάχι
61,Leber::N,максо,ήπαρ
62,Leber::N,максо,συκωτί
63,Atem::N,лексема,αναπνοή
64,Atem::N,оймень таргсема,αναπνοή
65,Hunger::N,вачочи,πείνα
66,Träne::N,селведь,δάκρυ
67,Geschmack::N,тансть,γεύση
68,Geruch::N,чине,οσμή
69,Geruch::N,чине,μυρωδία
70,Schlaf::N,удома,ύπνος
71,Traum::N,он,όνειρο
72,Himmel::N,менель,ουρανός
73,Sonne::N,чи,ήλιος
74,Mond::N,ков,σελήνη
75,Mond::N,ков,φεγγάρι
76,Stern::N,теште,άστρο
77,Stern::N,теште,αστέρι
78,Luft::N,кошт,αέρας
79,Wind::N,варма,αέρας
80,Wind::N,варма,άνεμος
81,Welle::N,толкун,κύμα
82,Wasser::N,ведь,νερό
83,Stein::N,кев,πέτρα
84,Boden::N,мода,χώμα
85,Erde::N,мастор,γη
86,Staub::N,пуль,σκόνη
87,Rauch::N,качамо,καπνός
88,Funke::N,сятко,σπίθα
89,Funke::N,сятко,σπινθήρας
90,Feuer::N,тол,φωτιά
91,Licht::N,валдо,φως
92,Schatten::N,сулей,σκιά
93,Schatten::N,сулей,ίσκιος
94,Schatten::N,сулейкс,σκιά
95,Schatten::N,сулейкс,ίσκιος
96,Wetter::N,ушо,καιρός
97,Nebel::N,сув,ομίχλη
98,Wolke::N,пель,σύννεφο
99,Regen::N,пиземс,βροχή
100,Schnee::N,лов,χιόνι
101,Eis::N,эй,πάγος
102,Frost::N,кельме,παγωνία
103,Kälte::N,якшамо,κρύο
104,Kälte::N,якшамо,ψύχος
105,Hitze::N,пси,ζέστη
106,Raureif::N,лекш,πάχνη
107,Regenbogen::N,пурьгинечирьке,ουράνιο τόξο
108,Regenbogen::N,пурьгинеёнкс,ουράνιο τόξο
109,Donner::N,пурьгине,βροντή
110,Strömung::N,чудема,ρεύμα
111,Strömung::N,чудевкс,ρεύμα
112,Tropfen::N,петнявкс,στάλα
113,Schaum::N,чов,αφρός
114,Schmutz::N,рудаз,βρωμιά
115,See::N,эрьке,λίμνη
116,Sumpf::N,чей,βάλτος
117,Moor::N,чей,έλος
118,Wiese::N,луга,λιβάδι
119,Wald::N,вирь,δάσος
120,Hügel::N,губорь,λόφος
121,Hügel::N,пандыне,λόφος
122,Anhöhe::N,губорь,ύψωμα
123,Anhöhe::N,пандыне,ύψωμα
124,Berg::N,пандо,όρος
125,Berg::N,пандо,βουνό
126,Gipfel::N,пря,κορυφή
127,Höhle::N,пещера,σπηλιά
128,Abhang::N,пандочама,πλαγιά
129,Quelle::N,ушодкс,πηγή
130,Quelle::N,ушодкс,βρύση
131,Bach::N,чудикерькс,ρυάκι
132,Fluss::N,лей,ποτάμι
133,Fluss::N,лей,ποταμός
134,Ufer::N,чире,όχθη
135,Küste::N,лейчире,ακτή
136,Küste::N,лейчире,ακρογιαλιά
137,Festland::N,мода,στεριά
138,Meer::N,моря,θάλασσα
139,Bucht::N,усия,κόλπος
140,Insel::N,усия,νησί
141,Insel::N,усия,νήσος
142,Blume::N,цеця,άνθος
143,Blume::N,цеця,λουλούδι
144,Gras::N,тикше,χόρτο
145,Gras::N,тикше,χορτάρι
146,Wurzel::N,юр,ρίζα
147,Wurzel::N,ундокс,ρίζα
148,Baum::N,чувто,δέντρο
149,Stamm::N,рунго,κορμός
150,Rinde::N,суд,φλούδα
151,Rinde::N,керь,φλούδα
152,Ast::N,морго,κλαδί
153,Zweig::N,тарад,κλαδί
154,Zweig::N,тарад,κλάδος
155,Blatt::N,лопа,φύλλο
156,Birke::N,килей,σημύδα
157,Kiefer[Baum]::N,пиче,πεύκο
158,Weide[Baum]::N,каль,ιτιά
159,Tanne::N,куз,έλατο
160,Horn::N,сюро,κέρας
161,Horn::N,сюро,κέρατο
162,Feder::N,толга,φτερό
163,Fell::N,пона,δέρμα
164,Fell::N,пона,τομάρι
165,Flügel::N,сёлмо,πτερύγιο
166,Klaue::N,кенже,κουλό
167,Kralle::N,кенже,νύχι
168,Schwanz::N,пуло,ουρά
169,Ei::N,ал,αβγό
170,Nest::N,пизэ,φωλιά
171,Bau::N,варя,φωλιά
172,Bau::N,пизе,φωλιά
173,Tier::N,ракша,ζώο
174,Herde::N,стада,κοπάδι
175,Kuh::N,скал,αγελάδα
176,Bulle::N,бука,ταύρος
177,Pferd::N,лишме,άλογο
178,Schaf::N,реве,πρόβατο
179,Schwein::N,туво,γουρούνι
180,Hund::N,пине,σκυλί
181,Hund::N,пине,σκύλος
182,Hund::N,киска,σκυλί
183,Hund::N,киска,σκύλος
184,Katze::N,псака,γάτα
185,Bär::N,овто,άρκτος
186,Bär::N,овто,αρκούδα
187,Eichhörnchen::N,ур,βερβερίτσα
188,Elch::N,сярдо,άλκη
189,Fuchs::N,ривезь,αλεπού
190,Hase::N,нумоло,λαγός
191,Maus::N,чеерь,ποντικός
192,Wolf::N,верьгиз,λύκος
193,Vogel::N,нармунь,πουλί
194,Schwarm::N,полк,σμήνος
195,Schwarm::N,стада,σμήνος
196,Huhn::N,сараз,κότα
197,Huhn::N,сараз,όρνιθα
198,Hahn::N,атякш,πετεινός
199,Gans::N,гала,χήνα
200,Gans::N,мацей,χήνα
201,Adler::N,куцькан,αετός
202,Adler::N,тумоатякш,αετός
203,Ente::N,яксярго,πάπια
204,Eule::N,корж,κουκουβάγια
205,Kranich::N,карго,γερανός
206,Krähe::N,варака,καρακάξα
207,Kuckuck::N,куко,κούκος
208,Schwan::N,локсей,κύκνος
209,Fisch::N,кал,ψάρι
210,Barsch::N,окунь,πέρκα
211,Hecht::N,щука,λούτσος
212,Schlange[Tier]::N,гуй,φίδι
213,Wurm::N,сукс,σκουλήκι
214,Spinne::N,шанжав,αράχνη
215,Ameise::N,коткудав,μυρμήγκι
216,Laus::N,сий,ψείρα
217,Mücke::N,сеське,κουνούπι
218,Fliege::N,карво,μύγα
219,Schmetterling::N,нимиляв,πεταλούδα
220,Beere::N,умарь,ρόγα
221,Apfel::N,умарь,μήλο
222,Pilz::N,панго,μανιτάρι
223,Zwiebel::N,чурька,κρεμμύδι
224,Saat::N,видьметь,σπόρος
225,Korn::N,сюро,σπυρί
226,Heu::N,тикше,σανός
227,Schale::N,кедь,τσόφλι
228,Schale::N,ваткавкс,τσόφλι
229,Grube::N,латко,λάκκος
230,Falle::N,тувор,παγίδα
231,Falle::N,кундамка,παγίδα
232,Schlinge::N,килькш,θηλειά
233,Spur::N,челькс,ίχνος
234,Spur::N,пильгеки,ίχνος
235,Asche::N,кулов,στάχτη
236,Dreck::N,рудаз,βρωμιά
237,Eisen::N,кшни,σίδερο
238,Gold::N,сырне,μάλαμα
239,Gold::N,сырне,χρυσάφι
240,Silber::N,сия,ασήμι
241,Silber::N,сия,άργυρος
242,Kohle::N,сэдь,κάρβουνο
243,Kohle::N,уголия,κάρβουνο
244,Glas::N,сулика,γυαλί
245,Lehm::N,сёвонь,πηλός
246,Sand::N,човар,άμμος
247,Mensch::N,ломань,άνθρωπος
248,Mann::N,аля,άνδρας
249,Mann::N,цёраломань,άνδρας
250,Frau::N,ава,γυναίκα
251,Kind::N,эйкакш,παιδί
252,Junge::N,цёрыне,αγόρι
253,Mädchen::N,тейтерне,κοπέλα
254,Mädchen::N,тейтерне,κορίτσι
255,Familie::N,семия,οικογένεια
256,Großvater::N,покштя,παππούς
257,Großmutter::N,баба,γιαγιά
258,Eltern::N,тетят-ават,γονείς
259,Vater::N,тетя,πατέρας
260,Mutter::N,ава,μητέρα
261,Sohn::N,цёра,γιος
262,Tochter::N,тейтерь,κόρη
263,Bruder::N,леля,αδελφός
264,Bruder::N,ялакс,αδελφός
265,Schwester::N,сазор,αδελφή
266,Onkel::N,леля,θείος
267,Tante::N,патя,θεία
268,Ehemann::N,мирде,σύζυγος
269,Ehefrau::N,ни,σύζυγος
270,Freude::N,кеняркс,χαρά
271,Gelächter::N,ракамо,γέλια
272,Gelächter::N,пейдема,γέλια
273,Glück::N,уцяска,ευτυχία
274,Kummer::N,рискс,έγνοια
275,Kummer::N,мелявкс,έγνοια
276,Wunsch::N,мель,επιθυμία
277,Wunsch::N,бажамо,επιθυμία
278,Lust::N,бажамо,όρεξη
279,Geist::N,ойме,πνέυμα
280,Gedanke::N,мель,σκέψη
281,Gedächtnis::N,мель,μνήμη
282,Verstand::N,прев,νους
283,Sinn::N,толк,νόημα
284,Sinn::N,смысла,νόημα
285,Grund::N,тувтал,λόγος
286,Wahrheit::N,видечи,αλήθεια
287,Gespräch::N,кортнема,συνομιλία
288,Märchen::N,ёвкс,παραμύθι
289,Erzählung::N,ёвтнема,διήγημα
290,Nachricht::N,куля,είδηση
291,Neuigkeit::N,куля,νέο
292,Name::N,лем,όνομα
293,Rätsel::N,содамоёвкс,αίνιγμα
294,Rede::N,кортамо,λόγος
295,Rede::N,кортамо,ομιλία
296,Sprache::N,кель,γλώσσα
297,Stimme::N,ваигель,φωνή
298,Wort::N,вал,λέξη
299,Zeichen::N,теште,σημείο
300,Ruf::N,тердема,κραυγή
301,Lärm::N,шалнома,θόρυβος
302,Laut::N,вайгель,ήχος
303,Ton::N,гайнема,ήχος
304,Ton::N,гайнема,τόνος
305,Lied::N,моро,τραγούδι
306,Ruhe::N,оймамо,ησυχία
307,Leute::N,ломанть,κόσμος
308,Leute::N,ломанть,άνθρωποι
309,Volk::N,народ,λαός
310,Arbeit::N,тев,εργασία
311,Gast::N,инже,επισκέπτης
312,Geschenk::N,казне,δώρο
313,Spiel::N,налксема,παιχνίδι
314,Gesellschaft::N,община,κοινωνία
315,Hilfe::N,лездамо,βοήθεια
316,Freund::N,оя,φίλος
317,Freund::N,ялга,φίλος
318,Kamerad::N,оя,σύντροφος
319,Kamerad::N,ялга,σύντροφος
320,Angelegenheit::N,тев,υπόθεση
321,Anzahl::N,ламоксчи,αριθμός
322,Art::N,вид,είδος
323,Stück::N,пакш,κομμάτι
324,Stück::N,пелькс,κομμάτι
325,Teil::N,часть,μέρος
326,Teil::N,пелькс,μέρος
327,Hälfte::N,пель,μισό
328,Hälfte::N,пелькс,μισό
329,Kreis::N,кирькс,κύκλος
330,Kreuz::N,крёст,σταυρός
331,Linie::N,кикс,γραμμή
332,Strich::N,межа,γραμμή
333,Abstand::N,ютко,απόσταση
334,Entfernung::N,ютко,απόσταση
335,Gegend::N,тарка,περιοχή
336,Gegend::N,тарка,τοποθεσία
337,Gegend::N,пертьпелькс,περιοχή
338,Gegend::N,пертьпелькс,τοποθεσία
339,Platz::N,васолкс,χώρος
340,Ort::N,тарка,τόπος
341,Seite::N,ён,πλευρά
342,Seite::N,чире,πλευρά
343,Mitte::N,куншка,μέση
344,Gegenstand::N,предмет,αντικείμενο
345,Sache::N,тев,πράγμα
346,Sache::N,веща,πράγμα
347,Rand::N,пе,άκρη
348,Rand::N,пе,χείλος
349,Rand::N,чире,άκρη
350,Rand::N,чире,χείλος
351,Kante::N,ирдез,άκρη
352,Ecke::N,ужо,γωνιά
353,Spitze::N,пряне,μύτη
354,Spitze::N,пе,μύτη
355,Ende::N,пе,άκρη
356,Loch::N,варя,τρύπα
357,Winkel::N,ужо,γωνία
358,Muster::N,сёрма,σχέδιο
359,Größe::N,сэрь,μέγεθος
360,Größe::N,покшолма,μέγεθος
361,Länge::N,кувалмо,μήκος
362,Höhe::N,сэрь,ύψος
363,Höhe::N,пандо,ύψος
364,Gewicht::N,сталмо,βάρος
365,Menge::N,лововкс,ποσότητα
366,Haufen::N,мар,σωρός
367,Haufen::N,валявкс,σωρός
368,Reihe::N,ряд,αράδα
369,Boot::N,венч,βάρκα
370,Ruder::N,милё,κουπί
371,Schlitten::N,нурдт,έλκηθρο
372,Ski::N,сокс,σκι
373,Lagerfeuer::N,толбандя,φωτιά
374,Last::N,сталмо,φορτίο
375,Last::N,кандома,φορτίο
376,Gang::N,молема,δρόμος
377,Gang::N,якамо,δρόμος
378,Schritt::N,эскелькс,βήμα
379,Norden::N,якшамо ёнкс,βορράς
380,Süden::N,лембе ёнкс,νότος
381,Westen::N,чивалгома,δύση
382,Osten::N,чилисема,ανατολή
383,Holz::N,чувто,ξύλο
384,Brett::N,лаз,σανίδι
385,Platte::N,плита,πλάκα
386,Stütze::N,неже,στήριγμα
387,Stange::N,олга,ραβδί
388,Stange::N,олга,κοντός
389,Stock::N,мандо,ξύλο
390,Stock::N,мандо,μπαστούνι
391,Stab::N,олога,ραβδί
392,Rohr::N,турба,σωλήνας
393,Haus::N,кудо,σπίτι
394,Heim::N,кудо,σπίτι
395,Ofen::N,каштомо,σόμπα
396,Ofen::N,каштомо,θερμάστρα
397,Fußboden::N,киякс,πάτωμα
398,Tisch::N,столь,τραπέζι
399,Stuhl::N,стул,καρέκλα
400,Wiege::N,лавсь,κούνια
401,Wiege::N,нурямот,κούνια
402,Bett::N,ацамо,κρεβάτι
403,Regal::N,лався,ράφι
404,Regal::N,лавсяланго,ράφι
405,Kiste::N,горобия,κιβώτιο
406,Kiste::N,сундук,κιβώτιο
407,Fenster::N,вальма,παράθυρο
408,Tür::N,кенкш,πόρτα
409,Tor::N,ортат,πύλη
410,Zaun::N,пирявт,φράχτης
411,Zaun::N,пирвякс,φράχτης
412,Dach::N,кудопря,στέγη
413,Leiter::N,кузтема,σκάλα
414,Leiter::N,кузтема,κλίμακα
415,Besen::N,тенсть,σκούπα
416,Spaten::N,койме,φτυάρι
417,Schaufel::N,кече,φτυάρι
418,Schaufel::N,келей койме,φτυάρι
419,Gabel::N,сянгине,πιρούνι
420,Löffel::N,пенч,κουτάλι
421,Messer::N,пеель,μαχαίρι
422,Nagel::N,эске,καρφί
423,Netz::N,алтыма,δίχτυ
424,Haken::N,кечказ,γάντζος
425,Haken::N,кечказ,αγκίστρι
426,Griff::N,кедне,λαβή
427,Schloss::N,замок,κλειδαριά
428,Schloss::N,панжома,κλειδαριά
429,Bild::N,картина,εικόνα
430,Figur::N,рунго,ανάστημα
431,Puppe::N,няка,κούκλα
432,Beutel::N,кескав,πουγγί
433,Bündel::N,керькс,δεμάτι
434,Tasche::N,юдма,τσάντα
435,Eimer::N,ведра,κουβάς
436,Deckel::N,велькс,καπάκι
437,Geschirr::N,кедьге,σκεύη
438,Sack::N,кескав,σάκος
439,Tasse::N,чакш,φλιτζάνι
440,Topf::N,кастрюля,χύτρα
441,Kessel::N,котёл,καζάνι
442,Essen::N,ярсамо,φαγητό
443,Nahrung::N,ярсамопель,τροφή
444,Speise::N,ярсамопель,φαγητό
445,Fleisch::N,сывель,κρέας
446,Getreide::N,сюро,σιτάρι
447,Brei::N,каша,χυλός
448,Brot::N,кши,ψωμί
449,Brot::N,кши,άρτος
450,Scheibe::N,кочом,φέτα
451,Scheibe::N,сускомо,φέτα
452,Fett::N,куя,πάχος
453,Butter::N,ой,βούτυρο
454,Öl::N,ой,λάδι
455,Salz::N,сал,αλάτι
456,Suppe::N,ям,σούπα
457,Honig::N,медь,μέλι
458,Milch::N,ловсо,γάλα
459,Tee::N,чай,τσάι
460,Leder::N,киське,πετσί
461,Wolle::N,пона,μαλλί
462,Stoff::N,коцт,ύφασμα
463,Nadel::N,салмукс,βελόνα
464,Faden::N,суре,κλωστή
465,Knopf::N,пов,κουμπί
466,Knoten::N,сюлмо,κόμπος
467,Farbe::N,артомапель,μπογιά
468,Kleidung::N,оршамот,ρούχα
469,Kleidung::N,оршамот,ενδυμασία
470,Hemd::N,панар,πουκάμισο
471,Kragen::N,сиве,κολάρο
472,Ärmel::N,ожа,μανίκι
473,Hose::N,понкст,πανταλόνι
474,Gürtel::N,каркс,ζώνη
475,Mütze::N,чапка,σκούφος
476,Schuh::N,туфля,παπούτσι
477,Stiefel::N,кем,μπότα
478,Ring::N,суркс,δαχτυλίδι
479,Band::N,лента,κορδέλα
480,Kamm::N,сурсеме,χτένα
481,Spiegel::N,чавачамо,καθρέφτης
482,Riemen::N,кшнань каркс,λουρί
483,Schnur::N,пикс,κορδόνι
484,Leine::N,ведьме,σχοινί
485,Decke::N,вельтямо,κουβέρτα
486,Kissen::N,тодов,μαξιλάρι
487,Tuch::N,паця,πανί
488,Tuch::N,паця,μαντήλι
489,Handtuch::N,нардамо,πετσέτα
490,Kraft::N,вий,δύναμη
491,Stärke::N,виевчи,ισχύς
492,Stärke::N,виевчи,δύναμη
493,Gesundheit::N,шумбрачи,υγεία
494,Krankheit::N,орма,αρρώστια
495,Krankheit::N,сэредема,αρρώστια
496,Schmerz::N,сэредькс,πόνος
497,Wunde::N,керявкс,πληγή
498,Fieber::N,маштыкс,πυρετός
499,Arznei::N,ормаменькс,φάρμακο
500,Brücke::N,сэдь,γέφυρα
501,Brücke::N,мадамо,γέφυρα
502,Brunnen::N,лисьма,πηγάδι
503,Weide::N,ракшань ванома тарка,βοσκή
504,Pfad::N,ян,μονοπάτι
505,Weg::N,ки,δρόμος
506,Straße::N,ки,οδός
507,Straße::N,ки,δρόμος
508,Dorf::N,веле,χωριό
509,Stadt::N,ош,πόλη
510,Brief::N,сёрма,γράμμα
511,Brief::N,сёрма,επιστολή
512,Buch::N,книга,βιβλίο
513,Buchstabe::N,буква,γράμμα
514,Zeitung::N,газета,εφημερίδα
515,Leben::N,эрямо,ζωή
516,Leben::N,эрямо,βίος
517,Tod::N,кулома,θάνατος
518,Grab::N,калмо,τάφος
519,Kirche::N,церькова,εκκλησία
520,Sünde::N,чумочи,αμαρτία
521,Gott::N,паз,θεός
522,Arbeiter::N,робочей,εργάτης
523,Chef::N,прявт,προϊστάμενος
