,Concept_ID,zh,kv
0,Auge::N,眼睛,син
1,Ohr::N,耳朵,пель
2,Nase::N,鼻子,ныр
3,Mund::N,嘴,ӧм
4,Zahn::N,牙齿,пинь
5,Zunge::N,舌头,кыв
6,Lippe::N,嘴唇,тырп
7,Wange::N,面颊,рожабан
8,Gesicht::N,脸,бан
9,Stirn::N,额,кымӧс
10,Haar::N,头发,юрси
11,Schnurrbart::N,髭须,уссэз
12,Bart::N,胡子,тош
13,Kinn::N,下巴,тшӧка
14,Kiefer[Anatomie]::N,颌,ан
15,Kehle::N,嗓子,юан
16,Hals::N,颈,юан
17,Genick::N,后颈,юр бӧр
18,Kopf::N,头,юр
19,Rücken::N,背,мышк
20,Bauch::N,肚子,кынӧм
21,Nabel::N,肚脐,гӧг
22,Busen::N,胸脯,морос
23,Brust::N,胸,морос
24,Schulter::N,肩膀,пельпон
25,Arm::N,臂膀,ки
26,Ellenbogen::N,肘,гырдзза
27,Hand::N,手,кикар
28,Handfläche::N,手掌,ки пыдӧс
29,Finger::N,手指,чунь
30,Fingernagel::N,指甲,гыж
31,Nagel[Anatomie]::N,指甲,гыж
32,Zeh::N,脚趾,чунь
33,Fuß::N,脚,кокпыдӧс
34,Ferse::N,后跟,кокдзир
35,Knie::N,膝,пидзӧс
36,Oberschenkel::N,大腿,лядьбей
37,Bein::N,腿,кок
38,Körper::N,身体,вывтыр
39,Haut::N,皮肤,кучик
40,Blut::N,血,вир
41,Ader::N,血管,сӧн
42,Sehne::N,腱,жила
43,Knochen::N,骨,коска
44,Gehirn::N,脑,вем
45,Herz::N,心,сьӧлӧм
46,Magen::N,胃,жӧвдӧк
47,Leber::N,肝,мус
48,Atem::N,呼吸,лолалӧм
49,Hunger::N,饿,тшыг
50,Träne::N,眼泪,синва
51,Geschmack::N,味道,кӧр
52,Geruch::N,气味,дук
53,Schlaf::N,睡眠,он
54,Traum::N,梦,вӧт
55,Himmel::N,天空,небо
56,Sonne::N,太阳,шондi
57,Mond::N,月亮,тӧлiсь
58,Stern::N,星,кӧдзыв
59,Luft::N,空气,ру
60,Wind::N,风,тӧв
61,Welle::N,波,гы
62,Wasser::N,水,ва
63,Stein::N,石头,из
64,Boden::N,地面,му
65,Erde::N,地,му
66,Staub::N,灰尘,бус
67,Rauch::N,烟,тшын
68,Funke::N,火花,бичир
69,Feuer::N,火,би
70,Licht::N,光,би
71,Schatten::N,影子,вуджӧр
72,Wetter::N,天气,погоддя
73,Nebel::N,雾,туман
74,Wolke::N,云,кымӧр
75,Regen::N,雨,зэр
