,Concept_ID,la,cy
0,Auge::N,oculus,llygad
1,Ohr::N,auris,clust
2,Nase::N,nasus,trwyn
3,Mund::N,os,ceg
4,Zahn::N,dens,dant
5,Zunge::N,lingua,tafod
6,Lippe::N,labrum,gwefus
7,Wange::N,gena,boch
8,Gesicht::N,vultus,wyneb
9,Stirn::N,frons,talcen
10,Haar::N,capillus,blew
11,Schnurrbart::N,barba labri superioris,mwstas
12,Bart::N,barba,barf
13,Kinn::N,mentum,gên
14,Kiefer[Anatomie]::N,mala,gên
15,Kehle::N,iugulums,gwddf
16,Hals::N,collum,gwddf
17,Genick::N,cervices,gwar
18,Genick::N,cervices,gwegil
19,Kopf::N,caput,pen
20,Rücken::N,tergum,cefn
21,Bauch::N,venter,bol
22,Nabel::N,umbilicus,bogail
23,Busen::N,sinus,bron
24,Brust::N,pectus,brest
25,Schulter::N,umerus,ysgwydd
26,Arm::N,bracchium,braich
27,Ellenbogen::N,cubitum,penelin
28,Hand::N,manus,llaw
29,Handfläche::N,palma,palf
30,Finger::N,digitus,bys
31,Fingernagel::N,unguiculus,ewin
32,Nagel[Anatomie]::N,unguis,ewin
33,Zeh::N,digitus,bys troed
34,Fuß::N,pes,troed
35,Ferse::N,calx,sawdl
36,Knie::N,genu,glin
37,Oberschenkel::N,femur,clun
38,Bein::N,crus,coes
39,Körper::N,corpus,corff
40,Haut::N,cutis,croen
41,Haut::N,pellis,croen
42,Blut::N,sanguis,gwaed
43,Ader::N,vena,gwythïen
44,Sehne::N,nervus,gewyn
45,Knochen::N,os,asgwrn
46,Gehirn::N,cerebrum,ymennydd
47,Herz::N,cor,calon
48,Herz::N,animus,calon
49,Magen::N,stomachus,cylla
50,Magen::N,stomachus,stumog
51,Leber::N,iecur,iau
52,Atem::N,spiritus,anadl
53,Hunger::N,fames,newyn
54,Träne::N,lacrima,deigryn
55,Geschmack::N,sapor,cyflas
56,Geschmack::N,gustus,cyflas
57,Geruch::N,odor,aroglau
58,Schlaf::N,somnus,cwsg
59,Traum::N,somnium,breuddwyd
60,Himmel::N,caelum,awyr
61,Sonne::N,sol,haul
