,Concept_ID,sl,nl
0,Auge::N,okó,oog
1,Ohr::N,uhó,oor
2,Nase::N,nós,neus
3,Mund::N,ústa,mond
4,Zahn::N,zób,tand
5,Zunge::N,jêzik,tong
6,Lippe::N,ústnica,lip
7,Wange::N,líce,wang
8,Gesicht::N,oblíčje,gelaat
9,Gesicht::N,oblíčje,gezicht
10,Stirn::N,čêlo,voorhoofd
11,Haar::N,lás,haar
12,Schnurrbart::N,bŕki,snor
13,Bart::N,bráda,baard
14,Kinn::N,bráda,kin
15,Kiefer[Anatomie]::N,čeljúst,kaak
16,Kehle::N,gŕlo,keel
17,Kehle::N,gŕlo,strot
18,Hals::N,vrát,hals
19,Genick::N,zatílnik,nek
20,Kopf::N,gláva,hoofd
21,Rücken::N,hrbèt,rug
22,Bauch::N,trébuh,buik
23,Nabel::N,pópek,navel
24,Busen::N,nédrja,boezem
25,Brust::N,pŕsi,borst
26,Schulter::N,ráma,schouder
27,Schulter::N,plêče,schouder
28,Arm::N,rôka,arm
29,Ellenbogen::N,komólec,elleboog
30,Hand::N,rôka,hand
31,Handfläche::N,dlán,handpalm
32,Finger::N,pŕst,vinger
33,Fingernagel::N,nóht na rôki,nagel
34,Nagel[Anatomie]::N,nóht,nagel
35,Zeh::N,pŕst na nôgi,teen
36,Fuß::N,nôga,voet
37,Ferse::N,pêta,hak
38,Ferse::N,pêta,hiel
39,Knie::N,koléno,knie
40,Oberschenkel::N,stêgno,dij
41,Bein::N,nôga,been
42,Körper::N,teló,lichaam
43,Haut::N,kóža,huid
44,Blut::N,krí,bloed
45,Ader::N,žíla,ader
46,Sehne::N,kíta,pees
47,Knochen::N,kóst,bot
48,Knochen::N,kóst,been
49,Knochen::N,kóst,knook
50,Gehirn::N,možgáni,hersenen
51,Herz::N,srcé,hart
52,Magen::N,želódec,maag
53,Leber::N,jétra,lever
54,Atem::N,díh,adem
55,Hunger::N,glád,honger
56,Träne::N,sólza,traan
57,Geschmack::N,okús,smaak
58,Geruch::N,vónj,geur
59,Schlaf::N,sèn,slaap
60,Schlaf::N,spánec,slaap
61,Traum::N,sánje,droom
62,Himmel::N,nebó,hemel
63,Sonne::N,sónce,zon
64,Mond::N,lúna,maan
65,Mond::N,mésec,maan
66,Stern::N,zvézda,ster
67,Luft::N,zràk,lucht
68,Wind::N,véter,wind
69,Welle::N,vál,golf
70,Wasser::N,vôda,water
71,Stein::N,kámen,steen
72,Boden::N,tlà,grond
73,Erde::N,pŕst,aarde
74,Erde::N,zêmlja,aarde
75,Staub::N,práh,stof
76,Rauch::N,dìm,rook
77,Funke::N,ískra,vonk
78,Feuer::N,ôgenj,vuur
79,Licht::N,lúč,licht
80,Schatten::N,sénca,schaduw
81,Wetter::N,vrême,weer
82,Nebel::N,meglà,mist
83,Nebel::N,meglà,nevel
84,Wolke::N,oblák,wolk
85,Regen::N,dèž,regen
86,Schnee::N,snég,sneeuw
87,Eis::N,léd,ijs
88,Frost::N,zmrzál,vorst
89,Kälte::N,mràz,kou
90,Kälte::N,mràz,koude
91,Hitze::N,pripéka,hitte
92,Raureif::N,ívje,rijp
93,Raureif::N,slána,rijp
94,Regenbogen::N,mávrica,regenboog
