,Concept_ID,pl,kl
0,Auge::N,oko,isi
1,Ohr::N,ucho,siut
2,Nase::N,nos,
3,Mund::N,usta,paaq
4,Mund::N,usta,qaneq
5,Zahn::N,ząb,kigut
6,Zunge::N,język,oqaq
7,Lippe::N,warga,qarloq
8,Wange::N,policzek,ersaq
9,Gesicht::N,twarz,kiinaq
10,Stirn::N,czoło,qaaq
11,Haar::N,włos,meqqoq
12,Haar::N,włosy,meqqoq
13,Schnurrbart::N,wąsy,
14,Bart::N,broda,umik
15,Kinn::N,podbródek,talloq
16,Kiefer[Anatomie]::N,czeluść,alleroq
17,Kehle::N,gardło,malaq
18,Hals::N,szyja,qungaseq
19,Genick::N,kark,pukusuk
20,Kopf::N,głowa,niaqoq
21,Rücken::N,plecy,qimerlut
22,Rücken::N,grzbiet,qimerlut
23,Bauch::N,brzuch,naaq
24,Nabel::N,pępek,qalaseq
25,Busen::N,biust,iviangeq
26,Brust::N,pierś,iviangeq
27,Schulter::N,bark,ersik
28,Schulter::N,bark,assaqqoq
29,Schulter::N,ramię,ersik
30,Schulter::N,ramię,assaqqoq
31,Arm::N,ręka,taleq
32,Arm::N,ramię,taleq
33,Ellenbogen::N,łokieć,ikusik
34,Hand::N,dłoń,assak
35,Handfläche::N,dłoń,itumak
36,Finger::N,palec,inuak
37,Fingernagel::N,paznokieć,kikiak
38,Nagel[Anatomie]::N,paznokieć,kukik
39,Zeh::N,palec,isigak
40,Fuß::N,stopa,
41,Ferse::N,pięta,kimmik
42,Knie::N,kolano,seeqqoq
43,Oberschenkel::N,udo,uppat
44,Oberschenkel::N,udo,quttoraq
45,Bein::N,noga,isigak
46,Körper::N,ciało,timi
47,Haut::N,skóra,mattak
48,Blut::N,krew,aak
49,Ader::N,żyła,taqaq
50,Sehne::N,ścięgno,ujalu
51,Sehne::N,ścięgno,ujaloq
52,Knochen::N,kość,saanikut
53,Gehirn::N,mózg,qarasaq
54,Herz::N,serce,uummat
55,Magen::N,żołądek,aqajaroq
56,Leber::N,wątroba,tinguk
57,Atem::N,dech,anerneq
58,Atem::N,oddech,anerneq
59,Hunger::N,głód,kaanneq
60,Träne::N,łza,qia
61,Träne::N,łza,qiak
62,Geschmack::N,smak,qilanaartuut
63,Geruch::N,woń,tipi
64,Geruch::N,woń,tipik
65,Geruch::N,zapach,tipi
66,Geruch::N,zapach,tipik
67,Schlaf::N,sen,
68,Traum::N,sen,sinnattoq
69,Traum::N,sen,sinnattugaq
70,Himmel::N,niebo,qilak
71,Sonne::N,słońce,seqineq
72,Mond::N,księżyc,qaammat
73,Stern::N,gwiazda,ulloriaq
74,Luft::N,powietrze,silaannaq
75,Wind::N,wiatr,anori
76,Wind::N,wiatr,anorsarik
77,Welle::N,fala,aalappaa
78,Wasser::N,woda,imeq
79,Stein::N,kamień,ujarak
80,Boden::N,grunt,nateq
81,Erde::N,ziemia,issoq
82,Staub::N,pył,pujualanerit
83,Staub::N,pył,pujoralanerit
84,Staub::N,kurz,pujualanerit
85,Staub::N,kurz,pujoralanerit
86,Rauch::N,dym,iseq
87,Rauch::N,dym,pujoq
88,Funke::N,iskra,illoorneq
89,Feuer::N,ogień,inneq
90,Licht::N,światło,qaamaneq
91,Schatten::N,cień,tarraq
92,Wetter::N,pogoda,sila
93,Nebel::N,mgła,pujoq
94,Wolke::N,obłok,nuia
95,Wolke::N,chmura,nuia
96,Regen::N,deszcz,sialuk
97,Schnee::N,śnieg,aput
98,Eis::N,lód,siku
99,Frost::N,mróz,issi
100,Frost::N,mróz,issik
101,Kälte::N,chłód,issi
102,Hitze::N,gorąco,kianneq
103,Hitze::N,gorąco,kiassuseq
104,Raureif::N,szron,kaneq
105,Regenbogen::N,tęcza,neriusaaq
106,Donner::N,grzmot,kalleq
107,Strömung::N,nurt,
108,Tropfen::N,kropla,kuseriarneq
109,Schaum::N,piana,qapuk
110,Schmutz::N,brud,minguk
111,See::N,jezioro,taseq
112,Sumpf::N,bagno,maqulluk
113,Moor::N,bagno,
114,Wiese::N,łąka,masarsuk
115,Wald::N,las,
116,Hügel::N,pagórek,qattuneq
117,Hügel::N,pagórek,majuariaq
118,Hügel::N,pagórek,majorajaaq
119,Hügel::N,pagórek,qaqqannguaq
120,Anhöhe::N,wzgórze,
121,Berg::N,góra,qaqqaq
122,Gipfel::N,szczyt,
123,Gipfel::N,wierzchołek,
124,Höhle::N,pieczara,qaarusuk
125,Abhang::N,stok,ippik
126,Abhang::N,stok,sivinganeq
127,Abhang::N,stok,sivingajaaq
128,Abhang::N,stok,kussangajaaq
129,Abhang::N,zbocze,ippik
130,Abhang::N,zbocze,sivinganeq
131,Abhang::N,zbocze,sivingajaaq
132,Abhang::N,zbocze,kussangajaaq
133,Quelle::N,zdrój,
134,Quelle::N,źródło,
135,Bach::N,potok,kuunnguaq
136,Bach::N,strumień,kuunnguaq
137,Fluss::N,rzeka,kuuk
138,Ufer::N,brzeg,sissap sinaa
139,Küste::N,wybrzeże,sineriak
140,Festland::N,ląd,
141,Meer::N,morze,imaq
142,Bucht::N,zatoka,ikeq
143,Bucht::N,zatoka,kangerluk
144,Bucht::N,zatoka,kangerliumaneq
145,Insel::N,wyspa,qeqertaq
146,Blume::N,kwiat,naasoq
147,Gras::N,trawa,ivigaq
148,Wurzel::N,korzeń,niulutaq
149,Baum::N,drzewo,orpik
150,Stamm::N,pień,kanaartaq
151,Rinde::N,kora,ameraq
152,Ast::N,gałąź,avalequt
153,Zweig::N,gałąź,avalequt
154,Blatt::N,liść,pilutaq
155,Birke::N,brzoza,patitsit
156,Kiefer[Baum]::N,sosna,
157,Weide[Baum]::N,wierzba,palleq
158,Tanne::N,jodła,orsuerneq
159,Horn::N,róg,nassuk
160,Feder::N,pióro,suluk
161,Fell::N,futro,ameq
162,Flügel::N,skrzydło,suluk
163,Flügel::N,skrzydło,isaroq
164,Klaue::N,szpon,kukik
165,Kralle::N,pazur,kukik
166,Schwanz::N,ogon,pamioq
167,Schwanz::N,ogon,paperuusaq
168,Ei::N,jajko,mannik
169,Nest::N,gniazdo,ullut
170,Bau::N,nora,ini
171,Tier::N,zwierzę,uumasoq
172,Herde::N,stado,unguukkat
173,Herde::N,trzoda,unguukkat
174,Kuh::N,krowa,ussik
175,Bulle::N,byk,angukulak
176,Bulle::N,byk,anguteralak
177,Bulle::N,byk,angutikulooq
178,Pferd::N,koń,
179,Schaf::N,owca,sava
180,Schwein::N,świnia,puuluki
181,Hund::N,pies,qimmeq
182,Katze::N,kot,puisaaq
183,Katze::N,kotka,puisaaq
184,Bär::N,niedźwiedż,allaq
185,Eichhörnchen::N,wiewiórka,sissinnguaq
186,Elch::N,łóś,
187,Fuchs::N,lis,terianniaq
188,Hase::N,zając,ukaleq
189,Maus::N,mysz,teriannguaq
190,Wolf::N,wilk,amaroq
191,Vogel::N,ptak,timmiaq
192,Schwarm::N,stado,
193,Huhn::N,kura,kukkukooq
194,Huhn::N,kura,marloraaqaaq
195,Hahn::N,kogut,kiasiusaq
196,Gans::N,gęś,nerleq
197,Adler::N,orzeł,nattoralik
198,Ente::N,kaczka,
199,Eule::N,sowa,uppik
200,Kranich::N,żuraw,qorlorfik
201,Krähe::N,wrona,tuluatsiaq
202,Kuckuck::N,kukułka,kukkooq
203,Schwan::N,łabędż,qussuk
204,Fisch::N,ryba,aalisagaq
205,Barsch::N,okoń,
206,Hecht::N,szczupak,
207,Schlange[Tier]::N,wąż,pulateriarsuk
208,Schlange[Tier]::N,wąż,pulateriaarsuk
209,Schlange[Tier]::N,żmija,pulateriarsuk
210,Schlange[Tier]::N,żmija,pulateriaarsuk
211,Wurm::N,robak,
212,Spinne::N,pająk,aasiaq
213,Spinne::N,pająk,nissavaarsuk
214,Ameise::N,mrówka,uniaaluk
215,Laus::N,wesz,kumak
216,Mücke::N,komar,ippernaq
217,Fliege::N,mucha,ippernaq
218,Schmetterling::N,motyl,paluaq
219,Schmetterling::N,motyl,pakkaluaq
220,Schmetterling::N,motyl,utsuppaluaq
221,Schmetterling::N,motyl,taqaleqisaaq
222,Beere::N,jagoda,paarmaq
223,Beere::N,jagoda,paarngaq
224,Apfel::N,jabłko,iipili
225,Pilz::N,grzyb,anngiusaq
226,Zwiebel::N,cebula,uanitsoq
227,Saat::N,siew,naatsiiassaq
228,Korn::N,ziarno,maannineq
229,Heu::N,siano,
230,Schale::N,łupina,niutsivik
231,Schale::N,łupina,ilulissaq qaartussaq
232,Grube::N,dół,itersaq
233,Grube::N,jama,itersaq
234,Falle::N,pułapka,pualavoq
235,Schlinge::N,sidła,orseq
236,Schlinge::N,sidła,norloq
237,Spur::N,ślad,tumaa
238,Asche::N,popiół,arsat
239,Dreck::N,brud,minguk
240,Eisen::N,żelazo,savimineq
241,Eisen::N,żelazo,saffiugassaq
242,Gold::N,złoto,kuulti
243,Silber::N,srebro,siilviuvoq
244,Kohle::N,węgiel,aamarsuit aamaruutissat
245,Glas::N,szkło,igalaaq
246,Glas::N,szkło,imertarfik
247,Glas::N,szkło,igalaamineq
248,Lehm::N,glina,marraq
249,Sand::N,piasek,sioqqat
250,Mensch::N,człowiek,inuk
251,Mensch::N,człowiek,silamiu
252,Mann::N,mężczyzna,angut
253,Frau::N,kobieta,arnaq
254,Kind::N,dziecko,meeraq
255,Junge::N,chłopak,nukappiaraq
256,Junge::N,chłopiec,nukappiaraq
257,Mädchen::N,dziewczynka,arnannguaq
258,Familie::N,rodzina,ilaqutakka
259,Familie::N,rodzina,ilaqutariit
260,Großvater::N,dziadek,aatak
261,Großmutter::N,babka,aanaq
262,Eltern::N,rodzice,angajoqqaat
263,Vater::N,ojciec,ataata
264,Vater::N,ojciec,ataataq
265,Mutter::N,matka,anaana
266,Sohn::N,syn,erneq
267,Tochter::N,córka,panik
268,Bruder::N,brat,ani
269,Bruder::N,brat,aqqaluk
270,Bruder::N,brat,qatanngut
271,Schwester::N,siostra,naja
272,Schwester::N,siostra,aleqa
273,Schwester::N,siostra,qatanngut
274,Onkel::N,wuj,akkak
275,Onkel::N,stryj,akkak
276,Tante::N,ciotka,aja
277,Tante::N,ciotka,ajak
278,Tante::N,ciotka,atsak
279,Ehemann::N,mąż,ui
280,Ehefrau::N,żona,nuliaq
281,Freude::N,radość,tipaatsussuseq
282,Gelächter::N,śmiech,illaq
283,Glück::N,szczęście,usornaat
284,Glück::N,szczęście,usornarsuseq
285,Kummer::N,zmartwienie,
286,Wunsch::N,życzenie,kissaat
287,Lust::N,chęć,illigussuseq
288,Lust::N,chęć,piummaseq
289,Lust::N,ochota,illigussuseq
290,Lust::N,ochota,piummaseq
291,Geist::N,duch,anerneq
292,Geist::N,duch,toornaq
293,Gedanke::N,myśl,isumassaq
294,Gedächtnis::N,pamięć,eqqaamannissuseq
295,Verstand::N,rozum,isuma
296,Verstand::N,rozum,sianissut
297,Verstand::N,rozum,misigissut
298,Verstand::N,rozum,sianissuseq
299,Verstand::N,rozum,silaqassuseq
300,Sinn::N,zmysł,isuma
301,Grund::N,powód,patsit
302,Wahrheit::N,prawda,sallusuissut
303,Gespräch::N,rozmowa,
304,Märchen::N,bajka,oqalualaarut
305,Märchen::N,bajka,oqaluasaaq
306,Erzählung::N,opowiadanie,oqaluttuaq
307,Nachricht::N,wiadomość,oqaassut
308,Nachricht::N,wiadomość,oqqersuut
309,Neuigkeit::N,nowina,tusarnartaq
310,Name::N,imię,ateq
311,Rätsel::N,zagadka,nalorsitsaarut
312,Rede::N,mowa,oqaluuseq
313,Sprache::N,język,oqaatsit
314,Stimme::N,głos,erinaq
315,Stimme::N,głos,qarluuseq
316,Wort::N,słowo,oqaasii
317,Zeichen::N,znak,nalunaaqqut
318,Ruf::N,wołanie,qaaqqussut
319,Lärm::N,hałas,perpaluk
320,Lärm::N,zgiełk,perpaluk
321,Laut::N,dźwięk,torsukattak
322,Ton::N,ton,erinaq
323,Ton::N,dźwięk,erinaq
