,Concept_ID,ka,te
0,Auge::N,თვალი,కన్ను
1,Ohr::N,ყური,చెవి
2,Nase::N,ცხვირი,ముక్కు
3,Mund::N,პირი,నోరు
4,Zahn::N,კბილი,పల్లు
5,Zunge::N,ენა,నాలుక
6,Lippe::N,ბაგე,పెదవి
7,Wange::N,ლოყა,చెంప
8,Gesicht::N,სახე,ముఖము
9,Stirn::N,შუბლი,నుదురు
10,Haar::N,თმა,వెండ్రుక
11,Schnurrbart::N,ულვაში,మీసము
12,Bart::N,წვერი,గడ్డము
13,Kinn::N,ნიკაპი,గడ్డము
14,Kiefer[Anatomie]::N,ყბა,దౌడ
15,Kehle::N,ყელი,గొంతు
16,Hals::N,ყელი,మెడ
17,Hals::N,კისერი,మెడ
18,Genick::N,კეფა,మూపు
19,Kopf::N,თავი,తల
20,Rücken::N,ზურგი,వెన్ను
21,Bauch::N,მუცელი,కడుపు
22,Nabel::N,ჭიპი,బొడ్డు
23,Busen::N,ძუძუ,స్తనము
24,Brust::N,მკერდი,ఱొమ్ము
25,Schulter::N,მხარი,భుజము
26,Schulter::N,მკლავი,భుజము
27,Arm::N,ხელი,చేయి
28,Ellenbogen::N,იდაყვი,మోచేయి
29,Hand::N,ხელი,చేయి
30,Handfläche::N,ნები,అరచేయు
31,Handfläche::N,ხელისგული,అరచేయు
32,Finger::N,თითი,చేతిప్రేలు
33,Fingernagel::N,ფრჩხილი,గోరు
34,Nagel[Anatomie]::N,ფრჩხილი,గోరు
35,Zeh::N,ფეხის თითი,కాలిప్రేలు
36,Fuß::N,ტერფი,అడుగు
37,Fuß::N,ფეხისგული,అడుగు
38,Ferse::N,ქუსლი,మడమ
39,Knie::N,მუხლი,మోకాలు
40,Oberschenkel::N,ბარძაყი,తొడ
41,Bein::N,ფეხი,కాలు
42,Körper::N,ტანი,కాయము
43,Körper::N,სხეული,కాయము
44,Haut::N,კანი,చర్మము
45,Blut::N,სისხლი,రక్తము
46,Ader::N,ძარღვი,సిర
47,Sehne::N,მყესი,స్నాయువు
48,Knochen::N,ძვალი,ఎముక
49,Gehirn::N,ტვინი,మెదడు
50,Herz::N,გული,హృదయము
51,Magen::N,კუჭი,కడుపు
52,Leber::N,ღვიძლი,కాలేయము
53,Atem::N,სუნთქვა,ఉపిరి
