,Concept_ID,kl,ar
0,Auge::N,isi,عين
1,Ohr::N,siut,أذن
2,Mund::N,paaq,فم
3,Mund::N,qaneq,فم
4,Zahn::N,kigut,سن
5,Zunge::N,oqaq,لسان
6,Lippe::N,qarloq,شفة
7,Wange::N,ersaq,خد
8,Wange::N,ersaq,وجنة
9,Gesicht::N,kiinaq,وجه
10,Stirn::N,qaaq,جبين
11,Haar::N,meqqoq,شعر
12,Bart::N,umik,لحية
13,Kinn::N,talloq,ذقن
14,Kiefer[Anatomie]::N,alleroq,فك
15,Kehle::N,malaq,حلق
16,Hals::N,qungaseq,عنق
17,Hals::N,qungaseq,رقبة
18,Genick::N,pukusuk,قفا
19,Kopf::N,niaqoq,رأس
20,Rücken::N,qimerlut,ظهر
21,Bauch::N,naaq,بطن
22,Nabel::N,qalaseq,سرة
23,Busen::N,iviangeq,ثدي
24,Brust::N,iviangeq,صدر
25,Schulter::N,ersik,كتف
26,Schulter::N,assaqqoq,كتف
27,Arm::N,taleq,ذراع
28,Ellenbogen::N,ikusik,كوع
29,Hand::N,assak,يد
30,Handfläche::N,itumak,كف
31,Finger::N,inuak,إصبع
32,Fingernagel::N,kikiak,ظفر
33,Nagel[Anatomie]::N,kukik,ظفر
34,Zeh::N,isigak,إصبع القدم
35,Ferse::N,kimmik,كعب
36,Knie::N,seeqqoq,ركبة
37,Oberschenkel::N,uppat,فخذ
38,Oberschenkel::N,quttoraq,فخذ
39,Bein::N,isigak,ساق
40,Körper::N,timi,جسم
41,Haut::N,mattak,بشرة
42,Blut::N,aak,دم
43,Ader::N,taqaq,عرق
44,Sehne::N,ujalu,طنب
45,Sehne::N,ujaloq,طنب
46,Knochen::N,saanikut,عظم
47,Gehirn::N,qarasaq,دماغ
48,Herz::N,uummat,قلب
49,Magen::N,aqajaroq,معدة
50,Leber::N,tinguk,كبد
51,Atem::N,anerneq,نفس
52,Hunger::N,kaanneq,جوع
53,Träne::N,qia,دمعة
54,Träne::N,qiak,دمعة
55,Geschmack::N,qilanaartuut,طعم
56,Geschmack::N,qilanaartuut,مذاق
57,Geruch::N,tipi,رائحة
58,Geruch::N,tipik,رائحة
59,Traum::N,sinnattoq,حلم
60,Traum::N,sinnattugaq,حلم
61,Himmel::N,qilak,سماء
62,Sonne::N,seqineq,شمس
63,Mond::N,qaammat,قمر
64,Stern::N,ulloriaq,نجم
65,Stern::N,ulloriaq,كوكب
66,Luft::N,silaannaq,هواء
67,Wind::N,anori,ريح
68,Wind::N,anorsarik,ريح
69,Welle::N,aalappaa,موجة
70,Wasser::N,imeq,ماء
71,Stein::N,ujarak,حجر
72,Boden::N,nateq,تراب
73,Erde::N,issoq,أرض
74,Staub::N,pujualanerit,غبار
75,Staub::N,pujoralanerit,غبار
76,Rauch::N,iseq,دخان
77,Rauch::N,pujoq,دخان
78,Funke::N,illoorneq,شرارة
79,Feuer::N,inneq,نار
80,Licht::N,qaamaneq,نور
81,Licht::N,qaamaneq,ضوء
82,Schatten::N,tarraq,ظل
83,Schatten::N,tarraq,فيء
84,Wetter::N,sila,جو
85,Wetter::N,sila,طقس
86,Nebel::N,pujoq,ضباب
87,Wolke::N,nuia,غيمة
88,Wolke::N,nuia,سحابة
89,Regen::N,sialuk,مطر
90,Schnee::N,aput,ثلج
91,Eis::N,siku,جليد
92,Frost::N,issi,صقيع
93,Frost::N,issik,صقيع
94,Kälte::N,issi,برد
95,Hitze::N,kianneq,حر
96,Hitze::N,kianneq,حرارة
97,Hitze::N,kiassuseq,حر
98,Hitze::N,kiassuseq,حرارة
99,Raureif::N,kaneq,صقيع
100,Regenbogen::N,neriusaaq,قوس قزح
101,Donner::N,kalleq,رعد
102,Tropfen::N,kuseriarneq,قطرة
103,Schaum::N,qapuk,زبد
104,Schaum::N,qapuk,رغوة
105,Schmutz::N,minguk,وسخ
106,See::N,taseq,بحيرة
107,Sumpf::N,maqulluk,مستنقع
108,Wiese::N,masarsuk,مرج
109,Hügel::N,qattuneq,تل
110,Hügel::N,majuariaq,تل
111,Hügel::N,majorajaaq,تل
112,Hügel::N,qaqqannguaq,تل
113,Berg::N,qaqqaq,جبل
114,Höhle::N,qaarusuk,كهف
115,Abhang::N,ippik,منحدر
116,Abhang::N,sivinganeq,منحدر
117,Abhang::N,sivingajaaq,منحدر
