,Concept_ID,pl,ce
0,Auge::N,oko,бӏаьрг
1,Ohr::N,ucho,лерг
2,Nase::N,nos,мара
3,Mund::N,usta,бага
4,Zahn::N,ząb,церг
5,Zunge::N,język,мотт
6,Lippe::N,warga,балда
7,Wange::N,policzek,бесни
8,Gesicht::N,twarz,юьхь
9,Stirn::N,czoło,хьаж
10,Haar::N,włos,мас
11,Haar::N,włosy,мас
12,Schnurrbart::N,wąsy,мекх
13,Bart::N,broda,маж
14,Kinn::N,podbródek,чӏениг
15,Kiefer[Anatomie]::N,czeluść,мочхал
16,Kehle::N,gardło,къамкъарг
17,Hals::N,szyja,ворта
18,Genick::N,kark,кӏесаркӏаг
19,Kopf::N,głowa,корта
20,Rücken::N,plecy,букъ
21,Rücken::N,grzbiet,букъ
22,Bauch::N,brzuch,кийра
23,Nabel::N,pępek,цӏонга
24,Busen::N,biust,зударийн накха
25,Brust::N,pierś,накха
26,Schulter::N,bark,белш
27,Schulter::N,ramię,белш
28,Arm::N,ręka,пхьарс
29,Arm::N,ramię,пхьарс
30,Ellenbogen::N,łokieć,пхьаьрсан гола
31,Hand::N,dłoń,куьг
32,Handfläche::N,dłoń,кераюкъ
33,Finger::N,palec,пӏелг
34,Fingernagel::N,paznokieć,мӏара
35,Nagel[Anatomie]::N,paznokieć,мӏара
36,Zeh::N,palec,кога пӏелг
37,Fuß::N,stopa,ког
38,Ferse::N,pięta,кӏажа
39,Knie::N,kolano,гола
40,Oberschenkel::N,udo,варе
41,Bein::N,noga,ког
42,Körper::N,ciało,хӏума
43,Haut::N,skóra,чкъор
44,Blut::N,krew,цӏий
45,Ader::N,żyła,пха
46,Sehne::N,ścięgno,хьорзам
47,Knochen::N,kość,даьӏахк
48,Gehirn::N,mózg,хье
49,Herz::N,serce,дог
50,Magen::N,żołądek,зорх
51,Leber::N,wątroba,доӏах
52,Atem::N,dech,садеӏар
53,Atem::N,oddech,садеӏар
54,Hunger::N,głód,мацалла
55,Träne::N,łza,бӏаьрхи
56,Geschmack::N,smak,чам
57,Geruch::N,woń,хьожа
58,Geruch::N,zapach,хьожа
59,Schlaf::N,sen,наб
60,Traum::N,sen,гӏан
61,Himmel::N,niebo,стигал
62,Sonne::N,słońce,малх
63,Mond::N,księżyc,бутт
64,Stern::N,gwiazda,седа
65,Luft::N,powietrze,xӏаваъ
66,Wind::N,wiatr,мох
67,Welle::N,fala,тулгӏе
68,Wasser::N,woda,хи
69,Stein::N,kamień,тӏулг
70,Boden::N,grunt,цӏенкъа
71,Erde::N,ziemia,латта
72,Staub::N,pył,чан
73,Staub::N,kurz,чан
74,Rauch::N,dym,кӏур
75,Funke::N,iskra,суй
76,Feuer::N,ogień,цӏе
77,Licht::N,światło,серло
78,Schatten::N,cień,ӏиндагӏ
79,Wetter::N,pogoda,хенан хӏоттам
80,Nebel::N,mgła,дохк
81,Wolke::N,obłok,марха
82,Wolke::N,chmura,марха
83,Regen::N,deszcz,догӏа
84,Schnee::N,śnieg,ло
85,Eis::N,lód,ша
86,Frost::N,mróz,шело
87,Kälte::N,chłód,шело
88,Hitze::N,gorąco,йовхо
89,Raureif::N,szron,йис
90,Regenbogen::N,tęcza,стелаӏад
91,Donner::N,grzmot,ткъес
92,Strömung::N,nurt,дӏаэхар
93,Strömung::N,nurt,дӏасалелар
94,Tropfen::N,kropla,тӏадам
95,Schaum::N,piana,чопа
96,Schmutz::N,brud,хатт
97,See::N,jezioro,ӏам
98,Sumpf::N,bagno,уьшал
99,Moor::N,bagno,уьшал
100,Wiese::N,łąka,бай
101,Wald::N,las,хьун
102,Hügel::N,pagórek,гу
103,Hügel::N,pagórek,шу
104,Hügel::N,pagórek,барз
105,Anhöhe::N,wzgórze,акъари
106,Berg::N,góra,лам
107,Gipfel::N,szczyt,бохь
108,Gipfel::N,wierzchołek,бохь
109,Höhle::N,pieczara,хьех
110,Abhang::N,stok,басе
111,Abhang::N,zbocze,басе
112,Quelle::N,zdrój,шовда
113,Quelle::N,źródło,шовда
114,Bach::N,potok,татол
115,Bach::N,strumień,татол
116,Fluss::N,rzeka,хи
117,Ufer::N,brzeg,хийист
118,Küste::N,wybrzeże,йист
119,Festland::N,ląd,латта
120,Meer::N,morze,xӏорд
121,Bucht::N,zatoka,чож
122,Insel::N,wyspa,гӏайре
123,Blume::N,kwiat,зезаг
124,Gras::N,trawa,буц
125,Wurzel::N,korzeń,орам
126,Baum::N,drzewo,дитт
127,Stamm::N,pień,гӏад
128,Stamm::N,pień,тайпа
129,Rinde::N,kora,кевстиг
130,Ast::N,gałąź,га
131,Zweig::N,gałąź,га
132,Blatt::N,liść,гӏа
133,Birke::N,brzoza,дакх
134,Kiefer[Baum]::N,sosna,бага
135,Weide[Baum]::N,wierzba,дак
136,Tanne::N,jodła,база
137,Horn::N,róg,маӏа
138,Feder::N,pióro,пелаг
139,Fell::N,futro,цӏока
140,Flügel::N,skrzydło,тӏам
141,Klaue::N,szpon,мӏара
142,Kralle::N,pazur,тlод
143,Schwanz::N,ogon,цӏога
144,Ei::N,jajko,xӏoa
145,Nest::N,gniazdo,бен
146,Bau::N,nora,lуьрг
147,Tier::N,zwierzę,дийнат
148,Herde::N,stado,жа
149,Herde::N,trzoda,жа
150,Kuh::N,krowa,етт
151,Bulle::N,byk,сту
152,Pferd::N,koń,говр
153,Schaf::N,owca,жий
154,Schaf::N,owca,уьстагӏ
155,Schwein::N,świnia,хьакха
156,Hund::N,pies,жӏаьла
157,Katze::N,kot,цициг
158,Katze::N,kotka,цициг
159,Bär::N,niedźwiedż,ча
160,Eichhörnchen::N,wiewiórka,тарсал
161,Elch::N,łóś,сай
162,Fuchs::N,lis,цхьогал
163,Hase::N,zając,пхьагал
164,Maus::N,mysz,дахка
165,Wolf::N,wilk,борз
166,Vogel::N,ptak,олхазар
167,Schwarm::N,stado,
168,Huhn::N,kura,котам
169,Hahn::N,kogut,нӏаьна
170,Hahn::N,kogut,боргӏал
171,Gans::N,gęś,гӏаз
172,Adler::N,orzeł,aьрзу
173,Ente::N,kaczka,бад
174,Eule::N,sowa,бухӏа
175,Kranich::N,żuraw,гӏаргӏули
176,Krähe::N,wrona,къиг
177,Kuckuck::N,kukułka,aттйокх
178,Schwan::N,łabędż,гӏургӏаз
179,Fisch::N,ryba,чӏара
180,Barsch::N,okoń,окунь
181,Hecht::N,szczupak,гӏазкхийн чӏара
182,Schlange[Tier]::N,wąż,лаьхьа
183,Schlange[Tier]::N,żmija,лаьхьа
184,Wurm::N,robak,нӏаьна
185,Spinne::N,pająk,гезг
186,Ameise::N,mrówka,зингат
187,Laus::N,wesz,меза
188,Laus::N,wesz,гӏениг
189,Mücke::N,komar,чуьрк
190,Fliege::N,mucha,моза
191,Schmetterling::N,motyl,полла
192,Beere::N,jagoda,цӏазам
193,Apfel::N,jabłko,ӏаж
194,Pilz::N,grzyb,жӏаьлин нускал
195,Zwiebel::N,cebula,xох
196,Saat::N,siew,чlу
197,Korn::N,ziarno,буьртиг
198,Heu::N,siano,йол
199,Schale::N,łupina,пардо
200,Grube::N,dół,ор
201,Grube::N,jama,ор
202,Falle::N,pułapka,кӏело
203,Schlinge::N,sidła,
204,Spur::N,ślad,лар
205,Asche::N,popiół,чим
206,Dreck::N,brud,мода
207,Eisen::N,żelazo,эчиг
208,Gold::N,złoto,деши
209,Silber::N,srebro,дети
210,Kohle::N,węgiel,кӏора
211,Glas::N,szkło,aнгали
212,Lehm::N,glina,поппар
213,Sand::N,piasek,гӏум
214,Mensch::N,człowiek,адам
215,Mann::N,mężczyzna,майра
216,Frau::N,kobieta,зуда
217,Kind::N,dziecko,бер
218,Junge::N,chłopak,жимха
219,Junge::N,chłopiec,жимха
220,Mädchen::N,dziewczynka,жима йоӏ
221,Familie::N,rodzina,доьзал
222,Großvater::N,dziadek,ненада
223,Großmutter::N,babka,денана
224,Eltern::N,rodzice,да-нана
225,Vater::N,ojciec,да
226,Mutter::N,matka,нана
227,Sohn::N,syn,кӏант
228,Tochter::N,córka,йоӏ
229,Bruder::N,brat,ваша
230,Schwester::N,siostra,йиша
231,Onkel::N,wuj,деваша
232,Onkel::N,stryj,деваша
233,Tante::N,ciotka,дейиша
234,Ehemann::N,mąż,майра
235,Ehefrau::N,żona,зуда
236,Freude::N,radość,самукъа
237,Freude::N,radość,хазахетар
238,Gelächter::N,śmiech,белам
239,Glück::N,szczęście,ирс
240,Kummer::N,zmartwienie,бала
241,Wunsch::N,życzenie,лаам
242,Lust::N,chęć,лаам
243,Lust::N,ochota,лаам
244,Geist::N,duch,са
245,Gedanke::N,myśl,ойла
246,Gedächtnis::N,pamięć,диццадалар
247,Verstand::N,rozum,хьекъал
248,Sinn::N,zmysł,маьӏна
249,Grund::N,powód,бахьана
250,Wahrheit::N,prawda,бакъдерг
251,Gespräch::N,rozmowa,къамел
252,Märchen::N,bajka,туьйра
253,Erzählung::N,opowiadanie,дийцар
254,Nachricht::N,wiadomość,хаам
255,Neuigkeit::N,nowina,керланиг
256,Name::N,imię,цӏе
257,Rätsel::N,zagadka,хӏетал-метал
258,Rede::N,mowa,къамел
259,Sprache::N,język,мотт
260,Stimme::N,głos,aз
261,Wort::N,słowo,дош
262,Zeichen::N,znak,билгало
263,Ruf::N,wołanie,кхайкхар
