,Concept_ID,lez,fi
0,Auge::N,вил,silmä
1,Ohr::N,яб,korva
2,Nase::N,нер,nenä
3,Mund::N,сив,suu
4,Zahn::N,сас,hammas
5,Zahn::N,свах,hammas
6,Zunge::N,мез,kieli
7,Lippe::N,пӏуз,huuli
8,Wange::N,хъвехъ,poski
9,Gesicht::N,ччин,naama
10,Gesicht::N,ччин,kasvot
11,Stirn::N,пел,otsa
12,Haar::N,чӏар,hius
13,Haar::N,чӏар,tukka
14,Schnurrbart::N,спел,viikset
15,Schnurrbart::N,спелар,viikset
16,Bart::N,ччуру,parta
17,Kinn::N,чене,leuka
18,Kiefer[Anatomie]::N,чене,leukaluu
19,Kehle::N,туьд,kurkku
20,Hals::N,гардан,kaula
21,Genick::N,кьам,niska
22,Kopf::N,кьил,pää
23,Rücken::N,далу,selkä
24,Bauch::N,руфун,maha
25,Bauch::N,руфун,vatsa
26,Nabel::N,пицӏ,napa
27,Busen::N,мам,rinta
28,Brust::N,хур,rinta
29,Schulter::N,къуьн,olka
30,Schulter::N,къуьн,hartia
31,Schulter::N,къуьн,olkapää
32,Arm::N,гъил,käsivarsi
33,Ellenbogen::N,кьуьнт,kyynärpää
34,Hand::N,капаш,käsi
35,Handfläche::N,капан юкь,kämmen
36,Finger::N,тӏуб,sormi
37,Fingernagel::N,кек,kynsi
38,Nagel[Anatomie]::N,кек,kynsi
39,Zeh::N,кул,varvas
40,Fuß::N,кӏвач,jalka
41,Ferse::N,дабан,kantapää
42,Knie::N,мет,polvi
43,Bein::N,кӏвач,jalka
44,Körper::N,беден,keho
45,Körper::N,беден,ruumis
46,Haut::N,хам,iho
47,Blut::N,иви,veri
48,Ader::N,дамар,suoni
49,Sehne::N,кьуру дамар,jänne
50,Knochen::N,кӏараб,luu
51,Gehirn::N,мефт,aivot
52,Herz::N,рикӏ,sydän
53,Magen::N,хук,maha
54,Magen::N,хук,vatsa
55,Leber::N,лекь,maksa
56,Atem::N,ял,henki
57,Atem::N,ял,hengitys
58,Atem::N,нефес,henki
59,Atem::N,нефес,hengitys
60,Hunger::N,каш,nälkä
61,Träne::N,вилин нагъв,kyynel
62,Geschmack::N,дад,maku
63,Geschmack::N,тӏям,maku
64,Geruch::N,ни,haju
65,Schlaf::N,ахвар,uni
66,Traum::N,ахвар,uni
67,Himmel::N,цав,taivas
68,Sonne::N,рагъ,aurinko
69,Mond::N,варз,kuu
70,Stern::N,гъед,tähti
71,Luft::N,гьава,ilma
72,Wind::N,гар,tuuli
73,Welle::N,лепе,aalto
74,Wasser::N,яд,vesi
75,Stein::N,къван,kivi
76,Boden::N,накьв,maa
77,Boden::N,накьв,maaperä
78,Erde::N,ччил,maa
79,Staub::N,руг,pöly
80,Rauch::N,гум,savu
81,Funke::N,цӏелхем,kipinä
82,Feuer::N,цӏай,tuli
83,Licht::N,экв,valo
84,Schatten::N,серин,varjo
85,Wetter::N,гьава,sää
86,Nebel::N,ччилин циф,sumu
87,Wolke::N,циф,pilvi
88,Regen::N,марф,sade
89,Schnee::N,жив,lumi
90,Eis::N,мурк,jää
91,Frost::N,аяз,halla
92,Frost::N,аяз,pakkanen
93,Kälte::N,мекь,vilu
94,Kälte::N,мекь,kylmyys
