,Concept_ID,hi,pt
0,Auge::N,आँख,olho
1,Auge::N,चक्षु,olho
2,Ohr::N,कान,orelha
3,Ohr::N,कर्ण,orelha
4,Nase::N,नाक,nariz
5,Nase::N,नासा,nariz
6,Mund::N,मुख,boca
7,Mund::N,मुँह,boca
8,Zahn::N,दंत,dente
9,Zahn::N,दाँत,dente
10,Zunge::N,जीभ,língua
11,Zunge::N,ज़बान,língua
12,Zunge::N,जिह्वा,língua
13,Lippe::N,ओंठ,lábio
14,Lippe::N,होंठ,lábio
15,Wange::N,गाल,face
16,Wange::N,कपोल,face
17,Gesicht::N,मुँह,cara
18,Gesicht::N,मुँह,rosto
19,Gesicht::N,चेहरा,cara
20,Gesicht::N,चेहरा,rosto
21,Stirn::N,माथा,testa
22,Stirn::N,मस्तक,testa
23,Haar::N,बाल,cabelo
24,Schnurrbart::N,मूँछें,bigode
25,Bart::N,दाढ़ी,barba
26,Kinn::N,चिबुक,queixo
27,Kiefer[Anatomie]::N,जबड़ा,maxila
28,Kiefer[Anatomie]::N,जबड़ा,mandíbula
29,Kehle::N,गला,garganta
30,Hals::N,गला,colo
31,Hals::N,गला,pescoço
32,Hals::N,गरदन,colo
33,Hals::N,गरदन,pescoço
34,Genick::N,गरदन,nuca
35,Genick::N,ग्रीवा,nuca
36,Kopf::N,सिर,cabeça
37,Kopf::N,शीर्ष,cabeça
38,Rücken::N,पीठ,dorso
39,Rücken::N,पीठ,costas
40,Bauch::N,उदर,ventre
41,Bauch::N,उदर,barriga
42,Nabel::N,नाभि,umbigo
43,Nabel::N,ढोंढी,umbigo
44,Busen::N,कुच,seio
45,Busen::N,स्तन,seio
46,Brust::N,वक्ष,peito
47,Schulter::N,कंधा,ombro
48,Schulter::N,स्कंध,ombro
49,Arm::N,बाँह,braço
50,Arm::N,बाज़ू,braço
51,Ellenbogen::N,कुहनी,cotovelo
52,Hand::N,हाथ,mão
53,Hand::N,हस्त,mão
54,Handfläche::N,हथेली,palma
55,Handfläche::N,हथेली,palma da mão
56,Finger::N,उँगली,dedo
57,Finger::N,अँगुली,dedo
58,Fingernagel::N,नख,unha
59,Fingernagel::N,नाख़ून,unha
60,Nagel[Anatomie]::N,नख,unha
61,Nagel[Anatomie]::N,नाख़ून,unha
62,Zeh::N,उँगली,dedo do pé
63,Zeh::N,पाँव की उँगली,dedo do pé
64,Fuß::N,चरण,pé
65,Fuß::N,पाँव,pé
66,Ferse::N,एड़ी,calcanhar
67,Knie::N,जानु,joelho
68,Knie::N,घुटना,joelho
69,Oberschenkel::N,उरु,coxa
70,Bein::N,टाँग,perna
71,Körper::N,तन,corpo
72,Körper::N,देह,corpo
73,Körper::N,शरीर,corpo
74,Haut::N,चर्म,pele
75,Haut::N,त्वचा,pele
76,Blut::N,लहू,sangue
77,Blut::N,ख़ून,sangue
78,Ader::N,रग,veia
79,Ader::N,शिरा,veia
80,Sehne::N,कंडरा,tendão
81,Sehne::N,स्नायु,tendão
82,Knochen::N,अस्थि,osso
83,Gehirn::N,दिमाग़,cérebro
84,Gehirn::N,मस्तिष्क,cérebro
85,Herz::N,दिल,coração
86,Herz::N,हृदय,coração
87,Magen::N,मेदा,estômago
88,Magen::N,अमाशय,estômago
89,Leber::N,जिगर,fígado
90,Leber::N,यकृत्,fígado
91,Atem::N,दम,fôlego
92,Atem::N,साँस,fôlego
93,Atem::N,श्वास,fôlego
94,Hunger::N,भूख,fome
95,Hunger::N,क्षुधा,fome
96,Träne::N,आँसू,lágrima
97,Träne::N,अश्रु,lágrima
98,Geschmack::N,स्वाद,gosto
99,Geschmack::N,ज़ायक़ा,gosto
100,Geruch::N,बू,odor
101,Geruch::N,बू,cheiro
102,Geruch::N,गंध,odor
103,Geruch::N,गंध,cheiro
104,Schlaf::N,नींद,sono
105,Schlaf::N,निद्रा,sono
106,Traum::N,सपना,sonho
107,Traum::N,स्वप्न,sonho
108,Himmel::N,आकाश,céu
109,Himmel::N,आसमान,céu
110,Sonne::N,रवि,sol
111,Sonne::N,सूरज,sol
