,Concept_ID,pt,ab
0,Auge::N,olho,ала
1,Ohr::N,orelha,алымҳа
2,Nase::N,nariz,аҧынҵа
3,Mund::N,boca,аҧышə
4,Zahn::N,dente,ахаҧыц
5,Zunge::N,língua,абз
6,Lippe::N,lábio,ақьышə
7,Wange::N,face,аӡамҩа
8,Gesicht::N,cara,аҿы
9,Gesicht::N,rosto,аҿы
10,Stirn::N,testa,алахь
11,Haar::N,cabelo,ахəыц
12,Schnurrbart::N,bigode,аҧаҵа
13,Bart::N,barba,ажакьа
14,Kinn::N,queixo,ацламкəыгə
15,Kiefer[Anatomie]::N,maxila,ацламҳəа
16,Kiefer[Anatomie]::N,mandíbula,ацламҳəа
17,Kehle::N,garganta,ахəда
18,Hals::N,colo,ахəда
19,Hals::N,pescoço,ахəда
20,Genick::N,nuca,ахəдаџьал
21,Kopf::N,cabeça,ахы
22,Rücken::N,dorso,азқəа
23,Rücken::N,costas,азқəа
24,Bauch::N,ventre,амгəа
25,Bauch::N,barriga,амгəа
26,Nabel::N,umbigo,аҷапан
27,Busen::N,seio,агəыҧҳəы
28,Brust::N,peito,агəышҧы
29,Schulter::N,ombro,ажəҩахыр
30,Arm::N,braço,амахəар
31,Ellenbogen::N,cotovelo,амашьхəылҵ
32,Hand::N,mão,анапы
33,Handfläche::N,palma,анапсаргəыҵа
34,Handfläche::N,palma da mão,анапсаргəыҵа
35,Finger::N,dedo,анацəа
36,Fingernagel::N,unha,анапхыц
37,Nagel[Anatomie]::N,unha,ашьапхыц
38,Zeh::N,dedo do pé,ашьацəа
39,Fuß::N,pé,ашьапсыргəыҵа
40,Ferse::N,calcanhar,ашьхəа
41,Knie::N,joelho,ашьамхы
42,Oberschenkel::N,coxa,ауаҭəа
43,Bein::N,perna,ашьапы
44,Körper::N,corpo,ацəеижь
45,Haut::N,pele,ацəа
46,Blut::N,sangue,ашьа
47,Ader::N,veia,ада
48,Sehne::N,tendão,адаш
49,Knochen::N,osso,абаҩ
50,Gehirn::N,cérebro,ахшлыбаҩ
51,Gehirn::N,cérebro,ахшыбаҩ
52,Herz::N,coração,агəы
53,Magen::N,estômago,аца
54,Magen::N,estômago,ацар
55,Leber::N,fígado,агəаҵəа
56,Atem::N,fôlego,аҧсыҧлагаҩгара
57,Hunger::N,fome,амла
58,Träne::N,lágrima,алабжыш
59,Geschmack::N,gosto,агьама
60,Geruch::N,odor,афҩы
61,Geruch::N,cheiro,афҩы
62,Schlaf::N,sono,ацəа
63,Traum::N,sonho,аҧхыӡ
64,Himmel::N,céu,ажəҩан
65,Sonne::N,sol,амра
66,Mond::N,lua,амза
67,Stern::N,estrela,аеҵəа
68,Luft::N,ar,аҳаир
69,Wind::N,vento,аҧша
70,Welle::N,onda,ацəқəырҧа
71,Wasser::N,água,аӡы
72,Stein::N,pedra,ахаҳə
73,Boden::N,solo,адгьыл
74,Erde::N,terra,адгьыл
75,Staub::N,pó,асаба
76,Rauch::N,fumo,алҩа
77,Funke::N,faísca,акəиц
78,Funke::N,faísca,ацҧхь
79,Funke::N,centelha,акəиц
80,Funke::N,centelha,ацҧхь
81,Feuer::N,fogo,амца
82,Licht::N,luz,алашара
83,Schatten::N,sombra,ашəшьыра
84,Wetter::N,tempo,амш
85,Nebel::N,nevoeiro,анаҟəа
86,Wolke::N,nuvem,аҧсҭҳəа
87,Regen::N,chuva,ақəа
88,Schnee::N,neve,асы
89,Eis::N,gelo,аҵаа
90,Frost::N,gelo,аҵаа
91,Frost::N,geada,аҵаа
92,Kälte::N,frio,ахьҭа
93,Hitze::N,ardor,ашоура
94,Raureif::N,geada,аҵааҧшқа
95,Regenbogen::N,arco-iris,ацəаҟəа
96,Donner::N,trovão,адыд
97,Strömung::N,corrente,аиасра
98,Strömung::N,corrente,амҩасра
99,Tropfen::N,gota,ацəыкəбар
100,Schaum::N,espuma,ашəах
101,Schmutz::N,sujidade,алымт
102,Schmutz::N,imundície,алымт
103,See::N,lago,аӡиа
104,Sumpf::N,charco,аӡмах
105,Sumpf::N,pântano,аӡмах
106,Moor::N,pântano,
107,Wiese::N,prado,адəы
108,Wald::N,bosque,абна
109,Wald::N,floresta,абна
110,Hügel::N,colina,ахəы
111,Anhöhe::N,alto,аҳаракыра
112,Anhöhe::N,outeiro,аҳаракыра
113,Berg::N,monte,ашьха
114,Berg::N,montanha,ашьха
115,Gipfel::N,pico,ацəқəа
116,Höhle::N,caverna,аҳаҧы
117,Abhang::N,encosta,анаара
118,Quelle::N,fonte,аҵҵырҭа
119,Bach::N,regato,акəараҷҷа
120,Bach::N,ribeiro,акəараҷҷа
121,Fluss::N,rio,аӡиас
122,Ufer::N,beira,ахықə
123,Küste::N,costa,ахықə
124,Festland::N,terra firme,абарра
125,Meer::N,mar,амшын
126,Bucht::N,baía,аӡбжьахала
127,Insel::N,ilha,адгьылбжьаха
128,Blume::N,flor,ашəҭ
129,Gras::N,erva,аҳасакьын
130,Wurzel::N,raiz,адац
131,Baum::N,árvore,аҵла
132,Stamm::N,tronco,ашьапы
133,Rinde::N,casca,ацəа
134,Ast::N,ramo,амахə
135,Ast::N,ramo,амахəҭа
136,Zweig::N,galho,амахə
137,Zweig::N,galho,амахəҭа
138,Blatt::N,folha,абҕьы
139,Birke::N,bétula,аҵааҵла
140,Kiefer[Baum]::N,pinheiro,амза
141,Weide[Baum]::N,salgueiro,аҧслыш
142,Tanne::N,abeto,аҧсаӡ
143,Horn::N,corno,атəыҩа
144,Horn::N,chifre,атəыҩа
145,Feder::N,pena,ахӡы
146,Fell::N,pele,ацəа
147,Flügel::N,asa,амҵəыжəа
148,Klaue::N,pata,ашьапхыц
149,Kralle::N,unha,
150,Kralle::N,garra,
151,Schwanz::N,rabo,аҵыхəа
152,Schwanz::N,cauda,аҵыхəа
153,Ei::N,ovo,акəтаӷь
154,Nest::N,ninho,аҭра
155,Nest::N,ninho,аҵысҭра
156,Bau::N,toca,аҭыҩра
157,Bau::N,covil,аҭыҩра
158,Tier::N,animal,аҧстəы
159,Tier::N,animal,агыгшəыг
160,Herde::N,rebanho,агəарҭа
161,Kuh::N,vaca,ажə
162,Bulle::N,touro,ацə
163,Pferd::N,cavalo,аҽы
164,Schaf::N,ovelha,ауаса
165,Schwein::N,porco,аҳəа
166,Hund::N,cão,ала
167,Katze::N,gata,ацгəы
168,Bär::N,urso,амшə
169,Eichhörnchen::N,esquilo,аеш
170,Elch::N,alce,аҽаҩа
171,Fuchs::N,raposa,абгахəыҷы
172,Hase::N,lebre,ажьа
173,Maus::N,rato,аҳəынаҧ
174,Wolf::N,lobo,абгаду
175,Vogel::N,ave,аҧсаатə
176,Vogel::N,pássaro,аҧсаатə
177,Schwarm::N,bando,
178,Schwarm::N,enxame,
179,Huhn::N,galinha,акəты
180,Hahn::N,galo,арбаҕь
181,Gans::N,ganso,аҟыз
182,Adler::N,águia,ауарба
183,Ente::N,pata,акəата
184,Eule::N,mocho,аты
185,Eule::N,coruja,аты
186,Kranich::N,grou,апҟа
187,Krähe::N,gralha,аҟəараан
188,Kuckuck::N,cuco,акəыкəу
189,Schwan::N,cisne,агьад
190,Fisch::N,peixe,аҧсыӡ
191,Barsch::N,perca,ацəыбла
192,Hecht::N,lúcio,ахиаала
193,Schlange[Tier]::N,serpente,амаҭ
194,Wurm::N,verme,ахəа
195,Wurm::N,verme,ахəац
196,Spinne::N,aranha,абызкаҭаҳа
197,Ameise::N,formiga,ашышкамс
198,Laus::N,piolho,аҵа
199,Mücke::N,mosquito,акəыбры
200,Fliege::N,mosca,амҵ
201,Schmetterling::N,borboleta,аҧарҧалыкь
202,Beere::N,bago,аргуц
203,Apfel::N,maçã,аҵəа
204,Pilz::N,fungo,акəкəбаа
205,Pilz::N,cogumelo,акəкəбаа
206,Zwiebel::N,cebola,аџьымшьы
207,Zwiebel::N,cebola,аџьымшьхы
208,Saat::N,sementeira,ажəла
209,Korn::N,grão,арыц
210,Heu::N,feno,аҭəа
211,Schale::N,casca,ацəа
212,Grube::N,cova,ажра
213,Grube::N,cova,атыша
214,Grube::N,fossa,ажра
215,Grube::N,fossa,атыша
216,Falle::N,armadilha,арыҧҟьа
217,Schlinge::N,laço,аҟəараҟəантə
218,Spur::N,pista,ашьҭа
219,Spur::N,vestígio,ашьҭа
220,Asche::N,cinza,ахəа
221,Dreck::N,sujidade,аҳəынҵəа
222,Dreck::N,sujidade,аҟьамсар
223,Eisen::N,ferro,аиха
224,Gold::N,ouro,ахьы
225,Silber::N,prata,аразны
226,Kohle::N,carvão,арацəа
227,Glas::N,vidro,асаркьа
228,Lehm::N,barro,анышəаҧшь
229,Lehm::N,argila,анышəаҧшь
230,Sand::N,areia,аҧслымӡ
231,Mensch::N,homem,ауаҩы
232,Mensch::N,pessoa,ауаҩы
233,Mann::N,homem,ахаҵа
234,Frau::N,mulher,аҧҳəыс
235,Kind::N,filho,ахəыҷы
236,Kind::N,criança,ахəыҷы
237,Junge::N,rapaz,аҷкəын
238,Junge::N,rapaz,ахаҵарҧыс
239,Junge::N,menino,аҷкəын
240,Junge::N,menino,ахаҵарҧыс
241,Mädchen::N,menina,аӡӷаб
242,Mädchen::N,rapariga,аӡӷаб
243,Familie::N,família,аҭаацəа
244,Großvater::N,avô,абду
245,Großmutter::N,avó,анду
246,Eltern::N,pais,ани аби
247,Vater::N,pai,аб
248,Mutter::N,mãe,ан
249,Sohn::N,filho,аҧа
250,Tochter::N,filha,аҧҳа
251,Bruder::N,irmão,аиашьа
252,Schwester::N,irmã,Аҳəшьа
253,Onkel::N,tio,абиашьа
254,Onkel::N,tio,аншьа
255,Tante::N,tia,абиаҳəшьа
256,Ehemann::N,esposo,ахаҵа
257,Ehemann::N,esposo,аҧшəма
258,Ehefrau::N,esposa,аҧҳəыс
259,Freude::N,prazer,агəырӷьара
260,Freude::N,alegria,агəырӷьара
261,Gelächter::N,risada,ачча
262,Gelächter::N,risada,аччара
263,Gelächter::N,gargalhada,ачча
264,Gelächter::N,gargalhada,аччара
265,Glück::N,felicidade,аразҟы
266,Kummer::N,aflição,агəырҩа
267,Kummer::N,desgosto,агəырҩа
268,Wunsch::N,desejo,агəхəтəы
269,Wunsch::N,desejo,аҭахра
270,Lust::N,vontade,агəазыҳəара
271,Geist::N,mente,аҧсы
272,Geist::N,espírito,аҧсы
273,Gedanke::N,ideia,ахəыцырҭа
274,Gedanke::N,pensamento,ахəыцырҭа
275,Gedächtnis::N,memória,агəынкылара
276,Verstand::N,razão,ахшыҩ
277,Verstand::N,inteligência,ахшыҩ
278,Sinn::N,sentido,аҵакы
279,Sinn::N,significado,аҵакы
280,Grund::N,causa,амзыз
281,Grund::N,motivo,амзыз
282,Wahrheit::N,verdade,аиаша
283,Gespräch::N,conversa,аиҿцәажәара
284,Gespräch::N,conversação,аиҿцәажәара
285,Märchen::N,conto,алакə
286,Erzählung::N,conto,ажәабжь
287,Erzählung::N,narrativa,ажәабжь
288,Nachricht::N,mensagem,адырраҭара
289,Neuigkeit::N,notícia,ажәабжь ҿыц
290,Neuigkeit::N,novidade,ажәабжь ҿыц
291,Name::N,nome,ахьӡ
292,Rätsel::N,adivinha,ацуфара
293,Rede::N,oração,ажәа
294,Rede::N,discurso,ажәа
295,Sprache::N,língua,абызшəа
296,Stimme::N,voz,абжьы
297,Wort::N,palavra,ажәа
298,Zeichen::N,marca,адырга
299,Ruf::N,grito,аҿҭы
300,Ruf::N,chamada,аҿҭы
301,Lärm::N,ruído,ашьҭыбжь
302,Lärm::N,barulho,ашьҭыбжь
303,Laut::N,som,ашьҭыбжь
304,Ton::N,tom,атон
305,Lied::N,canção,ашəа
306,Ruhe::N,calma,аҭынчра
307,Ruhe::N,silêncio,аҭынчра
308,Leute::N,gente,ауаа
309,Leute::N,pessoas,ауаа
310,Volk::N,povo,ажəлар
311,Volk::N,nação,ажəлар
312,Arbeit::N,trabalho,аусура
313,Gast::N,hóspede,асас
314,Gast::N,convidado,асас
315,Geschenk::N,prenda,аҳамҭа
316,Geschenk::N,prenda,аҿанҵа
317,Geschenk::N,presente,аҳамҭа
318,Geschenk::N,presente,аҿанҵа
319,Spiel::N,jogo,ахəмарра
320,Gesellschaft::N,companhia,агəыҧ
321,Hilfe::N,ajuda,ацхыраара
322,Hilfe::N,socorro,ацхыраара
323,Freund::N,amigo,аҩыза
324,Kamerad::N,camarada,Аҧхнагьла
325,Angelegenheit::N,assunto,аус
326,Anzahl::N,número,ахыҧхьаӡара
327,Anzahl::N,quantidade,ахыҧхьаӡара
328,Art::N,tipo,ахкы
329,Art::N,espécie,ахкы
330,Stück::N,pedaço,аҽыҭ
331,Teil::N,peça,ахəҭа
332,Teil::N,parte,ахəҭа
333,Hälfte::N,metade,абжа
334,Kreis::N,círculo,агьагьа
335,Kreuz::N,cruz,аџьар
336,Linie::N,linha,аицтәар
337,Strich::N,traço,ацəаҳəа
338,Abstand::N,distância,абжьара
339,Entfernung::N,distância,абжьара
340,Gegend::N,área,аҭыҧ
341,Gegend::N,região,аҭыҧ
342,Platz::N,lugar,аҭыҧ
343,Ort::N,sítio,аҭыҧ
344,Seite::N,lado,аган
345,Mitte::N,meio,агəҭа
346,Gegenstand::N,objecto,амаҭəар
347,Sache::N,coisa,
348,Rand::N,bordo,аҵкар
349,Rand::N,margem,аҵкар
350,Kante::N,borda,авардым
351,Kante::N,aresta,авардым
352,Ecke::N,esquina,акəакь
353,Spitze::N,ponta,аҧынҵа
354,Ende::N,cabo,анаӡара
355,Ende::N,extremo,анаӡара
356,Loch::N,furo,акылҵəара
357,Loch::N,buraco,акылҵəара
358,Winkel::N,canto,агҿаҩра
359,Winkel::N,canto,акəындхə
360,Winkel::N,canto,акəакь
361,Winkel::N,ângulo,агҿаҩра
362,Winkel::N,ângulo,акəындхə
363,Winkel::N,ângulo,акəакь
364,Muster::N,padrão,аҟҟа
365,Muster::N,desenho,аҟҟа
366,Größe::N,tamanho,изаҟароу
367,Länge::N,comprimento,аура
368,Höhe::N,altura,агылара
369,Höhe::N,altitude,агылара
370,Gewicht::N,peso,акапан
371,Menge::N,quantidade,
372,Haufen::N,pilha,ачаҟəа
373,Reihe::N,fila,ацəаҳəа
374,Boot::N,barco,анышь
375,Ruder::N,remo,ажəҩа
376,Schlitten::N,trenó,ашəаҩауардын
377,Ski::N,esqui,ашəаҩа
378,Ski::N,esqui,ашьахаха
379,Lagerfeuer::N,fogueira,еиқуу амца
380,Last::N,carga,ахьанҭара
381,Gang::N,curso,аныҟəара
382,Gang::N,caminhada,аныҟəара
383,Schritt::N,passo,ашьаҿа
384,Norden::N,norte,аҩада
385,Süden::N,sul,алада
386,Westen::N,oeste,амраҭашəара
387,Westen::N,ocidente,амраҭашəара
388,Osten::N,este,амрагылара
389,Osten::N,leste,амрагылара
390,Osten::N,oriente,амрагылара
391,Holz::N,madeira,амҿымаҭəахə
392,Brett::N,tábua,аӷəы
393,Brett::N,prancha,аӷəы
394,Platte::N,laje,ахаҳәцәы
395,Platte::N,chapa,ахаҳәцәы
396,Stütze::N,apoio,аҵаргəа
397,Stütze::N,apoio,агəышьаҟа
398,Stütze::N,suporte,аҵаргəа
399,Stütze::N,suporte,агəышьаҟа
400,Stange::N,vara,акьат
401,Stange::N,barra,акьат
402,Stock::N,pau,алаба
403,Stock::N,bengala,алаба
404,Stab::N,bastão,акьат
405,Rohr::N,cano,абыкь
406,Haus::N,casa,аҩны
407,Heim::N,lar,аҭаацəа
408,Heim::N,casa,аҭаацəа
409,Ofen::N,estufa,аҳақə
410,Ofen::N,estufa,ауаџьаҟ
411,Ofen::N,estufa,афрына
412,Ofen::N,aquecedor,аҳақə
413,Ofen::N,aquecedor,ауаџьаҟ
414,Ofen::N,aquecedor,афрына
415,Fußboden::N,piso,адашьма
416,Tisch::N,mesa,аишәа
417,Stuhl::N,cadeira,аҟəардə
418,Wiege::N,berço,агара
419,Bett::N,cama,акаруаҭ
420,Regal::N,estante,акыӷəра
421,Regal::N,prateleira,акыӷəра
422,Kiste::N,caixa,аидчаҧала
423,Fenster::N,janela,аҧенџьыр
424,Tür::N,porta,ашə
425,Tor::N,portão,агəашə
426,Zaun::N,cerca,аанда
427,Zaun::N,vedação,аанда
428,Dach::N,telhado,ахыб
429,Leiter::N,escada,амардуан
430,Leiter::N,escada móvel,амардуан
431,Besen::N,vassoura,аҧссага
432,Spaten::N,pá,ажыга
433,Schaufel::N,pá,аҭəарӷəы
434,Gabel::N,garfo,ачқьыҧ
435,Löffel::N,colher,амҳаҵə
436,Messer::N,faca,аҳəызба
437,Nagel::N,cravo,аҵəымӷ
438,Netz::N,rede,акаҭа
439,Haken::N,gancho,аҵəаҳə
440,Griff::N,asa,амаа
441,Griff::N,cabo,амаа
442,Schloss::N,fechadura,асаҧаҭ
443,Bild::N,imagem,асахьа
444,Figur::N,figura,афигура
445,Puppe::N,boneca,акьанџьа
446,Beutel::N,saco,асакь
447,Beutel::N,bolsa,асакь
448,Bündel::N,fardo,аҿаҳəара
449,Tasche::N,saco,арҭмаҟ
450,Tasche::N,bolso,арҭмаҟ
451,Eimer::N,balde,аведра
452,Deckel::N,tampa,ахҩа
453,Geschirr::N,louça,ачысмаҭəа
454,Sack::N,saca,асакь
455,Tasse::N,chávena,аҵəца
456,Topf::N,tacho,акаструлиа
457,Topf::N,panela,акаструлиа
458,Kessel::N,caldeira,ачуан
459,Essen::N,refeição,
460,Nahrung::N,comida,афатə
461,Nahrung::N,alimento,афатə
462,Speise::N,prato,афатə
463,Fleisch::N,carne,акəац
464,Getreide::N,cereais,ачакуа
465,Brei::N,puré,ақашь
466,Brot::N,pão,ача
467,Scheibe::N,fatia,аҽыҭ
468,Scheibe::N,fatia,аҿаҵа
469,Fett::N,banha,ашша
470,Fett::N,gordura,ашша
471,Butter::N,manteiga,ахəша
472,Öl::N,azeite,азеҭ
473,Salz::N,sal,аџьыка
474,Suppe::N,sopa,асуҧ
475,Suppe::N,caldo,асуҧ
476,Honig::N,mel,ацха
477,Milch::N,leite,ахш
478,Tee::N,chá,ачаи
479,Leder::N,couro,ацəа
480,Wolle::N,lã,аласа
481,Stoff::N,pano,Аба
482,Stoff::N,tecido,Аба
483,Nadel::N,agulha,агəыр
484,Faden::N,fio,арахəыц
485,Knopf::N,botão,аҳəынҵəра
486,Knoten::N,nó,аиқəҳəала
487,Farbe::N,corante,ашəыга
488,Kleidung::N,roupa,амаҭəа
489,Kleidung::N,vestuário,амаҭəа
490,Hemd::N,camisa,акьаҿ
491,Kragen::N,gola,ахəда
492,Ärmel::N,manga,амаӷра
493,Hose::N,calça,аиқəа
494,Gürtel::N,cinto,амаҟа
495,Mütze::N,boné,ахылҧа
496,Mütze::N,barrete,ахылҧа
497,Schuh::N,sapato,аимаа
498,Stiefel::N,bota,амагə
499,Ring::N,anel,амацəаз
500,Band::N,fita,алента
501,Band::N,faixa,алента
502,Kamm::N,pente,ахҳəа
503,Spiegel::N,espelho,асаркьа
504,Riemen::N,correia,аа
505,Schnur::N,corda,ашаха
506,Schnur::N,cordel,ашаха
507,Leine::N,trela,аҕура
508,Decke::N,cobertor,ахыза
509,Kissen::N,almofada,ахчы
510,Tuch::N,pano,акасы
511,Handtuch::N,toalha,ампахьшьы
512,Kraft::N,força,амч
513,Stärke::N,força,амч
514,Gesundheit::N,saúde,агəабзиара
515,Krankheit::N,doença,ачымазара
516,Krankheit::N,enfermidade,ачымазара
517,Schmerz::N,dor,ахьаа
518,Wunde::N,chaga,ахəра
519,Wunde::N,ferida,ахəра
520,Fieber::N,febre,ашоура
521,Arznei::N,remédio,ахəшə
522,Brücke::N,ponte,ацҳа
523,Brunnen::N,poço,аҵыџь
524,Weide::N,pastagem,аҳəырҭа
525,Pfad::N,senda,амхəасҭа
526,Pfad::N,trilho,амхəасҭа
527,Weg::N,caminho,амҩа
528,Straße::N,via,амҩа
529,Straße::N,estrada,амҩа
530,Dorf::N,aldeia,ақыҭа
531,Stadt::N,cidade,ақалақь
532,Brief::N,carta,ашəҟəы
533,Buch::N,livro,ашəҟəы
534,Buchstabe::N,letra,анбан
535,Zeitung::N,jornal,агазеҭ
536,Leben::N,vida,аҧсҭазаара
537,Tod::N,morte,аҧсра
538,Grab::N,túmulo,анышəынҭра
539,Grab::N,sepultura,анышəынҭра
540,Kirche::N,igreja,ауахəама
541,Sünde::N,pecado,агəнаҳа
542,Gott::N,deus,анцəа
543,Arbeiter::N,operário,аусуҩ
544,Arbeiter::N,trabalhador,аусуҩ
545,Chef::N,chefe,Аиҳабы
546,Chef::N,patrão,Аиҳабы
547,Meister::N,mestre,аҟаза
548,Arzt::N,médico,аҳақьым
549,Lehrer::N,professor,арҵаҩы
550,Geld::N,dinheiro,аҧара
551,Geschäft::N,negócio,
552,Laden::N,loja,амагазин
553,Preis::N,preço,ахə
554,Ware::N,mercadoria,атауар
555,Nutzen::N,proveito,ақьар
556,Reichtum::N,riqueza,абеиара
557,Welt::N,mundo,адунеи
558,Land::N,país,атəыла
559,Staat::N,Estado,аҳəынҭқарра
560,König::N,rei,акрал
561,Macht::N,poder,амчра
562,Macht::N,potência,амчра
563,Grenze::N,fronteira,аҳəаа
564,Krieg::N,guerra,аибашьра
565,Feind::N,inimigo,Аҕа
566,Gewalt::N,violência,ақəымчра
567,Kampf::N,luta,ақəҧара
568,Kampf::N,combate,ақəҧара
569,Bogen[Waffe]::N,arco,ахыц
570,Pfeil::N,seta,ахəымпал
571,Pfeil::N,flecha,ахəымпал
572,Gewehr::N,espingarda,ашəақь
573,Fehler::N,erro,агха
574,Fehler::N,falha,агха
575,Lüge::N,mentira,амц
576,Schaden::N,dano,аҧырхага
577,Schaden::N,estrago,аҧырхага
578,Unglück::N,desgraça,арыцҳара
579,Schuld::N,culpa,ахара
580,Alter::N,idade,ақəра
581,Schluss::N,fim,анҵəамҭа
582,Zeit::N,tempo,аамта
583,Tag::N,dia,амш
584,Morgen::N,manhã,ашара
585,Morgen::N,manhã,ашьыбжь
586,Mittag::N,meio-dia,шьыбжьон
587,Abend::N,noite,ахəылҧаз
588,Abend::N,noite,ахəлбыҽха
589,Abend::N,tardinha,ахəылҧаз
590,Abend::N,tardinha,ахəлбыҽха
591,Nacht::N,noite,аҵх
592,Woche::N,semana,амчыбжь
593,Monat::N,mês,
594,Jahr::N,ano,
595,Frühling::N,primavera,ааҕын
596,Sommer::N,verão,аҧхын
597,Herbst::N,outono,ҭагалан
598,Herbst::N,outono,хкаарачан
599,Winter::N,inverno,аӡын
600,Januar::N,Janeiro,ианвар
