,Concept_ID,sah,ja
0,Auge::N,харах,目
1,Ohr::N,кулгаах,耳
2,Nase::N,мурун,鼻
3,Mund::N,айах,口
4,Zahn::N,тиис,歯
5,Zunge::N,тыл,舌
6,Lippe::N,уос,唇
7,Wange::N,иэдэс,頬
8,Gesicht::N,сирэй,顔
9,Stirn::N,сүүс,額
10,Haar::N,баттах,髪
11,Schnurrbart::N,уос бытыга,口髭
12,Bart::N,сэҥийэ бытыга,髭
13,Kinn::N,сэҥийэ,顎
14,Kiefer[Anatomie]::N,сыҥаах,顎
15,Kehle::N,тамах,喉
16,Kehle::N,күөмэй,喉
17,Hals::N,моой,首
18,Genick::N,кэтэх,首
19,Kopf::N,бас,頭
20,Rücken::N,көҕүс,背中
21,Bauch::N,ис,腹
22,Bauch::N,ис,お腹
23,Nabel::N,киин,へそ
24,Busen::N,эмиий,乳房
25,Brust::N,түөс,胸
26,Schulter::N,сарын,肩
27,Arm::N,илии,腕
28,Ellenbogen::N,тоҕонох,肘
29,Hand::N,илии,手
30,Handfläche::N,ытыс,手のひら
31,Finger::N,тарбах,指
32,Fingernagel::N,тыҥырах,爪
33,Nagel[Anatomie]::N,тыҥырах,爪
34,Zeh::N,тарбах,足の指
35,Fuß::N,уллуҥах,足
36,Ferse::N,тилэх,かかと
37,Knie::N,тобук,膝
38,Knie::N,дьилбэк,膝
39,Oberschenkel::N,уллук,上腿
40,Oberschenkel::N,өттүк,上腿
41,Bein::N,атах,足
42,Körper::N,бэйэ,体
43,Haut::N,тирии,皮膚
44,Blut::N,хаан,血
45,Ader::N,вена,血管
46,Ader::N,күөх_тымыр,血管
47,Sehne::N,иҥиир,腱
48,Knochen::N,уҥуох,骨
49,Knochen::N,уҥгуох,骨
50,Gehirn::N,мэйии,脳
51,Herz::N,сүрэх,心
52,Herz::N,сүрэх,心臓
53,Magen::N,куртах,胃
54,Leber::N,быар,肝臓
55,Atem::N,тыын,息
56,Atem::N,тыын,呼吸
57,Hunger::N,аас,空腹
58,Träne::N,харах уута,涙
59,Geschmack::N,амтан,味
60,Geruch::N,сыт,匂い
61,Schlaf::N,утуйуу,睡眠
62,Traum::N,түүл,夢
63,Himmel::N,халлаан,空
64,Sonne::N,күн,太陽
65,Mond::N,ый,月
66,Stern::N,сулус,星
67,Luft::N,салгын,空気
68,Wind::N,тыал,風
69,Welle::N,долгун,波
70,Welle::N,балхаан,波
71,Wasser::N,уу,水
72,Stein::N,таас,石
73,Boden::N,сир,土地
74,Erde::N,буор,土
75,Staub::N,быыл,埃
76,Rauch::N,буруо,煙
77,Funke::N,кыым,火花
78,Feuer::N,уот,火
79,Licht::N,уот,光
80,Schatten::N,күлүк,陰
81,Wetter::N,күн-дьыл,天気
82,Nebel::N,туман,霧
83,Wolke::N,былыт,雲
84,Regen::N,самыыр,雨
85,Schnee::N,хаар,雪
86,Eis::N,муус,氷
87,Frost::N,тымныы,霜
88,Kälte::N,тымныы,寒さ
