,Concept_ID,it,ady
0,Auge::N,occhio,нэ
1,Ohr::N,orecchio,тхьакӏу́м
2,Nase::N,naso,пэ
3,Mund::N,bocca,жэ
4,Zahn::N,dente,цэ
5,Zunge::N,lingua,бзэгу
6,Lippe::N,labbro,ӏупшӏэ́
7,Wange::N,guancia,нэкӏу́шъу
8,Gesicht::N,viso,нэ́гу
9,Gesicht::N,faccia,нэ́гу
10,Stirn::N,fronte,натӏэ́
11,Haar::N,capello,шъхьацы́
12,Schnurrbart::N,baffi,
13,Schnurrbart::N,mustacchi,
14,Bart::N,barba,жакӏэ́
15,Kinn::N,mento,жэкӏэпэпкъ
16,Kiefer[Anatomie]::N,mascella,жэпкъы́
17,Kehle::N,gola,чый
18,Hals::N,collo,пшъэ
19,Genick::N,nuca,шъхьэпхэтыку
20,Kopf::N,capo,шъхьэ́
21,Kopf::N,testa,шъхьэ́
22,Rücken::N,dorso,кӏыбы́
23,Rücken::N,schiena,кӏыбы́
24,Bauch::N,ventre,ныбэ́
25,Nabel::N,ombelico,
26,Busen::N,seno,бгъэ́
27,Brust::N,petto,бгъэ́
28,Schulter::N,spalla,блыпкъ
29,Arm::N,braccio,ӏэ
30,Ellenbogen::N,gomito,ӏэнтэ́гъу
31,Hand::N,mano,ӏэтхьэцу
32,Handfläche::N,palma,ӏэ́гу
33,Finger::N,dito,ӏэхъуа́мб
34,Fingernagel::N,unghia,ӏэбжъа́н
35,Nagel[Anatomie]::N,unghia,ӏэбжъа́н
36,Zeh::N,dito del piede,ӏэхъуа́мб
37,Fuß::N,piede,лъэгу
38,Ferse::N,tallone,лъэдакъэ
39,Ferse::N,calcagno,лъэдакъэ
40,Knie::N,ginocchio,лъагуа́ндж
41,Oberschenkel::N,fèmore,ко
42,Bein::N,gamba,лъакъо́
43,Körper::N,corpo,пкъышъол
44,Haut::N,pelle,кӏы́шъу
45,Blut::N,sangue,лъы
46,Ader::N,vena,льытф
47,Sehne::N,tèndine,фэ
48,Knochen::N,osso,къупшъхьэ́
49,Gehirn::N,cervello,куцӏы
50,Herz::N,cuore,гу
51,Magen::N,stòmaco,мышкӏу
52,Leber::N,fegato,шӏу
53,Atem::N,fiato,къэщэныр
54,Atem::N,respiro,къэщэныр
55,Hunger::N,fame,гъаблэ́
56,Träne::N,làcrima,нэпсы
57,Geschmack::N,gusto,ӏэшӏугъа́кӏ
58,Geschmack::N,sapore,ӏэшӏугъа́кӏ
59,Geruch::N,odore,мэ
60,Schlaf::N,sonno,пчыхьы́пӏ
61,Traum::N,sogno,пчыхьы́пӏ
62,Himmel::N,cielo,уашъо́
63,Sonne::N,sole,тыгъэ
64,Mond::N,luna,мазэ
65,Stern::N,stella,жъуагъо́
66,Luft::N,aria,жьы
67,Wind::N,vento,жьыбгъэ́
68,Welle::N,onda,ор
69,Welle::N,onda,оры
70,Wasser::N,acqua,псы
71,Stein::N,sasso,мыжъо́
72,Stein::N,pietra,мыжъо́
73,Boden::N,suolo,чӏ́ыгу
74,Boden::N,terreno,чӏ́ыгу
75,Erde::N,terra,чӏ́ыгу
76,Staub::N,polvere,сап
77,Rauch::N,fumo,ӏугъо́
78,Funke::N,scintilla,мэшӏуа́ч
79,Feuer::N,fuoco,машӏо́
80,Licht::N,luce,нэфы
81,Licht::N,luce,нэфын
82,Schatten::N,ombra,жьау́
83,Schatten::N,ombra,ныбжьыкъу
84,Wetter::N,tempo,
85,Nebel::N,nebbia,пща́гъу
86,Wolke::N,nube,ошъуапщэ
87,Wolke::N,nùvola,ошъуапщэ
88,Regen::N,pioggia,ощхы
89,Schnee::N,neve,осы́
