,Concept_ID,tr,sah
0,Auge::N,göz,харах
1,Ohr::N,kulak,кулгаах
2,Nase::N,burun,мурун
3,Mund::N,ağız,айах
4,Zahn::N,diş,тиис
5,Zunge::N,dil,тыл
6,Lippe::N,dudak,уос
7,Wange::N,yanak,иэдэс
8,Gesicht::N,yüz,сирэй
9,Stirn::N,alın,сүүс
10,Haar::N,saç,баттах
11,Schnurrbart::N,bıyık,уос бытыга
12,Bart::N,sakal,сэҥийэ бытыга
13,Kinn::N,çene,сэҥийэ
14,Kiefer[Anatomie]::N,çene,сыҥаах
15,Kehle::N,boğaz,тамах
16,Kehle::N,boğaz,күөмэй
17,Hals::N,boyun,моой
18,Hals::N,gerdan,моой
19,Genick::N,ense,кэтэх
20,Kopf::N,baş,бас
21,Kopf::N,kafa,бас
22,Rücken::N,arka,көҕүс
23,Bauch::N,karın,ис
24,Nabel::N,göbek,киин
25,Busen::N,koyun,эмиий
26,Brust::N,göğüs,түөс
27,Schulter::N,omuz,сарын
28,Arm::N,kol,илии
29,Ellenbogen::N,dirsek,тоҕонох
30,Hand::N,el,илии
31,Handfläche::N,avuç,ытыс
32,Handfläche::N,el ayası,ытыс
33,Finger::N,parmak,тарбах
34,Fingernagel::N,el tırnağı,тыҥырах
35,Nagel[Anatomie]::N,tırnak,тыҥырах
36,Zeh::N,ayak parmağı,тарбах
37,Fuß::N,ayak,уллуҥах
38,Ferse::N,topuk,тилэх
39,Knie::N,diz,тобук
40,Knie::N,diz,дьилбэк
41,Oberschenkel::N,uyluk,уллук
42,Oberschenkel::N,uyluk,өттүк
43,Bein::N,bacak,атах
44,Körper::N,vücut,бэйэ
45,Haut::N,cilt,тирии
46,Blut::N,kan,хаан
47,Ader::N,damar,вена
48,Ader::N,damar,күөх_тымыр
49,Sehne::N,kiriş,иҥиир
50,Knochen::N,kemik,уҥуох
51,Knochen::N,kemik,уҥгуох
52,Gehirn::N,beyin,мэйии
53,Herz::N,kalp,сүрэх
54,Herz::N,yürek,сүрэх
55,Magen::N,mide,куртах
56,Leber::N,karaciğer,быар
57,Atem::N,nefes,тыын
58,Hunger::N,açlık,аас
59,Träne::N,gözyaşı,харах уута
60,Geschmack::N,tat,амтан
61,Geschmack::N,lezzet,амтан
62,Geruch::N,koku,сыт
63,Schlaf::N,uyku,утуйуу
64,Traum::N,düş,түүл
65,Traum::N,rüya,түүл
66,Himmel::N,gök,халлаан
67,Sonne::N,güneş,күн
68,Mond::N,ay,ый
69,Stern::N,yıldız,сулус
70,Luft::N,hava,салгын
71,Wind::N,yel,тыал
72,Wind::N,rüzgâr,тыал
73,Welle::N,dalga,долгун
74,Welle::N,dalga,балхаан
75,Wasser::N,su,уу
76,Stein::N,taş,таас
77,Boden::N,yer,сир
78,Boden::N,zemin,сир
79,Erde::N,toprak,буор
80,Staub::N,toz,быыл
81,Rauch::N,duman,буруо
82,Funke::N,kıvılcım,кыым
83,Feuer::N,ateş,уот
84,Licht::N,ışık,уот
85,Schatten::N,gölge,күлүк
86,Wetter::N,hava,күн-дьыл
87,Nebel::N,pus,туман
88,Wolke::N,bulut,былыт
89,Regen::N,yağmur,самыыр
90,Schnee::N,kar,хаар
91,Eis::N,buz,муус
92,Frost::N,don,тымныы
93,Kälte::N,soğukluk,тымныы
94,Hitze::N,sıcaklık,куйаас
95,Raureif::N,kırç,кырыа
96,Regenbogen::N,gökkuşağı,кустук
97,Donner::N,gök gürlemesi,этиҥ
98,Strömung::N,akıntı,сүүрүк
99,Strömung::N,cereyan,сүүрүк
100,Tropfen::N,damla,таммах
101,Tropfen::N,damla,хааппыла
102,Schaum::N,köpük,күүгэн
103,Schmutz::N,çamur,кир
104,Schmutz::N,pislik,кир
105,See::N,göl,күөл
106,Sumpf::N,batak,бадараан
107,Moor::N,cılgıt,дьэбэрэ
108,Wiese::N,çimen,ходуһа
109,Wald::N,koru,ойуур
110,Wald::N,orman,ойуур
111,Hügel::N,tepe,булгунньах
112,Anhöhe::N,tümsek,үрдэл
113,Anhöhe::N,yükseklik,үрдэл
114,Berg::N,dağ,хайа
115,Gipfel::N,zirve,чыпчаал
116,Höhle::N,in,хайа_хаспаҕа
117,Höhle::N,in,көҥүс
118,Höhle::N,mağara,хайа_хаспаҕа
119,Höhle::N,mağara,көҥүс
120,Abhang::N,bayır,эниэ
121,Quelle::N,pınar,дьүүктэ
122,Quelle::N,kaynak,дьүүктэ
123,Bach::N,çay,үрүйэ
124,Bach::N,dere,үрүйэ
125,Fluss::N,nehir,өрүс
126,Ufer::N,kıyı,биэрэк
127,Ufer::N,sahil,биэрэк
128,Küste::N,kıyı,кытыл
129,Küste::N,sahil,кытыл
130,Festland::N,kara,кураанах сир
131,Meer::N,deniz,муора
132,Bucht::N,koy,хомо
133,Bucht::N,koy,бухта
134,Bucht::N,körfez,хомо
135,Bucht::N,körfez,бухта
136,Insel::N,ada,арыы
137,Blume::N,çiçek,сибэкки
138,Gras::N,ot,от
139,Gras::N,çim,от
140,Wurzel::N,kök,силис
141,Baum::N,ağaç,мас
142,Stamm::N,gövde,умнас
143,Rinde::N,kabuk,хатырык
144,Ast::N,dal,мутук
145,Ast::N,budak,мутук
146,Zweig::N,dal,лабаа
147,Blatt::N,yaprak,сэбирдэх
148,Birke::N,huş,хатыҥ
149,Kiefer[Baum]::N,çam,бэс
150,Weide[Baum]::N,söğüt,үөт
151,Weide[Baum]::N,söğüt,талах
152,Tanne::N,çam,харыйа
153,Tanne::N,köknar,харыйа
154,Horn::N,boynuz,муос
155,Feder::N,tüy,куорсун
156,Fell::N,post,тирии
157,Flügel::N,kanat,кынат
158,Klaue::N,pençe,тыҥырах
159,Kralle::N,tırnak,баппаҕай
160,Schwanz::N,kuyruk,кутурук
161,Ei::N,yumurta,сымыыт
162,Nest::N,yuva,уйа
163,Bau::N,in,хороон
164,Tier::N,hayvan,кыыл
165,Tier::N,hayvan,харамай
166,Herde::N,sürü,үөр
167,Kuh::N,inek,ынах
168,Bulle::N,boğa,оҕус
169,Pferd::N,at,сылгы
170,Pferd::N,beygir,сылгы
171,Schaf::N,koyun,овца
172,Schwein::N,domuz,сибиинньэ
173,Hund::N,it,ыт
174,Hund::N,köpek,ыт
175,Katze::N,kedi,куоска
176,Bär::N,ayı,эһэ
177,Eichhörnchen::N,sincap,тииҥ
178,Elch::N,büyük kuzey geyiği,тайах
179,Fuchs::N,tilki,саһыл
180,Hase::N,tavşan,куобах
181,Maus::N,fare,кутуйах
182,Maus::N,sıçan,кутуйах
183,Wolf::N,kurt,бөрө
184,Vogel::N,kuş,көтөр
185,Schwarm::N,sürü,бөлөх
186,Huhn::N,tavuk,куурусса
187,Hahn::N,horoz,бөтүүк
188,Gans::N,kaz,хаас
189,Adler::N,kartal,хотой
190,Adler::N,karakuş,хотой
191,Ente::N,ördek,кус
192,Eule::N,baykuş,мэкчиргэ
193,Kranich::N,turna,туруйа
194,Krähe::N,karga,тураах
195,Kuckuck::N,guguk,кэҕэ
196,Schwan::N,kuğu,куба
197,Fisch::N,balık,балык
198,Barsch::N,hani,алыһар
199,Barsch::N,levrek,алыһар
200,Hecht::N,turnabalığı,сордон
201,Schlange[Tier]::N,yılan,моҕой
202,Schlange[Tier]::N,yılan,эриэн үөн
203,Wurm::N,kurt,үөн
204,Wurm::N,solucan,үөн
205,Spinne::N,örümcek,ооҕуй
206,Ameise::N,karınca,кымырдаҕас
207,Laus::N,bit,быт
208,Mücke::N,sivrisinek,кумаар
209,Fliege::N,sinek,сахсырҕа
210,Schmetterling::N,kelebek,лыах
