,Concept_ID,lv,fa
0,Auge::N,син,چشم
1,Auge::N,acs,چشم
2,Ohr::N,пель,گوش
3,Ohr::N,auss,گوش
4,Nase::N,ныр,بینی
5,Nase::N,deguns,بینی
6,Mund::N,вом,دهان
7,Mund::N,mute,دهان
8,Zahn::N,пинь,دندان
9,Zahn::N,zobs,دندان
10,Zunge::N,кыв,زبان
11,Zunge::N,mēle,زبان
12,Lippe::N,вом дор,لب
13,Lippe::N,lūpa,لب
14,Wange::N,бан,لپ
15,Wange::N,vaigs,لپ
16,Gesicht::N,чужӧм,رو
17,Gesicht::N,чужӧм,چهره
18,Gesicht::N,seja,رو
19,Gesicht::N,seja,چهره
20,Gesicht::N,ģīmis,رو
21,Gesicht::N,ģīmis,چهره
22,Stirn::N,плеш,پیشانی
23,Stirn::N,кымӧс,پیشانی
24,Stirn::N,piere,پیشانی
25,Haar::N,си,مو
26,Haar::N,юрси,مو
27,Haar::N,mats,مو
28,Schnurrbart::N,ус,سبیل
29,Schnurrbart::N,пыртсим,سبیل
30,Schnurrbart::N,ūsas,سبیل
31,Bart::N,тош,ریش
32,Bart::N,bārda,ریش
33,Kinn::N,тшӧка,چانه
34,Kinn::N,zods,چانه
35,Kinn::N,smakrs,چانه
36,Kiefer[Anatomie]::N,черлы,فک
37,Kiefer[Anatomie]::N,черлы,آرواره
38,Kiefer[Anatomie]::N,алака лы,فک
39,Kiefer[Anatomie]::N,алака лы,آرواره
40,Kiefer[Anatomie]::N,вомкӧтш лы,فک
41,Kiefer[Anatomie]::N,вомкӧтш лы,آرواره
42,Kiefer[Anatomie]::N,žoklis,فک
43,Kiefer[Anatomie]::N,žoklis,آرواره
44,Kehle::N,голя,حلق
45,Kehle::N,rīkle,حلق
46,Hals::N,сьылі,گردن
47,Hals::N,kakls,گردن
48,Genick::N,юрбӧр,پشت گردن
49,Genick::N,балябӧж,پشت گردن
50,Genick::N,sprands,پشت گردن
51,Kopf::N,юр,سر
52,Kopf::N,юр,کله
53,Kopf::N,galva,سر
54,Kopf::N,galva,کله
55,Rücken::N,мыш,پشت
56,Rücken::N,mugura,پشت
57,Bauch::N,рушку,شکم
58,Bauch::N,vēders,شکم
59,Nabel::N,гӧг,ناف
60,Nabel::N,naba,ناف
61,Busen::N,морӧс,پستان
62,Busen::N,krūts,پستان
63,Brust::N,морӧс,سینه
64,Brust::N,krūts,سینه
65,Schulter::N,пельпом,دوش
66,Schulter::N,пельпом,شانه
67,Schulter::N,plecs,دوش
68,Schulter::N,plecs,شانه
69,Arm::N,ки,بازو
70,Arm::N,roka,بازو
71,Arm::N,delms,بازو
72,Ellenbogen::N,гырддза,آرنج
73,Ellenbogen::N,elkonis,آرنج
74,Hand::N,ки,دست
75,Hand::N,roka,دست
76,Hand::N,plauksta,دست
77,Handfläche::N,ки пыдӧс,کف دست
78,Handfläche::N,delna,کف دست
79,Handfläche::N,plauksta,کف دست
80,Finger::N,чунь,انگشت
81,Finger::N,pirksts,انگشت
82,Fingernagel::N,гыж,ناخن دست
83,Fingernagel::N,nags,ناخن دست
84,Nagel[Anatomie]::N,гыж,ناخن
85,Nagel[Anatomie]::N,nags,ناخن
86,Zeh::N,кок чунь,انگشت پا
87,Zeh::N,pirksts,انگشت پا
88,Fuß::N,кок,پا
89,Fuß::N,kāja,پا
