,Concept_ID,cs,tr
0,Auge::N,oko,göz
1,Ohr::N,ucho,kulak
2,Nase::N,nos,burun
3,Mund::N,pusa,ağız
4,Zahn::N,zub,diş
5,Zunge::N,jazyk,dil
6,Lippe::N,ret,dudak
7,Wange::N,tvář,yanak
8,Gesicht::N,obličej,yüz
9,Stirn::N,čelo,alın
10,Haar::N,vlas,saç
11,Haar::N,vlasy,saç
12,Schnurrbart::N,kníry,bıyık
13,Bart::N,vousy,sakal
14,Kinn::N,brada,çene
15,Kiefer[Anatomie]::N,čelist,çene
16,Kehle::N,hrdlo,boğaz
17,Hals::N,krk,boyun
18,Hals::N,krk,gerdan
19,Genick::N,týl,ense
20,Kopf::N,hlava,baş
21,Kopf::N,hlava,kafa
22,Rücken::N,záda,arka
23,Rücken::N,hřbet,arka
24,Bauch::N,břicho,karın
25,Nabel::N,pupek,göbek
26,Busen::N,ňadra,koyun
27,Brust::N,prsa,göğüs
28,Schulter::N,plece,omuz
29,Schulter::N,rameno,omuz
30,Arm::N,ruka,kol
31,Ellenbogen::N,loket,dirsek
32,Hand::N,ruka,el
33,Handfläche::N,dlaň,avuç
34,Handfläche::N,dlaň,el ayası
35,Finger::N,prst,parmak
36,Fingernagel::N,nehet,el tırnağı
37,Nagel[Anatomie]::N,nehet,tırnak
38,Zeh::N,prst u nohy,ayak parmağı
39,Fuß::N,noha,ayak
40,Ferse::N,pata,topuk
41,Knie::N,koleno,diz
42,Oberschenkel::N,stehno,uyluk
43,Bein::N,noha,bacak
44,Körper::N,tělo,vücut
45,Haut::N,kůže,cilt
46,Blut::N,krev,kan
47,Ader::N,céva,damar
48,Sehne::N,šlacha,kiriş
49,Knochen::N,kost,kemik
50,Gehirn::N,mozek,beyin
51,Herz::N,srdce,kalp
52,Herz::N,srdce,yürek
53,Magen::N,žaludek,mide
54,Leber::N,játra,karaciğer
55,Atem::N,dech,nefes
56,Hunger::N,hlad,açlık
57,Träne::N,slza,gözyaşı
58,Geschmack::N,vkus,tat
59,Geschmack::N,vkus,lezzet
60,Geruch::N,vůně,koku
61,Geruch::N,zápach,koku
62,Schlaf::N,spánek,uyku
63,Traum::N,sen,düş
64,Traum::N,sen,rüya
65,Himmel::N,nebe,gök
66,Sonne::N,slunce,güneş
67,Mond::N,měsíc,ay
68,Stern::N,hvězda,yıldız
69,Luft::N,vzduch,hava
70,Wind::N,vítr,yel
71,Wind::N,vítr,rüzgâr
