,Concept_ID,fi,av
0,Auge::N,silmä,
1,Ohr::N,korva,гӏин
2,Nase::N,nenä,мегӏер
3,Mund::N,suu,кӏал
4,Zahn::N,hammas,гӏус
5,Zunge::N,kieli,мацӏ
6,Lippe::N,huuli,кӏветӏ
7,Wange::N,poski,гӏоно
8,Gesicht::N,naama,гьумер
9,Gesicht::N,kasvot,гьумер
10,Stirn::N,otsa,нодо
11,Haar::N,hius,рас
12,Haar::N,tukka,рас
13,Schnurrbart::N,viikset,михъ
14,Bart::N,parta,мегеж
15,Kinn::N,leuka,нилъу
16,Kiefer[Anatomie]::N,leukaluu,чанагъ
17,Kehle::N,kurkku,щекъер
18,Hals::N,kaula,габур
19,Genick::N,niska,гъванща
20,Kopf::N,pää,бетӏер
21,Rücken::N,selkä,мугъ
22,Bauch::N,maha,чехь
23,Bauch::N,vatsa,чехь
24,Nabel::N,napa,цӏину
25,Busen::N,rinta,керен
26,Brust::N,rinta,керен
27,Schulter::N,olka,гъажазубетӏер
28,Schulter::N,hartia,гъажазубетӏер
29,Schulter::N,olkapää,гъажазубетӏер
30,Arm::N,käsivarsi,гъеж
31,Ellenbogen::N,kyynärpää,гӏункӏрукь
32,Hand::N,käsi,квер
33,Handfläche::N,kämmen,огъохъат
34,Handfläche::N,kämmen,жанисахъат
35,Finger::N,sormi,килищ
36,Fingernagel::N,kynsi,малъ
37,Nagel[Anatomie]::N,kynsi,малъ
38,Zeh::N,varvas,килищ
39,Fuß::N,jalka,хӏетӏ
40,Fuß::N,jalka,хӏетӏе
41,Ferse::N,kantapää,эгъе
42,Knie::N,polvi,наку
43,Oberschenkel::N,reisi,мачӏ
44,Bein::N,jalka,бох
45,Körper::N,keho,къаркъала
46,Körper::N,ruumis,къаркъала
47,Haut::N,iho,тӏом
48,Blut::N,veri,би
49,Ader::N,suoni,бидурихь
50,Sehne::N,jänne,
51,Knochen::N,luu,ракьа
52,Gehirn::N,aivot,гӏадалнах
53,Herz::N,sydän,ракӏ
54,Magen::N,maha,кванирукъ
55,Magen::N,vatsa,кванирукъ
56,Leber::N,maksa,тӏул
57,Atem::N,henki,хӏухь
58,Atem::N,hengitys,хӏухь
59,Hunger::N,nälkä,ракъи
60,Träne::N,kyynel,магӏу
61,Geschmack::N,maku,тату
62,Geruch::N,haju,махӏ
63,Schlaf::N,uni,макьу
64,Traum::N,uni,макьу
65,Himmel::N,taivas,зоб
66,Sonne::N,aurinko,бакъ
67,Mond::N,kuu,моцӏ
68,Stern::N,tähti,цӏва
69,Luft::N,ilma,гьава
70,Wind::N,tuuli,гьури
71,Welle::N,aalto,карачел
72,Wasser::N,vesi,лъим
73,Stein::N,kivi,гьецӏо
74,Boden::N,maa,ракь
75,Boden::N,maaperä,ракь
76,Erde::N,maa,ракь
77,Erde::N,maa,дуниял
78,Staub::N,pöly,хӏур
79,Rauch::N,savu,кӏкӏуй
80,Funke::N,kipinä,
81,Feuer::N,tuli,цӏа
