,Concept_ID,uk,os
0,Auge::N,око,цӕст
1,Ohr::N,вухо,хъус
2,Nase::N,ніс,фындз
3,Mund::N,рот,дзых
4,Zahn::N,зуб,дӕндаг
5,Zunge::N,язик,ӕвзаг
6,Lippe::N,губа,был
7,Wange::N,щока,рус
8,Wange::N,щока,уадул
9,Wange::N,щока,ӕхсӕрфарс
10,Gesicht::N,обличчя,цӕсгом
11,Stirn::N,лоб,ных
12,Haar::N,волосся,хил
13,Schnurrbart::N,вуса,рихи
14,Bart::N,борода,зачъе
15,Kinn::N,підборіддя,роцъо
16,Kiefer[Anatomie]::N,щелепа,ӕфсӕр
17,Kehle::N,горло,хъуыр
18,Hals::N,шия,къубал
19,Genick::N,потилиця,къӕбут
20,Kopf::N,голова,сӕр
21,Rücken::N,спина,фӕсонтӕ
22,Bauch::N,живіт,гуыбын
23,Nabel::N,пупок,бикъ
24,Busen::N,груди,дзидзи
25,Brust::N,груди,риу
26,Schulter::N,плече,уӕхск
27,Arm::N,рука,цонг
28,Ellenbogen::N,лікоть,рæмбын
29,Hand::N,рука,къух
30,Handfläche::N,долоня,армытъӕпӕн
31,Finger::N,палець,ӕнруылдз
32,Fingernagel::N,ніготь,ных
33,Nagel[Anatomie]::N,ніготь,ных
34,Zeh::N,палець на нозі,къух
35,Fuß::N,нога,фад
36,Ferse::N,п’ятка,зӕвӕт
37,Knie::N,коліно,уӕраг
38,Oberschenkel::N,стегно,агъд
39,Bein::N,нога,зӕнг
40,Körper::N,тіло,буар
41,Haut::N,шкіра,царм
42,Blut::N,кров,туг
43,Ader::N,вена,дадзин
44,Ader::N,вена,тугдадзин
45,Sehne::N,сухожилля,хъиутæ
46,Sehne::N,сухожилля,нуар
47,Knochen::N,кістка,стӕг
48,Gehirn::N,мозок,магъз
49,Herz::N,серце,зӕрдӕ
50,Magen::N,шлунок,ахсӕн
51,Leber::N,печінка,игæр
52,Atem::N,дихання,улӕфт
53,Hunger::N,голод,стонг
54,Träne::N,сльоза,цæссыг
55,Geschmack::N,смак,ад
56,Geruch::N,запах,смаг
57,Schlaf::N,сон,хуыссӕг
58,Schlaf::N,сплячка,хуыссӕг
59,Traum::N,сон,фын
60,Himmel::N,небо,арв
61,Himmel::N,небо,уӕларв
62,Sonne::N,сонце,хур
63,Mond::N,місяць,мӕй
64,Stern::N,зірка,стъалы
65,Luft::N,повітря,уӕлдӕф
66,Wind::N,вітер,дымгӕ
67,Welle::N,хвиля,уылӕн
68,Wasser::N,вода,дон
69,Stein::N,камінь,дур
70,Boden::N,ґрунт,зӕхх
71,Erde::N,земля,сыджыт
72,Staub::N,пил,рыг
73,Rauch::N,дим,фӕздӕг
74,Funke::N,іскра,цӕхӕр
75,Feuer::N,вогонь,зынг
76,Licht::N,світло,рухс
77,Schatten::N,тінь,аууон
78,Wetter::N,погода,боныхъӕд
79,Nebel::N,туман,мигъ
80,Wolke::N,хмара,ӕврагъ
81,Regen::N,дощ,уарын
82,Schnee::N,сніг,мит
83,Eis::N,лід,их
84,Frost::N,мороз,ихæн
85,Kälte::N,холод,уазал
86,Hitze::N,жар,ӕнтӕф
87,Raureif::N,іній,халас
88,Regenbogen::N,райдуга,арвырон
89,Regenbogen::N,райдуга,арвырдын
90,Donner::N,грім,æрвнæрын
91,Strömung::N,струмина,цыд
92,Tropfen::N,крапля,æртах
93,Schaum::N,піна,фынк
94,Schmutz::N,бруд,цъыф
95,See::N,озеро,цад
96,Sumpf::N,драговина,цъыфдзаст
97,Moor::N,болото,цъыфдзаст
98,Wiese::N,луг,уыгӕрдӕн
99,Wiese::N,лука,уыгӕрдӕн
100,Wald::N,ліс,хъӕд
101,Hügel::N,горб,обау
102,Hügel::N,горб,къуыбыр
103,Anhöhe::N,височина,уæлвæз
104,Anhöhe::N,височина,уæлхох
105,Berg::N,гора,хох
106,Gipfel::N,вершина,цъупп
107,Höhle::N,печера,лӕгӕт
108,Abhang::N,схил,къул
109,Quelle::N,джерело,суадон
110,Bach::N,струмок,мӕсчъыдон
111,Fluss::N,річка,дон
112,Fluss::N,річка,цӕугӕдон
113,Ufer::N,берег,был
114,Küste::N,узбережжя,донбыл
