,Concept_ID,os,kv
0,Auge::N,цӕст,син
1,Ohr::N,хъус,пель
2,Nase::N,фындз,ныр
3,Mund::N,дзых,ӧм
4,Zahn::N,дӕндаг,пинь
5,Zunge::N,ӕвзаг,кыв
6,Lippe::N,был,тырп
7,Wange::N,рус,рожабан
8,Wange::N,уадул,рожабан
9,Wange::N,ӕхсӕрфарс,рожабан
10,Gesicht::N,цӕсгом,бан
11,Stirn::N,ных,кымӧс
12,Haar::N,хил,юрси
13,Schnurrbart::N,рихи,уссэз
14,Bart::N,зачъе,тош
15,Kinn::N,роцъо,тшӧка
16,Kiefer[Anatomie]::N,ӕфсӕр,ан
17,Kehle::N,хъуыр,юан
18,Hals::N,къубал,юан
19,Genick::N,къӕбут,юр бӧр
20,Kopf::N,сӕр,юр
21,Rücken::N,фӕсонтӕ,мышк
22,Bauch::N,гуыбын,кынӧм
23,Nabel::N,бикъ,гӧг
24,Busen::N,дзидзи,морос
25,Brust::N,риу,морос
26,Schulter::N,уӕхск,пельпон
27,Arm::N,цонг,ки
28,Ellenbogen::N,рæмбын,гырдзза
29,Hand::N,къух,кикар
30,Handfläche::N,армытъӕпӕн,ки пыдӧс
31,Finger::N,ӕнруылдз,чунь
32,Fingernagel::N,ных,гыж
33,Nagel[Anatomie]::N,ных,гыж
34,Zeh::N,къух,чунь
35,Fuß::N,фад,кокпыдӧс
36,Ferse::N,зӕвӕт,кокдзир
37,Knie::N,уӕраг,пидзӧс
38,Oberschenkel::N,агъд,лядьбей
39,Bein::N,зӕнг,кок
40,Körper::N,буар,вывтыр
41,Haut::N,царм,кучик
42,Blut::N,туг,вир
43,Ader::N,дадзин,сӧн
44,Ader::N,тугдадзин,сӧн
45,Sehne::N,хъиутæ,жила
46,Sehne::N,нуар,жила
47,Knochen::N,стӕг,коска
48,Gehirn::N,магъз,вем
49,Herz::N,зӕрдӕ,сьӧлӧм
50,Magen::N,ахсӕн,жӧвдӧк
51,Leber::N,игæр,мус
52,Atem::N,улӕфт,лолалӧм
53,Hunger::N,стонг,тшыг
54,Träne::N,цæссыг,синва
55,Geschmack::N,ад,кӧр
56,Geruch::N,смаг,дук
57,Schlaf::N,хуыссӕг,он
58,Traum::N,фын,вӧт
59,Himmel::N,арв,небо
60,Himmel::N,уӕларв,небо
61,Sonne::N,хур,шондi
62,Mond::N,мӕй,тӧлiсь
63,Stern::N,стъалы,кӧдзыв
64,Luft::N,уӕлдӕф,ру
65,Wind::N,дымгӕ,тӧв
66,Welle::N,уылӕн,гы
67,Wasser::N,дон,ва
68,Stein::N,дур,из
69,Boden::N,зӕхх,му
70,Erde::N,сыджыт,му
71,Staub::N,рыг,бус
72,Rauch::N,фӕздӕг,тшын
73,Funke::N,цӕхӕр,бичир
74,Feuer::N,зынг,би
75,Licht::N,рухс,би
76,Schatten::N,аууон,вуджӧр
77,Wetter::N,боныхъӕд,погоддя
78,Nebel::N,мигъ,туман
79,Wolke::N,ӕврагъ,кымӧр
80,Regen::N,уарын,зэр
81,Schnee::N,мит,лым
82,Eis::N,их,йы
83,Frost::N,ихæн,мороз
84,Kälte::N,уазал,кӧдзыт
85,Hitze::N,ӕнтӕф,ӧд
86,Raureif::N,халас,кижа
87,Regenbogen::N,арвырон,енӧшка
88,Regenbogen::N,арвырдын,енӧшка
89,Donner::N,æрвнæрын,гым
90,Strömung::N,цыд,визывтӧм
91,Tropfen::N,æртах,тёп
92,Schaum::N,фынк,быг
93,Schmutz::N,цъыф,нять
94,See::N,цад,ты
95,Sumpf::N,цъыфдзаст,арай
96,Moor::N,цъыфдзаст,нюр
97,Wiese::N,уыгӕрдӕн,видз
98,Wald::N,хъӕд,вӧр
99,Hügel::N,обау,мыльк
100,Hügel::N,къуыбыр,мыльк
101,Anhöhe::N,уæлвæз,вывтас
102,Anhöhe::N,уæлвæз,вылынін
103,Anhöhe::N,уæлхох,вывтас
104,Anhöhe::N,уæлхох,вылынін
105,Berg::N,хох,керӧс
106,Gipfel::N,цъупп,йыв
107,Höhle::N,лӕгӕт,нора
108,Abhang::N,къул,покат
109,Quelle::N,суадон,больган
110,Bach::N,мӕсчъыдон,шор
111,Fluss::N,дон,ю
112,Fluss::N,цӕугӕдон,ю
113,Ufer::N,был,берег
114,Küste::N,донбыл,берег
115,Festland::N,сурзæхх,му
116,Meer::N,денджыз,море
117,Bucht::N,донбакæлæн,курья
118,Insel::N,сакъадах,
119,Blume::N,дидинӕг,цветок
120,Gras::N,кӕрдӕг,турун
121,Wurzel::N,уидаг,вуж
122,Baum::N,бӕлас,пу
123,Stamm::N,хӕтӕл,мыр
124,Stamm::N,хӕтӕл,кер
125,Rinde::N,цъар,кач
126,Ast::N,арх,ув
127,Zweig::N,къалиу,ув
128,Blatt::N,сыф,лист
129,Birke::N,бæрз,кыдз
130,Kiefer[Baum]::N,нӕзы,пожум
131,Weide[Baum]::N,хӕрис,бадь
132,Tanne::N,наз,кӧз
133,Horn::N,сыкъа,сюр
134,Feder::N,сис,гӧн
135,Fell::N,царм,кучик
136,Flügel::N,базыр,борд
137,Klaue::N,ных,гыж
138,Kralle::N,дзӕмбы,кабыр
139,Schwanz::N,къӕдзил,бӧж
140,Ei::N,айк,кольть
141,Nest::N,ахстон,поз
142,Bau::N,хуынкъ,осьта
143,Bau::N,хуынкъ,нора
144,Tier::N,сырд,зверь
145,Tier::N,цӕрӕгой,зверь
146,Herde::N,дзуг,гурт
147,Herde::N,рӕгъау,гурт
148,Kuh::N,хъуг,мӧс
149,Bulle::N,гал,ӧшка
150,Pferd::N,бӕх,вӧв
151,Schaf::N,фыс,баля
152,Schwein::N,хуы,порсь
153,Hund::N,куыдз,пон
154,Katze::N,гӕды,кань
155,Bär::N,арс,ош
156,Eichhörnchen::N,æхсæрæг,ур
157,Elch::N,цæгатаг саг,вӧр мӧс
158,Fuchs::N,рувас,руч
159,Hase::N,тæрхъус,кӧч
160,Maus::N,мыст,шыр
161,Wolf::N,бирӕгъ,кӧин
162,Vogel::N,цъиу,кай
163,Vogel::N,маргъ,кай
164,Schwarm::N,бал,стая
165,Schwarm::N,бал,чукӧр
166,Huhn::N,карк,курӧг
167,Hahn::N,уасӕг,петух
168,Hahn::N,уасӕг,ай курӧг
169,Gans::N,хъаз,дзодзог
170,Adler::N,цӕргӕс,куч
171,Adler::N,цӕргӕс,кутш
172,Ente::N,ацц,утка
173,Eule::N, уыг,тупка
174,Eule::N,сидахъ,тупка
175,Kranich::N,зырнæг,тури
176,Kranich::N,хърихъупп,тури
177,Krähe::N,халон,рака
178,Kuckuck::N,гаккук,кӧк
179,Schwan::N,доныхъаз,юсь
180,Fisch::N,кӕсаг,чери
181,Barsch::N,окунь,ёкыш
182,Hecht::N,хихор кӕсаг,сирпинь
183,Schlange[Tier]::N,калм,змей
184,Wurm::N,зулкъ,номыр
185,Wurm::N,къуыдыргалм,номыр
186,Spinne::N,хӕлуарӕг,черань
187,Ameise::N,мæлдзыг,кӧдзывкар
188,Laus::N,сыст,ляпа той
189,Mücke::N,къогъо,ном
190,Fliege::N,бындз,гут
191,Schmetterling::N,гæлæбу,бабыв
192,Beere::N,гагадыргъ,ягӧд
193,Apfel::N,фӕткъуы,яблоко
194,Pilz::N,зокъо,тшак
195,Pilz::N,къозо,тшак
196,Zwiebel::N,хъӕдындз,грез
197,Saat::N,тауинаг,кӧдзыс
198,Saat::N,мыггаг,кӧдзыс
199,Korn::N,мыггаг,сю
200,Korn::N,тауинаг,сю
201,Heu::N,хос,турун
202,Schale::N,цъар,кыш
203,Schale::N,цъар,киль
204,Grube::N,урм,яма
205,Grube::N,къахт,яма
206,Grube::N,дзыхъхъ,яма
207,Falle::N,цъысым,нальк
208,Falle::N,цъысым,кляпча
209,Falle::N,къӕппӕг,нальк
210,Falle::N,къӕппӕг,кляпча
211,Schlinge::N,цасм,лӧч
212,Spur::N,фæд,туй
213,Asche::N,фӕнык,пӧим
214,Asche::N,ӕртхутӕг,пӧим
215,Dreck::N,цъыф,нять
216,Eisen::N,ӕфсӕйнаг,кӧрт
217,Gold::N,сыгъзӕрин,зарни
218,Silber::N,ӕвзист,язісь
219,Kohle::N,ӕвзалы,шом
220,Kohle::N,ӕвзалы,уголь
221,Glas::N,авг,стекло
222,Lehm::N,ӕлыг,сёй
223,Sand::N,змис,лыа
224,Mensch::N,лӕг,морт
225,Mensch::N,адӕймаг,морт
226,Mensch::N,удгоймаг,морт
227,Mann::N,лӕг,мужик
228,Mann::N,нӕлгоймаг,мужик
229,Frau::N,сылгоймаг,инька
230,Kind::N,сывӕллон,кага
231,Junge::N,лӕппу,зонка
232,Mädchen::N,чызг,нывкаок
233,Familie::N,бинонтæ,семья
234,Großvater::N,фыдыфыд,дед
235,Großvater::N,мадыфыд,дед
236,Großmutter::N,фыды мад,баб
237,Großmutter::N,мады мад,баб
238,Eltern::N,ныййарджытæ,ай-мам
239,Vater::N,фыд,ай
240,Mutter::N,мад,мам
241,Sohn::N,фырт,зон
242,Tochter::N,чызг,ныв
243,Bruder::N,ӕфсымӕр,вон
244,Schwester::N,хо,сой
245,Onkel::N,фыдыфсымӕр,дядь
246,Tante::N,мадыхо,айӧлӧн сой
247,Tante::N,мадыхо,ичинь
248,Ehemann::N,мой,жӧник
249,Ehefrau::N,ус,инь
250,Freude::N,цин,гаж
251,Freude::N,цин,радъялӧм
252,Freude::N,циндзинад,гаж
253,Freude::N,циндзинад,радъялӧм
254,Gelächter::N,худын,сералӧм
255,Gelächter::N,худт,сералӧм
256,Gelächter::N,худæг,сералӧм
257,Glück::N,амонд,мичлун
258,Kummer::N,хъыг,шог
259,Wunsch::N,бӕллиц,мӧдӧм
260,Wunsch::N,бӕллиц,охотитӧм
261,Lust::N,монц,охота
262,Geist::N,уд,лов
263,Gedanke::N,хъуыды,дума
264,Gedächtnis::N,мысæн,тӧдвыв
265,Gedächtnis::N,мысын,тӧдвыв
266,Gedächtnis::N,зæрдылдарын,тӧдвыв
267,Verstand::N,зонд,вежӧр
268,Sinn::N,нысаниуæг,ылӧс
269,Grund::N,ӕфсон,мог
270,Wahrheit::N,æцæг,правда
271,Gespräch::N,ныхас,сёрни
272,Märchen::N,аргъау,сказка
273,Erzählung::N,радзырд,висьт
274,Nachricht::N,уац,юӧр
275,Nachricht::N,уац,висьталӧм
276,Neuigkeit::N,хабар,новость
277,Name::N,ном,ним
278,Rätsel::N,уыци-уыци,загадка
279,Rätsel::N,базон-базон,загадка
280,Rede::N,раныхас,сёрни
281,Sprache::N,ӕвзаг,кыв
282,Stimme::N,хъӕлӕс,голос
283,Wort::N,дзырд,кыв
284,Zeichen::N,нысан,пас
285,Ruf::N,сидт,чуксӧм
286,Ruf::N,сидт,чукӧстӧм
287,Lärm::N,уынæр,шум
288,Laut::N,зӕл,шы
289,Laut::N,мыр,шы
290,Ton::N,мыр,гор
291,Lied::N,зарӕг,сьыланкыв
292,Ruhe::N,æнцой,спокой
293,Leute::N,адӕм,йӧз
294,Volk::N,адӕм,йӧз
295,Volk::N,адӕм,народ
296,Arbeit::N,фӕллой,удж
297,Gast::N,уазӕг,гӧсь
298,Geschenk::N,хуын,гӧснеч
299,Geschenk::N,хуын,подарок
300,Spiel::N,хъазт,орсӧм
301,Gesellschaft::N,дзыллæ,компания
302,Gesellschaft::N,æхсæнад,компания
303,Hilfe::N,æххуыс,отсӧт
304,Hilfe::N,ахъаз,отсӧт
305,Freund::N,лымӕн,модз
306,Freund::N,лымӕн,дружок
307,Kamerad::N,ӕмбал,тӧдса
308,Angelegenheit::N,хъуыддаг,дело
309,Anzahl::N,бӕрц,лыд
310,Art::N,хуыз,пӧлӧс
311,Art::N,хуызад,пӧлӧс
312,Stück::N,кæрдих,тор
313,Stück::N,комдзаг,тор
314,Teil::N,хай,юкӧм
315,Hälfte::N,æрдæг,джын
316,Hälfte::N,æмбис,джын
317,Kreis::N,зиллакк,круг
318,Kreuz::N,дзуар,перна
319,Linie::N,хахх,визь
320,Strich::N,хахх,кырӧв
321,Abstand::N,æхсæнуат,колас
322,Entfernung::N,дæрддзæг,ылына
