,Concept_ID,hr,ca
0,Auge::N,oko,ull
1,Ohr::N,uho,orella
2,Nase::N,nos,nas
3,Mund::N,usta,boca
4,Zahn::N,zub,dent
5,Zunge::N,jezik,llēngua
6,Lippe::N,usna,llavi
7,Wange::N,obraz,galta
8,Gesicht::N,lice,cara
9,Stirn::N,čelo,front
10,Haar::N,kosa,cabēll
11,Schnurrbart::N,brkovi,bigoti
12,Bart::N,brada,barba
13,Kinn::N,brada,mentó
14,Kinn::N,brada,barbeta
15,Kinn::N,podbradak,mentó
16,Kinn::N,podbradak,barbeta
17,Kiefer[Anatomie]::N,čeljust,queix
18,Kiefer[Anatomie]::N,čeljust,mandíbula
19,Kehle::N,grlo,gola
20,Kehle::N,grlo,gorja
21,Hals::N,vrat,coll
22,Genick::N,zatiljak,nuca
23,Kopf::N,glava,cap
24,Rücken::N,leđa,esquena
25,Rücken::N,hrbat,esquena
26,Bauch::N,trbuh,panxa
27,Nabel::N,pupak,llombrígol
28,Busen::N,sisa,pit
29,Busen::N,sisa,mama
30,Busen::N,njedra,pit
31,Busen::N,njedra,mama
32,Brust::N,prsa,pit
33,Schulter::N,rame,espatlla
34,Schulter::N,pleći,espatlla
35,Arm::N,ruka,braç
36,Ellenbogen::N,lakat,colze
37,Hand::N,ruka,mà
38,Handfläche::N,dlan,palma
39,Finger::N,prst,dit
40,Fingernagel::N,nokat,ungla
41,Nagel[Anatomie]::N,nokat,ungla
42,Zeh::N,nozni prst,dit del peu
43,Fuß::N,noga,peu
44,Fuß::N,stopalo,peu
45,Ferse::N,peta,taló
46,Knie::N,koljeno,genoll
47,Oberschenkel::N,bedro,cuixa
48,Bein::N,noga,cama
49,Körper::N,tijelo,cos
50,Haut::N,put,pell
51,Haut::N,koža,pell
52,Blut::N,krv,sang
53,Ader::N,žila,vena
54,Sehne::N,tetiva,tendó
55,Knochen::N,kost,os
56,Herz::N,srce,cor
57,Magen::N,stomak,estómac
58,Magen::N,želudac,estómac
59,Leber::N,jetra,fetge
60,Atem::N,dah,alè
61,Atem::N,dah,hàlit
62,Hunger::N,glad,fam
63,Hunger::N,glad,gana
64,Träne::N,suza,llàgrima
65,Geschmack::N,ukus,gust
66,Geschmack::N,ukus,sabor
67,Geruch::N,njuh,olor
68,Geruch::N,miris,olor
69,Schlaf::N,san,son
70,Traum::N,san,somni
71,Himmel::N,nebo,celm
72,Sonne::N,sunce,sol
73,Mond::N,mjesec,lluna
74,Stern::N,zvijezda,estel
75,Stern::N,zvijezda,estrella
76,Luft::N,zrak,aire
77,Wind::N,vjetar,vent
78,Welle::N,val,ona
79,Welle::N,talas,ona
80,Wasser::N,voda,āigua
81,Stein::N,kamen,pedra
82,Boden::N,tlo,sòl
83,Boden::N,zemlja,sòl
84,Erde::N,zemlja,terra
85,Staub::N,prah,pols
86,Staub::N,prašina,pols
87,Rauch::N,dim,fum
88,Funke::N,iskra,guspira
89,Funke::N,iskra,centella
90,Funke::N,varnica,guspira
91,Funke::N,varnica,centella
92,Feuer::N,vatra,foc
93,Licht::N,svjetlo,llum
94,Schatten::N,hlad,ombra
95,Schatten::N,sjena,ombra
96,Wetter::N,vrijeme,temps
97,Nebel::N,magla,boira
98,Wolke::N,oblak,núvol
99,Regen::N,kiša,pluja
100,Schnee::N,snijeg,neu
101,Eis::N,led,gel
102,Eis::N,led,glaç
103,Frost::N,mraz,glaçada
104,Kälte::N,studen,fred
105,Kälte::N,hladnoća,fred
106,Hitze::N,vrućina,calor
107,Raureif::N,inje,gebre
108,Regenbogen::N,duga,arc iris
109,Donner::N,grom,tro
110,Donner::N,grmljavina,tro
111,Strömung::N,struja,corrent
112,Strömung::N,strujanje,corrent
113,Tropfen::N,kap,gota
114,Tropfen::N,kaplja,gota
115,Schaum::N,pjena,escuma
116,Schmutz::N,nečistoća,brutícia
117,Schmutz::N,prljavština,brutícia
118,See::N,jezero,llac
119,Sumpf::N,bara,pantà
120,Moor::N,močvara,pantà
121,Wiese::N,livada,prat
122,Wiese::N,livada,prada
123,Wald::N,šuma,bosc
124,Hügel::N,brijeg,puig
125,Hügel::N,brijeg,pujol
126,Hügel::N,brežuljak,puig
127,Hügel::N,brežuljak,pujol
128,Anhöhe::N,uzvišica,turó
129,Berg::N,brdo,muntanya
130,Gipfel::N,vrh,cim
131,Höhle::N,pećina,cova
132,Höhle::N,spilja,cova
133,Abhang::N,obronak,coster
134,Abhang::N,nizbrdica,coster
135,Quelle::N,izvor,font
136,Quelle::N,vrelo,font
137,Bach::N,potok,riera
138,Fluss::N,rijeka,riu
139,Ufer::N,obala,riba
140,Küste::N,obala,costa
141,Küste::N,morska obala,costa
142,Festland::N,kopno,terra ferma
143,Meer::N,more,mar
144,Bucht::N,zaliv,cala
145,Bucht::N,zaliv,badia
146,Insel::N,ada,illa
147,Insel::N,otok,illa
148,Blume::N,cvijet,flor
149,Gras::N,trava,herba
150,Wurzel::N,korijen,rel
151,Wurzel::N,korijen,arrel
152,Baum::N,drvo,arbre
153,Baum::N,stablo,arbre
154,Stamm::N,deblo,tronc
155,Stamm::N,stablo,tronc
156,Rinde::N,kora,escorça
157,Ast::N,grana,branca
158,Zweig::N,grana,ram
159,Blatt::N,list,fulla
160,Birke::N,breza,bedoll
161,Kiefer[Baum]::N,bor,pi
162,Weide[Baum]::N,iva,salze
163,Weide[Baum]::N,vŕba,salze
164,Tanne::N,jela,avet
165,Horn::N,rog,corn
166,Horn::N,rog,banya
167,Feder::N,pero,ploma
168,Fell::N,koža,pell
169,Flügel::N,krilo,ala
170,Klaue::N,papak,urpa
171,Kralle::N,pandža,grapa
172,Schwanz::N,rep,cua
173,Ei::N,jaje,ou
174,Nest::N,gnijezdo,niu
175,Bau::N,jazbina,cau
176,Tier::N,životinja,animāl
177,Herde::N,krdo,ramat
178,Herde::N,stado,ramat
179,Kuh::N,krava,vaca
180,Bulle::N,bik,toro
181,Pferd::N,konj,cavāll
182,Schaf::N,ovca,be
183,Schaf::N,ovca,ovella
184,Schwein::N,svinja,bacó
185,Hund::N,pas,ca
186,Hund::N,pas,gos
187,Hund::N,pseto,ca
188,Hund::N,pseto,gos
189,Katze::N,mačka,gat
190,Bär::N,medvjed,ós
191,Eichhörnchen::N,vjeverica,esquirol
192,Elch::N,los,ant
193,Fuchs::N,lisica,guilla
194,Hase::N,zec,llebre
195,Maus::N,miš,ratolí
196,Wolf::N,vuk,llop
197,Wolf::N,kurjak,llop
198,Vogel::N,ptica,au
199,Vogel::N,ptica,ocēll
200,Schwarm::N,roj,bandada
201,Schwarm::N,jato,bandada
202,Huhn::N,kokoš,gallina
203,Hahn::N,kokot,gall
204,Hahn::N,pijevac,gall
205,Gans::N,guska,oca
206,Adler::N,orao,àguila
207,Ente::N,patka,ànec
208,Eule::N,sova,òliba
209,Eule::N,sova,mussol
210,Kranich::N,ždral,grua
211,Krähe::N,vrana,cornella
212,Kuckuck::N,kukavica,cucut
213,Schwan::N,labud,cigne
214,Fisch::N,riba,peix
215,Barsch::N,grgeč,perca
216,Hecht::N,štuka,lluç
217,Schlange[Tier]::N,guja,serp
218,Schlange[Tier]::N,zmija,serp
219,Wurm::N,crv,cuc
220,Spinne::N,pauk,aranya
221,Ameise::N,mrav,formiga
222,Laus::N,uš,poll
223,Mücke::N,komarac,mosquit
224,Fliege::N,muha,mosca
225,Schmetterling::N,leptir,papallona
226,Beere::N,boba,baia
227,Beere::N,bobica,baia
228,Apfel::N,jabuka,poma
229,Pilz::N,pečurka,bolet
230,Zwiebel::N,luk,ceba
231,Zwiebel::N,kapula,ceba
232,Saat::N,sjemenje,sembra
233,Korn::N,zrno,gra
234,Heu::N,sijeno,fenc
235,Schale::N,kora,closca
236,Schale::N,ljuska,closca
237,Grube::N,jama,sot
238,Grube::N,jama,clot
239,Falle::N,zamka,trampa
240,Falle::N,klopka,trampa
241,Schlinge::N,uzao,baga
242,Schlinge::N,petlja,baga
243,Spur::N,trag,traça
244,Spur::N,slijed,traça
245,Asche::N,pepeo,cendra
246,Dreck::N,blato,llot
247,Eisen::N,željezo,ferro
248,Gold::N,zlato,or
249,Silber::N,srebro,plata
250,Kohle::N,ugalj,carbó
251,Kohle::N,ugljen,carbó
252,Glas::N,staklo,vidre
253,Lehm::N,glina,fang
254,Lehm::N,glina,argila
255,Lehm::N,ilovača,fang
256,Lehm::N,ilovača,argila
257,Sand::N,pijesak,arena
258,Mensch::N,čovjek,humà
259,Mensch::N,čovjek,persona
260,Mann::N,muškarac,home
261,Frau::N,žena,dona
262,Kind::N,čedo,nen
263,Kind::N,dijete,nen
264,Junge::N,momče,noi
265,Junge::N,dječak,noi
266,Mädchen::N,djevojka,noia
267,Mädchen::N,djevojčica,noia
268,Familie::N,obitelj,família
269,Familie::N,porodica,família
270,Großvater::N,djed,avi
271,Großmutter::N,baka,àvia
272,Eltern::N,roditelji,pares
273,Vater::N,otac,pare
274,Mutter::N,majka,mare
275,Sohn::N,sin,fill
276,Tochter::N,kći,filla
277,Tochter::N,kćerka,filla
278,Bruder::N,brat,germà
279,Schwester::N,sestra,germana
280,Onkel::N,čika,oncle
281,Onkel::N,ujak,oncle
282,Tante::N,ujna,tia
283,Tante::N,tetka,tia
284,Ehemann::N,muž,espòs
285,Ehemann::N,suprug,espòs
286,Ehefrau::N,žena,muller
287,Ehefrau::N,supruga,muller
288,Freude::N,radost,goig
289,Freude::N,radost,alegria
290,Gelächter::N,grohot,riallada
291,Glück::N,sreća,felicitat
292,Kummer::N,jad,pena
293,Kummer::N,briga,pena
294,Wunsch::N,želja,desig
295,Lust::N,volja,ganes
296,Geist::N,duh,ment
297,Geist::N,duh,esperit
298,Gedanke::N,misao,pensament
299,Gedächtnis::N,pamćenje,memòria
300,Verstand::N,um,raó
301,Verstand::N,um,seny
302,Verstand::N,razum,raó
303,Verstand::N,razum,seny
304,Sinn::N,smisao,solta
305,Sinn::N,smisao,sentit
306,Sinn::N,značenje,solta
307,Sinn::N,značenje,sentit
308,Grund::N,razlog,raó
309,Grund::N,razlog,causa
310,Wahrheit::N,istina,veritāt
311,Gespräch::N,razgovor,conversa
312,Märchen::N,bajka,conte
313,Erzählung::N,priča,narració
314,Erzählung::N,pripovijest,narració
315,Nachricht::N,vijest,missatge
316,Neuigkeit::N,novost,novetat
317,Name::N,ime,nom
318,Rätsel::N,zagonetka,endevinalla
319,Rede::N,govor,discurs
320,Rede::N,besjeda,discurs
321,Sprache::N,jezik,llēngua
322,Stimme::N,glas,veu
323,Wort::N,riječ,mot
324,Wort::N,riječ,paraula
325,Zeichen::N,znak,signe
326,Zeichen::N,znak,senyal
327,Ruf::N,povik,crida
328,Ruf::N,poklik,crida
329,Lärm::N,buka,sorōll
330,Lärm::N,galama,sorōll
331,Laut::N,zvuk,so
332,Ton::N,ton,to
333,Lied::N,pjesma,cançó
334,Ruhe::N,tišina,calma
335,Ruhe::N,tišina,silenci
336,Ruhe::N,počinak,calma
337,Ruhe::N,počinak,silenci
338,Leute::N,ljudi,gent
339,Volk::N,puk,poble
340,Volk::N,narod,poble
341,Arbeit::N,rad,labor
342,Arbeit::N,rad,treball
343,Arbeit::N,posao,labor
344,Arbeit::N,posao,treball
345,Gast::N,gost,hoste
346,Geschenk::N,dar,regal
347,Geschenk::N,dar,obsequi
348,Geschenk::N,poklon,regal
349,Geschenk::N,poklon,obsequi
350,Spiel::N,igra,joc
351,Gesellschaft::N,društvo,companyia
352,Gesellschaft::N,kompanija,companyia
353,Hilfe::N,pomoć,ajut
354,Freund::N,prijatelj,amīc
355,Kamerad::N,drug,company
356,Kamerad::N,drug,camarada
357,Kamerad::N,drugar,company
358,Kamerad::N,drugar,camarada
359,Angelegenheit::N,posao,afer
360,Angelegenheit::N,posao,assumpte
361,Anzahl::N,broj,nombre
362,Anzahl::N,broj,quantitat
363,Anzahl::N,brojnost,nombre
364,Anzahl::N,brojnost,quantitat
365,Art::N,vid,tipus
366,Art::N,vid,classe
367,Art::N,vrst,tipus
368,Art::N,vrst,classe
369,Stück::N,komad,peça
370,Teil::N,dio,part
371,Hälfte::N,polovina,meitat
372,Kreis::N,krug,cercle
373,Kreuz::N,križ,creu
374,Linie::N,crta,línia
375,Strich::N,crta,traç
376,Strich::N,crta,ratlla
377,Abstand::N,razmak,distància
378,Abstand::N,odstojanje,distància
379,Entfernung::N,udaljenost,distància
380,Gegend::N,kraj,regió
381,Gegend::N,kraj,contrada
382,Gegend::N,predeo,regió
383,Gegend::N,predeo,contrada
384,Platz::N,mjesto,cabuda
385,Ort::N,mjesto,lloc
386,Seite::N,bok,banda
387,Seite::N,bok,costāt
388,Seite::N,strana,banda
389,Seite::N,strana,costāt
390,Mitte::N,sredina,mig
391,Mitte::N,sredina,centre
392,Gegenstand::N,predmet,objecte
393,Sache::N,posao,cosa
394,Rand::N,rub,vora
395,Rand::N,rub,marge
396,Rand::N,kraj,vora
397,Rand::N,kraj,marge
398,Kante::N,brid,caire
399,Kante::N,brid,cantell
400,Kante::N,ivica,caire
401,Kante::N,ivica,cantell
402,Ecke::N,ugao,cantonada
403,Spitze::N,vrh,punta
404,Spitze::N,šiljak,punta
405,Ende::N,konac,cap
406,Loch::N,rupa,forāt
407,Winkel::N,kut,racó
408,Winkel::N,ugao,racó
409,Muster::N,uzor,dibuix
410,Muster::N,uzor,disseny
411,Größe::N,veličina,grandària
412,Länge::N,duljina,longitud
413,Höhe::N,visina,altura
414,Höhe::N,visina,altitud
415,Gewicht::N,težina,pes
416,Menge::N,mnoštvo,quantitat
417,Menge::N,količina,quantitat
418,Haufen::N,hrpa,pila
419,Haufen::N,gomila,pila
420,Reihe::N,red,fila
421,Boot::N,čun,bot
422,Boot::N,čun,barca
423,Boot::N,čamac,bot
424,Boot::N,čamac,barca
425,Ruder::N,veslo,rem
426,Schlitten::N,saone,trineu
427,Ski::N,ski,esquí
428,Ski::N,smučka,esquí
429,Lagerfeuer::N,logorska vatra,foc de campament
430,Last::N,tovar,càrrega
431,Gang::N,hod,marxa
432,Schritt::N,korak,pas
433,Norden::N,sjever,nord
434,Süden::N,jug,sud
435,Westen::N,zapad,oest
436,Westen::N,zapad,occident
437,Osten::N,istok,est
438,Osten::N,istok,orient
439,Holz::N,drvo,fusta
440,Brett::N,daska,taula
441,Platte::N,ploča,placa
442,Stütze::N,potpora,suport
443,Stange::N,motka,vara
444,Stock::N,štap,pal
445,Stock::N,palica,pal
446,Stab::N,štap,bastó
447,Stab::N,šipka,bastó
448,Rohr::N,cijev,tub
449,Haus::N,kuća,casa
450,Heim::N,dom,llar
451,Ofen::N,peć,estufa
452,Fußboden::N,pod,terra
453,Tisch::N,stol,taula
454,Tisch::N,trpeza,taula
455,Stuhl::N,stolac,cadira
456,Stuhl::N,stolica,cadira
457,Wiege::N,kolijevka,bressol
458,Bett::N,krevet,llit
459,Bett::N,postelja,llit
460,Regal::N,polica,prestatgeria
461,Kiste::N,sanduk,caixa
462,Fenster::N,prozor,finestra
463,Tür::N,vrata,porta
464,Tor::N,vrata,portal
465,Tor::N,kapija,portal
466,Zaun::N,plot,tanca
467,Zaun::N,ograda,tanca
468,Dach::N,krov,teulada
469,Leiter::N,ljestve,escala
470,Leiter::N,ljestve,escala de mà
471,Leiter::N,ljestvice,escala
472,Leiter::N,ljestvice,escala de mà
473,Besen::N,metla,escombra
474,Spaten::N,ašov,pala
475,Schaufel::N,lopata,pala
476,Gabel::N,viljuška,forquilla
477,Löffel::N,žlica,cullera
478,Messer::N,nož,coltell
479,Nagel::N,čavao,clau
480,Netz::N,mreža,filat
481,Haken::N,kuka,ganxo
482,Griff::N,držak,puny
483,Griff::N,držak,mànec
484,Griff::N,ručica,puny
485,Griff::N,ručica,mànec
486,Schloss::N,brava,pany
487,Bild::N,slika,imatge
488,Figur::N,figura,figura
489,Puppe::N,lutka,nina
490,Beutel::N,kesa,bossa
491,Bündel::N,snop,feix
492,Bündel::N,snop,paquet
493,Bündel::N,svežanj,feix
494,Bündel::N,svežanj,paquet
495,Tasche::N,torba,bossa
496,Tasche::N,taška,bossa
497,Eimer::N,kabao,galleda
498,Deckel::N,poklopac,tapa
499,Deckel::N,poklopac,tapadora
500,Geschirr::N,suđe,vaixella
501,Geschirr::N,posuđe,vaixella
502,Sack::N,džak,sac
503,Sack::N,džak,saca
504,Sack::N,vreća,sac
505,Sack::N,vreća,saca
506,Tasse::N,šalica,tassa
507,Topf::N,lonac,pot
508,Topf::N,lonac,olla
509,Kessel::N,kazan,caldera
510,Essen::N,obrok,àpat
511,Essen::N,obrok,menjada
512,Nahrung::N,hrana,aliment
513,Speise::N,jelo,plat
514,Fleisch::N,meso,carn
515,Getreide::N,žito,cereals
