,Concept_ID,he,av
0,Auge::N,עין,
1,Ohr::N,אזן,гӏин
2,Nase::N,אף,мегӏер
3,Nase::N,חטם,мегӏер
4,Mund::N,פה,кӏал
5,Zahn::N,שן,гӏус
6,Zunge::N,לשון,мацӏ
7,Lippe::N,שפה,кӏветӏ
8,Wange::N,לחי,гӏоно
9,Gesicht::N,פנים,гьумер
10,Stirn::N,מצח,нодо
11,Haar::N,שערה,рас
12,Schnurrbart::N,שפם,михъ
13,Bart::N,זקן,мегеж
14,Kinn::N,סנטר,нилъу
15,Kiefer[Anatomie]::N,לסת,чанагъ
16,Kehle::N,גרון,щекъер
17,Hals::N,צואר,габур
18,Genick::N,ערף,гъванща
19,Kopf::N,ראש,бетӏер
20,Rücken::N,גב,мугъ
21,Bauch::N,בטן,чехь
22,Nabel::N,טבור,цӏину
23,Busen::N,שד,керен
24,Brust::N,חזה,керен
25,Schulter::N,כתף,гъажазубетӏер
26,Arm::N,זרוע,гъеж
27,Ellenbogen::N,מרפק,гӏункӏрукь
28,Hand::N,יד,квер
29,Handfläche::N,כף יד,огъохъат
30,Handfläche::N,כף יד,жанисахъат
31,Finger::N,אצבע,килищ
32,Fingernagel::N,צפרן,малъ
33,Nagel[Anatomie]::N,צפרן,малъ
34,Zeh::N,אצבע,килищ
35,Fuß::N,רגל,хӏетӏ
36,Fuß::N,רגל,хӏетӏе
37,Ferse::N,עקב,эгъе
38,Knie::N,ברך,наку
39,Oberschenkel::N,ירך,мачӏ
40,Bein::N,רגל,бох
41,Körper::N,גוף,къаркъала
42,Haut::N,עור,тӏом
43,Blut::N,דם,би
44,Ader::N,וריד,бидурихь
45,Sehne::N,גיד,
46,Knochen::N,עצם,ракьа
47,Gehirn::N,מוח,гӏадалнах
48,Herz::N,לב,ракӏ
49,Magen::N,קבה,кванирукъ
50,Leber::N,כבד,тӏул
51,Atem::N,נשימה,хӏухь
52,Hunger::N,רעב,ракъи
53,Träne::N,דמעה,магӏу
54,Geschmack::N,טעם,тату
55,Geruch::N,ריח,махӏ
56,Schlaf::N,שנה,макьу
57,Traum::N,חלום,макьу
58,Himmel::N,שמים,зоб
59,Sonne::N,שמש,бакъ
60,Mond::N,ירח,моцӏ
61,Stern::N,כוכב,цӏва
62,Luft::N,אויר,гьава
63,Wind::N,רוח,гьури
64,Welle::N,גל,карачел
65,Wasser::N,מים,лъим
66,Stein::N,אבן,гьецӏо
67,Boden::N,קרקע,ракь
68,Erde::N,אדמה,ракь
69,Erde::N,אדמה,дуниял
70,Staub::N,אבק,хӏур
71,Rauch::N,עשן,кӏкӏуй
72,Funke::N,ניצוץ,
73,Feuer::N,אש,цӏа
74,Licht::N,אור,канлъи
75,Schatten::N,צל,рагӏад
76,Wetter::N,מזג אויר,гьава-бакъ
77,Nebel::N,ערפל,гӏодобнакӏкӏ
78,Wolke::N,ענן,накӏкӏ
79,Regen::N,גשם,цӏад
80,Schnee::N,שלג,гӏазу
81,Eis::N,קרח,цӏер
82,Frost::N,צנה,замгьари
83,Kälte::N,קר,квач
84,Hitze::N,חם,багӏари
85,Raureif::N,כפור,мартӏ
86,Regenbogen::N,קשת,нур
87,Regenbogen::N,קשת,чамбара
88,Donner::N,רעם,гъугъай
89,Donner::N,רעם,гъугъади
90,Strömung::N,זרימה,чвахи
91,Tropfen::N,טפה,резел
92,Tropfen::N,טפה,тӏинкӏ
93,Tropfen::N,טפה,къатӏра
94,Tropfen::N,טפה,тӏенкӏел
95,Schaum::N,קצף,полоп
96,Schmutz::N,לכלוך,чороклъи
97,See::N,אגם,хӏор
98,Sumpf::N,בצה,хьуцӏ
99,Moor::N,בצה,
100,Wiese::N,מרעה,мегъ
101,Wiese::N,מרעה,гӏурдаллъи
102,Wald::N,יער,рохь
103,Hügel::N,תל,гохӏ
104,Anhöhe::N,מעלה,сийитма
105,Berg::N,הר,мегӏер
106,Gipfel::N,פסגה,тӏогь
107,Höhle::N,מערה,нохъо
108,Abhang::N,מדרון,лабаллъи
109,Abhang::N,שפוע,лабаллъи
110,Quelle::N,מעין,ицц
111,Bach::N,נחל,лъар
112,Fluss::N,נהר,гӏор
113,Ufer::N,גדה,рагӏал
114,Küste::N,חוף,рагӏал
115,Festland::N,יבשה,ракь
116,Festland::N,יבשה,ракъдаллъи
117,Meer::N,ים,ралъад
118,Bucht::N,מפרץ,кӏветӏ
119,Insel::N,אי,чӏинкӏиллъи
120,Blume::N,פרח,тӏегь
121,Gras::N,דשא,хер
122,Wurzel::N,שרש,кьибил
123,Baum::N,עץ,гъветӏ
124,Stamm::N,גזע,рохти
125,Rinde::N,קלפת עץ,макъар
126,Ast::N,ענף,ноцӏ
127,Zweig::N,ענף,гӏаркьел
128,Blatt::N,עלה,тӏамах
129,Birke::N,שדר,мах
130,Birke::N,שדר,махигъветӏ
131,Kiefer[Baum]::N,ארן,накӏкӏигъветӏ
132,Weide[Baum]::N,ערבה,рицӏцӏ
133,Weide[Baum]::N,ערבה,рицӏцӏигъветӏ
134,Tanne::N,אשוח,ёлка
135,Horn::N,קרן,лълъар
136,Feder::N,נוצה,хӏули
137,Fell::N,פרוה,тӏом
138,Fell::N,פרוה,цӏоко
139,Flügel::N,כנף,кваркьи
140,Klaue::N,טלף,галъ
141,Kralle::N,טפר,квачӏ
142,Kralle::N,טפר,катиквачӏ
143,Schwanz::N,זנב,рачӏ
144,Ei::N,ביצה,хоно
145,Nest::N,קן,бусен
146,Bau::N,מחלה,каратӏ
147,Tier::N,חיה,хӏайван
148,Herde::N,עדר,рехъен
149,Herde::N,עדר,рехъед
150,Kuh::N,פרה,гӏака
151,Bulle::N,פר,оц
152,Pferd::N,סוס,чу
153,Schaf::N,כבשה,чахъу
