,Concept_ID,mhr,myv
0,Auge::N,шинча́,сельме
1,Ohr::N,пы́лыш,пиле
2,Nase::N,нер,судо
3,Mund::N,умша́,курго
4,Zahn::N,пӱй,пей
5,Zunge::N,йы́лме,кель
6,Lippe::N,тӱ́рвӧ,турва
7,Wange::N,шӱ́ргӧ,чамабока
8,Wange::N,шӱ́ргӧ,чамаумарь
9,Gesicht::N,чури́й,чама
10,Stirn::N,саҥга́,коня
11,Haar::N,ӱп,черь
12,Schnurrbart::N,ӧ́рыш,ус
13,Schnurrbart::N,ӧ́рыш,муюк
14,Bart::N,понда́ш,сакал
15,Kinn::N,оҥыла́ш,уло
16,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,пейпакар
17,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,пейловажа
18,Kiefer[Anatomie]::N,пӱйората́,пейпакар
19,Kiefer[Anatomie]::N,пӱйората́,пейловажа
20,Kehle::N,лога́р,кирьгапарь
21,Hals::N,шӱй,кирьга
22,Genick::N,шӱйло́дыш,човонь
23,Kopf::N,вуй,пря
24,Rücken::N,туп,копорь
25,Bauch::N,мӱ́шкыр,пеке
26,Nabel::N,кы́лымде,почо
27,Busen::N,чы́зе,поте
28,Brust::N,оҥ,меште
29,Schulter::N,ва́че,лавтов
30,Arm::N,кид,кедь
31,Ellenbogen::N,кынерву́й,кенерепакарь
32,Hand::N,кид,кедь
33,Hand::N,копа́,кедь
34,Handfläche::N,со́во,кедькуншка
35,Handfläche::N,со́во,кедьлапушка
36,Finger::N,парня́,сур
37,Fingernagel::N,кидкӱ́ч,кенже
38,Fingernagel::N,парнягӱ́ч,кенже
39,Nagel[Anatomie]::N,кӱч,кенже
40,Zeh::N,йолварня́,пильге сур
41,Fuß::N,йол,пильге
42,Fuß::N,йолкопа́,пильге
43,Ferse::N,тага́н,кочкаря
44,Knie::N,пулву́й,эле
45,Knie::N,пулву́й,эзне
46,Knie::N,пулву́й,кумажа
47,Oberschenkel::N,э́рде,качо
48,Bein::N,йол,пильге
49,Körper::N,кап,рунго
50,Haut::N,кова́ште,киське
51,Blut::N,вӱр,верь
52,Ader::N,шӧн,сан
53,Sehne::N,шӧн,коське сан
54,Sehne::N,кӱсе́н,коське сан
55,Knochen::N,лу,пакарь
56,Gehirn::N,вем,удем
57,Gehirn::N,вуйве́м,удем
58,Herz::N,шӱм,седей
59,Magen::N,пага́р,пеке
60,Leber::N,мокш,максо
61,Atem::N,шӱ́лыш,лексема
