,Concept_ID,zh,is
0,Auge::N,眼睛,auga
1,Ohr::N,耳朵,eyra
2,Nase::N,鼻子,nef
3,Mund::N,嘴,munnur
4,Zahn::N,牙齿,tönn
5,Zunge::N,舌头,tunga
6,Lippe::N,嘴唇,vör
7,Wange::N,面颊,kinn
8,Wange::N,面颊,vangi
9,Gesicht::N,脸,andlit
10,Stirn::N,额,enni
11,Haar::N,头发,hár
12,Schnurrbart::N,髭须,yfirskegg
13,Bart::N,胡子,skegg
14,Kinn::N,下巴,haka
15,Kiefer[Anatomie]::N,颌,kjálki
16,Kiefer[Anatomie]::N,颌,skoltur
17,Kehle::N,嗓子,kverk
18,Hals::N,颈,háls
19,Genick::N,后颈,hnakki
20,Kopf::N,头,höfuð
21,Rücken::N,背,hryggur
22,Bauch::N,肚子,kviður
23,Nabel::N,肚脐,nafli
24,Busen::N,胸脯,barmur
25,Brust::N,胸,brjóst
26,Schulter::N,肩膀,öxl
27,Arm::N,臂膀,armur
28,Ellenbogen::N,肘,olnbogi
29,Hand::N,手,hönd
30,Handfläche::N,手掌,lófi
31,Finger::N,手指,fingur
32,Fingernagel::N,指甲,fingurnögl
33,Nagel[Anatomie]::N,指甲,nögl
34,Zeh::N,脚趾,tá
35,Fuß::N,脚,fótur
36,Ferse::N,后跟,hæll
37,Knie::N,膝,kné
38,Oberschenkel::N,大腿,læri
39,Bein::N,腿,fótleggur
40,Körper::N,身体,búkur
41,Körper::N,身体,líkami
42,Haut::N,皮肤,húð
43,Haut::N,皮肤,skinn
44,Blut::N,血,blóð
45,Ader::N,血管,æð
46,Sehne::N,腱,sin
47,Knochen::N,骨,bein
48,Gehirn::N,脑,heili
49,Herz::N,心,hjarta
50,Magen::N,胃,magi
51,Leber::N,肝,lifur
52,Atem::N,呼吸,andi
53,Atem::N,呼吸,andardráttur
54,Hunger::N,饿,hungur
55,Träne::N,眼泪,tár
56,Geschmack::N,味道,smekkur
57,Geruch::N,气味,lykt
58,Schlaf::N,睡眠,svefn
59,Traum::N,梦,draumur
60,Himmel::N,天空,himinn
61,Sonne::N,太阳,sól
62,Mond::N,月亮,tungl
63,Stern::N,星,stjarna
64,Luft::N,空气,loft
65,Wind::N,风,vindur
66,Welle::N,波,alda
67,Welle::N,波,bylgja
68,Wasser::N,水,vatn
69,Stein::N,石头,steinn
70,Boden::N,地面,botn
71,Erde::N,地,jörð
72,Staub::N,灰尘,ryk
73,Staub::N,灰尘,duft
74,Rauch::N,烟,reykur
75,Funke::N,火花,neisti
76,Feuer::N,火,eldur
77,Licht::N,光,ljós
78,Schatten::N,影子,skuggi
79,Wetter::N,天气,veður
80,Nebel::N,雾,þoka
81,Wolke::N,云,ský
82,Regen::N,雨,regn
83,Schnee::N,雪,snjór
84,Eis::N,冰,ís
85,Frost::N,霜冻,frost
86,Kälte::N,寒冷,kuldi
87,Hitze::N,炎热,hiti
88,Raureif::N,霜,hrím
89,Regenbogen::N,虹,regnbogi
90,Donner::N,雷,þruma
91,Strömung::N,水流,straumur
92,Tropfen::N,滴,dropi
93,Schaum::N,泡沫,froða
94,Schmutz::N,赃物,óhreinindi
95,See::N,湖,stöðuvatn
96,Sumpf::N,沼泽,fen
97,Moor::N,沼泽,mýri
98,Wiese::N,草地,engi
99,Wald::N,森林,skógur
100,Hügel::N,丘陵,hæð
101,Hügel::N,丘陵,hóll
102,Anhöhe::N,山丘,hæð
103,Anhöhe::N,山丘,hóll
104,Berg::N,山,fell
105,Berg::N,山,fjall
106,Gipfel::N,峰,tindur
107,Höhle::N,洞穴,hellir
108,Abhang::N,斜坡,hlíð
109,Abhang::N,斜坡,brekka
110,Quelle::N,泉,lind
111,Quelle::N,泉,uppspretta
112,Bach::N,溪,lækur
113,Fluss::N,河流,á
114,Fluss::N,河流,fljót
115,Ufer::N,岸,árbakki
116,Ufer::N,岸,sjávarbakki
117,Küste::N,海岸,strönd
118,Festland::N,大陆,meginland
119,Meer::N,海,haf
120,Meer::N,海,sjór
121,Bucht::N,海湾,vík
122,Insel::N,岛,eyja
123,Blume::N,花,blóm
124,Gras::N,草,gras
125,Wurzel::N,根,rót
126,Baum::N,树,tré
127,Stamm::N,树干,stofn
128,Rinde::N,树皮,börkur
129,Ast::N,树枝,grein
130,Zweig::N,树枝,angi
131,Zweig::N,树枝,kvistur
132,Blatt::N,叶子,blað
133,Birke::N,桦木,birki
134,Kiefer[Baum]::N,松树,fura
135,Weide[Baum]::N,柳树,víðir
136,Tanne::N,冷杉,greni
137,Horn::N,角,horn
138,Feder::N,羽毛,fjöður
139,Fell::N,皮毛,skinn
140,Flügel::N,翅膀,vængur
141,Klaue::N,爪子,kló
142,Kralle::N,爪子,kló
143,Schwanz::N,尾巴,rófa
144,Schwanz::N,尾巴,skott
145,Ei::N,蛋,egg
146,Nest::N,巢,hreiður
147,Bau::N,穴,greni
148,Bau::N,穴,bæli
149,Tier::N,动物,dýr
150,Herde::N,群,hjörð
151,Kuh::N,母牛,kýr
152,Bulle::N,公牛,boli
153,Pferd::N,马,hestur
154,Schaf::N,羊,kind
155,Schwein::N,猪,svín
156,Hund::N,狗,hundur
157,Katze::N,猫,köttur
158,Bär::N,熊,björn
159,Eichhörnchen::N,松鼠,íkorni
