,Concept_ID,udm,sl
0,Auge::N,син,okó
1,Ohr::N,пель,uhó
2,Nase::N,ныр,nós
3,Mund::N,ым,ústa
4,Zahn::N,пинь,zób
5,Zunge::N,кыл,jêzik
6,Lippe::N,ымдур,ústnica
7,Wange::N,бам,líce
8,Gesicht::N,ымныр,oblíčje
9,Stirn::N,кымес,čêlo
10,Haar::N,йырси,lás
11,Schnurrbart::N,мыйык,bŕki
12,Bart::N,туш,bráda
13,Kinn::N,ангес,bráda
14,Kiefer[Anatomie]::N,ан,čeljúst
15,Kiefer[Anatomie]::N,анлы,čeljúst
16,Kehle::N,гульым,gŕlo
17,Hals::N,чырты,vrát
18,Genick::N,йырбер,zatílnik
19,Kopf::N,йыр,gláva
20,Rücken::N,мыш,hrbèt
21,Bauch::N,кӧт,trébuh
22,Nabel::N,гогы,pópek
23,Busen::N,ноны,nédrja
24,Brust::N,мӧля,pŕsi
25,Schulter::N,пельпум,ráma
26,Schulter::N,пельпум,plêče
27,Arm::N,суй,rôka
28,Ellenbogen::N,гырпум,komólec
29,Hand::N,ки,rôka
30,Handfläche::N,ки пыдэс,dlán
31,Handfläche::N,кырым пыдэс,dlán
32,Finger::N,чиньы,pŕst
33,Fingernagel::N,гижы,nóht na rôki
34,Fingernagel::N,гиждӥнь,nóht na rôki
35,Nagel[Anatomie]::N,гижы,nóht
36,Zeh::N,пыдчиньы,pŕst na nôgi
37,Fuß::N,пыд,nôga
38,Ferse::N,пыдбер,pêta
39,Knie::N,пыдес,koléno
40,Oberschenkel::N,макес,stêgno
41,Bein::N,пыд,nôga
42,Körper::N,мугор,teló
43,Körper::N,вылтыр,teló
44,Haut::N,ку,kóža
45,Blut::N,вир,krí
46,Ader::N,вирсэр,žíla
47,Sehne::N,вуж,kíta
48,Knochen::N,лы,kóst
49,Gehirn::N,вим,možgáni
50,Herz::N,сюлэм,srcé
51,Magen::N,ӝуш,želódec
52,Leber::N,мус,jétra
53,Atem::N,лул,díh
54,Atem::N,шокан,díh
55,Hunger::N,кӧтсюман,glád
56,Träne::N,синкыли,sólza
57,Geschmack::N,шӧм,okús
58,Geruch::N,зын,vónj
59,Schlaf::N,вӧт,sèn
60,Schlaf::N,вӧт,spánec
61,Traum::N,уйвӧт,sánje
62,Himmel::N,ин,nebó
