,Concept_ID,en,vep
0,Auge::N,eye,sil'm
1,Ohr::N,ear,korv
2,Nase::N,nose,nena
3,Mund::N,mouth,su
4,Zahn::N,tooth,pi
5,Zahn::N,tooth,hambaz
6,Zunge::N,tongue,kel'
7,Lippe::N,lip,hul'
8,Wange::N,cheek,modpolišk
9,Gesicht::N,face,mod
10,Stirn::N,forehead,oc
11,Haar::N,hair,tuk
12,Haar::N,hair,hibuz
13,Schnurrbart::N,moustache,habinod
14,Bart::N,beard,bard
15,Kinn::N,chin,löug
16,Kiefer[Anatomie]::N,jaw,hambazlu
17,Kehle::N,throat,kurk
18,Hals::N,neck,kagl
19,Genick::N,nape,tagarai
20,Kopf::N,head,pä
21,Rücken::N,back,sel'g
22,Rücken::N,spine,sel'g
23,Bauch::N,belly,vac
24,Bauch::N,belly,koht
25,Nabel::N,navel,naba
26,Busen::N,bosom,niža
27,Brust::N,chest,rind
28,Brust::N,breast,rind
29,Schulter::N,shoulder,oug
30,Arm::N,arm,käzi
31,Ellenbogen::N,elbow,künambruz
32,Hand::N,hand,käzi
33,Hand::N,hand,käzitera
34,Handfläche::N,palm,kämen
35,Finger::N,finger,sor'm
36,Fingernagel::N,fingernail,künz'
37,Nagel[Anatomie]::N,nail,künz'
38,Zeh::N,toe,barbaz
39,Fuß::N,foot,jaug
40,Ferse::N,heel,kand
41,Knie::N,knee,komb
42,Knie::N,knee,pol'v
43,Oberschenkel::N,thigh,riiže
44,Bein::N,leg,jaug
45,Körper::N,body,hibj
46,Haut::N,skin,nahk
47,Blut::N,blood,čak
48,Blut::N,blood,veri
49,Ader::N,vein,son'
50,Sehne::N,sinew,jände
51,Knochen::N,bone,lu
52,Gehirn::N,brain,aivod
53,Herz::N,heart,südäin
54,Magen::N,stomach,südäikoht
55,Leber::N,liver,maks
56,Atem::N,breath,hengaiduz
57,Hunger::N,hunger,näl'g
58,Träne::N,tear,kündal'
59,Geschmack::N,flavour,magu
60,Geschmack::N,flavor,magu
61,Geruch::N,odour,haju
62,Geruch::N,odor,haju
63,Schlaf::N,sleep,uni
64,Traum::N,dream,unikuva
65,Himmel::N,sky,taivaz
66,Sonne::N,sun,päiväine
67,Mond::N,moon,kudmaine
68,Stern::N,star,tähtaz
69,Luft::N,air,il'm
70,Wind::N,wind,döl
71,Wind::N,wind,tullei
72,Welle::N,wave,ald
73,Welle::N,wave,laineh
74,Wasser::N,water,vezi
75,Stein::N,stone,kivi
76,Boden::N,soil,ma
77,Boden::N,soil,pohj
78,Boden::N,ground,ma
79,Boden::N,ground,pohj
80,Erde::N,earth,ma
81,Staub::N,dust,pölü
82,Rauch::N,smoke,savu
83,Funke::N,spark,kibin
84,Feuer::N,fire,lämoi
85,Licht::N,light,vauktuz
86,Schatten::N,shadow,pil'vez
87,Schatten::N,shadow,kuvahaine
88,Wetter::N,weather,sä
89,Nebel::N,fog,sumeg
90,Wolke::N,cloud,pil'v
91,Regen::N,rain,vihm
92,Schnee::N,snow,lumi
93,Eis::N,ice,jä
94,Frost::N,frost,hala
95,Frost::N,frost,pakaine
96,Kälte::N,chill,vilu
97,Hitze::N,heat,räk
98,Raureif::N,hoarfrost,hüde
99,Regenbogen::N,rainbow,jumalanbembel'
100,Donner::N,thunder,juru
101,Donner::N,thunder,jumalanjuru
102,Strömung::N,current,joksmuz
103,Tropfen::N,drop,tilkuine
104,Schaum::N,foam,vaht
105,Schmutz::N,dirt,redu
106,Schmutz::N,dirt,pačak
107,See::N,lake,järv
108,Sumpf::N,swamp,so
109,Moor::N,moor,so
110,Wiese::N,meadow,nit
111,Wald::N,forest,mec
112,Hügel::N,hill,kukaz
113,Anhöhe::N,elevation,kukaz
114,Berg::N,mountain,mägi
115,Gipfel::N,summit,ladv
116,Höhle::N,cave,mägionduz
117,Abhang::N,slope,paute
118,Quelle::N,source,lähte
119,Bach::N,brook,oja
120,Fluss::N,river,jogi
121,Ufer::N,shore,rand
122,Küste::N,coast,randišt
123,Festland::N,land,kuivma
124,Meer::N,sea,meri
125,Bucht::N,cove,laht
126,Insel::N,island,sar'
127,Blume::N,flower,änik
128,Gras::N,grass,hein
129,Wurzel::N,root,jur'
130,Baum::N,tree,pu
131,Stamm::N,trunk,tüvi
132,Rinde::N,bark,kor'
133,Ast::N,limb,oks
134,Zweig::N,branch,oks
135,Zweig::N,branch,barb
136,Blatt::N,leaf,lehtez
137,Birke::N,birch,koiv
138,Kiefer[Baum]::N,pine,pedai
139,Weide[Baum]::N,willow,raid
140,Tanne::N,fir,kuz'
141,Horn::N,horn,sar'v
142,Feder::N,feather,höuneh
143,Fell::N,fur,nahk
144,Flügel::N,wing,suug
145,Klaue::N,claw,künz'
146,Kralle::N,claw,künz'
147,Schwanz::N,tail,händ
148,Ei::N,egg,muna
149,Nest::N,nest,peza
150,Bau::N,lair,uru
151,Tier::N,animal,živat
152,Herde::N,flock,kogo
153,Kuh::N,cow,lehm
154,Bulle::N,bull,härg
155,Pferd::N,horse,hebo
156,Schaf::N,sheep,lambaz
157,Schwein::N,pig,siga
158,Hund::N,dog,koir
159,Katze::N,cat,kaži
160,Bär::N,bear,kondi
161,Eichhörnchen::N,squirrel,orav
162,Elch::N,elk,hirb'
163,Fuchs::N,fox,reboi
164,Hase::N,hare,jäniš
165,Maus::N,mouse,hir'
166,Wolf::N,wolf,händikaz
167,Vogel::N,bird,lind
168,Schwarm::N,swarm,parveh
169,Huhn::N,chicken,kana
170,Hahn::N,cock,kukoi
171,Gans::N,goose,hanh'
172,Adler::N,eagle,orl
173,Ente::N,duck,sorz
174,Eule::N,owl,hir'pulo
175,Kranich::N,crane,kurg
176,Krähe::N,crow,variš
177,Kuckuck::N,cuckoo,kägi
178,Schwan::N,swan,joucen
179,Fisch::N,fish,kala
180,Barsch::N,perch,ahven
181,Hecht::N,pike,haug'
182,Schlange[Tier]::N,snake,kü
183,Schlange[Tier]::N,snake,mado
184,Wurm::N,worm,mado
185,Spinne::N,spider,hämähouk
186,Ameise::N,ant,murahaine
187,Laus::N,louse,täi
188,Mücke::N,midge,säs'k
189,Fliege::N,fly,kärbhaine
190,Schmetterling::N,butterfly,lipkaine
191,Beere::N,berry,marj
192,Apfel::N,apple,jablok
193,Pilz::N,mushroom,sen'
194,Pilz::N,mushroom,babuk
195,Zwiebel::N,onion,lauk
196,Saat::N,seed,semned
197,Korn::N,grain,jüvä
198,Korn::N,grain,vill'
199,Heu::N,hay,hein
200,Schale::N,husk,kor'
201,Grube::N,pit,kop
202,Falle::N,trap,rida
203,Schlinge::N,noose,rihm
204,Spur::N,track,jäl'g
205,Asche::N,ashes,tuhk
206,Dreck::N,filth,redu
207,Dreck::N,filth,pačak
208,Eisen::N,iron,raud
209,Gold::N,gold,kuld
210,Silber::N,silver,hobed
211,Kohle::N,coal,hil'
212,Glas::N,glass,stökol
213,Lehm::N,clay,savi
214,Sand::N,sand,lete
215,Mensch::N,human,mez'
216,Mensch::N,human,ristit
217,Mann::N,man,mez'
218,Frau::N,woman,naine
219,Kind::N,child,laps'
220,Junge::N,boy,poig
221,Junge::N,boy,prihaine
222,Mädchen::N,girl,neičukaine
223,Familie::N,family,kanz
224,Familie::N,family,pereh
225,Großvater::N,grandfather,ded
226,Großmutter::N,grandmother,bab
227,Eltern::N,parents,vanhembad
228,Eltern::N,parents,kazvatajad
229,Vater::N,father,tat
230,Mutter::N,mother,mam
231,Sohn::N,son,poig
232,Tochter::N,daughter,tütär
233,Bruder::N,brother,veik
234,Bruder::N,brother,vell'
235,Schwester::N,sister,čiža
236,Schwester::N,sister,sizar
237,Onkel::N,uncle,däd'
238,Tante::N,aunt,tädi
239,Ehemann::N,husband,mužik
240,Ehefrau::N,wife,ak
241,Freude::N,joy,ilo
242,Freude::N,joy,ihastuz
243,Gelächter::N,laughter,nagr
244,Glück::N,happiness,oza
245,Kummer::N,grief,gor'a
246,Wunsch::N,wish,taht
247,Lust::N,desire,himo
248,Geist::N,spirit,heng
249,Gedanke::N,thought,meletuz
250,Gedächtnis::N,memory,mušt
251,Verstand::N,mind,mel'
252,Sinn::N,meaning,jüvä
253,Grund::N,reason,sü
254,Wahrheit::N,truth,tozi
255,Gespräch::N,talk,lodu
256,Gespräch::N,talk,pagin
257,Märchen::N,fairy tale,sarn
258,Erzählung::N,story,sanutez
259,Nachricht::N,message,tedotuz
260,Neuigkeit::N,news,uzištuz
261,Name::N,name,nimi
262,Rätsel::N,puzzle,ozoitez
263,Rede::N,speech,pagin
264,Rede::N,speech,sanad
265,Sprache::N,language,kel'
266,Stimme::N,voice,än'
267,Wort::N,word,sana
268,Zeichen::N,sign,znam
269,Ruf::N,call,kida
270,Ruf::N,call,kucund
271,Lärm::N,noise,judu
272,Laut::N,sound,kulund
273,Ton::N,tone,kulund
274,Lied::N,song,pajo
275,Ruhe::N,calm,lebu
276,Leute::N,people,rahvaz
277,Volk::N,nation,rahvaz
278,Arbeit::N,work,tö
279,Arbeit::N,work,rad
280,Gast::N,guest,adiv
281,Geschenk::N,gift,lahj
282,Spiel::N,game,vänd
283,Gesellschaft::N,company,sebr
284,Hilfe::N,help,abu
285,Freund::N,friend,sebranik
286,Kamerad::N,companion,sebranik
287,Angelegenheit::N,matter,azj
288,Anzahl::N,count,lugu
289,Art::N,sort,rod
290,Art::N,sort,rodsugu
291,Stück::N,piece,pala
292,Stück::N,piece,supal
293,Teil::N,part,pala
294,Hälfte::N,half,pol'
295,Kreis::N,circle,ümbruz
296,Kreis::N,circle,kehkruz
297,Kreuz::N,cross,rist
298,Linie::N,line,pird
299,Strich::N,stroke,pird
300,Abstand::N,gap,keskust
301,Entfernung::N,distance,matk
302,Gegend::N,area,taho
303,Platz::N,space,avaruz'
304,Ort::N,place,koht
305,Seite::N,side,pol'
306,Seite::N,side,kül'g
307,Mitte::N,middle,kesk
308,Gegenstand::N,item,kalu
309,Sache::N,thing,azj
310,Rand::N,fringe,röun
311,Kante::N,edge,röun
312,Ecke::N,corner,saum
313,Spitze::N,tip,agjaine
314,Ende::N,end,agj
315,Loch::N,hole,reig
316,Winkel::N,angle,čoga
317,Winkel::N,angle,saum
318,Muster::N,pattern,kirjam
319,Größe::N,size,suruz'
320,Länge::N,length,piduz
321,Höhe::N,height,korktuz'
322,Gewicht::N,weight,jügu
323,Gewicht::N,weight,vedäduz
324,Menge::N,amount,äjüz'
325,Haufen::N,heap,kogo
326,Reihe::N,row,rivi
327,Boot::N,boat,veneh
328,Ruder::N,oar,air
329,Schlitten::N,sleigh,regi
330,Schlitten::N,sleigh,regut
331,Ski::N,ski,suks'
332,Lagerfeuer::N,campfire,nodj
333,Lagerfeuer::N,campfire,pažag
334,Last::N,load,jüguz
335,Gang::N,walk,astund
336,Schritt::N,step,hašk
337,Norden::N,north,pohjoine
338,Süden::N,south,suvi
339,Westen::N,west,päivlaskm
340,Osten::N,east,päivnouzm
341,Holz::N,wood,pu
342,Brett::N,board,laud
343,Platte::N,slab,keitim
344,Stütze::N,bracket,tugi
345,Stange::N,pole,arz'
346,Stock::N,stick,kalu
347,Stab::N,staff,seibaz
348,Rohr::N,pipe,torv
349,Haus::N,house,pert'
350,Heim::N,home,kodi
351,Ofen::N,stove,päč
352,Fußboden::N,floor,lava
353,Tisch::N,table,laud
354,Tisch::N,table,stal'c
355,Stuhl::N,chair,ištim
356,Wiege::N,cradle,kätte
357,Bett::N,bed,sija
358,Bett::N,bed,magaduzsija
359,Regal::N,shelf,palič
360,Kiste::N,box,mülütim
361,Fenster::N,window,ikun
362,Tür::N,door,uks'
363,Tor::N,gate,verai
364,Zaun::N,fence,aid
365,Dach::N,roof,katuz
366,Leiter::N,ladder,pordhad
367,Besen::N,broom,lud
368,Besen::N,broom,vast
369,Spaten::N,spade,labid
370,Schaufel::N,shovel,labid
371,Gabel::N,fork,hangoine
372,Löffel::N,spoon,luzik
373,Messer::N,knife,veič
374,Nagel::N,nail,nagl
375,Netz::N,net,verk
376,Haken::N,hook,kouk
377,Griff::N,handle,kägä
378,Griff::N,handle,varz'
379,Schloss::N,lock,lukkol
380,Bild::N,picture,kuva
381,Figur::N,figure,figur
382,Puppe::N,doll,tätüine
383,Beutel::N,pouch,havad
384,Bündel::N,bundle,toppaz
385,Bündel::N,bundle,käč
386,Tasche::N,bag,sumk
387,Eimer::N,bucket,vädr
388,Deckel::N,cover,katuz
389,Geschirr::N,dishes,astii
390,Sack::N,sack,havad
391,Tasse::N,cup,čašk
392,Topf::N,pot,pada
393,Kessel::N,kettle,katil
394,Essen::N,meal,sönd
395,Nahrung::N,food,söm
396,Speise::N,dish,sömine
397,Fleisch::N,meat,liha
398,Getreide::N,corn,vill'
399,Brei::N,mush,pudr
400,Brot::N,bread,leib
401,Scheibe::N,slice,bibaleh
402,Scheibe::N,slice,šlik
403,Fett::N,fat,razv
404,Butter::N,butter,voi
405,Öl::N,oil,voi
406,Salz::N,salt,sol
407,Suppe::N,soup,lem'
408,Suppe::N,soup,keitoz
409,Honig::N,honey,mezi
410,Milch::N,milk,maid
411,Tee::N,tea,čai
412,Leder::N,leather,nahk
413,Wolle::N,wool,vill
414,Stoff::N,cloth,kangaz
415,Nadel::N,needle,negl
416,Faden::N,thread,nit'
417,Knopf::N,button,nübl'
418,Knoten::N,knot,sol'm
419,Farbe::N,paint,muju
420,Kleidung::N,clothes,sobad
421,Hemd::N,shirt,paid
422,Kragen::N,collar,kagluz
423,Ärmel::N,sleeve,hijam
424,Hose::N,trousers,štanad
425,Gürtel::N,belt,vö
426,Mütze::N,cap,šapuk
427,Schuh::N,shoe,keng'
428,Stiefel::N,boot,sapug
429,Ring::N,ring,rengaz
430,Band::N,ribbon,lentaine
431,Kamm::N,comb,suga
432,Spiegel::N,mirror,zerkol
433,Riemen::N,strap,vö
434,Schnur::N,string,nor
435,Leine::N,leash,talutimnor
436,Decke::N,blanket,sijakatuz
437,Kissen::N,pillow,pöluz
438,Tuch::N,scarf,paik
439,Handtuch::N,towel,käzipaik
440,Kraft::N,force,vägi
441,Stärke::N,strength,vahvuz'
442,Gesundheit::N,health,tervhuz
443,Krankheit::N,illness,läžund
444,Schmerz::N,pain,kibu
445,Wunde::N,wound,čapatez
446,Fieber::N,fever,säru
447,Arznei::N,medicine,zel'l'
448,Brücke::N,bridge,sild
449,Brunnen::N,well,kaiv
450,Weide::N,pasture,omaluine
451,Pfad::N,path,tehut
452,Weg::N,way,te
453,Straße::N,road,te
454,Dorf::N,village,külä
455,Stadt::N,town,lidn
456,Brief::N,letter,kirjeine
457,Buch::N,book,kirj
458,Buchstabe::N,character,kirjam
459,Zeitung::N,newspaper,lehtez
460,Leben::N,life,elo
461,Tod::N,death,surm
462,Grab::N,grave,kaum
463,Kirche::N,church,jumalanpert'
464,Sünde::N,sin,grähk
465,Gott::N,god,jumal
466,Arbeiter::N,worker,radnik
467,Chef::N,boss,pämez'
468,Meister::N,master,mastar
469,Arzt::N,doctor,lekar'
470,Lehrer::N,teacher,opendai
471,Geld::N,money,rahad
472,Geschäft::N,business,biznes
473,Laden::N,shop,lauk
474,Preis::N,price,arv
475,Ware::N,ware,tavar
476,Nutzen::N,profit,liža
477,Reichtum::N,wealth,kodielo
478,Reichtum::N,wealth,kal'huz'
479,Welt::N,world,mail'm
480,Land::N,country,ma
481,Staat::N,state,valdkund
482,König::N,king,kunigaz
483,Macht::N,power,vald
484,Grenze::N,border,röun
485,Krieg::N,war,soda
486,Feind::N,enemy,vihanik
487,Feind::N,enemy,vastustai
488,Gewalt::N,violence,vägivald
489,Kampf::N,fight,tora
490,Bogen[Waffe]::N,bow,taug
491,Pfeil::N,arrow,nol
492,Gewehr::N,gun,oružj
493,Fehler::N,mistake,viga
494,Lüge::N,lie,kelastuz
495,Schaden::N,damage,pahuz'
496,Unglück::N,misfortune,bed
497,Unglück::N,misfortune,gor'a
498,Schuld::N,fault,värhuz'
499,Alter::N,age,igä
500,Schluss::N,conclusion,lop
501,Zeit::N,time,aig
502,Tag::N,day,päiv
503,Morgen::N,morning,homendez
504,Mittag::N,noon,keskpäiv
505,Abend::N,evening,eht
506,Nacht::N,night,ö
507,Woche::N,week,nedal'
508,Monat::N,month,ku
509,Jahr::N,year,voz'
510,Frühling::N,spring,keväz'
511,Sommer::N,summer,keza
512,Herbst::N,autumn,sügüz'
513,Winter::N,winter,tal'v
514,Januar::N,January,viluku
515,Februar::N,February,uhoku
516,März::N,March,keväz'ku
517,April::N,April,sulaku
518,Mai::N,May,semendku
519,Juni::N,June,kezaku
520,Juli::N,July,heinku
521,August::N,August,eloku
522,September::N,September,sügüz'ku
523,Oktober::N,October,reduku
524,November::N,November,kül'mku
525,Dezember::N,December,tal'vku
526,Montag::N,Monday,ezmärg
527,Dienstag::N,Tuesday,tožnarg
528,Mittwoch::N,Wednesday,koumanz'päiv
529,Donnerstag::N,Thursday,nellänz'päiv
530,Freitag::N,Friday,pätnič
531,Freitag::N,Friday,videnz'päiv
532,Samstag::N,Saturday,sobat
533,Sonntag::N,Sunday,pühäpäiv
534,groß::A,big,sur'
535,groß::A,big,järed
536,klein::A,little,pen'
537,klein::A,little,pičuine
538,lang::A,long,pit'k
539,kurz::A,short,lühüd
540,breit::A,wide,leved
541,schmal::A,narrow,kaid
542,dicht::A,dense,tihed
543,dick[Gegenstand]::A,thick,paks
544,dünn::A,thin,hoik
545,fein::A,delicate,hen
546,fest::A,firm,luja
547,fest::A,firm,ninev
548,flach::A,flat,lapak
549,glatt::A,smooth,siled
550,hart::A,hard,kova
551,weich::A,soft,pehmed
552,rund::A,round,kehker
553,spitz::A,pointed,nügu
554,spitz::A,pointed,terav
555,scharf::A,sharp,terav
556,stumpf::A,blunt,tül'c
557,schwer::A,heavy,jüged
558,schön::A,beautiful,čoma
559,heiß::A,hot,räk
560,warm::A,warm,läm'
561,kalt::A,cold,vilu
562,kühl::A,cool,raibak
563,kühl::A,cool,viluhk
564,frisch::A,fresh,lahed
565,feucht::A,damp,neps
566,feucht::A,damp,toreh
567,nass::A,wet,märg
568,trocken::A,dry,kuiv
569,voll::A,full,täuz'
570,leer::A,empty,joudai
571,offen::A,open,avoin
572,offen::A,open,avol'jaine
573,geschlossen::A,closed,saubaline
574,sauber::A,clean,puhtaz
575,schmutzig::A,dirty,redukaz
576,roh::A,raw,rohk
577,roh::A,raw,toreh
578,reif::A,ripe,küps
579,lecker::A,delicious,magukaz
580,süß::A,sweet,maged
581,bitter::A,bitter,karged
582,sauer::A,sour,muiged
583,hell::A,bright,kirkas
584,hell::A,bright,valgei
585,dunkel::A,dark,pimed
586,schwarz::A,black,must
587,weiß::A,white,vauged
588,rot::A,red,rusked
589,gelb::A,yellow,pakuine
590,blau::A,blue,sinine
591,grün::A,green,vihand
592,grau::A,grey,hahk
593,bunt::A,colourful,kirjav
594,bunt::A,colorful,kirjav
595,billig::A,cheap,odav
596,teuer::A,dear,kalliž
597,wertvoll::A,precious,arvokas
598,blind::A,blind,soged
599,taub::A,deaf,kurdiž
600,kräftig::A,powerful,vägev
