,Concept_ID,udm,es
0,Auge::N,син,ojo
1,Ohr::N,пель,oreja
2,Nase::N,ныр,nariz
3,Mund::N,ым,boca
4,Zahn::N,пинь,diente
5,Zunge::N,кыл,lengua
6,Lippe::N,ымдур,labio
7,Wange::N,бам,mejilla
8,Gesicht::N,ымныр,cara
9,Stirn::N,кымес,frente
10,Haar::N,йырси,cabello
11,Schnurrbart::N,мыйык,bigote
12,Bart::N,туш,barba
13,Kinn::N,ангес,barbilla
14,Kiefer[Anatomie]::N,ан,mandíbula
15,Kiefer[Anatomie]::N,анлы,mandíbula
16,Kehle::N,гульым,garganta
17,Hals::N,чырты,cuello
18,Genick::N,йырбер,nuca
19,Genick::N,йырбер,cerviz
20,Kopf::N,йыр,cabeza
21,Rücken::N,мыш,espalda
22,Bauch::N,кӧт,vientre
23,Nabel::N,гогы,ombligo
24,Busen::N,ноны,pecho
25,Brust::N,мӧля,pecho
26,Schulter::N,пельпум,hombro
27,Arm::N,суй,brazo
28,Ellenbogen::N,гырпум,codo
29,Hand::N,ки,mano
30,Handfläche::N,ки пыдэс,palma
31,Handfläche::N,кырым пыдэс,palma
32,Finger::N,чиньы,dedo
33,Fingernagel::N,гижы,uña
34,Fingernagel::N,гиждӥнь,uña
35,Nagel[Anatomie]::N,гижы,uña
36,Zeh::N,пыдчиньы,dedo del pie
37,Fuß::N,пыд,pie
38,Ferse::N,пыдбер,talón
39,Knie::N,пыдес,rodilla
40,Oberschenkel::N,макес,muslo
41,Bein::N,пыд,pierna
42,Körper::N,мугор,cuerpo
43,Körper::N,вылтыр,cuerpo
44,Haut::N,ку,piel
45,Blut::N,вир,sangre
46,Ader::N,вирсэр,vena
47,Sehne::N,вуж,tendón
48,Knochen::N,лы,hueso
49,Gehirn::N,вим,cerebro
50,Gehirn::N,вим,encéfalo
51,Herz::N,сюлэм,corazón
52,Magen::N,ӝуш,estómago
53,Leber::N,мус,hígado
54,Atem::N,лул,aliento
55,Atem::N,шокан,aliento
56,Hunger::N,кӧтсюман,hambre
57,Träne::N,синкыли,lágrima
58,Geschmack::N,шӧм,gusto
59,Geruch::N,зын,olor
60,Schlaf::N,вӧт,sueño
61,Traum::N,уйвӧт,sueño
62,Traum::N,уйвӧт,ensueño
63,Himmel::N,ин,cielo
64,Sonne::N,шунды,sol
65,Mond::N,толэзь,luna
66,Stern::N,кизили,estrella
67,Luft::N,омыр,aire
68,Wind::N,тӧл,viento
69,Welle::N,тулкым,ola
70,Welle::N,тулкым,onda
71,Wasser::N,ву,agua
72,Stein::N,из,piedra
73,Boden::N,музъем,suelo
74,Erde::N,му,tierra
75,Staub::N,пыль,polvo
76,Rauch::N,ӵын,humo
77,Funke::N,гизьы,chispa
78,Feuer::N,тыл,fuego
79,Licht::N,тыл,luz
80,Schatten::N,вужер,sombra
81,Wetter::N,куазь,tiempo
82,Nebel::N,бус,niebla
83,Wolke::N,пилем,nube
84,Regen::N,зор,lluvia
85,Schnee::N,лымы,nieve
86,Eis::N,йӧ,hielo
87,Frost::N,кезьыт,helada
88,Kälte::N,кезьыт,frío
89,Hitze::N,пӧсь,calor
90,Raureif::N,гӧр,escarcha
91,Regenbogen::N,вуюись,arco iris
92,Donner::N,гудыри,trueno
93,Strömung::N,бызён,corriente
94,Tropfen::N,шапык,gota
95,Schaum::N,шукы,espuma
96,Schmutz::N,нӧд,suciedad
97,Schmutz::N,дэри,suciedad
98,See::N,ты,lago
99,Sumpf::N,нюр,pantano
100,Moor::N,нюр,turbera
101,Wiese::N,возь,prado
102,Wiese::N,возь,pradera
103,Wiese::N,возьвыл,prado
104,Wiese::N,возьвыл,pradera
105,Wald::N,сик,bosque
106,Wald::N,нюлэс,bosque
107,Hügel::N,выр,colina
108,Hügel::N,вырйыл,colina
109,Anhöhe::N,выр,cerro
110,Anhöhe::N,вырйыл,cerro
111,Berg::N,гурезь,monte
112,Berg::N,гурезь,montaña
113,Gipfel::N,йыл,cima
114,Gipfel::N,йыл,cumbre
115,Höhle::N,гу,cueva
116,Höhle::N,гу,caverna
117,Abhang::N,бам,cuesta
118,Abhang::N,бам,declive
119,Quelle::N,ошмес,fuente
120,Quelle::N,ошмес,manantial
121,Bach::N,пичи шур,arroyo
122,Fluss::N,шур,río
123,Ufer::N,ярдур,orilla
124,Küste::N,вудур,costa
125,Festland::N,мувыр,tierra firme
126,Meer::N,зарезь,mar
127,Bucht::N,вукож,cala
128,Bucht::N,вукож,bahía
129,Insel::N,вумуӵ,isla
130,Insel::N,шормуӵ,isla
131,Blume::N,сяська,flor
132,Gras::N,турын,hierba
133,Wurzel::N,выжы,raíz
134,Baum::N,пу,árbol
135,Stamm::N,модос,tronco
136,Rinde::N,сул,corteza
137,Ast::N,ул,rama
138,Zweig::N,вай,ramo
139,Blatt::N,куар,hoja
140,Birke::N,кызьпу,abedul
141,Kiefer[Baum]::N,пужым,pino
142,Weide[Baum]::N,бадьпу,sauce
143,Tanne::N,кыз,abeto
144,Horn::N,сюр,asta
145,Horn::N,сюр,cuerno
146,Feder::N,тылы,pluma
147,Fell::N,ку,piel
148,Flügel::N,бурд,ala
149,Klaue::N,гижы,garra
150,Kralle::N,пыд,uña
151,Kralle::N,пыд,garra
152,Schwanz::N,быж,cola
153,Ei::N,пуз,huevo
154,Ei::N,кукей,huevo
155,Nest::N,кар,nido
156,Nest::N,пузкар,nido
157,Bau::N,кар,madriguera
158,Bau::N,гу,madriguera
159,Tier::N,пӧйшур,animal
160,Herde::N,уллё,rebaño
161,Kuh::N,скал,vaca
162,Bulle::N,ош,toro
163,Bulle::N,пороз,toro
164,Pferd::N,вал,caballo
165,Schaf::N,ыж,oveja
166,Schwein::N,парсь,cerdo
167,Hund::N,пуны,perro
168,Katze::N,коӵыш,gato
169,Bär::N,гондыр,oso
170,Eichhörnchen::N,коньы,ardilla
171,Elch::N,койык,alce
172,Fuchs::N,ӟичы,zorro
173,Hase::N,кеч,liebre
174,Maus::N,шыр,ratón
175,Wolf::N,кион,lobo
176,Vogel::N,тылобурдо,ave
177,Vogel::N,тылобурдо,pájaro
178,Schwarm::N,уллё,bandada
179,Huhn::N,курег,gallina
180,Hahn::N,атас,gallo
181,Gans::N,ӟазег,oca
182,Gans::N,ӟазег,ganso
183,Adler::N,ӧрзи,águila
184,Ente::N,ӵӧж,pato
185,Eule::N,кучыран,lechuza
186,Kranich::N,тури,grulla
187,Krähe::N,куака,corneja
188,Kuckuck::N,кикы,cuco
189,Schwan::N,юсь,cisne
190,Fisch::N,чорыг,pez
191,Barsch::N,юш,perca
192,Hecht::N,чипей,lucio
193,Schlange[Tier]::N,кый,serpiente
194,Wurm::N,нумыр,gusano
195,Spinne::N,чонари,araña
196,Ameise::N,кузьыли,hormiga
197,Laus::N,тэй,piojo
198,Mücke::N,нымы,mosquito
199,Mücke::N,чибинь,mosquito
200,Fliege::N,кут,mosca
201,Schmetterling::N,бубыли,mariposa
202,Beere::N,узы-боры,baya
203,Apfel::N,яблок,manzana
204,Pilz::N,губи,seta
205,Pilz::N,губи,hongo
206,Zwiebel::N,сугон,cebolla
207,Saat::N,кидыс,siembra
208,Korn::N,тысь,grano
209,Heu::N,турын,heno
210,Schale::N,кыд,cáscara
211,Grube::N,гу,foso
212,Grube::N,гоп,foso
213,Falle::N,налик,trampa
214,Schlinge::N,гиӟ,lazo
215,Schlinge::N,герд,lazo
216,Spur::N,пытьы,huella
217,Spur::N,бервыл,huella
218,Asche::N,пень,ceniza
219,Dreck::N,дэри,suciedad
220,Eisen::N,корт,hierro
221,Gold::N,зарни,oro
222,Silber::N,азвесь,plata
223,Kohle::N,эгыр,carbón
224,Glas::N,стекло,vidrio
225,Glas::N,стекло,cristal
226,Glas::N,пияла,vidrio
227,Glas::N,пияла,cristal
228,Lehm::N,сюй,barro
229,Sand::N,луо,arena
230,Mensch::N,мурт,hombre
231,Mensch::N,мурт,ser humano
232,Mensch::N,адями,hombre
233,Mensch::N,адями,ser humano
234,Mann::N,воргорон,hombre
235,Frau::N,кышномурт,mujer
236,Kind::N,нуны,niño
237,Kind::N,пинал,niño
238,Junge::N,пи,chico
239,Junge::N,пи,muchacho
