,Concept_ID,kn,no
0,Auge::N,ಕಣ್ಣು,øye
1,Ohr::N,ಕಿವಿ,øre
2,Nase::N,ಮೂಗು,nese
3,Mund::N,ಬಾಯಿ,munn
4,Zahn::N,ಹಲ್ಲು,tann
5,Zunge::N,ನಾಲಿಗೆ,tunge
6,Lippe::N,ತುಟಿ,leppe
7,Wange::N,ಗಲ್ಲ,kinn
8,Gesicht::N,ಮುಖ,fjes
9,Gesicht::N,ಮುಖ,ansikt
10,Stirn::N,ಹಣೆ,panne
11,Haar::N,ಕೂದಲು,hår
12,Schnurrbart::N,ಮೀಸೆ,bart
13,Bart::N,ಗಡ್ಡ,skjegg
14,Kinn::N,ಗದ್ದ,hake
15,Kiefer[Anatomie]::N,ದವಡೆ,kjeve
16,Kehle::N,ಗಂಟಲು,strupe
17,Hals::N,ಕೊರಳು,hals
18,Genick::N,ಹಿಂಗತ್ತು,nakke
19,Kopf::N,ತಲೆ,hode
20,Rücken::N,ಬೆನ್ನು,rygg
21,Bauch::N,ಹೊಟ್ಟೆ,buk
22,Bauch::N,ಹೊಟ್ಟೆ,mage
23,Nabel::N,ಹೊಕ್ಕುಳು,navle
24,Busen::N,ಸ್ತನ,barm
25,Brust::N,ಎದೆ,bryst
26,Schulter::N,ಭುಜ,skulder
27,Arm::N,ತೋಳು,arm
28,Ellenbogen::N,ಮೊಣಕೈ,albue
29,Hand::N,ಕೈ,hånd
30,Handfläche::N,ಅಂಗೈ,håndflate
31,Finger::N,ಕೈಬೆರಳು,finger
32,Fingernagel::N,ಉಗುರು,fingernegl
33,Nagel[Anatomie]::N,ಉಗುರು,negl
34,Zeh::N,ಕಾಲ್ಬೆರಳು,tå
35,Fuß::N,ಪಾದ,fot
36,Ferse::N,ಹಿಮ್ಮಡಿ,hæl
37,Knie::N,ಮಂಡಿ,kne
38,Oberschenkel::N,ತೊಡೆ,lår
39,Bein::N,ಕಾಲು,bein
40,Körper::N,ದೇಹ,kropp
41,Körper::N,ದೇಹ,legeme
42,Haut::N,ಚರ್ಮ,hud
43,Haut::N,ಚರ್ಮ,skinn
44,Blut::N,ರಕ್ತ,blod
45,Ader::N,ನರ,åre
46,Sehne::N,ನರ,sene
47,Knochen::N,ಮೂಳೆ,bein
48,Knochen::N,ಮೂಳೆ,knokkel
49,Gehirn::N,ಮಿದುಳು,hjerne
50,Herz::N,ಹೃದಯ,hjerte
51,Magen::N,ಉದರ,mage
52,Leber::N,ಯಕೃತ್ತು,lever
53,Atem::N,ಉಸಿರು,pust
54,Hunger::N,ಹಸಿವು,sult
55,Träne::N,ಕಣ್ಣೀರು,tåre
56,Geschmack::N,ರುಚಿ,smak
57,Geruch::N,ವಾಸನೆ,lukt
58,Schlaf::N,ನಿದ್ರೆ,søvn
59,Traum::N,ಕನಸು,drøm
60,Himmel::N,ಬಾನು,himmel
61,Sonne::N,ಸೂರ್ಯ,sol
62,Mond::N,ಚಂದ್ರ,måne
63,Stern::N,ಚುಕ್ಕಿ,stjerne
64,Luft::N,ವಾಯು,luft
65,Wind::N,ಗಾಳಿ,vind
66,Welle::N,ಅಲೆ,bølge
67,Wasser::N,ನೀರು,vann
68,Stein::N,ಕಲ್ಲು,stein
69,Boden::N,ನೆಲ,bakke
70,Erde::N,ಭೂಮಿ,jord
71,Staub::N,ದೂಳು,støv
72,Rauch::N,ಹೊಗೆ,røyk
73,Funke::N,ಕಿಡಿ,gnist
74,Feuer::N,ಬೆಂಕಿ,ild
75,Licht::N,ಬೆಳಕು,lys
76,Schatten::N,ನೆರಳು,skygge
77,Wetter::N,ಹವ,vær
78,Nebel::N,ಮಂಜು,tåke
79,Wolke::N,ಮೋಡ,sky
80,Regen::N,ಮಳೆ,regn
81,Schnee::N,ಹಿಮ,snø
82,Eis::N,ಮಂಜುಗಡ್ಡೆ,is
83,Frost::N,ಮಂಜು,frost
84,Kälte::N,ಹಿಮ,kulde
85,Hitze::N,ಉಷ್ಣ,hete
86,Raureif::N,ಇಬ್ಬನಿ,rimfrost
87,Regenbogen::N,ಇಂದ್ರಚಾಪ,regnbue
88,Donner::N,ಗುಡುಗು,torden
89,Strömung::N,ಪ್ರವಾಹ,strømning
90,Tropfen::N,ತೊಟ್ಟು,dråpe
91,Schaum::N,ನೊರೆ,skum
92,Schmutz::N,ಕಸ,søl
93,Schmutz::N,ಕಸ,skitt
94,See::N,ಸರೋವರ,sjø
95,Sumpf::N,ಜೌಗುಸ್ಥಳ,sump
96,Sumpf::N,ಜೌಗುಸ್ಥಳ,myrlende
97,Moor::N,ಬಂಜರು ಭೂಮಿ,myr
98,Moor::N,ಬಂಜರು ಭೂಮಿ,myrhei
99,Wiese::N,ಹುಲ್ಲುಗಾವಲು,eng
100,Wald::N,ಕಾಡು,skog
101,Hügel::N,ಗುಡ್ಡೆ,haug
102,Hügel::N,ಗುಡ್ಡೆ,bakke
103,Anhöhe::N,ದಿಬ್ಬ,haug
104,Anhöhe::N,ದಿಬ್ಬ,bakke
105,Berg::N,ಮಲೆ,berg
106,Berg::N,ಮಲೆ,fjell
107,Berg::N,ಪರ್ವತ,berg
108,Berg::N,ಪರ್ವತ,fjell
109,Gipfel::N,ಶೃಂಗ,topp
110,Höhle::N,ಗುಹೆ,hule
111,Abhang::N,ಇಳಿಜಾರು,li
112,Abhang::N,ಇಳಿಜಾರು,skråning
113,Quelle::N,ಮೂಲ,kilde
114,Bach::N,ತೊರೆ,bekk
115,Fluss::N,ನದಿ,elv
116,Ufer::N,ತೀರ,bredd
117,Küste::N,ದಂಡೆ,kyst
118,Festland::N,ಭೂಮಿ,fastland
119,Meer::N,ಕಡಲು,hav
120,Bucht::N,ಖಾರಿ,bukt
121,Insel::N,ದ್ವೀಪ,øy
122,Blume::N,ಸುಮ,blomst
123,Gras::N,ಹುಲ್ಲು,gress
124,Wurzel::N,ಬೇರು,rot
125,Baum::N,ಮರ,tre
126,Stamm::N,ಕಾಂಡ,stamme
127,Rinde::N,ತೂಗಟಿ,bark
128,Ast::N,ಶಾಖೆ,gren
129,Zweig::N,ರೆಂಬೆ,kvist
130,Blatt::N,ಎಲೆ,blad
131,Birke::N,ಬರ್ಚ್ ಮರ,bjørk
132,Kiefer[Baum]::N,ದೇವದಾರು ಮರ,furu
133,Weide[Baum]::N,ವಿಲೋಮರ,selje
134,Weide[Baum]::N,ವಿಲೋಮರ,piletre
135,Tanne::N,ಭದ್ರದಾರು,gran
136,Horn::N,ಕೊಂಬು,horn
137,Feder::N,ಪುಕ್ಕ,fjær
138,Fell::N,ರೋಮ,skinn
139,Flügel::N,ರೆಕ್ಕೆ,vinge
140,Klaue::N,ಪಂಜ,klauv
141,Kralle::N,ಉಗುರು,klo
142,Schwanz::N,ಬಾಲ,hale
143,Ei::N,ಮೊಟ್ಟೆ,egg
144,Nest::N,ಗೂಡು,rede
145,Bau::N,ಅಡಗುದಾಣ,hi
146,Tier::N,ಪ್ರಾಣಿ,dyr
147,Herde::N,ಗುಂಪು,flokk
148,Kuh::N,ಹಸು,ku
149,Bulle::N,ಗೂಳಿ,tyr
150,Pferd::N,ಕುದುರೆ,hest
151,Schaf::N,ಕುರಿ,får
152,Schwein::N,ಹಂದಿ,gris
153,Hund::N,ನಾಯಿ,hund
154,Katze::N,ಬೆಕ್ಕು,katt
155,Bär::N,ಕರಡಿ,bjørn
156,Eichhörnchen::N,ಉಡುತೆ,ekorn
157,Elch::N,ಕಡವೆ,elg
158,Fuchs::N,ನರಿ,rev
159,Hase::N,ಮೊಲ,hare
160,Maus::N,ಇಲಿ,mus
161,Wolf::N,ತೋಳ,ulv
162,Wolf::N,ತೋಳ,varg
163,Vogel::N,ಪಕ್ಷಿ,fugl
164,Schwarm::N,ಗುಂಪು,sverm
165,Huhn::N,ಚಿಕ್,høne
166,Hahn::N,ಹುಂಜ,hane
167,Gans::N,ವರಟೆ,gås
168,Adler::N,ಗರುಡ,ørn
169,Ente::N,ಬಾತು,and
170,Eule::N,ಗೂಬೆ,ugle
171,Kranich::N,ಕೊಕ್ಕರ,trane
172,Krähe::N,ಕಾಗೆ,kråke
173,Kuckuck::N,ಕೋಗಿಲೆ,gjøk
174,Schwan::N,ಹಂಸಪಕ್ಷಿ,svane
175,Fisch::N,ಮೀನು,fisk
176,Barsch::N,ಪರ್ಚ್ ಮೀನು,abbor
177,Hecht::N,ಪೈಕ್ ಮೀನು,gjedde
178,Schlange[Tier]::N,ಹಾವು,orm
179,Schlange[Tier]::N,ಹಾವು,slange
180,Wurm::N,ಹುಳು,orm
181,Wurm::N,ಹುಳು,mark
182,Spinne::N,ಊರ್ಣನಾಭ,edderkopp
183,Ameise::N,ಇರುವೆ,maur
184,Laus::N,ಹೇನು,lus
185,Mücke::N,ಸೊಳ್ಳೆ,mygg
186,Fliege::N,ನೊಣ,flue
187,Schmetterling::N,ಪತಂಗ,sommerfugl
188,Beere::N,ನಯವಣ್ಣು,bær
189,Apfel::N,ಸೇಬು,eple
190,Pilz::N,ಅಣಬೆ,sopp
191,Zwiebel::N,ನೀರುಳ್ಳಿ,løk
192,Saat::N,ಬಿತ್ತ,sæd
193,Korn::N,ಬೀಜ,korn
194,Heu::N,ಕರಡ,høy
195,Schale::N,ಹೊಟ್ಟು,skall
196,Grube::N,ಗುಂಡಿ,grop
197,Falle::N,ಬೋನು,felle
198,Schlinge::N,ಉರುಲು,snare
199,Spur::N,ಜಾಡು,spor
200,Asche::N,ಬೂದಿ,aske
201,Dreck::N,ಹೊಲಸು,møkk
202,Dreck::N,ಹೊಲಸು,skitt
203,Eisen::N,ಕಬ್ಬಿಣ,jern
204,Gold::N,ಚಿನ್ನ,gull
205,Silber::N,ಬೆಳ್ಳಿ,sølv
206,Kohle::N,ಕಲ್ಲಿದ್ದಲು,kol
207,Kohle::N,ಕಲ್ಲಿದ್ದಲು,kull
208,Glas::N,ಗಾಜು,glass
209,Lehm::N,ಜೇಡಿಮಣ್ಣು,leire
210,Sand::N,ಮರಳು,sand
211,Mensch::N,ಪುರುಷ,menneske
212,Mann::N,ಆಳು,mann
213,Frau::N,ಹೆಣ್ಣು,kvinne
214,Kind::N,ಮಗು,barn
215,Junge::N,ಹುಡುಗ,gutt
216,Mädchen::N,ಹುಡುಗಿ,pike
217,Mädchen::N,ಹುಡುಗಿ,jente
218,Familie::N,ಕುಟುಂಬ,familie
219,Großvater::N,ಅಜ್ಜ,bestefar
220,Großmutter::N,ಅಮ್ಮ,bestemor
221,Eltern::N,ಹೆತ್ತವರು,foreldre
222,Vater::N,ತಂದೆ,far
223,Mutter::N,ಅಮ್ಮ,mor
224,Sohn::N,ಮಗ ,sønn
225,Tochter::N,ಮಗಳು,datter
226,Bruder::N,ತಮ್ಮ,bror
227,Schwester::N,ತಂಗಿ,søster
228,Onkel::N,ಸೋದರಮಾವ,onkel
229,Onkel::N,ದೊಡ್ಡಪ್ಪ,onkel
230,Tante::N,ಚಿಕ್ಕಮ್ಮ,tante
231,Ehemann::N,ಗಂಡ,ektemann
232,Ehefrau::N,ಹೆಂಡತಿ,hustru
233,Freude::N,ನಲಿವು,glede
234,Gelächter::N,ನಗೆ,latter
235,Glück::N,ಆನಂದ,lykke
236,Kummer::N,ದುಃಖ,sorg
237,Wunsch::N,ಬಯಕೆ,ønske
238,Lust::N,ಇಷ್ಟ,lyst
239,Geist::N,ಆತ್ಮ,ånd
240,Gedanke::N,ಯೋಚನೆ,tanke
241,Gedächtnis::N,ಸ್ಮರಣೆ,minne
242,Gedächtnis::N,ಸ್ಮರಣೆ,hukommelse
