,Concept_ID,kn,vep
0,Auge::N,ಕಣ್ಣು,sil'm
1,Ohr::N,ಕಿವಿ,korv
2,Nase::N,ಮೂಗು,nena
3,Mund::N,ಬಾಯಿ,su
4,Zahn::N,ಹಲ್ಲು,pi
5,Zahn::N,ಹಲ್ಲು,hambaz
6,Zunge::N,ನಾಲಿಗೆ,kel'
7,Lippe::N,ತುಟಿ,hul'
8,Wange::N,ಗಲ್ಲ,modpolišk
9,Gesicht::N,ಮುಖ,mod
10,Stirn::N,ಹಣೆ,oc
11,Haar::N,ಕೂದಲು,tuk
12,Haar::N,ಕೂದಲು,hibuz
13,Schnurrbart::N,ಮೀಸೆ,habinod
14,Bart::N,ಗಡ್ಡ,bard
15,Kinn::N,ಗದ್ದ,löug
16,Kiefer[Anatomie]::N,ದವಡೆ,hambazlu
17,Kehle::N,ಗಂಟಲು,kurk
18,Hals::N,ಕೊರಳು,kagl
19,Genick::N,ಹಿಂಗತ್ತು,tagarai
20,Kopf::N,ತಲೆ,pä
21,Rücken::N,ಬೆನ್ನು,sel'g
22,Bauch::N,ಹೊಟ್ಟೆ,vac
23,Bauch::N,ಹೊಟ್ಟೆ,koht
24,Nabel::N,ಹೊಕ್ಕುಳು,naba
25,Busen::N,ಸ್ತನ,niža
26,Brust::N,ಎದೆ,rind
27,Schulter::N,ಭುಜ,oug
28,Arm::N,ತೋಳು,käzi
29,Ellenbogen::N,ಮೊಣಕೈ,künambruz
30,Hand::N,ಕೈ,käzi
31,Hand::N,ಕೈ,käzitera
32,Handfläche::N,ಅಂಗೈ,kämen
33,Finger::N,ಕೈಬೆರಳು,sor'm
34,Fingernagel::N,ಉಗುರು,künz'
35,Nagel[Anatomie]::N,ಉಗುರು,künz'
36,Zeh::N,ಕಾಲ್ಬೆರಳು,barbaz
37,Fuß::N,ಪಾದ,jaug
38,Ferse::N,ಹಿಮ್ಮಡಿ,kand
39,Knie::N,ಮಂಡಿ,komb
40,Knie::N,ಮಂಡಿ,pol'v
41,Oberschenkel::N,ತೊಡೆ,riiže
42,Bein::N,ಕಾಲು,jaug
43,Körper::N,ದೇಹ,hibj
44,Haut::N,ಚರ್ಮ,nahk
45,Blut::N,ರಕ್ತ,čak
46,Blut::N,ರಕ್ತ,veri
47,Ader::N,ನರ,son'
48,Sehne::N,ನರ,jände
49,Knochen::N,ಮೂಳೆ,lu
50,Gehirn::N,ಮಿದುಳು,aivod
51,Herz::N,ಹೃದಯ,südäin
52,Magen::N,ಉದರ,südäikoht
53,Leber::N,ಯಕೃತ್ತು,maks
