,Concept_ID,ady,kv
0,Auge::N,нэ,син
1,Ohr::N,тхьакӏу́м,пель
2,Nase::N,пэ,ныр
3,Mund::N,жэ,ӧм
4,Zahn::N,цэ,пинь
5,Zunge::N,бзэгу,кыв
6,Lippe::N,ӏупшӏэ́,тырп
7,Wange::N,нэкӏу́шъу,рожабан
8,Gesicht::N,нэ́гу,бан
9,Stirn::N,натӏэ́,кымӧс
10,Haar::N,шъхьацы́,юрси
11,Bart::N,жакӏэ́,тош
12,Kinn::N,жэкӏэпэпкъ,тшӧка
13,Kiefer[Anatomie]::N,жэпкъы́,ан
14,Kehle::N,чый,юан
15,Hals::N,пшъэ,юан
16,Genick::N,шъхьэпхэтыку,юр бӧр
17,Kopf::N,шъхьэ́,юр
18,Rücken::N,кӏыбы́,мышк
19,Bauch::N,ныбэ́,кынӧм
20,Busen::N,бгъэ́,морос
21,Brust::N,бгъэ́,морос
22,Schulter::N,блыпкъ,пельпон
23,Arm::N,ӏэ,ки
24,Ellenbogen::N,ӏэнтэ́гъу,гырдзза
25,Hand::N,ӏэтхьэцу,кикар
26,Handfläche::N,ӏэ́гу,ки пыдӧс
27,Finger::N,ӏэхъуа́мб,чунь
28,Fingernagel::N,ӏэбжъа́н,гыж
29,Nagel[Anatomie]::N,ӏэбжъа́н,гыж
30,Zeh::N,ӏэхъуа́мб,чунь
31,Fuß::N,лъэгу,кокпыдӧс
32,Ferse::N,лъэдакъэ,кокдзир
33,Knie::N,лъагуа́ндж,пидзӧс
34,Oberschenkel::N,ко,лядьбей
35,Bein::N,лъакъо́,кок
36,Körper::N,пкъышъол,вывтыр
37,Haut::N,кӏы́шъу,кучик
38,Blut::N,лъы,вир
39,Ader::N,льытф,сӧн
40,Sehne::N,фэ,жила
41,Knochen::N,къупшъхьэ́,коска
42,Gehirn::N,куцӏы,вем
43,Herz::N,гу,сьӧлӧм
44,Magen::N,мышкӏу,жӧвдӧк
45,Leber::N,шӏу,мус
46,Atem::N,къэщэныр,лолалӧм
47,Hunger::N,гъаблэ́,тшыг
48,Träne::N,нэпсы,синва
49,Geschmack::N,ӏэшӏугъа́кӏ,кӧр
50,Geruch::N,мэ,дук
51,Schlaf::N,пчыхьы́пӏ,он
52,Traum::N,пчыхьы́пӏ,вӧт
53,Himmel::N,уашъо́,небо
54,Sonne::N,тыгъэ,шондi
55,Mond::N,мазэ,тӧлiсь
56,Stern::N,жъуагъо́,кӧдзыв
57,Luft::N,жьы,ру
58,Wind::N,жьыбгъэ́,тӧв
59,Welle::N,ор,гы
60,Welle::N,оры,гы
61,Wasser::N,псы,ва
62,Stein::N,мыжъо́,из
63,Boden::N,чӏ́ыгу,му
64,Erde::N,чӏ́ыгу,му
65,Staub::N,сап,бус
66,Rauch::N,ӏугъо́,тшын
67,Funke::N,мэшӏуа́ч,бичир
68,Feuer::N,машӏо́,би
69,Licht::N,нэфы,би
70,Licht::N,нэфын,би
71,Schatten::N,жьау́,вуджӧр
72,Schatten::N,ныбжьыкъу,вуджӧр
73,Nebel::N,пща́гъу,туман
74,Wolke::N,ошъуапщэ,кымӧр
75,Regen::N,ощхы,зэр
76,Schnee::N,осы́,лым
77,Eis::N,мылы,йы
78,Kälte::N,чъыӏэ́,кӧдзыт
79,Hitze::N,фэба́е,ӧд
80,Regenbogen::N, лэгъупэкъо́пс,енӧшка
81,Donner::N,шыблэ́,гым
82,Strömung::N,ток,визывтӧм
83,Tropfen::N,ткӏопс,тёп
