,Concept_ID,sah,ab
0,Auge::N,харах,ала
1,Ohr::N,кулгаах,алымҳа
2,Nase::N,мурун,аҧынҵа
3,Mund::N,айах,аҧышə
4,Zahn::N,тиис,ахаҧыц
5,Zunge::N,тыл,абз
6,Lippe::N,уос,ақьышə
7,Wange::N,иэдэс,аӡамҩа
8,Gesicht::N,сирэй,аҿы
9,Stirn::N,сүүс,алахь
10,Haar::N,баттах,ахəыц
11,Schnurrbart::N,уос бытыга,аҧаҵа
12,Bart::N,сэҥийэ бытыга,ажакьа
13,Kinn::N,сэҥийэ,ацламкəыгə
14,Kiefer[Anatomie]::N,сыҥаах,ацламҳəа
15,Kehle::N,тамах,ахəда
16,Kehle::N,күөмэй,ахəда
17,Hals::N,моой,ахəда
18,Genick::N,кэтэх,ахəдаџьал
19,Kopf::N,бас,ахы
20,Rücken::N,көҕүс,азқəа
21,Bauch::N,ис,амгəа
22,Nabel::N,киин,аҷапан
23,Busen::N,эмиий,агəыҧҳəы
24,Brust::N,түөс,агəышҧы
25,Schulter::N,сарын,ажəҩахыр
26,Arm::N,илии,амахəар
27,Ellenbogen::N,тоҕонох,амашьхəылҵ
28,Hand::N,илии,анапы
29,Handfläche::N,ытыс,анапсаргəыҵа
30,Finger::N,тарбах,анацəа
31,Fingernagel::N,тыҥырах,анапхыц
32,Nagel[Anatomie]::N,тыҥырах,ашьапхыц
33,Zeh::N,тарбах,ашьацəа
34,Fuß::N,уллуҥах,ашьапсыргəыҵа
35,Ferse::N,тилэх,ашьхəа
36,Knie::N,тобук,ашьамхы
37,Knie::N,дьилбэк,ашьамхы
38,Oberschenkel::N,уллук,ауаҭəа
39,Oberschenkel::N,өттүк,ауаҭəа
40,Bein::N,атах,ашьапы
41,Körper::N,бэйэ,ацəеижь
42,Haut::N,тирии,ацəа
43,Blut::N,хаан,ашьа
44,Ader::N,вена,ада
45,Ader::N,күөх_тымыр,ада
46,Sehne::N,иҥиир,адаш
47,Knochen::N,уҥуох,абаҩ
48,Knochen::N,уҥгуох,абаҩ
49,Gehirn::N,мэйии,ахшлыбаҩ
50,Gehirn::N,мэйии,ахшыбаҩ
51,Herz::N,сүрэх,агəы
52,Magen::N,куртах,аца
53,Magen::N,куртах,ацар
54,Leber::N,быар,агəаҵəа
55,Atem::N,тыын,аҧсыҧлагаҩгара
56,Hunger::N,аас,амла
57,Träne::N,харах уута,алабжыш
58,Geschmack::N,амтан,агьама
59,Geruch::N,сыт,афҩы
60,Schlaf::N,утуйуу,ацəа
61,Traum::N,түүл,аҧхыӡ
62,Himmel::N,халлаан,ажəҩан
63,Sonne::N,күн,амра
64,Mond::N,ый,амза
65,Stern::N,сулус,аеҵəа
66,Luft::N,салгын,аҳаир
67,Wind::N,тыал,аҧша
68,Welle::N,долгун,ацəқəырҧа
69,Welle::N,балхаан,ацəқəырҧа
70,Wasser::N,уу,аӡы
71,Stein::N,таас,ахаҳə
72,Boden::N,сир,адгьыл
73,Erde::N,буор,адгьыл
74,Staub::N,быыл,асаба
75,Rauch::N,буруо,алҩа
76,Funke::N,кыым,акəиц
77,Funke::N,кыым,ацҧхь
78,Feuer::N,уот,амца
79,Licht::N,уот,алашара
80,Schatten::N,күлүк,ашəшьыра
81,Wetter::N,күн-дьыл,амш
82,Nebel::N,туман,анаҟəа
83,Wolke::N,былыт,аҧсҭҳəа
84,Regen::N,самыыр,ақəа
85,Schnee::N,хаар,асы
86,Eis::N,муус,аҵаа
87,Frost::N,тымныы,аҵаа
88,Kälte::N,тымныы,ахьҭа
89,Hitze::N,куйаас,ашоура
90,Raureif::N,кырыа,аҵааҧшқа
91,Regenbogen::N,кустук,ацəаҟəа
92,Donner::N,этиҥ,адыд
93,Strömung::N,сүүрүк,аиасра
94,Strömung::N,сүүрүк,амҩасра
95,Tropfen::N,таммах,ацəыкəбар
96,Tropfen::N,хааппыла,ацəыкəбар
97,Schaum::N,күүгэн,ашəах
98,Schmutz::N,кир,алымт
99,See::N,күөл,аӡиа
100,Sumpf::N,бадараан,аӡмах
101,Moor::N,дьэбэрэ,
102,Wiese::N,ходуһа,адəы
103,Wald::N,ойуур,абна
104,Hügel::N,булгунньах,ахəы
105,Anhöhe::N,үрдэл,аҳаракыра
106,Berg::N,хайа,ашьха
107,Gipfel::N,чыпчаал,ацəқəа
108,Höhle::N,хайа_хаспаҕа,аҳаҧы
109,Höhle::N,көҥүс,аҳаҧы
110,Abhang::N,эниэ,анаара
111,Quelle::N,дьүүктэ,аҵҵырҭа
112,Bach::N,үрүйэ,акəараҷҷа
113,Fluss::N,өрүс,аӡиас
114,Ufer::N,биэрэк,ахықə
115,Küste::N,кытыл,ахықə
116,Festland::N,кураанах сир,абарра
117,Meer::N,муора,амшын
118,Bucht::N,хомо,аӡбжьахала
119,Bucht::N,бухта,аӡбжьахала
120,Insel::N,арыы,адгьылбжьаха
121,Blume::N,сибэкки,ашəҭ
122,Gras::N,от,аҳасакьын
123,Wurzel::N,силис,адац
124,Baum::N,мас,аҵла
125,Stamm::N,умнас,ашьапы
126,Rinde::N,хатырык,ацəа
127,Ast::N,мутук,амахə
128,Ast::N,мутук,амахəҭа
129,Zweig::N,лабаа,амахə
130,Zweig::N,лабаа,амахəҭа
131,Blatt::N,сэбирдэх,абҕьы
132,Birke::N,хатыҥ,аҵааҵла
133,Kiefer[Baum]::N,бэс,амза
134,Weide[Baum]::N,үөт,аҧслыш
135,Weide[Baum]::N,талах,аҧслыш
136,Tanne::N,харыйа,аҧсаӡ
137,Horn::N,муос,атəыҩа
