,Concept_ID,os,no
0,Auge::N,цӕст,øye
1,Ohr::N,хъус,øre
2,Nase::N,фындз,nese
3,Mund::N,дзых,munn
4,Zahn::N,дӕндаг,tann
5,Zunge::N,ӕвзаг,tunge
6,Lippe::N,был,leppe
7,Wange::N,рус,kinn
8,Wange::N,уадул,kinn
9,Wange::N,ӕхсӕрфарс,kinn
10,Gesicht::N,цӕсгом,fjes
11,Gesicht::N,цӕсгом,ansikt
12,Stirn::N,ных,panne
13,Haar::N,хил,hår
14,Schnurrbart::N,рихи,bart
15,Bart::N,зачъе,skjegg
16,Kinn::N,роцъо,hake
17,Kiefer[Anatomie]::N,ӕфсӕр,kjeve
18,Kehle::N,хъуыр,strupe
19,Hals::N,къубал,hals
20,Genick::N,къӕбут,nakke
21,Kopf::N,сӕр,hode
22,Rücken::N,фӕсонтӕ,rygg
23,Bauch::N,гуыбын,buk
24,Bauch::N,гуыбын,mage
25,Nabel::N,бикъ,navle
26,Busen::N,дзидзи,barm
27,Brust::N,риу,bryst
28,Schulter::N,уӕхск,skulder
29,Arm::N,цонг,arm
30,Ellenbogen::N,рæмбын,albue
31,Hand::N,къух,hånd
32,Handfläche::N,армытъӕпӕн,håndflate
33,Finger::N,ӕнруылдз,finger
34,Fingernagel::N,ных,fingernegl
35,Nagel[Anatomie]::N,ных,negl
36,Zeh::N,къух,tå
37,Fuß::N,фад,fot
38,Ferse::N,зӕвӕт,hæl
39,Knie::N,уӕраг,kne
40,Oberschenkel::N,агъд,lår
41,Bein::N,зӕнг,bein
42,Körper::N,буар,kropp
43,Körper::N,буар,legeme
44,Haut::N,царм,hud
45,Haut::N,царм,skinn
46,Blut::N,туг,blod
47,Ader::N,дадзин,åre
48,Ader::N,тугдадзин,åre
49,Sehne::N,хъиутæ,sene
50,Sehne::N,нуар,sene
51,Knochen::N,стӕг,bein
52,Knochen::N,стӕг,knokkel
53,Gehirn::N,магъз,hjerne
54,Herz::N,зӕрдӕ,hjerte
55,Magen::N,ахсӕн,mage
56,Leber::N,игæр,lever
57,Atem::N,улӕфт,pust
58,Hunger::N,стонг,sult
59,Träne::N,цæссыг,tåre
60,Geschmack::N,ад,smak
61,Geruch::N,смаг,lukt
62,Schlaf::N,хуыссӕг,søvn
63,Traum::N,фын,drøm
64,Himmel::N,арв,himmel
65,Himmel::N,уӕларв,himmel
66,Sonne::N,хур,sol
67,Mond::N,мӕй,måne
68,Stern::N,стъалы,stjerne
69,Luft::N,уӕлдӕф,luft
70,Wind::N,дымгӕ,vind
71,Welle::N,уылӕн,bølge
72,Wasser::N,дон,vann
73,Stein::N,дур,stein
74,Boden::N,зӕхх,bakke
75,Erde::N,сыджыт,jord
76,Staub::N,рыг,støv
77,Rauch::N,фӕздӕг,røyk
78,Funke::N,цӕхӕр,gnist
79,Feuer::N,зынг,ild
80,Licht::N,рухс,lys
81,Schatten::N,аууон,skygge
82,Wetter::N,боныхъӕд,vær
83,Nebel::N,мигъ,tåke
84,Wolke::N,ӕврагъ,sky
85,Regen::N,уарын,regn
86,Schnee::N,мит,snø
87,Eis::N,их,is
88,Frost::N,ихæн,frost
89,Kälte::N,уазал,kulde
90,Hitze::N,ӕнтӕф,hete
91,Raureif::N,халас,rimfrost
92,Regenbogen::N,арвырон,regnbue
93,Regenbogen::N,арвырдын,regnbue
94,Donner::N,æрвнæрын,torden
95,Strömung::N,цыд,strømning
96,Tropfen::N,æртах,dråpe
97,Schaum::N,фынк,skum
98,Schmutz::N,цъыф,søl
99,Schmutz::N,цъыф,skitt
100,See::N,цад,sjø
101,Sumpf::N,цъыфдзаст,sump
102,Sumpf::N,цъыфдзаст,myrlende
103,Moor::N,цъыфдзаст,myr
104,Moor::N,цъыфдзаст,myrhei
105,Wiese::N,уыгӕрдӕн,eng
106,Wald::N,хъӕд,skog
107,Hügel::N,обау,haug
108,Hügel::N,обау,bakke
109,Hügel::N,къуыбыр,haug
110,Hügel::N,къуыбыр,bakke
111,Anhöhe::N,уæлвæз,haug
112,Anhöhe::N,уæлвæз,bakke
113,Anhöhe::N,уæлхох,haug
114,Anhöhe::N,уæлхох,bakke
115,Berg::N,хох,berg
116,Berg::N,хох,fjell
117,Gipfel::N,цъупп,topp
