,Concept_ID,xal,it
0,Auge::N,нүдн,occhio
1,Ohr::N,чикн,orecchio
2,Nase::N,хамр,naso
3,Mund::N,амн,bocca
4,Zahn::N,шүдн,dente
5,Zunge::N,келн,lingua
6,Lippe::N,урл,labbro
7,Wange::N,халх,guancia
8,Gesicht::N,нүр,viso
9,Gesicht::N,нүр,faccia
10,Stirn::N,маңна,fronte
11,Haar::N,үсн,capello
12,Schnurrbart::N,сахл,baffi
13,Schnurrbart::N,сахл,mustacchi
14,Bart::N,сахл,barba
15,Bart::N,өргнә сахл,barba
16,Kinn::N,өргн,mento
17,Kiefer[Anatomie]::N,өргн,mascella
18,Kehle::N,хол,gola
19,Hals::N,күзүн,collo
20,Genick::N,гиҗг,nuca
21,Kopf::N,толһа,capo
22,Kopf::N,толһа,testa
23,Rücken::N,нурһн,dorso
24,Rücken::N,нурһн,schiena
25,Bauch::N,гесн,ventre
26,Nabel::N,киисн,ombelico
27,Busen::N,көкн,seno
28,Brust::N,чееҗ,petto
29,Schulter::N,ээм,spalla
30,Arm::N,һар,braccio
31,Ellenbogen::N,тоха,gomito
32,Hand::N,баһлцг,mano
33,Handfläche::N,альхн,palma
34,Finger::N,хурһн,dito
35,Finger::N,һарин хурһн,dito
36,Fingernagel::N,хумсн,unghia
37,Nagel[Anatomie]::N,хумсн,unghia
38,Zeh::N,хурһн,dito del piede
39,Zeh::N,көлин хурһн,dito del piede
40,Fuß::N,тавг,piede
41,Ferse::N,өскә,tallone
42,Ferse::N,өскә,calcagno
43,Knie::N,өвдг,ginocchio
44,Oberschenkel::N,һуй,fèmore
45,Bein::N,көл,gamba
46,Körper::N,махмуд,corpo
47,Haut::N,арсн,pelle
48,Blut::N,цусн,sangue
49,Ader::N,судцн,vena
50,Sehne::N,шүрүсн,tèndine
51,Knochen::N,ясн,osso
52,Gehirn::N,экн,cervello
53,Herz::N,зүркн,cuore
54,Magen::N,гесн,stòmaco
55,Leber::N,элкн,fegato
56,Atem::N,әмсхл,fiato
57,Atem::N,әмсхл,respiro
58,Hunger::N,харһнлһн,fame
59,Träne::N,нульмсн,làcrima
60,Geschmack::N,амтн,gusto
61,Geschmack::N,амтн,sapore
62,Geruch::N,үнр,odore
63,Schlaf::N,нөр,sonno
64,Traum::N,зүүдн,sogno
65,Himmel::N,теңгр,cielo
66,Sonne::N,нарн,sole
67,Mond::N,сар,luna
68,Stern::N,одн,stella
69,Luft::N,аһар,aria
70,Wind::N,салькн,vento
71,Welle::N,дольган,onda
72,Wasser::N,усн,acqua
73,Stein::N,чолун,sasso
74,Stein::N,чолун,pietra
75,Boden::N,Һазр,suolo
76,Boden::N,Һазр,terreno
77,Erde::N,Һазр,terra
78,Staub::N,тоосн,polvere
79,Rauch::N,утан,fumo
80,Funke::N,очн,scintilla
81,Feuer::N,һал,fuoco
82,Licht::N,герл,luce
83,Schatten::N,сүүдр,ombra
84,Wetter::N,теңгр,tempo
85,Nebel::N,будн,nebbia
86,Wolke::N,үүлн,nube
87,Wolke::N,үүлн,nùvola
88,Regen::N,хур,pioggia
89,Schnee::N,цасн,neve
90,Eis::N,мөсн,ghiaccio
91,Frost::N,киитн,gelo
92,Kälte::N,киитн,freddo
93,Hitze::N,халун,caldo
94,Hitze::N,халун,calura
95,Raureif::N,цаң,brina
96,Raureif::N,кирү,brina
97,Regenbogen::N,солңһ,arcobaleno
98,Donner::N,оһтрһун дун,tuono
99,Strömung::N,урсхл,corrente
100,Tropfen::N,дусал,goccia
