,Concept_ID,xal,sah
0,Auge::N,нүдн,харах
1,Ohr::N,чикн,кулгаах
2,Nase::N,хамр,мурун
3,Mund::N,амн,айах
4,Zahn::N,шүдн,тиис
5,Zunge::N,келн,тыл
6,Lippe::N,урл,уос
7,Wange::N,халх,иэдэс
8,Gesicht::N,нүр,сирэй
9,Stirn::N,маңна,сүүс
10,Haar::N,үсн,баттах
11,Schnurrbart::N,сахл,уос бытыга
12,Bart::N,сахл,сэҥийэ бытыга
13,Bart::N,өргнә сахл,сэҥийэ бытыга
14,Kinn::N,өргн,сэҥийэ
15,Kiefer[Anatomie]::N,өргн,сыҥаах
16,Kehle::N,хол,тамах
17,Kehle::N,хол,күөмэй
18,Hals::N,күзүн,моой
19,Genick::N,гиҗг,кэтэх
20,Kopf::N,толһа,бас
21,Rücken::N,нурһн,көҕүс
22,Bauch::N,гесн,ис
23,Nabel::N,киисн,киин
24,Busen::N,көкн,эмиий
25,Brust::N,чееҗ,түөс
26,Schulter::N,ээм,сарын
27,Arm::N,һар,илии
28,Ellenbogen::N,тоха,тоҕонох
29,Hand::N,баһлцг,илии
30,Handfläche::N,альхн,ытыс
31,Finger::N,хурһн,тарбах
32,Finger::N,һарин хурһн,тарбах
33,Fingernagel::N,хумсн,тыҥырах
34,Nagel[Anatomie]::N,хумсн,тыҥырах
35,Zeh::N,хурһн,тарбах
36,Zeh::N,көлин хурһн,тарбах
37,Fuß::N,тавг,уллуҥах
38,Ferse::N,өскә,тилэх
39,Knie::N,өвдг,тобук
40,Knie::N,өвдг,дьилбэк
41,Oberschenkel::N,һуй,уллук
42,Oberschenkel::N,һуй,өттүк
43,Bein::N,көл,атах
44,Körper::N,махмуд,бэйэ
45,Haut::N,арсн,тирии
46,Blut::N,цусн,хаан
47,Ader::N,судцн,вена
48,Ader::N,судцн,күөх_тымыр
49,Sehne::N,шүрүсн,иҥиир
50,Knochen::N,ясн,уҥуох
51,Knochen::N,ясн,уҥгуох
52,Gehirn::N,экн,мэйии
53,Herz::N,зүркн,сүрэх
54,Magen::N,гесн,куртах
55,Leber::N,элкн,быар
56,Atem::N,әмсхл,тыын
57,Hunger::N,харһнлһн,аас
58,Träne::N,нульмсн,харах уута
59,Geschmack::N,амтн,амтан
60,Geruch::N,үнр,сыт
61,Schlaf::N,нөр,утуйуу
62,Traum::N,зүүдн,түүл
63,Himmel::N,теңгр,халлаан
64,Sonne::N,нарн,күн
65,Mond::N,сар,ый
66,Stern::N,одн,сулус
67,Luft::N,аһар,салгын
68,Wind::N,салькн,тыал
69,Welle::N,дольган,долгун
70,Welle::N,дольган,балхаан
71,Wasser::N,усн,уу
72,Stein::N,чолун,таас
73,Boden::N,Һазр,сир
74,Erde::N,Һазр,буор
75,Staub::N,тоосн,быыл
76,Rauch::N,утан,буруо
77,Funke::N,очн,кыым
78,Feuer::N,һал,уот
79,Licht::N,герл,уот
80,Schatten::N,сүүдр,күлүк
81,Wetter::N,теңгр,күн-дьыл
82,Nebel::N,будн,туман
83,Wolke::N,үүлн,былыт
84,Regen::N,хур,самыыр
85,Schnee::N,цасн,хаар
86,Eis::N,мөсн,муус
87,Frost::N,киитн,тымныы
88,Kälte::N,киитн,тымныы
89,Hitze::N,халун,куйаас
90,Raureif::N,цаң,кырыа
91,Raureif::N,кирү,кырыа
92,Regenbogen::N,солңһ,кустук
93,Donner::N,оһтрһун дун,этиҥ
94,Strömung::N,урсхл,сүүрүк
95,Tropfen::N,дусал,таммах
96,Tropfen::N,дусал,хааппыла
97,Schaum::N,көөсн,күүгэн
98,Schmutz::N,кир,кир
99,See::N,нур,күөл
100,Sumpf::N,унул,бадараан
101,Moor::N,улм,дьэбэрэ
102,Wiese::N,хадлһн,ходуһа
103,Wald::N,ө-модн,ойуур
104,Hügel::N,толһа,булгунньах
105,Anhöhe::N,хамр,үрдэл
106,Berg::N,уул,хайа
107,Gipfel::N,ора,чыпчаал
108,Höhle::N,хадин көндә,хайа_хаспаҕа
109,Höhle::N,хадин көндә,көҥүс
110,Abhang::N,ташу,эниэ
111,Quelle::N,булг,дьүүктэ
112,Bach::N,һооҗур,үрүйэ
113,Fluss::N,һол,өрүс
114,Ufer::N,көвә,биэрэк
115,Küste::N,көвә,кытыл
116,Küste::N,теңгсин көвә,кытыл
117,Festland::N,хүүрә һазр,кураанах сир
118,Meer::N,теңгс,муора
119,Bucht::N,цекә,хомо
120,Bucht::N,цекә,бухта
121,Bucht::N,теңгсин цекә,хомо
122,Bucht::N,теңгсин цекә,бухта
123,Insel::N,арл,арыы
124,Blume::N,цецг,сибэкки
125,Gras::N,ноһан,от
126,Wurzel::N,уңг,силис
127,Baum::N,модн,мас
128,Stamm::N,шилв,умнас
129,Stamm::N,һол модн,умнас
130,Rinde::N,көрсн,хатырык
131,Ast::N,ац,мутук
132,Zweig::N,ац,лабаа
133,Blatt::N,хамтхасн,сэбирдэх
134,Birke::N,хусм модн,хатыҥ
135,Kiefer[Baum]::N,шар харһа,бэс
136,Weide[Baum]::N,удн,үөт
137,Weide[Baum]::N,удн,талах
138,Tanne::N,җөөлн цаһан модн,харыйа
139,Horn::N,өвр,муос
140,Feder::N,өрвлг,куорсун
141,Fell::N,арсн,тирии
142,Flügel::N,җивр,кынат
143,Klaue::N,хумсн,тыҥырах
144,Kralle::N,тавг,баппаҕай
145,Schwanz::N,сүл,кутурук
146,Ei::N,өндгн,сымыыт
147,Nest::N,үр,уйа
148,Bau::N,нүкн,хороон
149,Tier::N,мал,кыыл
150,Tier::N,мал,харамай
151,Herde::N,сүрг мал,үөр
152,Kuh::N,үкр,ынах
153,Bulle::N,бух,оҕус
154,Pferd::N,мөрн,сылгы
155,Schaf::N,хөн,овца
156,Schwein::N,һаха,сибиинньэ
157,Hund::N,ноха,ыт
158,Katze::N,мис,куоска
159,Bär::N,аю,эһэ
160,Eichhörnchen::N,кермн,тииҥ
161,Elch::N,хандһа,тайах
162,Fuchs::N,арат,саһыл
163,Hase::N,туула,куобах
164,Maus::N,хулһн,кутуйах
165,Wolf::N,чон,бөрө
166,Vogel::N,шовун,көтөр
167,Schwarm::N,зел,бөлөх
168,Huhn::N,така,куурусса
169,Hahn::N,эр така,бөтүүк
170,Gans::N,һалун,хаас
171,Adler::N,һәрд,хотой
172,Ente::N,нуһсн,кус
173,Eule::N,һурвлһ,мэкчиргэ
174,Kranich::N,тоһрун,туруйа
175,Krähe::N,шаазһа,тураах
176,Kuckuck::N,эргин хуцдг,кэҕэ
177,Schwan::N,хун,куба
178,Fisch::N,заһсн,балык
179,Barsch::N,шүрг,алыһар
180,Hecht::N,цурх,сордон
181,Schlange[Tier]::N,моһа,моҕой
182,Schlange[Tier]::N,моһа,эриэн үөн
183,Wurm::N,өтн,үөн
184,Spinne::N,аралҗн,ооҕуй
185,Ameise::N,шорһлҗн,кымырдаҕас
186,Laus::N,бөөсн,быт
187,Mücke::N,бөкүн,кумаар
188,Fliege::N,батхн,сахсырҕа
189,Schmetterling::N,эрвәкә,лыах
190,Schmetterling::N,эрвәкә,үрүмэччи
191,Beere::N,бөөлҗрһн,отон
192,Apfel::N,альмн,яблоко
193,Pilz::N,теңгрин ки,тэллэй
194,Zwiebel::N,мәңгрснә толһа,луук
195,Saat::N,буудян экн,сиэмэ
196,Korn::N,экн,сиэмэ
197,Heu::N,өвсн,от
198,Schale::N,хальсн,хах
199,Grube::N,нүкн,дьаама
200,Falle::N,урх,сохсо
201,Falle::N,хавх,сохсо
202,Schlinge::N,бүтү,уктаа
203,Spur::N,мөр,суол
204,Asche::N,үмсн,күл
205,Dreck::N,бальчг,бадараан
206,Eisen::N,төмр,тимир
207,Gold::N,алтн,көмүс
208,Gold::N,алтн,кыһыл көмүс
209,Silber::N,мөңгн,көмүс
210,Silber::N,мөңгн,үрүҥ көмүс
211,Silber::N,цаһан мөңгн,көмүс
212,Silber::N,цаһан мөңгн,үрүҥ көмүс
213,Kohle::N,нүүрсн,чох
214,Glas::N,шил,өстүөкүлэ
215,Lehm::N,шавр,туой
216,Sand::N,элсн,кумах
217,Mensch::N,күн,киһи
218,Mensch::N,күмн,киһи
219,Mann::N,эр,эр
220,Frau::N,күүкд күн,дьахтар
221,Kind::N,үрн,оҕо
222,Junge::N,көвүн,уол
223,Mädchen::N,бичкн күүкн,кыыс оҕо
224,Familie::N,бүл,кэргэн
225,Großvater::N,өвк эцк,эһэ
226,Großvater::N,наһц эцк,эһэ
227,Großmutter::N,эмг эк,эбэ
228,Großmutter::N,наһц эк,эбэ
229,Eltern::N,эк эцк хойр,аҕа-ийэ
230,Vater::N,эцк,аҕа
231,Mutter::N,эк,ийэ
232,Sohn::N,көвүн,уол
233,Tochter::N,күүкн,кыыс
234,Bruder::N,дү көвүн,убай
235,Bruder::N,дү көвүн,быраат
236,Schwester::N,эгч,аҕас
237,Schwester::N,эгч,балыс
238,Schwester::N,дү күүкн,аҕас
239,Schwester::N,дү күүкн,балыс
240,Onkel::N,авһ,таай
241,Onkel::N,авһ,абаҕа
242,Onkel::N,наһцх,таай
243,Onkel::N,наһцх,абаҕа
244,Tante::N,наһц эгч,эдьиий
245,Ehemann::N,залу,эр
246,Ehefrau::N,гергн,ойох
247,Freude::N,байр,үөрүү
248,Gelächter::N,инәдн,күлүү
249,Glück::N,җирһл,дьол
250,Glück::N,җирһл,соргу
251,Glück::N,сәәхн җирһл,дьол
252,Glück::N,сәәхн җирһл,соргу
253,Kummer::N,зовлң,кутурҕан
254,Wunsch::N,дурн,баҕарыы
255,Lust::N,җилвтлһн,баҕа
256,Geist::N,зөрг,тыын
257,Gedanke::N,ухан,санаа
258,Gedächtnis::N,чееҗин тодлвр,өй
259,Verstand::N,ухан,өй
260,Sinn::N,учр-утх,суолта
261,Grund::N,учр,төрүөт
262,Grund::N,шалтан,төрүөт
263,Wahrheit::N,үнн,кырдьык
264,Gespräch::N,күүндвүр,бэсиэдэ
265,Gespräch::N,күүндвүр,кэпсэтии
266,Märchen::N,тууль,остуоруйа
267,Erzählung::N,келвр,кэпсээн
268,Nachricht::N,медүллһн,биллэриллии
269,Neuigkeit::N,зәңг,сонун
270,Name::N,нерн,аат
271,Rätsel::N,тәәлвртә тууль,таабырын
272,Rede::N,келлһн,этии
273,Sprache::N,келн,тыл
274,Stimme::N,дун,куолас
275,Wort::N,үг,тыл
276,Zeichen::N,темдг,бэлиэ
277,Ruf::N,дуудлһн,ыҥырыы
278,Lärm::N,шууган,айдаан
279,Laut::N,ә,тыас
280,Ton::N,дун,дорҕоон
281,Lied::N,дун,ырыа
282,Ruhe::N,амулң,уу чуумпу
283,Leute::N,әмтн,дьон
284,Volk::N,улс,дьон
285,Volk::N,улс,норуот
286,Arbeit::N,көдлмш,үлэ
287,Gast::N,гиич,ыалдьыт
288,Geschenk::N,белг,бэлэх
289,Spiel::N,наадн,оонньуу
290,Gesellschaft::N,олн,общество
291,Hilfe::N,нөкд,көмө
292,Freund::N,иньг,доҕор
293,Kamerad::N,үр,атас
294,Angelegenheit::N,керг,дьыала
295,Anzahl::N,то,ахсаан
296,Art::N,зүүл,биис
297,Stück::N,хусг,кырбас
298,Teil::N,хүв,ирээт
299,Hälfte::N,өрәл,аҥар
300,Kreis::N,төгрг,төгүрүк
301,Kreis::N,төгрг,төгүрүмтэ
302,Kreuz::N,кирс,кириэс
303,Linie::N,зурасн,сурааһын
304,Strich::N,татасн,сурааһын
305,Abstand::N,зә,арыт
306,Entfernung::N,һазр,ыраах
307,Gegend::N,һазр,сир
308,Platz::N,зә,арыт
309,Ort::N,бәәрн,сир
310,Seite::N,тал,өрүт
311,Seite::N,тал,сирэй
312,Seite::N,хаҗу,өрүт
313,Seite::N,хаҗу,сирэй
314,Seite::N,хәврһ,өрүт
315,Seite::N,хәврһ,сирэй
316,Mitte::N,дунд,орто
317,Gegenstand::N,юмн,предмет
318,Sache::N,юмн,мал
319,Rand::N,зах,кытыы
320,Rand::N,зах,ойоҕос
321,Kante::N,ирмәг,кырыы
322,Ecke::N,өнцг,муннук
323,Spitze::N,үзүр,чыпчаал
324,Ende::N,үзүр,төбө
325,Loch::N,хаһрха,тэһэҕэс
326,Loch::N,хаһрха,дьөлөҕөс
327,Winkel::N,булң,муннук
328,Muster::N,намч,оһуор
329,Größe::N,кемҗән,кээмэй
330,Länge::N,ут,уста
331,Höhe::N,өндр,үрдүк
332,Gewicht::N,күнд,ыйааһын
333,Gewicht::N,чиңнүр,ыйааһын
334,Menge::N,ик,ахсаан
335,Haufen::N,ова,чөмчөх
336,Reihe::N,зерг,кэккэ
337,Reihe::N,зерглән,кэккэ
338,Boot::N,оңһц,оҥочо
339,Ruder::N,хәәв,эрдии
340,Schlitten::N,цан,сыарҕа
341,Ski::N,лыҗ,хайыһар
342,Lagerfeuer::N,костёр,кутаа
343,Last::N,күнд,ыарахан
344,Gang::N,йовлһн,хаамыы
345,Schritt::N,ишкм,хардыы
346,Norden::N,ар үзг,хоту
347,Süden::N,өмн,соҕуруу
348,Süden::N,өмн үзг,соҕуруу
349,Westen::N,барун,арҕаа
350,Westen::N,барун үзг,арҕаа
351,Osten::N,зүн,илин
352,Osten::N,зүн үзг,илин
353,Holz::N,модн,мас
354,Brett::N,харһа,дуоска
355,Brett::N,харһа,хаптаһын
356,Platte::N,хавтха чолун,билиитэ
357,Stütze::N,тулг,тулааһын
358,Stange::N,уньн,ураҕас
359,Stock::N,модн,мас
360,Stock::N,модн,баалкы
361,Stab::N,шуург,ураҕас
362,Rohr::N,турва,турба
363,Haus::N,гер,дьиэ
364,Heim::N,гер-бул,дьиэ
365,Ofen::N,беш,оһох
366,Fußboden::N,девскр,муоста
367,Tisch::N,ширә,остуол
368,Stuhl::N,стул,устуул
369,Wiege::N,өлгә,биһик
370,Wiege::N,дүүҗң,биһик
371,Bett::N,орн,кырабаат
372,Bett::N,орндг,кырабаат
373,Regal::N,таг,долбуур
374,Regal::N,тәвц,долбуур
375,Kiste::N,яршг,дьааһык
376,Fenster::N,терз,түннүк
377,Tür::N,үүдн,аан
378,Tor::N,үүдн,аан
379,Tor::N,өргн үүдн,аан
380,Tor::N,хашан үүдн,аан
381,Zaun::N,хаша,соппулуот
382,Dach::N,деевр,кырыыса
383,Leiter::N,шат,кирилиэс
384,Leiter::N,давшур,кирилиэс
385,Besen::N,сәвүр,миинньик
386,Spaten::N,күрз,күрдьэх
387,Schaufel::N,совг,күрдьэх
388,Gabel::N,серә,биилкэ
389,Löffel::N,ухр,луоска
390,Messer::N,утх,быһах
391,Nagel::N,хадасн,тоһоҕо
392,Netz::N,гөлм,илим
393,Haken::N,дегә,көхө
394,Griff::N,иш,ук
395,Griff::N,иш,тутаах
396,Griff::N,бәрүл,ук
397,Griff::N,бәрүл,тутаах
398,Schloss::N,оньс,күлүүс
399,Bild::N,зург,хартыына
400,Figur::N,фигур,фигура
401,Puppe::N,наадһа,куукула
402,Beutel::N,мишг,мөһөөччук
403,Bündel::N,багла,баайыы
