,Concept_ID,cy,eu
0,Auge::N,llygad,begi
1,Ohr::N,clust,belarri
2,Nase::N,trwyn,sudur
3,Mund::N,ceg,aho
4,Zahn::N,dant,hortz
5,Zunge::N,tafod,mihi
6,Lippe::N,gwefus,ezpain
7,Wange::N,boch,masail
8,Gesicht::N,wyneb,aurpegi
9,Stirn::N,talcen,bekoki
10,Haar::N,blew,ile
11,Haar::N,blew,bilo
12,Schnurrbart::N,mwstas,bibote
13,Schnurrbart::N,mwstas,sudurpeko
14,Bart::N,barf,bizar
15,Kinn::N,gên,kokots
16,Kiefer[Anatomie]::N,gên,masailezur
17,Kehle::N,gwddf,eztarri
18,Hals::N,gwddf,sama
19,Genick::N,gwar,garondo
20,Genick::N,gwegil,garondo
21,Kopf::N,pen,buru
22,Rücken::N,cefn,bizkar
23,Bauch::N,bol,sabel
24,Nabel::N,bogail,zilbor
25,Busen::N,bron,titi
26,Busen::N,bron,ugatz
27,Brust::N,brest,bular
28,Schulter::N,ysgwydd,besaburu
29,Arm::N,braich,beso
30,Ellenbogen::N,penelin,ukondo
31,Hand::N,llaw,esku
32,Handfläche::N,palf,ahur
33,Finger::N,bys,hatz
34,Fingernagel::N,ewin,azazkal
35,Nagel[Anatomie]::N,ewin,azazkal
36,Zeh::N,bys troed,behatz
37,Fuß::N,troed,oin
38,Ferse::N,sawdl,orpo
39,Ferse::N,sawdl,oinburu
40,Knie::N,glin,belaun
41,Oberschenkel::N,clun,izter
42,Bein::N,coes,zango
43,Körper::N,corff,soin
44,Haut::N,croen,azal
45,Blut::N,gwaed,odol
46,Ader::N,gwythïen,zain
47,Sehne::N,gewyn,gihar-zain
48,Knochen::N,asgwrn,hezur
49,Gehirn::N,ymennydd,garun
50,Gehirn::N,ymennydd,burmuin
51,Herz::N,calon,bihotz
52,Magen::N,cylla,urdail
53,Magen::N,stumog,urdail
54,Leber::N,iau,gibel
55,Atem::N,anadl,hats
56,Atem::N,anadl,arnasa
57,Hunger::N,newyn,gose
58,Träne::N,deigryn,malko
59,Geschmack::N,cyflas,dasta
60,Geruch::N,aroglau,usain
61,Schlaf::N,cwsg,lo
62,Traum::N,breuddwyd,amets
63,Himmel::N,awyr,zeru
64,Sonne::N,haul,eguzki
65,Mond::N,lleuad,ilargi
66,Stern::N,seren,izar
67,Luft::N,awyr,aire
68,Wind::N,gwynt,haize
69,Welle::N,ton,uhin
70,Welle::N,ton,olatu
71,Wasser::N,dŵr,ur
72,Stein::N,carreg,harri
73,Boden::N,llawr,lur
74,Boden::N,llawr,zoru
75,Erde::N,pridd,lur
76,Staub::N,llwch,hauts
77,Rauch::N,mwg,ke
78,Funke::N,gwreichioni,zirta
79,Funke::N,gwreichioni,txinparta
80,Feuer::N,tân,su
81,Licht::N,golau,argi
82,Schatten::N,cysgod,itzal
83,Schatten::N,cysgod,geriza
84,Wetter::N,tywydd,eguraldi
85,Nebel::N,niwl,laino
86,Wolke::N,cwmwl,hodei
87,Regen::N,glaw,euri
88,Schnee::N,ôd,elur
89,Schnee::N,eira,elur
90,Eis::N,iâ,horma
91,Frost::N,rhew,izotzaldi
92,Kälte::N,oerni,hotz
93,Kälte::N,annwyd,hotz
94,Hitze::N,gwres,bero
95,Raureif::N,barrug,antzigar
96,Regenbogen::N,enfys,ostadar
97,Regenbogen::N,enfys,ortzadar
98,Donner::N,tyrfau,ostots
99,Donner::N,tyrfau,ihurtzuri
100,Strömung::N,cerrynt,laster
101,Tropfen::N,dafn,xorta
102,Tropfen::N,diferyn,xorta
103,Schaum::N,ewyn,bits
