,Concept_ID,es,udm
0,Auge::N,ojo,син
1,Ohr::N,oreja,пель
2,Nase::N,nariz,ныр
3,Mund::N,boca,ым
4,Zahn::N,diente,пинь
5,Zunge::N,lengua,кыл
6,Lippe::N,labio,ымдур
7,Wange::N,mejilla,бам
8,Gesicht::N,cara,ымныр
9,Stirn::N,frente,кымес
10,Haar::N,cabello,йырси
11,Schnurrbart::N,bigote,мыйык
12,Bart::N,barba,туш
13,Kinn::N,barbilla,ангес
14,Kiefer[Anatomie]::N,mandíbula,ан
15,Kiefer[Anatomie]::N,mandíbula,анлы
16,Kehle::N,garganta,гульым
17,Hals::N,cuello,чырты
18,Genick::N,nuca,йырбер
19,Genick::N,cerviz,йырбер
20,Kopf::N,cabeza,йыр
21,Rücken::N,espalda,мыш
22,Bauch::N,vientre,кӧт
23,Nabel::N,ombligo,гогы
24,Busen::N,pecho,ноны
25,Brust::N,pecho,мӧля
26,Schulter::N,hombro,пельпум
27,Arm::N,brazo,суй
28,Ellenbogen::N,codo,гырпум
29,Hand::N,mano,ки
30,Handfläche::N,palma,ки пыдэс
31,Handfläche::N,palma,кырым пыдэс
32,Finger::N,dedo,чиньы
33,Fingernagel::N,uña,гижы
34,Fingernagel::N,uña,гиждӥнь
35,Nagel[Anatomie]::N,uña,гижы
36,Zeh::N,dedo del pie,пыдчиньы
37,Fuß::N,pie,пыд
38,Ferse::N,talón,пыдбер
39,Knie::N,rodilla,пыдес
40,Oberschenkel::N,muslo,макес
41,Bein::N,pierna,пыд
42,Körper::N,cuerpo,мугор
43,Körper::N,cuerpo,вылтыр
44,Haut::N,piel,ку
45,Blut::N,sangre,вир
46,Ader::N,vena,вирсэр
47,Sehne::N,tendón,вуж
48,Knochen::N,hueso,лы
49,Gehirn::N,cerebro,вим
50,Gehirn::N,encéfalo,вим
51,Herz::N,corazón,сюлэм
52,Magen::N,estómago,ӝуш
53,Leber::N,hígado,мус
54,Atem::N,aliento,лул
55,Atem::N,aliento,шокан
56,Hunger::N,hambre,кӧтсюман
57,Träne::N,lágrima,синкыли
58,Geschmack::N,gusto,шӧм
59,Geruch::N,olor,зын
60,Schlaf::N,sueño,вӧт
61,Traum::N,sueño,уйвӧт
62,Traum::N,ensueño,уйвӧт
63,Himmel::N,cielo,ин
64,Sonne::N,sol,шунды
65,Mond::N,luna,толэзь
66,Stern::N,estrella,кизили
67,Luft::N,aire,омыр
68,Wind::N,viento,тӧл
69,Welle::N,ola,тулкым
70,Welle::N,onda,тулкым
71,Wasser::N,agua,ву
72,Stein::N,piedra,из
73,Boden::N,suelo,музъем
74,Erde::N,tierra,му
75,Staub::N,polvo,пыль
76,Rauch::N,humo,ӵын
77,Funke::N,chispa,гизьы
78,Feuer::N,fuego,тыл
79,Licht::N,luz,тыл
80,Schatten::N,sombra,вужер
81,Wetter::N,tiempo,куазь
82,Nebel::N,niebla,бус
83,Wolke::N,nube,пилем
84,Regen::N,lluvia,зор
85,Schnee::N,nieve,лымы
86,Eis::N,hielo,йӧ
87,Frost::N,helada,кезьыт
88,Kälte::N,frío,кезьыт
89,Hitze::N,calor,пӧсь
90,Raureif::N,escarcha,гӧр
91,Regenbogen::N,arco iris,вуюись
92,Donner::N,trueno,гудыри
93,Strömung::N,corriente,бызён
94,Tropfen::N,gota,шапык
