,Concept_ID,pl,nl
0,Auge::N,oko,oog
1,Ohr::N,ucho,oor
2,Nase::N,nos,neus
3,Mund::N,usta,mond
4,Zahn::N,ząb,tand
5,Zunge::N,język,tong
6,Lippe::N,warga,lip
7,Wange::N,policzek,wang
8,Gesicht::N,twarz,gelaat
9,Gesicht::N,twarz,gezicht
10,Stirn::N,czoło,voorhoofd
11,Haar::N,włos,haar
12,Haar::N,włosy,haar
13,Schnurrbart::N,wąsy,snor
14,Bart::N,broda,baard
15,Kinn::N,podbródek,kin
16,Kiefer[Anatomie]::N,czeluść,kaak
17,Kehle::N,gardło,keel
18,Kehle::N,gardło,strot
19,Hals::N,szyja,hals
20,Genick::N,kark,nek
21,Kopf::N,głowa,hoofd
22,Rücken::N,plecy,rug
23,Rücken::N,grzbiet,rug
24,Bauch::N,brzuch,buik
25,Nabel::N,pępek,navel
26,Busen::N,biust,boezem
27,Brust::N,pierś,borst
28,Schulter::N,bark,schouder
29,Schulter::N,ramię,schouder
30,Arm::N,ręka,arm
31,Arm::N,ramię,arm
32,Ellenbogen::N,łokieć,elleboog
33,Hand::N,dłoń,hand
34,Handfläche::N,dłoń,handpalm
35,Finger::N,palec,vinger
36,Fingernagel::N,paznokieć,nagel
37,Nagel[Anatomie]::N,paznokieć,nagel
38,Zeh::N,palec,teen
39,Fuß::N,stopa,voet
40,Ferse::N,pięta,hak
41,Ferse::N,pięta,hiel
42,Knie::N,kolano,knie
43,Oberschenkel::N,udo,dij
44,Bein::N,noga,been
45,Körper::N,ciało,lichaam
46,Haut::N,skóra,huid
47,Blut::N,krew,bloed
48,Ader::N,żyła,ader
49,Sehne::N,ścięgno,pees
50,Knochen::N,kość,bot
51,Knochen::N,kość,been
52,Knochen::N,kość,knook
53,Gehirn::N,mózg,hersenen
54,Herz::N,serce,hart
55,Magen::N,żołądek,maag
56,Leber::N,wątroba,lever
57,Atem::N,dech,adem
58,Atem::N,oddech,adem
59,Hunger::N,głód,honger
60,Träne::N,łza,traan
61,Geschmack::N,smak,smaak
62,Geruch::N,woń,geur
63,Geruch::N,zapach,geur
64,Schlaf::N,sen,slaap
65,Traum::N,sen,droom
66,Himmel::N,niebo,hemel
67,Sonne::N,słońce,zon
68,Mond::N,księżyc,maan
69,Stern::N,gwiazda,ster
70,Luft::N,powietrze,lucht
71,Wind::N,wiatr,wind
72,Welle::N,fala,golf
73,Wasser::N,woda,water
74,Stein::N,kamień,steen
75,Boden::N,grunt,grond
76,Erde::N,ziemia,aarde
77,Staub::N,pył,stof
78,Staub::N,kurz,stof
79,Rauch::N,dym,rook
80,Funke::N,iskra,vonk
81,Feuer::N,ogień,vuur
82,Licht::N,światło,licht
83,Schatten::N,cień,schaduw
84,Wetter::N,pogoda,weer
85,Nebel::N,mgła,mist
86,Nebel::N,mgła,nevel
87,Wolke::N,obłok,wolk
88,Wolke::N,chmura,wolk
89,Regen::N,deszcz,regen
90,Schnee::N,śnieg,sneeuw
91,Eis::N,lód,ijs
92,Frost::N,mróz,vorst
93,Kälte::N,chłód,kou
94,Kälte::N,chłód,koude
95,Hitze::N,gorąco,hitte
96,Raureif::N,szron,rijp
97,Regenbogen::N,tęcza,regenboog
98,Donner::N,grzmot,donder
99,Strömung::N,nurt,stroming
100,Tropfen::N,kropla,druppel
101,Schaum::N,piana,schuim
102,Schmutz::N,brud,vuil
103,See::N,jezioro,meer
104,Sumpf::N,bagno,moeras
105,Moor::N,bagno,veen
106,Wiese::N,łąka,wei
107,Wiese::N,łąka,weide
108,Wald::N,las,bos
109,Hügel::N,pagórek,heuvel
110,Anhöhe::N,wzgórze,hoogte
111,Berg::N,góra,berg
112,Gipfel::N,szczyt,top
113,Gipfel::N,wierzchołek,top
114,Höhle::N,pieczara,hol
115,Abhang::N,stok,helling
116,Abhang::N,zbocze,helling
117,Quelle::N,zdrój,bron
118,Quelle::N,źródło,bron
119,Bach::N,potok,beek
120,Bach::N,strumień,beek
121,Fluss::N,rzeka,stroom
122,Ufer::N,brzeg,wal
123,Ufer::N,brzeg,oever
124,Küste::N,wybrzeże,kust
125,Festland::N,ląd,vasteland
126,Meer::N,morze,zee
127,Bucht::N,zatoka,baai
128,Bucht::N,zatoka,inham
129,Insel::N,wyspa,eiland
130,Blume::N,kwiat,bloem
131,Gras::N,trawa,gras
132,Wurzel::N,korzeń,wortel
133,Baum::N,drzewo,boom
134,Stamm::N,pień,stam
135,Rinde::N,kora,schors
136,Ast::N,gałąź,tak
137,Zweig::N,gałąź,twijg
138,Blatt::N,liść,blad
139,Birke::N,brzoza,berk
140,Kiefer[Baum]::N,sosna,den
141,Weide[Baum]::N,wierzba,wilg
142,Tanne::N,jodła,spar
143,Horn::N,róg,hoorn
144,Feder::N,pióro,veer
145,Feder::N,pióro,pluim
146,Fell::N,futro,vel
147,Flügel::N,skrzydło,vleugel
148,Klaue::N,szpon,klauw
149,Kralle::N,pazur,klauw
150,Schwanz::N,ogon,staart
151,Ei::N,jajko,ei
152,Nest::N,gniazdo,nest
153,Bau::N,nora,hol
154,Tier::N,zwierzę,dier
155,Herde::N,stado,kudde
156,Herde::N,trzoda,kudde
157,Kuh::N,krowa,koe
158,Bulle::N,byk,stier
159,Pferd::N,koń,paard
160,Schaf::N,owca,schaap
161,Schwein::N,świnia,varken
162,Hund::N,pies,hond
163,Katze::N,kot,kat
164,Katze::N,kotka,kat
165,Bär::N,niedźwiedż,beer
166,Eichhörnchen::N,wiewiórka,eekhoorntje
167,Elch::N,łóś,eland
168,Fuchs::N,lis,vos
169,Hase::N,zając,haas
170,Maus::N,mysz,muis
171,Wolf::N,wilk,wolf
172,Vogel::N,ptak,vogel
173,Schwarm::N,stado,zwerm
174,Huhn::N,kura,kip
175,Huhn::N,kura,hoen
176,Hahn::N,kogut,haan
177,Gans::N,gęś,gans
178,Adler::N,orzeł,arend
179,Ente::N,kaczka,eend
