,Concept_ID,tt,be
188,Spinne::N,үрмәкүч,павук
189,Ameise::N,кырмыска,мурашка
190,Laus::N,бет,вош
191,Mücke::N,черки,камар
192,Mücke::N,озынборын,камар
193,Fliege::N,чебен,муха
194,Schmetterling::N,күбәләк,матыль
195,Beere::N,җиләк,ягада
196,Apfel::N,алма,яблык
197,Pilz::N,гөмбә,грыб
198,Zwiebel::N,суган,цыбуля
199,Zwiebel::N,суганбаш,цыбуля
200,Saat::N,орлык,семя
201,Korn::N,иген,зерне
202,Korn::N,орлык,зерне
203,Heu::N,печән,сена
204,Schale::N,кабык,шалупінне
205,Grube::N,баз,яма
206,Grube::N,чокыр,яма
207,Falle::N,тозак,пастка
208,Falle::N,капкын,пастка
209,Schlinge::N,элмәк,сіло
210,Spur::N,эз,след
211,Asche::N,көл,попел
212,Dreck::N,пычрак,бруд
213,Eisen::N,тимер,жалеза
214,Gold::N,алтын,золата
215,Silber::N,көмеш,сребра
216,Kohle::N,күмер,вугаль
217,Glas::N,пыяла,шкло
218,Lehm::N,балчык,гліна
219,Sand::N,ком,пясок
220,Mensch::N,адәм,чалавек
221,Mensch::N,инсан,чалавек
222,Mann::N,ир,мужчына
223,Frau::N,хатын,жанчына
224,Kind::N,бала,дзіця
225,Junge::N,малай,хлопчык
226,Mädchen::N,кыз,дзяўчынка
227,Familie::N,гаилә,сямʼя
228,Großvater::N,бабай,дзядуля
229,Großmutter::N,әби,бабуля
230,Eltern::N,ата-ана,бацькі
231,Vater::N,ата,бацька
232,Mutter::N,ана,маці
233,Sohn::N,ул,сын
234,Tochter::N,кыз,дачка
235,Bruder::N,кардәш,брат
236,Schwester::N,апа,сястра
237,Schwester::N,сеңел,сястра
238,Onkel::N,дәдә,дзядзька
239,Onkel::N,дәдәй,дзядзька
240,Tante::N,түти,цётка
241,Tante::N,тәтәй,цётка
242,Ehemann::N,ир,муж
243,Ehefrau::N,хатын,жонка
244,Freude::N,сөенеч,радасць
245,Gelächter::N,көлү,смех
246,Gelächter::N,көлеш,смех
247,Glück::N,бәхет,шчасце
248,Kummer::N,хәсрәт,гора
249,Wunsch::N,теләк,жаданне
250,Lust::N,теләк,цяга
251,Lust::N,теләү,цяга
252,Geist::N,рух,дух
253,Gedanke::N,уй,думка
254,Gedanke::N,фикер,думка
255,Gedächtnis::N,хәтер,памяць
256,Verstand::N,акыл,розум
257,Sinn::N,мәгънә,сэнс
258,Grund::N,сәбәп,зачэпка
259,Wahrheit::N,хак,праўда
260,Gespräch::N,әңгәмә,размова
261,Märchen::N,әкият,казка
262,Erzählung::N,хикәя,расказ
263,Erzählung::N,хикәя,апавяданне
264,Nachricht::N,хәбәр,вестка
265,Nachricht::N,хәбәр,паведамленне
266,Neuigkeit::N,яңалык,навіна
267,Name::N,исем,імя
268,Rätsel::N,табышмак,загадка
269,Rede::N,нотык,прамова
270,Sprache::N,тел,мова
271,Stimme::N,тавыш,голас
272,Wort::N,сүз,слова
273,Zeichen::N,ишарә,знак
274,Ruf::N,дәшү,кліч
275,Lärm::N,шау,шум
276,Laut::N,аваз,гук
277,Ton::N,шалтырату,гучанне
278,Lied::N,җыр,песня
279,Ruhe::N,тынлык,спакой
280,Leute::N,халык,людзі
281,Volk::N,халык,народ
282,Arbeit::N,эш,праца
