,Concept_ID,uk,ga
0,Auge::N,око,súil
1,Ohr::N,вухо,cluas
2,Nase::N,ніс,soc
3,Mund::N,рот,béal
4,Zahn::N,зуб,fiacail
5,Zunge::N,язик,teanga
6,Lippe::N,губа,liopa
7,Wange::N,щока,grua
8,Wange::N,щока,leiceann
9,Gesicht::N,обличчя,éadan
10,Gesicht::N,обличчя,aghaidh
11,Stirn::N,лоб,baithis
12,Stirn::N,лоб,clár éadain
13,Haar::N,волосся,gruaig
14,Schnurrbart::N,вуса,croiméal
15,Bart::N,борода,féasóg
16,Kinn::N,підборіддя,smig
17,Kiefer[Anatomie]::N,щелепа,giall
18,Kehle::N,горло,scornach
19,Hals::N,шия,muinéal
20,Genick::N,потилиця,baic
21,Kopf::N,голова,ceann
22,Rücken::N,спина,droim
23,Bauch::N,живіт,bolg
24,Nabel::N,пупок,imleacán
25,Busen::N,груди,cíoch
26,Brust::N,груди,brollach
27,Schulter::N,плече,gualainn
28,Arm::N,рука,lámh
29,Ellenbogen::N,лікоть,uillinn
30,Hand::N,рука,lámh
31,Handfläche::N,долоня,bos
32,Finger::N,палець,méar
33,Fingernagel::N,ніготь,ionga
34,Nagel[Anatomie]::N,ніготь,ionga
35,Zeh::N,палець на нозі,ladhar
36,Fuß::N,нога,cos
37,Fuß::N,нога,troigh
38,Ferse::N,п’ятка,sáil
39,Knie::N,коліно,glúin
40,Oberschenkel::N,стегно,ceathrú
41,Bein::N,нога,cos
42,Körper::N,тіло,corp
43,Körper::N,тіло,colainn
44,Haut::N,шкіра,cneas
45,Haut::N,шкіра,craiceann
46,Blut::N,кров,fuil
47,Ader::N,вена,
48,Sehne::N,сухожилля,teannán
49,Sehne::N,сухожилля,féitheog
50,Knochen::N,кістка,cnámh
51,Gehirn::N,мозок,inchinn
52,Herz::N,серце,croí
53,Magen::N,шлунок,bolg
54,Magen::N,шлунок,goile
55,Leber::N,печінка,ae
56,Atem::N,дихання,anáil
57,Hunger::N,голод,ocras
58,Träne::N,сльоза,deoir
59,Geschmack::N,смак,blas
60,Geruch::N,запах,boladh
61,Schlaf::N,сон,suan
62,Schlaf::N,сон,codladh
63,Schlaf::N,сплячка,suan
64,Schlaf::N,сплячка,codladh
65,Traum::N,сон,taibhreamh
66,Himmel::N,небо,spéir
67,Sonne::N,сонце,grian
68,Mond::N,місяць,ré
69,Mond::N,місяць,gealach
70,Stern::N,зірка,rinn
71,Stern::N,зірка,réalta
72,Luft::N,повітря,aer
73,Wind::N,вітер,gaoth
74,Welle::N,хвиля,tonn
75,Wasser::N,вода,uisce
76,Stein::N,камінь,cloch
77,Boden::N,ґрунт,talamh
78,Erde::N,земля,cré
79,Erde::N,земля,ithir
80,Staub::N,пил,dusta
81,Staub::N,пил,deannach
82,Rauch::N,дим,toit
83,Rauch::N,дим,deatach
84,Funke::N,іскра,drithle
85,Feuer::N,вогонь,tine
86,Licht::N,світло,solas
87,Schatten::N,тінь,scáth
88,Wetter::N,погода,aimsir
89,Nebel::N,туман,ceo
90,Wolke::N,хмара,néal
91,Wolke::N,хмара,scamall
92,Regen::N,дощ,báisteach
93,Regen::N,дощ,fearthainn
94,Schnee::N,сніг,sneachta
95,Eis::N,лід,oighear
96,Frost::N,мороз,sioc
97,Kälte::N,холод,fuacht
98,Hitze::N,жар,teas
99,Hitze::N,жар,teocht
100,Raureif::N,іній,sioc bán
101,Regenbogen::N,райдуга,stua ceatha
102,Regenbogen::N,райдуга,bogha báistí
103,Donner::N,грім,toirneach
104,Strömung::N,струмина,sruth
105,Tropfen::N,крапля,deoir
106,Schaum::N,піна,cúr
107,Schmutz::N,бруд,salachar
108,See::N,озеро,loch
109,Sumpf::N,драговина,portach
110,Moor::N,болото,caorán
111,Moor::N,болото,móinteán
112,Wiese::N,луг,cluain
113,Wiese::N,луг,móinéar
114,Wiese::N,лука,cluain
115,Wiese::N,лука,móinéar
116,Wald::N,ліс,coill
117,Wald::N,ліс,foraois
118,Hügel::N,горб,ard
