,Concept_ID,da,bg
0,Auge::N,øje,око
1,Ohr::N,øre,ухо
2,Nase::N,næse,нос
3,Mund::N,mund,уста
4,Zahn::N,tand,зъб
5,Zunge::N,tunge,език
6,Lippe::N,læbe,устна
7,Wange::N,kind,буза
8,Gesicht::N,ansigt,лице
9,Gesicht::N,ansigt,образ
10,Stirn::N,pande,чело
11,Haar::N,hår,коса
12,Haar::N,hår,косъм
13,Schnurrbart::N,overskæg,мустаци
14,Bart::N,skæg,брада
15,Kinn::N,hage,брада
16,Kinn::N,hage,брадичка
17,Kiefer[Anatomie]::N,kæbe,челюст
18,Kehle::N,strube,гърло
19,Hals::N,hals,врат
20,Genick::N,nakke,тил
21,Kopf::N,hoved,глава
22,Rücken::N,ryg,гръб
23,Bauch::N,mave,корем
24,Nabel::N,navle,пъп
25,Busen::N,barm,бозка
26,Brust::N,bryst,гръд
27,Schulter::N,skulder,рамо
28,Schulter::N,skulder,плещи
29,Arm::N,arm,ръка
30,Ellenbogen::N,albue,лакът
31,Hand::N,hånd,ръка
32,Hand::N,hånd,китка
33,Handfläche::N,håndflade,длан
34,Finger::N,finger,пръст
35,Fingernagel::N,fingernegl,нокът
36,Nagel[Anatomie]::N,negl,нокът
37,Zeh::N,tå,пръст на крак
38,Fuß::N,fod,крак
39,Fuß::N,fod,нога
40,Ferse::N,hæl,пета
41,Knie::N,knæ,коляно
42,Oberschenkel::N,lår,бедро
43,Bein::N,ben,крак
44,Bein::N,ben,нога
45,Körper::N,krop,тяло
46,Körper::N,legeme,тяло
47,Haut::N,hud,кожа
48,Blut::N,blod,кръв
49,Ader::N,åre,вена
50,Ader::N,åre,артерия
51,Sehne::N,sene,жила
52,Sehne::N,sene,сухожилие
53,Knochen::N,ben,кост
54,Gehirn::N,hjerne,мозък
55,Herz::N,hjerte,сърце
56,Magen::N,mave,стомах
57,Leber::N,lever,черен дроб
58,Atem::N,ånde,дишане
59,Hunger::N,sult,глад
60,Träne::N,tåre,сълза
61,Geschmack::N,smag,вкус
62,Geruch::N,lugt,миризма
63,Schlaf::N,søvn,сън
64,Traum::N,drøm,сън
65,Himmel::N,himmel,небе
66,Sonne::N,sol,слънце
67,Mond::N,måne,луна
68,Mond::N,måne,месец
69,Stern::N,stjerne,звезда
70,Luft::N,luft,въздух
71,Wind::N,vind,вятър
72,Welle::N,bølge,вълна
73,Wasser::N,vand,вода
74,Stein::N,sten,камък
75,Boden::N,jord,земя
76,Boden::N,jord,почва
77,Erde::N,jord,земя
78,Erde::N,jord,почва
79,Staub::N,støv,прах
80,Rauch::N,røg,дим
81,Rauch::N,røg,пушек
82,Funke::N,gnist,искра
83,Feuer::N,ild,огън
84,Licht::N,lys,светлина
85,Schatten::N,skygge,сянка
86,Wetter::N,vejr,време
87,Nebel::N,tåge,мъгла
88,Wolke::N,sky,облак
89,Regen::N,regn,дъжд
90,Schnee::N,sne,сняг
91,Eis::N,is,лед
92,Frost::N,frost,мраз
93,Kälte::N,kulde,студ
94,Hitze::N,hede,жега
95,Hitze::N,hede,горещина
96,Raureif::N,rimfrost,скреж
97,Raureif::N,rimfrost,слана
98,Regenbogen::N,regnbue,дъга
99,Donner::N,torden,гръм
100,Strömung::N,strømning,течение
101,Tropfen::N,dråbe,капка
102,Schaum::N,skum,пяна
103,Schmutz::N,snavs,кал
104,Schmutz::N,snavs,мръсотия
105,See::N,sø,езеро
106,Sumpf::N,sump,блато
107,Moor::N,mose,мочурище
108,Wiese::N,eng,ливада
109,Wald::N,skov,гора
110,Hügel::N,høj,рид
111,Hügel::N,høj,хълм
112,Hügel::N,bakke,рид
113,Hügel::N,bakke,хълм
114,Anhöhe::N,høj,могила
115,Anhöhe::N,høj,възвишение
116,Anhöhe::N,bakke,могила
117,Anhöhe::N,bakke,възвишение
118,Berg::N,bjerg,планина
119,Gipfel::N,top,връх
120,Höhle::N,hule,пещера
121,Abhang::N,skrænt,склон
122,Abhang::N,skrænt,стръмнина
123,Abhang::N,skråning,склон
124,Abhang::N,skråning,стръмнина
125,Quelle::N,kilde,извор
126,Bach::N,bæk,поток
127,Fluss::N,flod,река
128,Ufer::N,bred,бряг
129,Küste::N,kyst,бряг
130,Küste::N,kyst,крайбрежие
131,Festland::N,fastland,суша
132,Meer::N,hav,море
133,Bucht::N,bugt,залив
134,Insel::N,ø,остров
135,Blume::N,blomst,цвете
136,Gras::N,græs,трева
137,Wurzel::N,rod,корен
138,Baum::N,træ,дърво
139,Stamm::N,stamme,стъбло
140,Rinde::N,bark,кора
141,Ast::N,gren,клон
142,Zweig::N,kvist,клон
143,Blatt::N,blad,лист
144,Birke::N,birk,бреза
145,Kiefer[Baum]::N,fyrretræ,бор
146,Weide[Baum]::N,piletræ,върба
147,Tanne::N,gran,ела
148,Horn::N,horn,рог
149,Feder::N,fjer,перо
150,Fell::N,skind,кожа
151,Flügel::N,vinge,крило
152,Klaue::N,klov,нокът
153,Kralle::N,klo,нокът
154,Schwanz::N,hale,опашка
155,Ei::N,æg,яйце
156,Nest::N,rede,гнездо
157,Bau::N,bo,дупка
158,Tier::N,dyr,животно
159,Herde::N,flok,стадо
160,Kuh::N,ko,крава
161,Bulle::N,tyr,бик
162,Pferd::N,hest,кон
163,Schaf::N,får,овца
164,Schwein::N,gris,свиня
165,Hund::N,hund,куче
166,Katze::N,kat,котка
167,Bär::N,bjørn,мечка
168,Eichhörnchen::N,egern,катерица
169,Elch::N,elg,лос
170,Fuchs::N,ræv,лисица
171,Hase::N,hare,заек
172,Maus::N,mus,мишка
173,Wolf::N,ulv,вълк
174,Vogel::N,fugl,птица
175,Schwarm::N,sværm,рой
176,Schwarm::N,sværm,рояк
177,Huhn::N,høne,кокошка
178,Hahn::N,hane,петел
179,Gans::N,gås,гъска
180,Adler::N,ørn,орел
181,Ente::N,and,патица
182,Eule::N,ugle,сова
183,Kranich::N,trane,жерав
184,Krähe::N,krage,врана
185,Kuckuck::N,gøg,кукувица
186,Schwan::N,svane,лебед
187,Fisch::N,fisk,риба
188,Barsch::N,aborre,костур
189,Hecht::N,gedde,щука
190,Schlange[Tier]::N,slange,змия
191,Wurm::N,orm,червей
192,Spinne::N,edderkop,паяк
193,Ameise::N,myre,мравка
194,Laus::N,lus,въшка
195,Mücke::N,myg,комар
196,Fliege::N,flue,муха
197,Schmetterling::N,sommerfugl,пеперуда
198,Beere::N,bær,плод
199,Apfel::N,æble,ябълка
200,Pilz::N,svamp,гъба
201,Zwiebel::N,løg,лук
202,Zwiebel::N,løg,кромид
203,Saat::N,sæd,семе
204,Korn::N,korn,зърно
205,Heu::N,hø,сено
206,Schale::N,skræl,кора
207,Grube::N,grav,яма
208,Grube::N,grav,дупка
209,Falle::N,fælde,примка
210,Schlinge::N,snare,клуп
211,Spur::N,spor,диря
212,Spur::N,spor,следа
213,Asche::N,aske,пепел
214,Dreck::N,snavs,кал
215,Eisen::N,jern,желязо
216,Gold::N,guld,злато
217,Silber::N,sølv,сребро
218,Kohle::N,kul,въглища
219,Glas::N,glas,стъкло
220,Lehm::N,ler,глина
221,Sand::N,sand,пясък
222,Mensch::N,mennesge,човек
223,Mann::N,mand,мъж
224,Frau::N,kvinde,жена
225,Kind::N,barn,дете
226,Junge::N,dreng,момче
227,Mädchen::N,pige,момиче
228,Familie::N,familie,фамилия
229,Familie::N,familie,семейство
230,Großvater::N,bedstefar,дядо
231,Großmutter::N,bedstemor,баба
232,Eltern::N,forældre,родители
233,Vater::N,far,баща
234,Mutter::N,mor,майка
235,Sohn::N,søn,син
236,Tochter::N,datter,дъщеря
237,Bruder::N,bror,брат
238,Schwester::N,søster,сестра
239,Onkel::N,onkel,чичо
240,Onkel::N,onkel,вуйчо
241,Tante::N,tante,леля
242,Ehemann::N,ægtemand,съпруг
243,Ehefrau::N,hustru,съпруга
244,Freude::N,glæde,радост
245,Gelächter::N,latter,смях
246,Glück::N,lykke,щастие
247,Kummer::N,sorg,тъга
248,Wunsch::N,ønske,желание
249,Lust::N,lyst,желание
250,Geist::N,ånd,дух
251,Gedanke::N,tanke,мисъл
252,Gedächtnis::N,hukommelse,памет
253,Verstand::N,forstand,ум
254,Verstand::N,forstand,разум
255,Sinn::N,mening,смисъл
256,Sinn::N,betydning,смисъл
257,Grund::N,grund,причина
258,Wahrheit::N,sandhed,правда
259,Gespräch::N,samtale,разговор
260,Märchen::N,eventyr,приказка
261,Erzählung::N,fortælling,разказ
262,Nachricht::N,efterretning,вест
263,Nachricht::N,efterretning,известие
264,Neuigkeit::N,nyhed,новина
265,Name::N,navn,име
266,Rätsel::N,gåde,гатанка
267,Rede::N,tale,реч
268,Rede::N,tale,слово
269,Sprache::N,sprog,език
270,Stimme::N,stemme,глас
271,Wort::N,ord,дума
272,Zeichen::N,tegn,знак
273,Ruf::N,råb,зов
274,Lärm::N,larm,шум
275,Lärm::N,larm,глъчка
276,Laut::N,lyd,звук
277,Ton::N,tone,тон
278,Lied::N,sang,песен
279,Ruhe::N,ro,тишина
280,Ruhe::N,ro,спокойствие
281,Ruhe::N,hvile,тишина
282,Ruhe::N,hvile,спокойствие
283,Leute::N,folk,хора
284,Leute::N,mennesker,хора
285,Volk::N,folk,народ
286,Arbeit::N,arbejde,труд
287,Arbeit::N,arbejde,работа
288,Gast::N,gæst,гост
289,Geschenk::N,gave,дар
290,Geschenk::N,gave,подарък
291,Spiel::N,leg,игра
292,Gesellschaft::N,selskab,общество
293,Hilfe::N,hjælp,помощ
294,Freund::N,ven,приятел
295,Kamerad::N,kammerat,другар
296,Angelegenheit::N,sag,работа
297,Angelegenheit::N,anliggende,работа
298,Anzahl::N,antal,брой
299,Anzahl::N,antal,количество
300,Art::N,art,вид
301,Stück::N,stykke,къс
302,Stück::N,stykke,парче
303,Teil::N,del,дял
304,Teil::N,del,част
305,Hälfte::N,halvdel,половина
306,Kreis::N,cirkel,кръг
307,Kreuz::N,kors,кръст
308,Kreuz::N,kryds,кръст
309,Linie::N,linie,черта
310,Strich::N,streg,щрих
311,Strich::N,streg,черта
312,Abstand::N,afstand,дистанция
313,Abstand::N,afstand,разстояние
314,Entfernung::N,afstand,разстояние
315,Gegend::N,egn,местност
316,Platz::N,plads,място
317,Ort::N,sted,място
318,Seite::N,side,страна
319,Mitte::N,midte,среда
320,Gegenstand::N,genstand,предмет
321,Sache::N,sag,вещ
322,Rand::N,rand,ръб
323,Kante::N,kant,ръб
324,Kante::N,kant,кант
325,Ecke::N,hjørne,ъгъл
326,Spitze::N,spids,връх
327,Spitze::N,spids,острие
328,Ende::N,ende,край
329,Loch::N,hul,дупка
330,Winkel::N,vinkel,кът
331,Winkel::N,vinkel,ъгъл
332,Muster::N,mønster,десен
333,Muster::N,mønster,образец
334,Größe::N,størrelse,големина
335,Länge::N,længde,дължина
336,Höhe::N,højde,висота
337,Höhe::N,højde,височина
338,Gewicht::N,vægt,тегло
339,Gewicht::N,vægt,тежест
340,Menge::N,mængde,количество
341,Haufen::N,bunke,куп
342,Haufen::N,bunke,грамада
343,Reihe::N,række,ред
344,Reihe::N,række,редица
345,Boot::N,båd,лодка
346,Ruder::N,åre,весло
347,Ruder::N,åre,гребло
348,Schlitten::N,kælk,шейна
349,Schlitten::N,slæde,шейна
350,Ski::N,ski,ски
351,Lagerfeuer::N,lejrbål,огнище
352,Last::N,last,товар
353,Last::N,byrde,товар
354,Gang::N,gang,ход
355,Gang::N,gang,вървеж
356,Schritt::N,skridt,стъпка
357,Norden::N,nord,север
358,Süden::N,syd,юг
359,Westen::N,vest,запад
360,Osten::N,øst,изток
361,Holz::N,træ,дърво
362,Brett::N,bræt,дъска
363,Platte::N,plade,
364,Stütze::N,støtte,
365,Stange::N,stang,прът
366,Stange::N,stang,върлина
367,Stock::N,stok,прът
368,Stock::N,stok,тояга
369,Stab::N,stav,прът
370,Rohr::N,rør,цев
371,Rohr::N,rør,тръба
372,Haus::N,hus,къща
373,Heim::N,hjem,дом
374,Ofen::N,ovn,печка
375,Fußboden::N,gulv,под
376,Tisch::N,bord,маса
377,Stuhl::N,stol,стол
378,Wiege::N,vugge,люлка
379,Bett::N,seng,легло
380,Bett::N,seng,креват
381,Regal::N,reol,рафт
382,Regal::N,reol,етажерка
383,Kiste::N,kasse,кутия
384,Kiste::N,kasse,сандък
385,Fenster::N,vindue,прозорец
386,Tür::N,dør,врата
387,Tor::N,port,врата
388,Zaun::N,stakit,ограда
389,Dach::N,tag,покрив
390,Leiter::N,stige,стълба
391,Besen::N,kost,метла
392,Spaten::N,spade,лопата
393,Schaufel::N,skovl,лопата
394,Gabel::N,gaffel,вилица
395,Löffel::N,ske,лъжица
396,Messer::N,kniv,нож
397,Nagel::N,søm,гвоздей
398,Netz::N,net,мрежа
399,Haken::N,krog,кука
400,Haken::N,krog,закачалка
401,Griff::N,tag,ръчка
402,Griff::N,tag,дръжка
403,Griff::N,håndtag,ръчка
404,Griff::N,håndtag,дръжка
405,Schloss::N,lås,брава
406,Schloss::N,lås,ключалка
407,Bild::N,billede,картина
408,Figur::N,figur,фигура
409,Puppe::N,dukke,кукла
410,Beutel::N,pose,кесия
411,Bündel::N,bylt,връзка
412,Bündel::N,bundt,връзка
413,Tasche::N,taske,чанта
414,Eimer::N,spand,кофа
415,Deckel::N,låg,капак
416,Deckel::N,låg,похлупак
417,Geschirr::N,husgeråd,съдове
418,Sack::N,sæk,чувал
419,Tasse::N,kop,чаша
420,Topf::N,gryde,гърне
421,Topf::N,gryde,тенджера
422,Kessel::N,kedel,котел
423,Essen::N,måltid,ядене
424,Nahrung::N,mad,храна
425,Nahrung::N,næring,храна
426,Speise::N,ret,ястие
427,Fleisch::N,kød,месо
428,Getreide::N,korn,зърнено храни
429,Brei::N,grød,каша
430,Brot::N,brød,хляб
431,Scheibe::N,skive,резен
432,Fett::N,fedt,мазнина
433,Butter::N,smør,масло
434,Öl::N,olie,олио
435,Öl::N,olie,оливия
436,Salz::N,salt,сол
437,Suppe::N,suppe,супа
438,Honig::N,honning,мед
439,Milch::N,mælk,мляко
440,Tee::N,te,чай
441,Leder::N,skind,кожа
442,Wolle::N,uld,вълна
443,Stoff::N,stof,плат
444,Stoff::N,stof,материал
445,Nadel::N,nål,игла
446,Faden::N,tråd,конец
447,Knopf::N,knap,копче
448,Knoten::N,knude,възел
449,Farbe::N,farve,боя
450,Kleidung::N,påklædning,дрехи
451,Kleidung::N,påklædning,облекло
452,Hemd::N,skjorte,риза
453,Kragen::N,krave,яка
454,Ärmel::N,ærme,ръкав
455,Hose::N,bukser,панталони
456,Gürtel::N,bælte,пояс
457,Gürtel::N,bælte,колан
458,Mütze::N,hue,каскет
459,Mütze::N,hue,фуражка
460,Schuh::N,sko,обувка
461,Stiefel::N,støvle,ботуш
462,Ring::N,ring,пръстен
463,Band::N,bånd,лента
464,Band::N,bånd,връзка
465,Kamm::N,kam,гребен
466,Spiegel::N,spejl,огледало
467,Riemen::N,rem,каиш
468,Riemen::N,rem,ремък
469,Schnur::N,snor,връв
470,Leine::N,snor,връв
471,Leine::N,snor,въже
472,Decke::N,tæppe,покривка
473,Kissen::N,pude,възглавница
474,Tuch::N,sjaltørklæde,сукно
475,Handtuch::N,håndklæde,пешкир
476,Handtuch::N,håndklæde,кърпа за лице
477,Kraft::N,kraft,мощ
478,Kraft::N,kraft,сила
479,Stärke::N,styrke,сила
480,Gesundheit::N,sundhed,здраве
481,Krankheit::N,sygdom,болест
482,Schmerz::N,smerte,болка
483,Wunde::N,sår,рана
484,Fieber::N,feber,треска
485,Fieber::N,feber,температура
486,Arznei::N,medicin,лек
487,Arznei::N,medicin,лекарство
488,Arznei::N,lægemiddel,лек
489,Arznei::N,lægemiddel,лекарство
490,Brücke::N,bro,мост
491,Brunnen::N,brønd,чешма
492,Brunnen::N,brønd,кладенец
493,Weide::N,græsgang,паша
494,Weide::N,græsgang,пасище
495,Pfad::N,sti,пътека
496,Weg::N,vej,път
497,Straße::N,gade,шосе
498,Dorf::N,landsby,село
499,Stadt::N,by,град
500,Brief::N,brev,писмо
501,Buch::N,bog,книга
502,Buchstabe::N,bogstav,буква
503,Zeitung::N,avis,вестник
504,Leben::N,liv,живот
505,Tod::N,død,смърт
506,Grab::N,grav,гроб
507,Kirche::N,kirke,църква
508,Sünde::N,synd,грях
509,Gott::N,gud,бог
510,Arbeiter::N,arbejder,работник
511,Chef::N,chef,шеф
512,Chef::N,chef,началник
513,Meister::N,mester,майстор
514,Arzt::N,læge,лекар
515,Lehrer::N,lærer,учител
516,Geld::N,penge,пари
517,Geschäft::N,forretning,сделка
518,Laden::N,butik,дюкян
519,Laden::N,butik,магазин
520,Laden::N,forretning,дюкян
521,Laden::N,forretning,магазин
522,Preis::N,pris,цена
523,Ware::N,vare,стока
524,Nutzen::N,nytte,полза
525,Nutzen::N,nytte,облага
526,Reichtum::N,rigdom,богатство
527,Welt::N,verden,свят
528,Land::N,land,страна
529,Staat::N,stat,щат
530,Staat::N,stat,държава
531,König::N,konge,крал
532,Macht::N,magt,мощ
533,Macht::N,magt,власт
534,Grenze::N,grænse,граница
535,Krieg::N,krig,война
536,Feind::N,fjende,враг
537,Feind::N,fjende,неприятел
538,Gewalt::N,vold,сила
539,Gewalt::N,vold,насилие
540,Kampf::N,kamp,борба
541,Kampf::N,kamp,сражение
542,Bogen[Waffe]::N,bue,лък
543,Pfeil::N,pil,стрела
544,Gewehr::N,gevær,пушка
545,Fehler::N,fejl,грешка
546,Lüge::N,løgn,лъжа
547,Schaden::N,skade,повреда
548,Unglück::N,uheld,нещастие
549,Unglück::N,ulykke,нещастие
550,Schuld::N,skyld,вина
551,Alter::N,alder,възраст
552,Schluss::N,slut,край
553,Schluss::N,slutning,край
554,Zeit::N,tid,време
555,Tag::N,dag,ден
556,Morgen::N,morgen,утро
557,Morgen::N,morgen,сутрин
558,Mittag::N,middag,обед
559,Mittag::N,middag,пладне
560,Abend::N,aften,вечер
561,Nacht::N,nat,нощ
562,Woche::N,uge,седмица
563,Monat::N,måned,месец
564,Jahr::N,år,година
565,Frühling::N,forår,пролет
566,Sommer::N,sommer,лято
567,Herbst::N,efterår,есен
568,Winter::N,vinter,зима
569,Januar::N,januar,януари
570,Februar::N,februar,февруари
571,März::N,marts,март
572,April::N,april,април
573,Mai::N,maj,май
574,Juni::N,juni,юни
575,Juli::N,juli,юли
576,August::N,august,август
577,September::N,september,септември
578,Oktober::N,oktober,октомври
579,November::N,november,ноември
580,Dezember::N,december,декември
581,Montag::N,mandag,понеделник
582,Dienstag::N,tirsdag,вторник
583,Mittwoch::N,onsdag,сряда
584,Donnerstag::N,torsdag,четвъртък
585,Freitag::N,fredag,петък
586,Samstag::N,lørdag,събота
587,Sonntag::N,søndag,неделя
588,groß::A,stor,едър
589,groß::A,stor,голям
590,klein::A,lille,малък
591,klein::A,lille,дребен
592,lang::A,lang,дълъг
593,kurz::A,kort,къс
594,breit::A,bred,широк
595,schmal::A,smal,тесен
596,dicht::A,tæt,гъст
597,dick[Gegenstand]::A,tyk,дебел
598,dünn::A,tynd,тънък
599,fein::A,fin,фин
600,fein::A,fin,тънък
601,fest::A,fast,твърд
602,fest::A,fast,плътен
603,flach::A,flad,равен
604,flach::A,flad,плосък
605,glatt::A,glat,гладък
606,hart::A,hård,твърд
607,hart::A,hård,корав
608,weich::A,blød,мек
609,rund::A,rund,кръгъл
610,spitz::A,spids,островръх
611,scharf::A,skarp,остър
612,stumpf::A,sløv,тъп
613,stumpf::A,stump,тъп
614,schwer::A,tung,тежък
615,schön::A,skøn,хубав
616,schön::A,skøn,красив
617,heiß::A,hed,жарък
618,warm::A,varm,топъл
619,kalt::A,kold,студен
620,kühl::A,kølig,хладен
621,frisch::A,frisk,свеж
622,feucht::A,fugtig,влажен
623,nass::A,våd,мокър
624,trocken::A,tør,сух
625,voll::A,fuld,пълен
626,leer::A,tom,празен
627,offen::A,åben,откровен
628,geschlossen::A,lukket,закрит
629,geschlossen::A,lukket,затворен
630,sauber::A,ren,чист
631,schmutzig::A,snavset,мръсен
632,roh::A,rå,суров
633,reif::A,moden,зрял
634,lecker::A,lækker,вкусен
635,süß::A,sød,сладък
636,bitter::A,bitter,горчив
637,sauer::A,sur,кисел
638,hell::A,lys,ясен
639,hell::A,lys,светъл
640,dunkel::A,mørk,тъмен
641,schwarz::A,sort,черен
642,weiß::A,hvid,бял
643,rot::A,rød,червен
644,gelb::A,gul,жълт
645,blau::A,blå,син
646,grün::A,grøn,зелен
647,grau::A,grå,сив
648,bunt::A,broget,шарен
649,bunt::A,broget,пъстър
650,billig::A,billig,евтин
651,teuer::A,dyr,скъп
652,wertvoll::A,værdifuld,ценен
653,blind::A,blind,сляп
654,taub::A,døv,глух
655,kräftig::A,kraftig,силен
656,stark::A,stærk,здрав
657,stark::A,stærk,силен
658,schwach::A,svag,слаб
659,fett::A,fed,тлъст
660,schlank::A,slank,тънък
661,schlank::A,slank,строен
662,hübsch::A,køn,хубав
663,böse::A,ond,зъл
664,böse::A,slem,зъл
665,dumm::A,dum,глупав
666,faul::A,doven,ленив
667,faul::A,doven,мързелив
668,fleißig::A,flittig,прилежен
669,geizig::A,gerrig,скъпернически
670,klug::A,klog,умен
671,klug::A,klog,разумен
672,geschickt::A,dygtig,умел
673,geschickt::A,dygtig,сръчен
674,geschickt::A,behændig,умел
675,geschickt::A,behændig,сръчен
676,lieb::A,rar,мил
677,lieb::A,rar,драг
678,lustig::A,lystig,весел
679,sanft::A,blid,нежен
680,sanft::A,blid,кротък
681,hungrig::A,sulten,гладен
682,krank::A,syg,болен
683,nackt::A,nøgen,гол
684,traurig::A,bedrøvet,тъжен
685,traurig::A,bedrøvet,печален
686,lebendig::A,levende,жив
687,gut::A,god,добър
688,schlecht::A,dårlig,лош
689,richtig::A,rigtig,правилен
690,schlimm::A,slem,лош
691,wahr::A,sand,верен
692,wahr::A,sand,истински
693,alt::A,gammel,стар
694,alt::A,gammel,древен
695,neu::A,ny,нов
696,ehemalig::A,forhenværende,бивш
697,alt[Lebewesen]::A,gammel,стар
698,jung::A,ung,млад
699,arm::A,fattig,беден
700,reich::A,rig,богат
701,bekannt::A,kendt,познат
702,bekannt::A,kendt,известен
703,berühmt::A,berømt,почут
704,berühmt::A,berømt,известен
705,fremd::A,fremmed,чужд
706,verschieden::A,forskellig,разен
707,verschieden::A,forskellig,различен
708,nah::A,nær,близък
709,fern::A,fjern,далечен
710,linker::A,venstre,ляв
711,rechter::A,højre,прав
712,anderer::A,anden,друг
713,erster::A,første,пръв
714,erster::A,første,първи
715,zweiter::A,anden,втори
716,dritter::A,tredje,трети
717,letzter::A,sidste,последен
718,allein::ADV,alene,само
719,auf einmal::ADV,på én gang,същевременно
