,Concept_ID,it,zh
0,Auge::N,occhio,眼睛
1,Ohr::N,orecchio,耳朵
2,Nase::N,naso,鼻子
3,Mund::N,bocca,嘴
4,Zahn::N,dente,牙齿
5,Zunge::N,lingua,舌头
6,Lippe::N,labbro,嘴唇
7,Wange::N,guancia,面颊
8,Gesicht::N,viso,脸
9,Gesicht::N,faccia,脸
10,Stirn::N,fronte,额
11,Haar::N,capello,头发
12,Schnurrbart::N,baffi,髭须
13,Schnurrbart::N,mustacchi,髭须
14,Bart::N,barba,胡子
15,Kinn::N,mento,下巴
16,Kiefer[Anatomie]::N,mascella,颌
17,Kehle::N,gola,嗓子
18,Hals::N,collo,颈
19,Genick::N,nuca,后颈
20,Kopf::N,capo,头
21,Kopf::N,testa,头
22,Rücken::N,dorso,背
23,Rücken::N,schiena,背
24,Bauch::N,ventre,肚子
25,Nabel::N,ombelico,肚脐
26,Busen::N,seno,胸脯
27,Brust::N,petto,胸
28,Schulter::N,spalla,肩膀
29,Arm::N,braccio,臂膀
30,Ellenbogen::N,gomito,肘
31,Hand::N,mano,手
32,Handfläche::N,palma,手掌
33,Finger::N,dito,手指
34,Fingernagel::N,unghia,指甲
35,Nagel[Anatomie]::N,unghia,指甲
36,Zeh::N,dito del piede,脚趾
37,Fuß::N,piede,脚
38,Ferse::N,tallone,后跟
39,Ferse::N,calcagno,后跟
40,Knie::N,ginocchio,膝
41,Oberschenkel::N,fèmore,大腿
42,Bein::N,gamba,腿
43,Körper::N,corpo,身体
44,Haut::N,pelle,皮肤
45,Blut::N,sangue,血
46,Ader::N,vena,血管
47,Sehne::N,tèndine,腱
48,Knochen::N,osso,骨
49,Gehirn::N,cervello,脑
50,Herz::N,cuore,心
51,Magen::N,stòmaco,胃
52,Leber::N,fegato,肝
53,Atem::N,fiato,呼吸
54,Atem::N,respiro,呼吸
55,Hunger::N,fame,饿
56,Träne::N,làcrima,眼泪
57,Geschmack::N,gusto,味道
58,Geschmack::N,sapore,味道
59,Geruch::N,odore,气味
60,Schlaf::N,sonno,睡眠
61,Traum::N,sogno,梦
62,Himmel::N,cielo,天空
63,Sonne::N,sole,太阳
64,Mond::N,luna,月亮
65,Stern::N,stella,星
66,Luft::N,aria,空气
67,Wind::N,vento,风
68,Welle::N,onda,波
69,Wasser::N,acqua,水
70,Stein::N,sasso,石头
71,Stein::N,pietra,石头
72,Boden::N,suolo,地面
73,Boden::N,terreno,地面
74,Erde::N,terra,地
75,Staub::N,polvere,灰尘
76,Rauch::N,fumo,烟
77,Funke::N,scintilla,火花
78,Feuer::N,fuoco,火
79,Licht::N,luce,光
80,Schatten::N,ombra,影子
81,Wetter::N,tempo,天气
82,Nebel::N,nebbia,雾
83,Wolke::N,nube,云
84,Wolke::N,nùvola,云
85,Regen::N,pioggia,雨
86,Schnee::N,neve,雪
87,Eis::N,ghiaccio,冰
88,Frost::N,gelo,霜冻
89,Kälte::N,freddo,寒冷
90,Hitze::N,caldo,炎热
91,Hitze::N,calura,炎热
92,Raureif::N,brina,霜
93,Regenbogen::N,arcobaleno,虹
94,Donner::N,tuono,雷
95,Strömung::N,corrente,水流
96,Tropfen::N,goccia,滴
97,Schaum::N,spuma,泡沫
98,Schaum::N,schiuma,泡沫
99,Schmutz::N,sudiciume,赃物
100,See::N,lago,湖
101,Sumpf::N,palude,沼泽
102,Moor::N,torbiera,沼泽
103,Wiese::N,prato,草地
104,Wald::N,bosco,森林
105,Wald::N,foresta,森林
106,Hügel::N,colle,丘陵
107,Hügel::N,collina,丘陵
108,Anhöhe::N,altura,山丘
109,Berg::N,monte,山
110,Berg::N,montagna,山
111,Gipfel::N,cima,峰
112,Höhle::N,grotta,洞穴
113,Höhle::N,caverna,洞穴
114,Abhang::N,pendìo,斜坡
115,Quelle::N,sorgente,泉
116,Bach::N,ruscello,溪
117,Fluss::N,fiume,河流
118,Ufer::N,riva,岸
119,Küste::N,costa,海岸
120,Festland::N,terraferma,大陆
121,Meer::N,mare,海
122,Bucht::N,cala,海湾
123,Insel::N,ìsola,岛
124,Blume::N,fiore,花
125,Gras::N,erba,草
126,Wurzel::N,radice,根
127,Baum::N,àlbero,树
128,Stamm::N,tronco,树干
129,Rinde::N,corteccia,树皮
130,Ast::N,ramo,树枝
131,Zweig::N,ramo,树枝
132,Blatt::N,foglia,叶子
133,Birke::N,betulla,桦木
134,Kiefer[Baum]::N,pino,松树
135,Weide[Baum]::N,sàlice,柳树
136,Tanne::N,abete,冷杉
137,Horn::N,corno,角
138,Feder::N,penna,羽毛
139,Fell::N,manto,皮毛
140,Fell::N,pelame,皮毛
141,Flügel::N,ala,翅膀
142,Klaue::N,grinfia,爪子
143,Kralle::N,unghia,爪子
144,Kralle::N,artiglio,爪子
145,Schwanz::N,coda,尾巴
146,Ei::N,uovo,蛋
147,Nest::N,nido,巢
148,Bau::N,covo,穴
149,Tier::N,bestia,动物
150,Tier::N,animale,动物
151,Herde::N,gregge,群
152,Kuh::N,vacca,母牛
153,Bulle::N,toro,公牛
154,Pferd::N,cavallo,马
155,Schaf::N,pècora,羊
156,Schwein::N,porco,猪
157,Schwein::N,maiale,猪
158,Hund::N,cane,狗
159,Katze::N,gatta,猫
160,Bär::N,orso,熊
161,Eichhörnchen::N,scoiàttolo,松鼠
162,Elch::N,alce,麋鹿
163,Fuchs::N,volpe,狐狸
164,Hase::N,lepre,兔子
165,Maus::N,topo,老鼠
166,Maus::N,sorcio,老鼠
167,Wolf::N,lupo,狼
168,Vogel::N,uccello,鸟
169,Schwarm::N,stormo,群
170,Huhn::N,gallina,鸡
171,Hahn::N,gallo,公鸡
172,Gans::N,oca,鹅
173,Adler::N,àquila,鹰
174,Ente::N,ànatra,鸭
175,Eule::N,gufo,猫头鹰
176,Eule::N,civetta,猫头鹰
177,Kranich::N,gru,鹤
178,Krähe::N,cornacchia,乌鸦
179,Kuckuck::N,cuccù,布谷鸟
180,Kuckuck::N,cùculo,布谷鸟
181,Schwan::N,cigno,天鹅
182,Fisch::N,pesce,鱼
183,Barsch::N,pèrsico,鲈鱼
184,Hecht::N,luccio,狗鱼
185,Schlange[Tier]::N,serpente,蛇
186,Wurm::N,baco,蠕虫
187,Wurm::N,verme,蠕虫
188,Spinne::N,ragno,蜘蛛
189,Ameise::N,formica,蚂蚁
190,Laus::N,pidocchio,虱子
191,Mücke::N,zanzara,蚊子
192,Fliege::N,mosca,苍蝇
193,Schmetterling::N,farfalla,蝴蝶
194,Beere::N,bacca,将果
195,Apfel::N,mela,苹果
196,Pilz::N,fungo,蘑菇
197,Zwiebel::N,cipolla,洋葱
198,Saat::N,semente,种子
199,Korn::N,grano,谷粒
200,Heu::N,fieno,干草
201,Schale::N,buccia,壳
202,Grube::N,cava,坑
203,Grube::N,fossa,坑
204,Falle::N,tràppola,圈套
205,Schlinge::N,laccio,活扣
206,Spur::N,traccia,踪迹
207,Asche::N,cenere,灰烬
208,Dreck::N,fango,污垢
209,Eisen::N,ferro,铁
210,Gold::N,oro,金子
211,Silber::N,argento,银
212,Kohle::N,carbone,煤
213,Glas::N,vetro,玻璃
214,Lehm::N,argilla,粘土
215,Sand::N,arena,沙
216,Sand::N,sabbia,沙
217,Mensch::N,uomo,人
218,Mensch::N,èssere umano,人
219,Mann::N,uomo,男子
220,Frau::N,donna,妇女
221,Kind::N,bambino,小孩
222,Junge::N,ragazzo,男孩
223,Mädchen::N,ragazza,女孩
224,Familie::N,famiglia,家庭
225,Großvater::N,nonno,祖父
226,Großmutter::N,nonna,祖母
227,Eltern::N,genitori,父母
228,Vater::N,padre,父亲
229,Mutter::N,madre,母亲
230,Sohn::N,figlio,儿子
231,Tochter::N,figlia,女儿
232,Bruder::N,fratello,兄弟
233,Schwester::N,sorella,姐妹
234,Onkel::N,zio,伯父
235,Tante::N,zia,阿姨
236,Ehemann::N,marito,丈夫
237,Ehefrau::N,moglie,妻子
238,Freude::N,gioia,愉快
239,Freude::N,piacere,愉快
240,Gelächter::N,risata,大笑
241,Glück::N,felicità,运气
242,Kummer::N,afflizione,苦恼
243,Wunsch::N,desiderio,愿望
244,Lust::N,voglia,乐趣
245,Geist::N,mente,精神
246,Geist::N,spìrito,精神
247,Gedanke::N,idea,思想
248,Gedanke::N,pensiero,思想
249,Gedächtnis::N,memoria,记性
250,Verstand::N,intelletto,理智
251,Sinn::N,senso,感觉
252,Sinn::N,significato,感觉
253,Grund::N,causa,理由
254,Grund::N,motivo,理由
255,Grund::N,ragione,理由
256,Wahrheit::N,verità,真理
257,Gespräch::N,discorso,谈话
258,Gespräch::N,conversazione,谈话
259,Märchen::N,fiaba,童话
260,Märchen::N,fàvola,童话
261,Erzählung::N,racconto,故事
262,Erzählung::N,narrazione,故事
263,Nachricht::N,messaggio,消息
264,Neuigkeit::N,notizia,新闻
265,Name::N,nome,名字
266,Rätsel::N,indovinello,谜语
267,Rede::N,discorso,讲话
268,Sprache::N,lingua,语言
269,Sprache::N,linguaggio,语言
270,Stimme::N,voce,声音
271,Wort::N,parola,词
272,Zeichen::N,segno,标记
273,Zeichen::N,segnale,标记
274,Ruf::N,chiamata,呼喊
275,Lärm::N,chiasso,噪音
276,Lärm::N,strèpito,噪音
277,Laut::N,suono,响声
278,Ton::N,tono,声音
279,Lied::N,canto,歌曲
280,Lied::N,canzone,歌曲
281,Ruhe::N,calma,安静
282,Ruhe::N,tranquillità,安静
283,Leute::N,gente,人们
284,Volk::N,pòpolo,人民
285,Arbeit::N,lavoro,劳动
286,Gast::N,òspite,客人
287,Gast::N,invitato,客人
288,Geschenk::N,regalo,礼物
289,Spiel::N,gioco,游戏
290,Gesellschaft::N,compagnìa,陪同
291,Hilfe::N,aiuto,帮助
292,Hilfe::N,soccorso,帮助
293,Freund::N,amico,朋友
294,Kamerad::N,camerata,同志
295,Angelegenheit::N,affare,事情
296,Angelegenheit::N,faccenda,事情
297,Anzahl::N,nùmero,数目
298,Anzahl::N,quantità,数目
299,Art::N,tipo,种类
300,Art::N,specie,种类
301,Stück::N,pezzo,块
302,Teil::N,parte,部分
303,Hälfte::N,metà,一半
304,Kreis::N,cìrcolo,圆
305,Kreuz::N,croce,十字架
306,Linie::N,lìnea,线条
307,Strich::N,tratto,划
308,Abstand::N,distanza,距离
309,Entfernung::N,distanza,距离
310,Entfernung::N,lontananza,距离
311,Gegend::N,regione,地区
312,Platz::N,posto,场所
313,Platz::N,spazio,场所
314,Ort::N,luogo,地点
315,Ort::N,località,地点
316,Seite::N,lato,面
317,Seite::N,parte,面
318,Mitte::N,mezzo,中间
319,Mitte::N,centro,中间
320,Gegenstand::N,oggetto,物品
321,Sache::N,cosa,物
322,Rand::N,orlo,边
323,Rand::N,bordo,边
324,Kante::N,spìgolo,棱
325,Ecke::N,canto,角
326,Spitze::N,punta,尖
327,Ende::N,capo,结尾
328,Ende::N,estremità,结尾
329,Loch::N,buco,洞
330,Winkel::N,àngolo,角度
331,Muster::N,disegno,模型
332,Größe::N,taglia,大小
333,Größe::N,grandezza,大小
334,Länge::N,lunghezza,长度
335,Höhe::N,altezza,高度
336,Gewicht::N,peso,重量
337,Menge::N,quantità,数量
338,Haufen::N,cùmulo,堆
339,Haufen::N,mucchio,堆
340,Reihe::N,fila,行
341,Boot::N,barca,小船
342,Boot::N,battello,小船
343,Ruder::N,remo,奖
344,Schlitten::N,slitta,雪橇
345,Ski::N,sci,雪板
346,Lagerfeuer::N,falò,营火
347,Lagerfeuer::N,fuoco di bivacco,营火
348,Last::N,càrico,负担
349,Gang::N,andata,行走
350,Schritt::N,passo,步伐
351,Norden::N,nord,北
352,Norden::N,settentrione,北
353,Süden::N,sud,南
354,Süden::N,meridione,南
355,Westen::N,òvest,西
356,Westen::N,occidente,西
357,Osten::N,est,东
358,Osten::N,oriente,东
359,Holz::N,legno,木材
360,Brett::N,asse,木板
361,Brett::N,tàvola,木板
362,Platte::N,lastra,平板
363,Platte::N,piastra,平板
364,Stütze::N,supporto,支架
365,Stange::N,sbarra,杆
366,Stange::N,pèrtica,杆
367,Stock::N,verga,棒
368,Stock::N,bastone,棒
369,Stock::N,bacchetta,棒
370,Stab::N,asta,棍
371,Rohr::N,tubo,管子
372,Haus::N,casa,房屋
373,Heim::N,casa,家
374,Ofen::N,stufa,炉子
375,Fußboden::N,pavimento,地板
376,Tisch::N,tàvolo,桌子
377,Stuhl::N,sedia,椅子
378,Wiege::N,culla,摇蓝
379,Bett::N,letto,床
380,Regal::N,scaffale,架子
381,Kiste::N,cassa,箱子
382,Fenster::N,finestra,窗户
383,Tür::N,porta,门
384,Tor::N,portone,大门
385,Zaun::N,recinto,篱笆
386,Dach::N,tetto,屋顶
