,Concept_ID,ml,ta
0,Auge::N,കണ്ണ്,கண்
1,Ohr::N,ചെവി,காது
2,Nase::N,മൂക്ക്,மூக்கு
3,Mund::N,വായ,வாய்
4,Zahn::N,പല്ല്,பல்
5,Zunge::N,നാക്ക്,நாக்கு
6,Lippe::N,ചുണ്ട്,உதடு
7,Wange::N,കവിൾത്തടം,கன்னம்
8,Gesicht::N,മുഖം,முகம்
9,Stirn::N,നെറ്റി,முன்னெற்றி
10,Haar::N,തലമുടി,முடி
11,Schnurrbart::N,മീശ,மீசை
12,Bart::N,താടിരോമം,தாடி
13,Kinn::N,താടി,கீழதாடை
14,Kiefer[Anatomie]::N,താടിയെല്ല്,தாடை
15,Kehle::N,കണ്ഠനാളം,தொண்டை
16,Hals::N,കഴുത്ത്,கழுத்து
17,Genick::N,പിടലി,கழுத்து
18,Kopf::N,തല,தலை
19,Rücken::N,മുതുക്,முதுகு
20,Bauch::N,നയറ്,வயிறு
21,Nabel::N,നാഭി,தொப்புள்
22,Busen::N,സ്തനം,மார்பகம்
23,Brust::N,സ്തനം, மார்பு
24,Schulter::N,തോൾ,தோள்பட்டை
25,Arm::N,കൈ,கரம்
26,Ellenbogen::N,കൈമുട്ട്,முழங்கை
27,Hand::N,കൈ,கை
28,Handfläche::N,ഉള്ളം കൈ,உள்ளங்கை
29,Finger::N,വിരൽ,விரல்
30,Fingernagel::N,നഖം,விரல் நகம்
31,Nagel[Anatomie]::N,നഖം,நகம்
32,Zeh::N,കാൽവിരൽ,கால்விரல்
33,Fuß::N,കാൽപ്പാദം,கால்
34,Ferse::N,ഉപ്പൂറ്റി,குதிகால்
35,Knie::N,കാൽമുട്ട്,முழங்கால்
36,Oberschenkel::N,തുട,தொடை
37,Bein::N,കാൽ,கால்
38,Körper::N,ശരീരം,உடல்
39,Haut::N,ചർമ്മം,சருமம்
40,Blut::N,രക്തം,இரத்தம்
41,Ader::N,ഞരമ്പ്,நாளம்
42,Sehne::N,സ്നായു,தசைநார்
43,Knochen::N,അസ്ഥി,எலுமபு
44,Gehirn::N,തലച്ചോറ്,மூனை
45,Herz::N,ഹൃദയം,இதயம
46,Magen::N,വയർ,வயிறு
47,Leber::N,കരൾ,கல்லீரல்
48,Atem::N,ശ്വാസം,மூச்சு
49,Hunger::N,വിശപ്പ്,பசி
50,Träne::N,കണ്ണീർ,கண்ணீர்
51,Geschmack::N,രുചി,நறுமணம்
52,Geruch::N,ഗന്ധം,துர்நாற்றம்
53,Schlaf::N,ഉറകും,தூக்கம்
54,Traum::N,സ്വപ്നം,கனவு
55,Himmel::N,ആകാശം,வானம்
56,Sonne::N,സൂര്യൻ,சூரியன்
57,Mond::N,ചന്ദ്രൻ,சந்திரன்
58,Stern::N,നക്ഷത്രം,நட்சத்திரம்
59,Luft::N,കാറ്റ്,காறறு
60,Wind::N,കാറ്റ്,காற்று
61,Welle::N,തിരമാല,அலை
62,Wasser::N,വെള്ളം,நீர்
63,Stein::N,ശില,கல்
64,Stein::N,കല്ല്,கல்
65,Boden::N,തറ,தரை
66,Boden::N,നിലം,தரை
67,Erde::N,മണ്ണ്,மண்
68,Staub::N,പൊടി,தூசி
69,Rauch::N,പുക,புகை
