,Concept_ID,ka,ta
0,Auge::N,თვალი,கண்
1,Ohr::N,ყური,காது
2,Nase::N,ცხვირი,மூக்கு
3,Mund::N,პირი,வாய்
4,Zahn::N,კბილი,பல்
5,Zunge::N,ენა,நாக்கு
6,Lippe::N,ბაგე,உதடு
7,Wange::N,ლოყა,கன்னம்
8,Gesicht::N,სახე,முகம்
9,Stirn::N,შუბლი,முன்னெற்றி
10,Haar::N,თმა,முடி
11,Schnurrbart::N,ულვაში,மீசை
12,Bart::N,წვერი,தாடி
13,Kinn::N,ნიკაპი,கீழதாடை
14,Kiefer[Anatomie]::N,ყბა,தாடை
15,Kehle::N,ყელი,தொண்டை
16,Hals::N,ყელი,கழுத்து
17,Hals::N,კისერი,கழுத்து
18,Genick::N,კეფა,கழுத்து
19,Kopf::N,თავი,தலை
20,Rücken::N,ზურგი,முதுகு
21,Bauch::N,მუცელი,வயிறு
22,Nabel::N,ჭიპი,தொப்புள்
23,Busen::N,ძუძუ,மார்பகம்
24,Brust::N,მკერდი, மார்பு
25,Schulter::N,მხარი,தோள்பட்டை
26,Schulter::N,მკლავი,தோள்பட்டை
27,Arm::N,ხელი,கரம்
28,Ellenbogen::N,იდაყვი,முழங்கை
29,Hand::N,ხელი,கை
30,Handfläche::N,ნები,உள்ளங்கை
31,Handfläche::N,ხელისგული,உள்ளங்கை
32,Finger::N,თითი,விரல்
33,Fingernagel::N,ფრჩხილი,விரல் நகம்
34,Nagel[Anatomie]::N,ფრჩხილი,நகம்
35,Zeh::N,ფეხის თითი,கால்விரல்
36,Fuß::N,ტერფი,கால்
37,Fuß::N,ფეხისგული,கால்
38,Ferse::N,ქუსლი,குதிகால்
39,Knie::N,მუხლი,முழங்கால்
40,Oberschenkel::N,ბარძაყი,தொடை
41,Bein::N,ფეხი,கால்
42,Körper::N,ტანი,உடல்
43,Körper::N,სხეული,உடல்
44,Haut::N,კანი,சருமம்
45,Blut::N,სისხლი,இரத்தம்
46,Ader::N,ძარღვი,நாளம்
47,Sehne::N,მყესი,தசைநார்
48,Knochen::N,ძვალი,எலுமபு
49,Gehirn::N,ტვინი,மூனை
50,Herz::N,გული,இதயம
51,Magen::N,კუჭი,வயிறு
52,Leber::N,ღვიძლი,கல்லீரல்
53,Atem::N,სუნთქვა,மூச்சு
54,Hunger::N,შიმშილი,பசி
55,Träne::N,ცრემლი,கண்ணீர்
56,Geschmack::N,გემო,நறுமணம்
57,Geruch::N,სუნი,துர்நாற்றம்
58,Schlaf::N,ძილი,தூக்கம்
59,Traum::N,სიზმარი,கனவு
60,Himmel::N,ცა,வானம்
61,Sonne::N,მზე,சூரியன்
62,Mond::N,მთვარე,சந்திரன்
63,Stern::N,ვარსკვლავი,நட்சத்திரம்
64,Luft::N,ჰაერი,காறறு
65,Wind::N,ქარი,காற்று
66,Welle::N,ტალღა,அலை
67,Wasser::N,წყალი,நீர்
68,Stein::N,ქვა,கல்
69,Boden::N,მიწა,தரை
70,Erde::N,ნიადაგი,மண்
71,Staub::N,მტვერი,தூசி
72,Rauch::N,ბოლი,புகை
73,Rauch::N,კვამლი,புகை
74,Funke::N,ნაკვესი,தீப்பொறி
75,Feuer::N,ცეცხლი,தீ
