,Concept_ID,ar,eu
0,Auge::N,عين,begi
1,Ohr::N,أذن,belarri
2,Nase::N,أنف,sudur
3,Mund::N,فم,aho
4,Zahn::N,سن,hortz
5,Zunge::N,لسان,mihi
6,Lippe::N,شفة,ezpain
7,Wange::N,خد,masail
8,Wange::N,وجنة,masail
9,Gesicht::N,وجه,aurpegi
10,Stirn::N,جبين,bekoki
11,Haar::N,شعر,ile
12,Haar::N,شعر,bilo
13,Schnurrbart::N,شارب,bibote
14,Schnurrbart::N,شارب,sudurpeko
15,Bart::N,لحية,bizar
16,Kinn::N,ذقن,kokots
17,Kiefer[Anatomie]::N,فك,masailezur
18,Kehle::N,حلق,eztarri
19,Hals::N,عنق,sama
20,Hals::N,رقبة,sama
21,Genick::N,قفا,garondo
22,Kopf::N,رأس,buru
23,Rücken::N,ظهر,bizkar
24,Bauch::N,بطن,sabel
25,Nabel::N,سرة,zilbor
26,Busen::N,ثدي,titi
27,Busen::N,ثدي,ugatz
28,Brust::N,صدر,bular
29,Schulter::N,كتف,besaburu
30,Arm::N,ذراع,beso
31,Ellenbogen::N,كوع,ukondo
32,Hand::N,يد,esku
33,Handfläche::N,كف,ahur
34,Finger::N,إصبع,hatz
35,Fingernagel::N,ظفر,azazkal
36,Nagel[Anatomie]::N,ظفر,azazkal
37,Zeh::N,إصبع القدم,behatz
38,Fuß::N,قدم,oin
39,Ferse::N,كعب,orpo
40,Ferse::N,كعب,oinburu
41,Knie::N,ركبة,belaun
42,Oberschenkel::N,فخذ,izter
43,Bein::N,ساق,zango
44,Körper::N,جسم,soin
45,Haut::N,بشرة,azal
46,Blut::N,دم,odol
47,Ader::N,عرق,zain
48,Sehne::N,طنب,gihar-zain
49,Knochen::N,عظم,hezur
50,Gehirn::N,دماغ,garun
51,Gehirn::N,دماغ,burmuin
52,Herz::N,قلب,bihotz
53,Magen::N,معدة,urdail
54,Leber::N,كبد,gibel
55,Atem::N,نفس,hats
56,Atem::N,نفس,arnasa
57,Hunger::N,جوع,gose
58,Träne::N,دمعة,malko
59,Geschmack::N,طعم,dasta
60,Geschmack::N,مذاق,dasta
61,Geruch::N,رائحة,usain
62,Schlaf::N,نوم,lo
63,Schlaf::N,منام,lo
64,Traum::N,حلم,amets
65,Himmel::N,سماء,zeru
66,Sonne::N,شمس,eguzki
67,Mond::N,قمر,ilargi
68,Stern::N,نجم,izar
69,Stern::N,كوكب,izar
70,Luft::N,هواء,aire
71,Wind::N,ريح,haize
72,Welle::N,موجة,uhin
73,Welle::N,موجة,olatu
74,Wasser::N,ماء,ur
75,Stein::N,حجر,harri
76,Boden::N,تراب,lur
77,Boden::N,تراب,zoru
78,Erde::N,أرض,lur
79,Staub::N,غبار,hauts
80,Rauch::N,دخان,ke
81,Funke::N,شرارة,zirta
82,Funke::N,شرارة,txinparta
83,Feuer::N,نار,su
84,Licht::N,نور,argi
85,Licht::N,ضوء,argi
86,Schatten::N,ظل,itzal
87,Schatten::N,ظل,geriza
88,Schatten::N,فيء,itzal
89,Schatten::N,فيء,geriza
90,Wetter::N,جو,eguraldi
91,Wetter::N,طقس,eguraldi
92,Nebel::N,ضباب,laino
93,Wolke::N,غيمة,hodei
94,Wolke::N,سحابة,hodei
95,Regen::N,مطر,euri
96,Schnee::N,ثلج,elur
97,Eis::N,جليد,horma
98,Frost::N,صقيع,izotzaldi
99,Kälte::N,برد,hotz
100,Hitze::N,حر,bero
101,Hitze::N,حرارة,bero
102,Raureif::N,صقيع,antzigar
103,Regenbogen::N,قوس قزح,ostadar
104,Regenbogen::N,قوس قزح,ortzadar
105,Donner::N,رعد,ostots
106,Donner::N,رعد,ihurtzuri
107,Strömung::N,تيار,laster
108,Tropfen::N,قطرة,xorta
109,Schaum::N,زبد,bits
110,Schaum::N,رغوة,bits
111,Schmutz::N,وسخ,lohi
112,Schmutz::N,وسخ,zikin
113,See::N,بحيرة,laku
114,See::N,بحيرة,aintzira
115,Sumpf::N,مستنقع,zingira
116,Moor::N,مستنقع,zohikaztegi
117,Wiese::N,مرج,larre
118,Wiese::N,مرج,belardi
119,Wald::N,غابة,baso
120,Wald::N,غابة,oihan
121,Hügel::N,تل,muino
122,Hügel::N,تل,pentoka
123,Anhöhe::N,تل,garai
124,Anhöhe::N,تل,goragune
125,Berg::N,جبل,mendi
126,Gipfel::N,قمة,gain
127,Gipfel::N,قمة,tontor
128,Höhle::N,كهف,kobazulo
129,Abhang::N,منحدر,aldapa
130,Quelle::N,منبع,iturri
131,Quelle::N,منبع,iturbegi
132,Bach::N,مجرى,lats
133,Bach::N,مجرى,erreka
134,Fluss::N,نهر,ibai
135,Fluss::N,نهر,uhaitz
136,Ufer::N,ضفة,bazter
137,Küste::N,ساحل,itsasalde
138,Festland::N,بر,lehor
139,Meer::N,بحر,itsaso
140,Bucht::N,خليج,golko
141,Insel::N,جزيرة,irla
142,Insel::N,جزيرة,uharte
143,Blume::N,زهرة,lili
144,Gras::N,حشيش,belar
145,Wurzel::N,أصل,zuztar
146,Wurzel::N,أصل,sustrai
147,Baum::N,شجرة,zuhaitz
148,Stamm::N,جذع,enbor
149,Rinde::N,قشرة,azal
150,Ast::N,فرع,adar
151,Zweig::N,غصن,abar
152,Blatt::N,ورقة,hosto
153,Birke::N,قضبان,urki
154,Kiefer[Baum]::N,صنوبرة,ler
155,Weide[Baum]::N,صفصاف,zume
156,Weide[Baum]::N,صفصاف,sahats
157,Tanne::N,شوح,izei
158,Tanne::N,تبوب,izei
159,Horn::N,قرن,adar
160,Feder::N,ريشة,luma
161,Feder::N,ريشة,hegaki
162,Fell::N,فرو,ile
163,Fell::N,فرو,larru
164,Flügel::N,جناح,hego
165,Klaue::N,مخلب,atzapar
166,Kralle::N,مخلب,erpe
167,Kralle::N,مخلب,atzapar
168,Schwanz::N,ذيل,isats
169,Schwanz::N,ذيل,buztan
170,Ei::N,بيض,arrautza
171,Nest::N,عش,habia
172,Bau::N,جحر,ohantze
173,Tier::N,حيوان,abere
174,Tier::N,حيوان,piztia
175,Herde::N,قطيع,saldo
176,Herde::N,قطيع,abere talde
177,Kuh::N,بقرة,behi
