,Concept_ID,ru,ku
0,Auge::N,глаз,çav
1,Ohr::N,ухо,guh
2,Nase::N,нос,bêvil
3,Mund::N,рот,dev
4,Zahn::N,зуб,didan
5,Zunge::N,язык,ziman
6,Lippe::N,губа,lêv
7,Wange::N,щека,dêm
8,Wange::N,щека,hinarik
9,Gesicht::N,лицо,rû
10,Stirn::N,лоб,enî
11,Haar::N,волос,por
12,Haar::N,волосы,por
13,Schnurrbart::N,ус,simbêl
14,Schnurrbart::N,усы,simbêl
15,Bart::N,борода,rih
16,Kinn::N,подбородок,zenî
17,Kiefer[Anatomie]::N,челюсть,arguşk
18,Kehle::N,горло,qirik
19,Hals::N,шея,stû
20,Hals::N,шея,qirik
21,Genick::N,затылок,stû
22,Kopf::N,голова,serî
23,Rücken::N,спина,pişt
24,Bauch::N,живот,ûr
25,Bauch::N,живот,zik
26,Nabel::N,пупок,navik
27,Busen::N,женская грудь,sîng
28,Brust::N,грудь,sîng
29,Schulter::N,плечо,mil
30,Arm::N,рука,çepil
31,Ellenbogen::N,локоть,enîşk
32,Hand::N,кисть,dest
33,Handfläche::N,ладонь,kefadest
34,Finger::N,палец,tilî
35,Fingernagel::N,ноготь,neynuk
36,Nagel[Anatomie]::N,ноготь,bizmar
37,Zeh::N,палец,tilî linga
38,Fuß::N,ступня,ling
39,Ferse::N,пята,pahnî
40,Ferse::N,пятка,pahnî
41,Knie::N,колено,kabok
42,Oberschenkel::N,бедро,rahn
43,Bein::N,нога,çip
44,Körper::N,тело,laş
45,Körper::N,тело,gowde
46,Haut::N,кожа,çerm
47,Blut::N,кровь,xwîn
48,Ader::N,вена,reh
49,Ader::N,сосуд,reh
50,Sehne::N,жила,reh
51,Sehne::N,тетива,reh
52,Sehne::N,сухожилие,reh
53,Knochen::N,кость,hestî
54,Gehirn::N,мозг,mêjî
55,Herz::N,сердце,dil
56,Magen::N,желудок,navêş
57,Leber::N,печень,kezeb
58,Atem::N,дух,hilm
59,Atem::N,дыхание,hilm
60,Hunger::N,голод,birçîtî
61,Träne::N,слеза,hêstir
62,Geschmack::N,вкус,tam
63,Geruch::N,запах,bêhn
64,Schlaf::N,сон,xew
65,Traum::N,сновидение,xewn
66,Himmel::N,небо,ezman
