,Concept_ID,cy,zh
0,Auge::N,llygad,眼睛
1,Ohr::N,clust,耳朵
2,Nase::N,trwyn,鼻子
3,Mund::N,ceg,嘴
4,Zahn::N,dant,牙齿
5,Zunge::N,tafod,舌头
6,Lippe::N,gwefus,嘴唇
7,Wange::N,boch,面颊
8,Gesicht::N,wyneb,脸
9,Stirn::N,talcen,额
10,Haar::N,blew,头发
11,Schnurrbart::N,mwstas,髭须
12,Bart::N,barf,胡子
13,Kinn::N,gên,下巴
14,Kiefer[Anatomie]::N,gên,颌
15,Kehle::N,gwddf,嗓子
16,Hals::N,gwddf,颈
17,Genick::N,gwar,后颈
18,Genick::N,gwegil,后颈
19,Kopf::N,pen,头
20,Rücken::N,cefn,背
21,Bauch::N,bol,肚子
22,Nabel::N,bogail,肚脐
23,Busen::N,bron,胸脯
24,Brust::N,brest,胸
25,Schulter::N,ysgwydd,肩膀
26,Arm::N,braich,臂膀
27,Ellenbogen::N,penelin,肘
28,Hand::N,llaw,手
29,Handfläche::N,palf,手掌
30,Finger::N,bys,手指
31,Fingernagel::N,ewin,指甲
32,Nagel[Anatomie]::N,ewin,指甲
33,Zeh::N,bys troed,脚趾
34,Fuß::N,troed,脚
35,Ferse::N,sawdl,后跟
36,Knie::N,glin,膝
37,Oberschenkel::N,clun,大腿
38,Bein::N,coes,腿
39,Körper::N,corff,身体
40,Haut::N,croen,皮肤
41,Blut::N,gwaed,血
42,Ader::N,gwythïen,血管
43,Sehne::N,gewyn,腱
44,Knochen::N,asgwrn,骨
45,Gehirn::N,ymennydd,脑
46,Herz::N,calon,心
47,Magen::N,cylla,胃
48,Magen::N,stumog,胃
49,Leber::N,iau,肝
50,Atem::N,anadl,呼吸
51,Hunger::N,newyn,饿
52,Träne::N,deigryn,眼泪
53,Geschmack::N,cyflas,味道
54,Geruch::N,aroglau,气味
55,Schlaf::N,cwsg,睡眠
56,Traum::N,breuddwyd,梦
57,Himmel::N,awyr,天空
58,Sonne::N,haul,太阳
59,Mond::N,lleuad,月亮
60,Stern::N,seren,星
61,Luft::N,awyr,空气
62,Wind::N,gwynt,风
63,Welle::N,ton,波
64,Wasser::N,dŵr,水
65,Stein::N,carreg,石头
66,Boden::N,llawr,地面
67,Erde::N,pridd,地
68,Staub::N,llwch,灰尘
69,Rauch::N,mwg,烟
70,Funke::N,gwreichioni,火花
71,Feuer::N,tân,火
72,Licht::N,golau,光
73,Schatten::N,cysgod,影子
74,Wetter::N,tywydd,天气
75,Nebel::N,niwl,雾
76,Wolke::N,cwmwl,云
77,Regen::N,glaw,雨
78,Schnee::N,ôd,雪
79,Schnee::N,eira,雪
80,Eis::N,iâ,冰
81,Frost::N,rhew,霜冻
82,Kälte::N,oerni,寒冷
83,Kälte::N,annwyd,寒冷
