,Concept_ID,az,udm
0,Auge::N,göz,син
1,Ohr::N,qulaq,пель
2,Nase::N,burun,ныр
3,Mund::N,ağız,ым
4,Zahn::N,diş,пинь
5,Zunge::N,dil,кыл
6,Lippe::N,dodaq,ымдур
7,Wange::N,yanaq,бам
8,Gesicht::N,üz,ымныр
9,Stirn::N,alın,кымес
10,Haar::N,saç,йырси
11,Schnurrbart::N,bığ,мыйык
12,Bart::N,saqqal,туш
13,Kinn::N,çənə,ангес
14,Kiefer[Anatomie]::N,çənə,ан
15,Kiefer[Anatomie]::N,çənə,анлы
16,Kehle::N,boğaz,гульым
17,Hals::N,boyun,чырты
18,Genick::N,ənsə,йырбер
19,Kopf::N,baş,йыр
20,Rücken::N,bel,мыш
21,Bauch::N,qarın,кӧт
22,Nabel::N,göbək,гогы
23,Busen::N,məmə,ноны
24,Brust::N,döş,мӧля
25,Schulter::N,çiyin,пельпум
26,Arm::N,qol,суй
27,Ellenbogen::N,dirsək,гырпум
28,Hand::N,əl,ки
29,Handfläche::N,ovuc,ки пыдэс
30,Handfläche::N,ovuc,кырым пыдэс
31,Finger::N,barmaq,чиньы
32,Fingernagel::N,barmaq dırnağı,гижы
33,Fingernagel::N,barmaq dırnağı,гиждӥнь
34,Nagel[Anatomie]::N,dırnak,гижы
35,Zeh::N,ayaq barmağı,пыдчиньы
36,Fuß::N,ayaq,пыд
37,Ferse::N,daban,пыдбер
38,Knie::N,diz,пыдес
39,Oberschenkel::N,bud,макес
40,Bein::N,qıç,пыд
41,Körper::N,əndam,мугор
42,Körper::N,əndam,вылтыр
43,Haut::N,dəri,ку
44,Blut::N,qan,вир
45,Ader::N,damar,вирсэр
46,Sehne::N,vətər,вуж
47,Knochen::N,sümük,лы
48,Gehirn::N,beyin,вим
49,Herz::N,ürək,сюлэм
50,Magen::N,mədə,ӝуш
51,Leber::N,qara ciyər,мус
52,Atem::N,nəfəs,лул
53,Atem::N,nəfəs,шокан
54,Hunger::N,aclıq,кӧтсюман
55,Träne::N,göz yaşı,синкыли
56,Geschmack::N,tam,шӧм
57,Geschmack::N,ləzzət,шӧм
58,Geruch::N,qoxu,зын
59,Schlaf::N,yuxu,вӧт
60,Traum::N,röya,уйвӧт
61,Himmel::N,göy,ин
62,Himmel::N,səma,ин
63,Sonne::N,günəş,шунды
64,Mond::N,ay,толэзь
65,Stern::N,ulduz,кизили
66,Luft::N,hava,омыр
67,Wind::N,yel,тӧл
68,Wind::N,külək,тӧл
69,Welle::N,dalğa,тулкым
70,Wasser::N,su,ву
71,Stein::N,daş,из
72,Boden::N,yer,музъем
73,Boden::N,zəmin,музъем
74,Erde::N,yer torpaq,му
75,Staub::N,toz,пыль
76,Rauch::N,tüstü,ӵын
77,Funke::N,qığılcım,гизьы
78,Feuer::N,od,тыл
79,Licht::N,işıq,тыл
80,Schatten::N,kölgə,вужер
81,Wetter::N,hava,куазь
82,Nebel::N,duman,бус
83,Wolke::N,bulud,пилем
84,Regen::N,yağış,зор
85,Regen::N,yağmur,зор
86,Schnee::N,qar,лымы
87,Eis::N,buz,йӧ
88,Frost::N,ayaz,кезьыт
89,Kälte::N,soyuq,кезьыт
90,Hitze::N,coşğunluq,пӧсь
91,Raureif::N,qırov,гӧр
92,Regenbogen::N,göy qurşağı,вуюись
93,Donner::N,göy gurultusu,гудыри
94,Strömung::N,axın,бызён
95,Tropfen::N,damcı,шапык
96,Schaum::N,köpük,шукы
97,Schmutz::N,çamır,нӧд
98,Schmutz::N,çamır,дэри
99,See::N,göl,ты
100,Sumpf::N,bataqlıq,нюр
101,Moor::N,bataqlıq,нюр
102,Wiese::N,çəmən,возь
103,Wiese::N,çəmən,возьвыл
104,Wald::N,meşə,сик
105,Wald::N,meşə,нюлэс
106,Hügel::N,təpə,выр
107,Hügel::N,təpə,вырйыл
108,Anhöhe::N,təpə,выр
109,Anhöhe::N,təpə,вырйыл
110,Berg::N,dağ,гурезь
111,Gipfel::N,zirvə,йыл
112,Höhle::N,mağara,гу
113,Abhang::N,yamac,бам
114,Quelle::N,bulaq,ошмес
115,Bach::N,kiçik çay,пичи шур
116,Fluss::N,çay,шур
117,Ufer::N,kənar,ярдур
118,Küste::N,sahil,вудур
119,Festland::N,materik,мувыр
120,Meer::N,dəniz,зарезь
121,Bucht::N,körfəz,вукож
122,Insel::N,ada,вумуӵ
123,Insel::N,ada,шормуӵ
124,Blume::N,çiçək,сяська
125,Gras::N,ot,турын
126,Wurzel::N,kök,выжы
127,Baum::N,ağac,пу
128,Stamm::N,gövdə,модос
129,Rinde::N,qabıq,сул
130,Ast::N,şax,ул
131,Zweig::N,budaq,вай
132,Blatt::N,yarpaq,куар
133,Birke::N,tozağacı,кызьпу
134,Kiefer[Baum]::N,şam,пужым
135,Weide[Baum]::N,söyüd,бадьпу
136,Tanne::N,küknar,кыз
137,Horn::N,buynuz,сюр
138,Feder::N,tük,тылы
139,Feder::N,lələk,тылы
140,Fell::N,xəz,ку
141,Flügel::N,qanad,бурд
142,Klaue::N,pəncə,гижы
143,Kralle::N,dırnaq,пыд
144,Schwanz::N,quyruq,быж
145,Ei::N,yumurta,пуз
146,Ei::N,yumurta,кукей
147,Nest::N,yuva,кар
148,Nest::N,yuva,пузкар
149,Bau::N,yuva,кар
150,Bau::N,yuva,гу
151,Tier::N,heyvan,пӧйшур
152,Herde::N,sürü,уллё
153,Kuh::N,inək,скал
154,Bulle::N,öküz,ош
155,Bulle::N,öküz,пороз
156,Pferd::N,at,вал
157,Schaf::N,qoyun,ыж
158,Schwein::N,donuz,парсь
159,Hund::N,it,пуны
160,Hund::N,köpək,пуны
161,Katze::N,pişik,коӵыш
162,Bär::N,ayı,гондыр
163,Eichhörnchen::N,dələ,коньы
164,Elch::N,sığın,койык
165,Fuchs::N,tülkü,ӟичы
166,Hase::N,dovşan,кеч
167,Maus::N,siçan,шыр
168,Wolf::N,qurd,кион
169,Vogel::N,quş,тылобурдо
170,Schwarm::N,sürü,уллё
171,Huhn::N,toyuq,курег
172,Hahn::N,xoruz,атас
173,Gans::N,qaz,ӟазег
174,Adler::N,qartal,ӧрзи
175,Adler::N,qaraquş,ӧрзи
176,Ente::N,ördək,ӵӧж
177,Eule::N,bayquş,кучыран
178,Kranich::N,durna,тури
179,Krähe::N,qarğa,куака
180,Kuckuck::N,ququ,кикы
181,Schwan::N,qu quşu,юсь
182,Fisch::N,balıq,чорыг
183,Barsch::N,tar,юш
184,Hecht::N,durnabalığı,чипей
185,Schlange[Tier]::N,ilan,кый
186,Wurm::N,qurd,нумыр
187,Spinne::N,hörümçək,чонари
188,Ameise::N,qarışqa,кузьыли
189,Laus::N,bit,тэй
190,Mücke::N,ağcaqanad,нымы
191,Mücke::N,ağcaqanad,чибинь
192,Fliege::N,milçək,кут
193,Schmetterling::N,kəpənək,бубыли
194,Beere::N,gilə,узы-боры
195,Apfel::N,alma,яблок
196,Pilz::N,göbələk,губи
197,Zwiebel::N,soğan,сугон
198,Saat::N,əkin,кидыс
199,Korn::N,taxıl,тысь
200,Heu::N,quru ot,турын
201,Schale::N,qabıq,кыд
202,Grube::N,çuxur,гу
203,Grube::N,çuxur,гоп
204,Falle::N,tələ,налик
205,Falle::N,duzaq,налик
206,Schlinge::N,ilmək,гиӟ
207,Schlinge::N,ilmək,герд
208,Spur::N,iz,пытьы
209,Spur::N,iz,бервыл
210,Asche::N,kül,пень
211,Dreck::N,kir,дэри
212,Eisen::N,dəmir,корт
213,Gold::N,altun,зарни
214,Silber::N,gümüş,азвесь
215,Kohle::N,kömür,эгыр
216,Glas::N,şüşə,стекло
217,Glas::N,şüşə,пияла
218,Lehm::N,gil,сюй
219,Lehm::N,palçıq,сюй
220,Sand::N,qum,луо
221,Mensch::N,adam,мурт
222,Mensch::N,adam,адями
223,Mensch::N,insan,мурт
224,Mensch::N,insan,адями
225,Mann::N,kişi,воргорон
226,Frau::N,qadın,кышномурт
227,Kind::N,uşaq,нуны
228,Kind::N,uşaq,пинал
229,Junge::N,oğlan,пи
230,Mädchen::N,qız,ныл
231,Familie::N,ailə,семья
232,Großvater::N,baba,песятай
233,Großvater::N,baba,пересь атай
234,Großmutter::N,nənə,песянай
235,Großmutter::N,nənə,пересь анай
236,Eltern::N,valideyn,атай-анай
237,Eltern::N,valideyn,бубы-мумы
238,Vater::N,ata,айы
239,Vater::N,ata,атай
240,Mutter::N,ana,мумы
241,Sohn::N,oğul,пи
242,Tochter::N,qız,ныл
243,Bruder::N,qardaş,агай
244,Schwester::N,bacı,апа
245,Schwester::N,bacı,сузэр
246,Onkel::N,əmi,агай
247,Onkel::N,dayı,агай
248,Tante::N,bibi,апа
249,Tante::N,bibi,кенак
250,Ehemann::N,ər,карт
251,Ehefrau::N,arvad,кышно
252,Freude::N,nəşə,шумпотон
253,Freude::N,sevinc,шумпотон
254,Gelächter::N,gülüş,горем
